YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"La Paz",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"La Paz",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"La Paz",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"La Paz",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"La Paz",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"La Paz",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"La Paz",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"La Paz",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"La Paz",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"La Paz",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"La Paz",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"La Paz",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"La Paz",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"La Paz",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"La Paz",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"La Paz",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"La Paz",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"La Paz",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"La Paz",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"La Paz",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"La Paz",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"La Paz",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"La Paz",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"La Paz",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"La Paz",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"La Paz",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"La Paz",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"La Paz",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"La Paz",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"La Paz",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"La Paz",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"La Paz",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"La Paz",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"La Paz",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"La Paz",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"La Paz",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"La Paz",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"La Paz",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"La Paz",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"La Paz",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"La Paz",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"La Paz",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"La Paz",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"La Paz",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"La Paz",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"La Paz",1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,"La Paz",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"La Paz",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"La Paz",1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,"La Paz",1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,"La Paz",1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,"La Paz",1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,"La Paz",1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,"La Paz",1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,"La Paz",1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,"La Paz",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"La Paz",1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,"La Paz",1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,"La Paz",1903/02/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1,"La Paz",1903/03/01,,,,,,,,,,,,,,,,,,,,,,,
1903,3,2,"La Paz",1903/03/02,,,,,,,,,,,,,,,,,,,,,,,
1903,3,3,"La Paz",1903/03/03,,,,,,,,,,,,,,,,,,,,,,,
1903,3,4,"La Paz",1903/03/04,,,,,,,,,,,,,,,,,,,,,,,
1903,3,5,"La Paz",1903/03/05,,,,,,,,,,,,,,,,,,,,,,,
1903,3,6,"La Paz",1903/03/06,,,,,,,,,,,,,,,,,,,,,,,
1903,3,7,"La Paz",1903/03/07,,,,,,,,,,,,,,,,,,,,,,,
1903,3,8,"La Paz",1903/03/08,,,,,,,,,,,,,,,,,,,,,,,
1903,3,9,"La Paz",1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,"La Paz",1903/03/10,,,,,,,,,,,,,,,,,,,,,,,
1903,3,11,"La Paz",1903/03/11,,,,,,,,,,,,,,,,,,,,,,,
1903,3,12,"La Paz",1903/03/12,,,,,,,,,,,,,,,,,,,,,,,
1903,3,13,"La Paz",1903/03/13,,,,,,,,,,,,,,,,,,,,,,,
1903,3,14,"La Paz",1903/03/14,,,,,,,,,,,,,,,,,,,,,,,
1903,3,15,"La Paz",1903/03/15,,,,,,,,,,,,,,,,,,,,,,,
1903,3,16,"La Paz",1903/03/16,,,,,,,,,,,,,,,,,,,,,,,
1903,3,17,"La Paz",1903/03/17,,,,,,,,,,,,,,,,,,,,,,,
1903,3,18,"La Paz",1903/03/18,,,,,,,,,,,,,,,,,,,,,,,
1903,3,19,"La Paz",1903/03/19,,,,,,,,,,,,,,,,,,,,,,,
1903,3,20,"La Paz",1903/03/20,,,,,,,,,,,,,,,,,,,,,,,
1903,3,21,"La Paz",1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,"La Paz",1903/03/22,,,,,,,,,,,,,,,,,,,,,,,
1903,3,23,"La Paz",1903/03/23,,,,,,,,,,,,,,,,,,,,,,,
1903,3,24,"La Paz",1903/03/24,,,,,,,,,,,,,,,,,,,,,,,
1903,3,25,"La Paz",1903/03/25,,,,,,,,,,,,,,,,,,,,,,,
1903,3,26,"La Paz",1903/03/26,,,,,,,,,,,,,,,,,,,,,,,
1903,3,27,"La Paz",1903/03/27,,,,,,,,,,,,,,,,,,,,,,,
1903,3,28,"La Paz",1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,"La Paz",1903/03/29,,,,,,,,,,,,,,,,,,,,,,,
1903,3,30,"La Paz",1903/03/30,,,,,,,,,,,,,,,,,,,,,,,
1903,3,31,"La Paz",1903/03/31,,,,,,,,,,,,,,,,,,,,,,,
1903,4,1,"La Paz",1903/04/01,,,,,,,,,,,,,,,,,,,,,,,
1903,4,2,"La Paz",1903/04/02,,,,,,,,,,,,,,,,,,,,,,,
1903,4,3,"La Paz",1903/04/03,,,,,,,,,,,,,,,,,,,,,,,
1903,4,4,"La Paz",1903/04/04,,,,,,,,,,,,,,,,,,,,,,,
1903,4,5,"La Paz",1903/04/05,,,,,,,,,,,,,,,,,,,,,,,
1903,4,6,"La Paz",1903/04/06,,,,,,,,,,,,,,,,,,,,,,,
1903,4,7,"La Paz",1903/04/07,,,,,,,,,,,,,,,,,,,,,,,
1903,4,8,"La Paz",1903/04/08,,,,,,,,,,,,,,,,,,,,,,,
1903,4,9,"La Paz",1903/04/09,,,,,,,,,,,,,,,,,,,,,,,
1903,4,10,"La Paz",1903/04/10,,,,,,,,,,,,,,,,,,,,,,,
1903,4,11,"La Paz",1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,"La Paz",1903/04/12,,,,,,,,,,,,,,,,,,,,,,,
1903,4,13,"La Paz",1903/04/13,,,,,,,,,,,,,,,,,,,,,,,
1903,4,14,"La Paz",1903/04/14,,,,,,,,,,,,,,,,,,,,,,,
1903,4,15,"La Paz",1903/04/15,,,,,,,,,,,,,,,,,,,,,,,
1903,4,16,"La Paz",1903/04/16,,,,,,,,,,,,,,,,,,,,,,,
1903,4,17,"La Paz",1903/04/17,,,,,,,,,,,,,,,,,,,,,,,
1903,4,18,"La Paz",1903/04/18,,,,,,,,,,,,,,,,,,,,,,,
1903,4,19,"La Paz",1903/04/19,,,5,,22,2,84,SE,1,K,1,,,,,,,,,,,,
1903,4,20,"La Paz",1903/04/20,,,5,0,23,2,84,NE,1,C,1,,,,,,,,,,,,
1903,4,21,"La Paz",1903/04/21,763.7,,5,0,24,4,100,E,1,,0,,,,,,,,,,,,
1903,4,22,"La Paz",1903/04/22,758.1,-5.6,9,4,25,8,100,,,,,,,,,,,,,,,,
1903,4,23,"La Paz",1903/04/23,,,10,1,27,9,100,,,,,,,,,,,,,,,,
1903,4,24,"La Paz",1903/04/24,757.6,-3.8,10,0,27,7,86,,,K,1,,,,,,,,,,,,
1903,4,25,"La Paz",1903/04/25,,,12,2,19,11,65,SE,2,C,2,,,,,,,,,,,,
1903,4,26,"La Paz",1903/04/26,768,,6,-6,13,4,85,SE,3,C,3,,,,,,,,,,,,
1903,4,27,"La Paz",1903/04/27,771.9,3.9,4,-2,6,2,100,S,1,C,3,,,,,,,,,,,,
1903,4,28,"La Paz",1903/04/28,773.3,1.4,6,2,9,4,85,S,2,KN,2,,,,,,,,,,,,
1903,4,29,"La Paz",1903/04/29,770.8,-2.5,5,-1,12,3,,SE,1,C,3,,,,,,,,,,,,
1903,4,30,"La Paz",1903/04/30,768.2,-2.6,3,-2,12,1,100,N,2,N,3,,,,,,,,,,,,
1903,5,1,"La Paz",1903/05/01,,,9,6,18,3,36,,,K,1,,,,,,,,,,,,
1903,5,2,"La Paz",1903/05/02,765.3,,8,-1,22,5,86,,,C,3,,,,,,,,,,,,
1903,5,3,"La Paz",1903/05/03,767.6,2.3,5,-3,22,3,84,,,,,,,,,,,,,,,,
1903,5,4,"La Paz",1903/05/04,766.1,-1.5,6,1,23,4,85,,,,,,,,,,,,,,,,
1903,5,5,"La Paz",1903/05/05,763,-8.1,9,3,25,7,86,NW,1,K,1,,,,,,,,,,,,
1903,5,6,"La Paz",1903/05/06,765.2,2.2,7,-2,28,5,100,,,,,,,,,,,,,,,,
1903,5,7,"La Paz",1903/05/07,763.4,-1.8,10,3,25,7,86,,,K,2,,,,,,,,,,,,
1903,5,8,"La Paz",1903/05/08,766.2,2.8,11,1,28,9,75,S,1,K,2,,,,,,,,,,,,
1903,5,9,"La Paz",1903/05/09,763.4,-2.8,8,-3,25,7,,,,K,1,,,,,,,,,,,,
1903,5,10,"La Paz",1903/05/10,761.1,-2.3,14,6,26,12,57,SE,2,KN,3,,,,,,,,,,,,
1903,5,11,"La Paz",1903/05/11,769.2,8.1,2,-12,16,0,100,S,1,K,1,,,,,,,,,,,,
1903,5,12,"La Paz",1903/05/12,770.6,1.4,1,-1,18,0,100,,,,,,,,,,,,,,,,
1903,5,13,"La Paz",1903/05/13,771.4,0.8,4,3,21,1,83,,,K,2,,,,,,,,,,,,
1903,5,14,"La Paz",1903/05/14,770.7,-0.7,3,-1,22,1,83,,,,,,,,,,,,,,,,
1903,5,15,"La Paz",1903/05/15,,,10,7,20,4,62,E,2,CK,2,,,,,,,,,,,,
1903,5,16,"La Paz",1903/05/16,768.1,-1.8,11,1,20,9,75,N,1,CK,3,,,,,,,,,,,,
1903,5,17,"La Paz",1903/05/17,769.7,1.6,8,-3,18,4,86,,,KS,3,,,,,,,,,,,,
1903,5,18,"La Paz",1903/05/18,,,3,-5,12,2,100,,,K,1,,,,,,,,,,,,
1903,5,19,"La Paz",1903/05/19,768.6,,2,-1,17,0,82,,,K,1,,,,,,,,,,,,
1903,5,20,"La Paz",1903/05/20,767.1,-1.5,5,3,19,1,69,,0,,,,,,,,,,,,,,
1903,5,21,"La Paz",1903/05/21,768.1,1,2,-3,21,0,100,,,,,,,,,,,,,,,,
1903,5,22,"La Paz",1903/05/22,768,-0.1,3,1,21,1,83,,,,,,,,,,,,,,,,
1903,5,23,"La Paz",1903/05/23,765.1,-2.9,4,1,21,1,,SW,1,,,,,,,,,,,,,,
1903,5,24,"La Paz",1903/05/24,759.8,-5.3,5,1,22,2,100,,,,,,,,,,,,,,,,
1903,5,25,"La Paz",1903/05/25,761.4,1.6,8,3,21,3,46,,,,,,,,,,,,,,,,
1903,5,26,"La Paz",1903/05/26,761.6,0.2,5,-3,22,1,54,,,K,2,,,,,,,,,,,,
1903,5,27,"La Paz",1903/05/27,769.1,7.5,7,2,20,5,71,S,2,KS,3,,,,,,,,,,,,
1903,5,28,"La Paz",1903/05/28,768,-1.1,4,-3,9,3,,SE,1,KS,3,,,,,,,,,,,,
1903,5,29,"La Paz",1903/05/29,765.6,-2.4,7,3,11,5,100,,,KS,3,,,,,,,,,,,,
1903,5,30,"La Paz",1903/05/30,762.8,-2.8,6,-1,12,5,100,,,KS,3,,,,,,,,,,,,
1903,5,31,"La Paz",1903/05/31,763.6,0.8,12,6,15,8,100,E,1,KS,3,,,,,,,,,,,,
1903,6,1,"La Paz",1903/06/01,757,-6.6,14,2,16,9,100,,,KN,3,,,,,,,,,,,,
1903,6,2,"La Paz",1903/06/02,751.4,-5.6,12,-2,18,10,100,,,K,2,,,,,,,,,,,,
1903,6,3,"La Paz",1903/06/03,768,16.6,3,-9,15,2,100,SE,3,KS,3,,,,,,,,,,,,
1903,6,4,"La Paz",1903/06/04,768.2,0.2,0,-3,8,-2,45,,0,K,1,,,,,,,,,,,,
1903,6,5,"La Paz",1903/06/05,766.5,-1.7,6,6,10,4,85,,,K,2,,,,,,,,,,,,
1903,6,6,"La Paz",1903/06/06,767.3,0.8,0,-6,15,-1,100,,,K,1,,,,,,,,,,,,
1903,6,7,"La Paz",1903/06/07,765.8,-1.5,2,2,16,-1,100,N,1,KN,2,,,,,,,,,,,,
1903,6,8,"La Paz",1903/06/08,760.1,-5.7,6,4,15,0,85,N,2,K,2,,,,,,,,,,,,
1903,6,9,"La Paz",1903/06/09,764.5,4.4,3,-3,17,0,83,S,1,K,1,,,,,,,,,,,,
1903,6,10,"La Paz",1903/06/10,760.9,-3.6,1,-2,17,-1,81,N,1,K,2,,,,,,,,,,,,
1903,6,11,"La Paz",1903/06/11,763.2,2.3,0,-1,18,-1,100,,,KS,1,,,,,,,,,,,,
1903,6,12,"La Paz",1903/06/12,759.1,-4.1,3,3,17,0,100,,,K,1,,,,,,,,,,,,
1903,6,13,"La Paz",1903/06/13,760.2,1.1,2,-1,19,-1,82,,,K,2,,,,,,,,,,,,
1903,6,14,"La Paz",1903/06/14,756.9,-3.3,3,1,19,-1,100,,,K,1,,,,,,,,,,,,
1903,6,15,"La Paz",1903/06/15,759.6,2.7,0,-3,18,-2,80,W,1,K,1,,,,,,,,,,,,
1903,6,16,"La Paz",1903/06/16,,,,,,,,,,,,,,,,,,,,,,,
1903,6,17,"La Paz",1903/06/17,755.7,,8,,18,3,86,S,2,KS,3,,,,,,,,,,,,
1903,6,18,"La Paz",1903/06/18,768.3,12.5,6,-2,13,5,70,SE,2,KN,2,,,,,,,,,,,,
1903,6,19,"La Paz",1903/06/19,767.2,-1.1,0,-6,13,-2,63,NW,2,S,1,,,,,,,,,,,,
1903,6,20,"La Paz",1903/06/20,760.4,-6.8,1,1,15,0,81,,,,,,,,,,,,,,,,
1903,6,21,"La Paz",1903/06/21,762.9,2.5,4,3,17,1,83,SE,1,K,2,,,,,,,,,,,,
1903,6,22,"La Paz",1903/06/22,767.6,4.7,3,-1,13,-2,100,S,3,K,3,,,,,,,,,,,,
1903,6,23,"La Paz",1903/06/23,756.8,-10.8,0,-3,10,-2,82,,,K,2,,,,,,,,,,,,
1903,6,24,"La Paz",1903/06/24,759.7,2.9,-1,-1,9,-2,100,,,K,2,,,,,,,,,,,,
1903,6,25,"La Paz",1903/06/25,763.6,3.9,2,3,14,,64,,,N,3,,,,,,,,,,,,
1903,6,26,"La Paz",1903/06/26,773.7,10.1,-4,-6,13,-6,100,,,K,1,,,,,,,,,,,,
1903,6,27,"La Paz",1903/06/27,767.1,-6.6,1,5,14,-1,81,SW,1,,0,,,,,,,,,,,,
1903,6,28,"La Paz",1903/06/28,766,-1.1,-1,-2,17,-2,100,SW,1,K,2,,,,,,,,,,,,
1903,6,29,"La Paz",1903/06/29,,,,,17,3,,N,3,K,2,,,,,,,,,,,,
1903,6,30,"La Paz",1903/06/30,757.3,,4,,17,0,100,,,,0,,,,,,,,,,,,
1903,7,1,"La Paz",1903/07/01,754.3,-3,8,4,19,7,86,,,KS,3,,,,,,,,,,,,
1903,7,2,"La Paz",1903/07/02,763.7,9.4,6,-2,20,4,85,S,1,KS,1,,,,,,,,,,,,
1903,7,3,"La Paz",1903/07/03,767.3,3.6,3,-3,15,2,66,SE,1,,0,,,,,,,,,,,,
1903,7,4,"La Paz",1903/07/04,766.5,-0.8,-3,-6,15,-5,78,S,1,,,,,,,,,,,,,,
1903,7,5,"La Paz",1903/07/05,770.8,4.3,-3,0,15,-5,78,N,1,,,,,,,,,,,,,,
1903,7,6,"La Paz",1903/07/06,761.7,-9.1,2,5,17,1,64,N,1,,0,,,,,,,,,,,,
1903,7,7,"La Paz",1903/07/07,768.7,7,3,1,20,0,50,S,1,,,,,,,,,,,,,,
1903,7,8,"La Paz",1903/07/08,769.3,0.6,-5,-8,11,-7,76,SW,1,K,1,,,,,,,,,,,,
1903,7,9,"La Paz",1903/07/09,768.5,-0.8,-3,2,13,-5,78,W,1,,0,,,,,,,,,,,,
1903,7,10,"La Paz",1903/07/10,766.1,-2.4,-2,1,13,-4,100,W,1,,0,,,,,,,,,,,,
1903,7,11,"La Paz",1903/07/11,761.8,-4.3,-2,0,16,-3,100,,,,0,,,,,,,,,,,,
1903,7,12,"La Paz",1903/07/12,759.7,-2.1,0,2,18,-1,100,S,1,K,1,,,,,,,,,,,,
1903,7,13,"La Paz",1903/07/13,767.4,7.7,1,1,20,0,81,,0,,,,,,,,,,,,,,
1903,7,14,"La Paz",1903/07/14,776.2,8.8,-1,-2,19,-2,61,S,2,,,,,,,,,,,,,,
1903,7,15,"La Paz",1903/07/15,775.3,-0.9,-3,-2,11,-5,78,S,1,,,,,,,,,,,,,,
1903,7,16,"La Paz",1903/07/16,769.5,-5.8,-3,0,11,-5,78,W,1,,,,,,,,,,,,,,
1903,7,17,"La Paz",1903/07/17,769.4,-0.1,-3,0,14,-5,78,W,1,,,,,,,,,,,,,,
1903,7,18,"La Paz",1903/07/18,766,-3.4,-1,2,17,-2,100,N,1,K,2,,,,,,,,,,,,
