,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"La Plata",1903/01/01,769.2,0.1,19,4,21,14,63,N,2,S,1,,,,,,,,,,,,
1903,1,2,"La Plata",1903/01/02,767.6,-1.6,20,1,23,17,72,NE,1,S,1,,,,,,,,,,,,
1903,1,3,"La Plata",1903/01/03,767.5,-0.1,22,2,25,18,66,NE,2,C,1,,,,,,,,,,,,
1903,1,4,"La Plata",1903/01/04,766.6,-0.9,20,-2,27,18,72,N,2,C,2,,,,,,,,,,,,
1903,1,5,"La Plata",1903/01/05,764.4,-2.2,22,2,27,19,66,N,3,C,1,,,,,,,,,,,,
1903,1,6,"La Plata",1903/01/06,763.8,-0.6,24,2,28,18,67,N,1,C,1,,,,,,,,,,,,
1903,1,7,"La Plata",1903/01/07,763.1,-0.7,24,0,30,20,67,NE,1,S,2,,,,,,,,,,,,
1903,1,8,"La Plata",1903/01/08,761.5,-1.6,25,1,31,22,68,N,2,S,2,,,,,,,,,,,,
1903,1,9,"La Plata",1903/01/09,758.5,-3,25,0,32,22,76,N,1,S,2,,,,,,,,,,,,
1903,1,10,"La Plata",1903/01/10,759.5,1,24,-1,30,21,83,E,2,S,2,,,,,,,,,,,,
1903,1,11,"La Plata",1903/01/11,757,-2.5,20,-4,27,17,91,SE,1,N,3,Rt,,,,,,,,,,,
1903,1,12,"La Plata",1903/01/12,761.3,4.3,10,-1,23,13,72,,0,S,1,,,,,,,,,,,,
1903,1,13,"La Plata",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"La Plata",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
