,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"La Quiaca",1903/01/01,,,10,1,23,0,74,NE,2,CK,1,,,,,,,,,,,,
1903,1,2,"La Quiaca",1903/01/02,,,7,-3,21,-1,85,,0,CK,3,,,,,,,,,,,,
1903,1,3,"La Quiaca",1903/01/03,,,6,-1,15,-2,85,NW,2,CK,3,,,,,,,,,,,,
1903,1,4,"La Quiaca",1903/01/04,,,4,-2,13,-3,100,,0,SK,3,,,,,,,,,,,,
1903,1,5,"La Quiaca",1903/01/05,,,8,4,21,-1,72,,0,KN,1,,,,,,,,,,,,
1903,1,6,"La Quiaca",1903/01/06,,,8,0,22,0,86,S,2,KN,1,,,,,,,,,,,,
1903,1,7,"La Quiaca",1903/01/07,,,9,1,22,1,86,,0,SK,1,,,,,,,,,,,,
1903,1,8,"La Quiaca",1903/01/08,,,8,-1,21,2,86,N,2,KN,1,,,,,,,,,,,,
1903,1,9,"La Quiaca",1903/01/09,,,7,-1,20,-1,85,N,2,KN,3,,,,,,,,,,,,
1903,1,10,"La Quiaca",1903/01/10,,,8,1,21,2,86,,0,,0,,,,,,,,,,,,
1903,1,11,"La Quiaca",1903/01/11,,,7,-1,20,0,85,,0,KN,2,,,,,,,,,,,,
1903,1,12,"La Quiaca",1903/01/12,,,7,0,20,0,85,,0,KN,2,,,,,,,,,,,,
1903,1,13,"La Quiaca",1903/01/13,,,8,1,22,2,86,N,2,K,1,,,,,,,,,,,,
1903,1,14,"La Quiaca",1903/01/14,,,6,-2,20,1,100,,1,,0,,,,,,,,,,,,
1903,1,15,"La Quiaca",1903/01/15,,,8,2,23,3,86,S,2,C,1,,,,,,,,,,,,
1903,1,16,"La Quiaca",1903/01/16,,,10,2,25,4,74,N,2,,0,,,,,,,,,,,,
1903,1,17,"La Quiaca",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"La Quiaca",1903/01/18,,,7,-3,23,-1,71,SW,1,CK,1,,,,,,,,,,,,
1903,1,19,"La Quiaca",1903/01/19,,,7,0,26,0,71,,0,C,1,,,,,,,,,,,,
1903,1,20,"La Quiaca",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"La Quiaca",1903/01/21,,,6,0,22,-1,100,S,3,,0,,,,,,,,,,,,
1903,1,22,"La Quiaca",1903/01/22,,,2,-4,24,-3,51,,0,C,1,,,,,,,,,,,,
1903,1,23,"La Quiaca",1903/01/23,,,6,4,23,-1,70,,0,,0,,,,,,,,,,,,
1903,1,24,"La Quiaca",1903/01/24,,,10,4,25,3,74,,0,CK,1,,,,,,,,,,,,
1903,1,25,"La Quiaca",1903/01/25,,,2,-8,23,-3,64,N,1,CK,1,,,,,,,,,,,,
1903,1,26,"La Quiaca",1903/01/26,,,4,2,20,0,67,S,2,C,1,,,,,,,,,,,,
1903,1,27,"La Quiaca",1903/01/27,,,6,2,19,5,100,,0,KN,2,,,,,,,,,,,,
1903,1,28,"La Quiaca",1903/01/28,,,7,1,18,5,85,N,2,KN,3,,,,,,,,,,,,
1903,1,29,"La Quiaca",1903/01/29,,,9,2,19,5,86,,0,KN,2,,,,,,,,,,,,
1903,1,30,"La Quiaca",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"La Quiaca",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"La Quiaca",1903/02/01,,,9,1,23,5,86,,0,KN,3,,,,,,,,,,,,
1903,2,2,"La Quiaca",1903/02/02,,,9,0,15,6,100,NW,2,SK,3,,,,,,,,,,,,
1903,2,3,"La Quiaca",1903/02/03,,,8,-1,16,4,100,SW,2,K,2,,,,,,,,,,,,
1903,2,4,"La Quiaca",1903/02/04,,,11,3,23,6,87,,0,KN,2,,,,,,,,,,,,
1903,2,5,"La Quiaca",1903/02/05,,,8,-3,23,3,100,SW,3,KN,3,,,,,,,,,,,,
1903,2,6,"La Quiaca",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"La Quiaca",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"La Quiaca",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"La Quiaca",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"La Quiaca",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"La Quiaca",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"La Quiaca",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"La Quiaca",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"La Quiaca",1903/02/14,,,10,,24,3,86,N,1,K,2,,,,,,,,,,,,
1903,2,15,"La Quiaca",1903/02/15,,,7,-3,,3,71,NW,1,KN,2,,,,,,,,,,,,
1903,2,16,"La Quiaca",1903/02/16,,,6,-1,24,4,85,S,2,KN,2,,,,,,,,,,,,
1903,2,17,"La Quiaca",1903/02/17,,,8,2,24,3,70,S,3,KN,1,,,,,,,,,,,,
1903,2,18,"La Quiaca",1903/02/18,,,11,3,24,3,87,E,1,KN,1,,,,,,,,,,,,
1903,2,19,"La Quiaca",1903/02/19,,,9,-2,24,3,86,S,1,K,2,,,,,,,,,,,,
1903,2,20,"La Quiaca",1903/02/20,,,5,-4,24,3,69,S,1,KN,1,,,,,,,,,,,,
1903,2,21,"La Quiaca",1903/02/21,,,7,2,25,3,57,S,1,SK,2,,,,,,,,,,,,
1903,2,22,"La Quiaca",1903/02/22,,,7,0,23,,,,0,,,,,,,,,,,,,,
1903,2,23,"La Quiaca",1903/02/23,,,7,0,23,4,44,S,1,KN,2,,,,,,,,,,,,
1903,2,24,"La Quiaca",1903/02/24,,,7,0,25,4,85,N,1,C,1,,,,,,,,,,,,
1903,2,25,"La Quiaca",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"La Quiaca",1903/02/26,,,6,-1,30,5,100,S,1,KN,1,,,,,,,,,,,,
1903,2,27,"La Quiaca",1903/02/27,,,8,2,30,,59,S,1,K,1,,,,,,,,,,,,
1903,2,28,"La Quiaca",1903/02/28,,,9,1,30,5,,N,1,SK,3,,,,,,,,,,,,
1903,3,1,"La Quiaca",1903/03/01,,,8,-1,25,6,,NW,1,SK,2,,,,,,,,,,,,
1903,3,2,"La Quiaca",1903/03/02,,,9,1,20,7,,,0,SK,2,,,,,,,,,,,,
1903,3,3,"La Quiaca",1903/03/03,,,9,0,20,6,100,SW,2,KN,3,,,,,,,,,,,,
1903,3,4,"La Quiaca",1903/03/04,,,10,1,21,7,100,,0,KN,3,,,,,,,,,,,,
1903,3,5,"La Quiaca",1903/03/05,,,7,-3,17,5,100,,0,KN,3,,,,,,,,,,,,
1903,3,6,"La Quiaca",1903/03/06,,,7,0,17,6,100,,0,SK,2,,,,,,,,,,,,
1903,3,7,"La Quiaca",1903/03/07,,,7,0,23,6,100,NE,2,SK,2,,,,,,,,,,,,
1903,3,8,"La Quiaca",1903/03/08,,,9,2,22,8,100,W,2,KN,3,,,,,,,,,,,,
1903,3,9,"La Quiaca",1903/03/09,,,5,-4,21,4,100,,0,KN,1,,,,,,,,,,,,
1903,3,10,"La Quiaca",1903/03/10,,,5,0,21,0,84,,0,CS,1,,,,,,,,,,,,
1903,3,11,"La Quiaca",1903/03/11,,,9,4,20,3,86,,0,N,3,,,,,,,,,,,,
1903,3,12,"La Quiaca",1903/03/12,,,7,-2,20,5,100,NE,2,KN,2,,,,,,,,,,,,
1903,3,13,"La Quiaca",1903/03/13,,,6,-1,15,4,100,SW,2,N,3,,,,,,,,,,,,
1903,3,14,"La Quiaca",1903/03/14,,,6,0,16,3,85,S,2,KN,2,,,,,,,,,,,,
1903,3,15,"La Quiaca",1903/03/15,,,6,0,20,4,100,,0,CK,2,,,,,,,,,,,,
