,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Las Flores",1903/01/01,,,15,1,27,9,78,E,1,,0,,,,,,,,,,,,
1903,1,2,"Las Flores",1903/01/02,767,,19,4,27,10,81,E,1,,0,,,,,,,,,,,,
1903,1,3,"Las Flores",1903/01/03,765.4,-1.6,20,1,30,13,72,,,,0,,,,,,,,,,,,
1903,1,4,"Las Flores",1903/01/04,765.3,-0.1,21,1,32,14,65,N,2,,0,,,,,,,,,,,,
1903,1,5,"Las Flores",1903/01/05,761.8,-3.5,20,-1,32,14,72,N,2,,0,,,,,,,,,,,,
1903,1,6,"Las Flores",1903/01/06,762.8,1,20,0,34,14,72,N,2,,0,,,,,,,,,,,,
1903,1,7,"Las Flores",1903/01/07,760.6,-2.2,23,3,35,17,74,NE,2,C,1,,,,,,,,,,,,
1903,1,8,"Las Flores",1903/01/08,760.3,-0.3,22,-1,37,19,82,E,1,K,3,,,,,,,,,,,,
1903,1,9,"Las Flores",1903/01/09,758.9,-1.4,24,2,35,18,75,N,2,C,2,,,,,,,,,,,,
1903,1,10,"Las Flores",1903/01/10,760.2,1.3,18,-6,35,15,90,E,2,N,3,,,,,,,,,,,,
1903,1,11,"Las Flores",1903/01/11,758.7,-1.5,16,-2,34,13,89,SE,2,C,3,,,,,,,,,,,,
1903,1,12,"Las Flores",1903/01/12,761.3,2.6,16,0,25,9,79,E,1,,0,,,,,,,,,,,,
1903,1,13,"Las Flores",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Las Flores",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Las Flores",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Las Flores",1903/01/16,756.8,-1.4,18,-4,29,17,90,N,2,S,3,,,,,,,,,,,,
1903,1,17,"Las Flores",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Las Flores",1903/01/18,759.2,0.3,19,1,33,14,72,N,1,,0,,,,,,,,,,,,
1903,1,19,"Las Flores",1903/01/19,757,-2.2,20,1,34,,64,N,1,,0,,,,,,,,,,,,
1903,1,20,"Las Flores",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Las Flores",1903/01/21,755.9,0.8,13,-4,24,9,66,,,,0,,,,,,,,,,,,
1903,1,22,"Las Flores",1903/01/22,754.3,-1.6,13,0,26,12,77,W,2,N,3,,,,,,,,,,,,
