,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Las Lajas",1903/01/01,758.5,-3.2,17,6,31,14,80,E,1,,0,,,,,,,,,,,,
1903,1,2,"Las Lajas",1903/01/02,756.9,-1.6,16,-1,34,11,66,W,2,,0,,,,,,,,,,,,
1903,1,3,"Las Lajas",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Las Lajas",1903/01/04,753.9,-2.5,17,4,36,15,62,W,2,C,2,,,,,,,,,,,,
1903,1,5,"Las Lajas",1903/01/05,758.3,4.4,11,-6,34,7,52,W,2,,0,,,,,,,,,,,,
1903,1,6,"Las Lajas",1903/01/06,759,0.7,16,5,33,14,89,SE,1,,0,,,,,,,,,,,,
1903,1,7,"Las Lajas",1903/01/07,757.7,-1.3,15,-1,33,12,89,S,1,,0,,,,,,,,,,,,
1903,1,8,"Las Lajas",1903/01/08,756.8,-0.9,,-4,35,8,75,SW,2,,0,,,,,,,,,,,,
1903,1,9,"Las Lajas",1903/01/09,760.3,3.5,12,0,28,10,41,S,2,N,2,,,,,,,,,,,,
1903,1,10,"Las Lajas",1903/01/10,761.5,1.2,9,-2,20,7,73,E,1,N,1,,,,,,,,,,,,
1903,1,11,"Las Lajas",1903/01/11,763.6,2.1,5,-4,26,2,84,E,1,,0,,,,,,,,,,,,
1903,1,12,"Las Lajas",1903/01/12,761.5,-2.1,7,2,28,5,100,W,1,,0,,,,,,,,,,,,
1903,1,13,"Las Lajas",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Las Lajas",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Las Lajas",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Las Lajas",1903/01/16,760.9,3.7,9,-4,22,7,73,W,1,K,1,,,,,,,,,,,,
1903,1,17,"Las Lajas",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Las Lajas",1903/01/18,758.5,-2.4,8,0,24,6,86,W,1,K,1,,,,,,,,,,,,
1903,1,19,"Las Lajas",1903/01/19,759.7,1.2,9,1,22,7,61,W,3,N,1,,,,,,,,,,,,
1903,1,20,"Las Lajas",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Las Lajas",1903/01/21,761.7,-1.4,10,2,18,9,62,W,2,N,2,,,,,,,,,,,,
1903,1,22,"Las Lajas",1903/01/22,761.4,-0.3,8,-2,17,7,72,W,3,N,2,,,,,,,,,,,,
1903,1,23,"Las Lajas",1903/01/23,760.1,-1.3,14,6,16,11,57,W,3,N,2,,,,,,,,,,,,
1903,1,24,"Las Lajas",1903/01/24,762,1.9,8,-6,26,6,72,W,1,C,2,,,,,,,,,,,,
1903,1,25,"Las Lajas",1903/01/25,760.4,-1.6,8,0,31,6,72,W,1,,0,,,,,,,,,,,,
1903,1,26,"Las Lajas",1903/01/26,759.9,-0.5,16,8,33,14,41,,0,C,1,,,,,,,,,,,,
1903,1,27,"Las Lajas",1903/01/27,771.1,1.2,12,-4,29,10,76,W,2,C,1,,,,,,,,,,,,
1903,1,28,"Las Lajas",1903/01/28,,,17,5,31,14,34,SW,2,N,2,,,,,,,,,,,,
1903,1,29,"Las Lajas",1903/01/29,758.3,,9,-8,27,8,73,SW,1,N,1,,,,,,,,,,,,
1903,1,30,"Las Lajas",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Las Lajas",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Las Lajas",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Las Lajas",1903/02/02,759.2,,10,,33,8,74,,0,,0,,,,,,,,,,,,
1903,2,3,"Las Lajas",1903/02/03,756,-3.2,14,4,31,11,57,,0,,0,,,,,,,,,,,,
1903,2,4,"Las Lajas",1903/02/04,758.9,2.9,6,-8,28,5,85,W,1,,0,,,,,,,,,,,,
1903,2,5,"Las Lajas",1903/02/05,762.6,3.7,15,9,,3,4,S,1,,0,,,,,,,,,,,,
1903,2,6,"Las Lajas",1903/02/06,764.5,1.9,10,-5,33,9,62,W,2,,0,,,,,,,,,,,,
1903,2,7,"Las Lajas",1903/02/07,,,13,3,33,12,55,S,1,,0,,,,,,,,,,,,
1903,2,8,"Las Lajas",1903/02/08,,,14,1,37,12,57,SW,1,,0,,,,,,,,,,,,
1903,2,9,"Las Lajas",1903/02/09,,,16,2,37,14,59,W,1,,0,,,,,,,,,,,,
1903,2,10,"Las Lajas",1903/02/10,,,14,-2,38,11,57,,0,,0,,,,,,,,,,,,
1903,2,11,"Las Lajas",1903/02/11,,,11,-3,33,9,63,W,2,,0,,,,,,,,,,,,
1903,2,12,"Las Lajas",1903/02/12,,,7,-4,29,5,57,W,1,,0,,,,,,,,,,,,
1903,2,13,"Las Lajas",1903/02/13,,,3,-4,27,2,66,W,1,,0,,,,,,,,,,,,
1903,2,14,"Las Lajas",1903/02/14,,,6,3,24,3,70,,0,,0,,,,,,,,,,,,
1903,2,15,"Las Lajas",1903/02/15,,,13,7,30,10,35,W,1,S,2,,,,,,,,,,,,
1903,2,16,"Las Lajas",1903/02/16,,,13,0,22,6,66,W,2,S,2,,,,,,,,,,,,
1903,2,17,"Las Lajas",1903/02/17,,,7,-6,,4,71,S,1,C,1,,,,,,,,,,,,
1903,2,18,"Las Lajas",1903/02/18,,,9,2,12,-1,,,0,,0,,,,,,,,,,,,
1903,2,19,"Las Lajas",1903/02/19,760.2,,9,0,27,7,48,,0,,0,,,,,,,,,,,,
1903,2,20,"Las Lajas",1903/02/20,763.2,3,5,-4,27,,39,W,1,,0,,,,,,,,,,,,
1903,2,21,"Las Lajas",1903/02/21,761.2,-2,9,4,28,7,61,W,1,C,1,,,,,,,,,,,,
1903,2,22,"Las Lajas",1903/02/22,759.2,-2,7,-2,32,6,71,W,1,C,1,,,,,,,,,,,,
1903,2,23,"Las Lajas",1903/02/23,,,8,1,30,5,46,,0,S,1,,,,,,,,,,,,
1903,2,24,"Las Lajas",1903/02/24,755.4,,15,7,31,5,13,W,2,N,1,,,,,,,,,,,,
1903,2,25,"Las Lajas",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Las Lajas",1903/02/26,760.7,,4,-3,24,3,52,,0,,0,,,,,,,,,,,,
1903,2,27,"Las Lajas",1903/02/27,768.6,7.9,1,-3,23,1,81,,0,,0,,,,,,,,,,,,
1903,2,28,"Las Lajas",1903/02/28,763.4,-5.2,4,3,24,2,52,S,1,,0,,,,,,,,,,,,
1903,3,1,"Las Lajas",1903/03/01,758.2,-5.2,10,6,27,8,62,,0,C,2,,,,,,,,,,,,
1903,3,2,"Las Lajas",1903/03/02,759,0.8,8,-2,28,6,,,0,,0,,,,,,,,,,,,
1903,3,3,"Las Lajas",1903/03/03,760.5,1.5,10,2,28,8,62,,0,,0,,,,,,,,,,,,
1903,3,4,"Las Lajas",1903/03/04,762.1,1.6,6,-4,28,5,56,,0,,0,,,,,,,,,,,,
1903,3,5,"Las Lajas",1903/03/05,,,7,1,32,6,57,,0,,0,,,,,,,,,,,,
1903,3,6,"Las Lajas",1903/03/06,,,14,7,32,5,28,,0,,0,,,,,,,,,,,,
1903,3,7,"Las Lajas",1903/03/07,,,0,-14,21,-1,63,W,1,,0,,,,,,,,,,,,
1903,3,8,"Las Lajas",1903/03/08,763.1,,1,1,22,0,81,,0,,0,,,,,,,,,,,,
1903,3,9,"Las Lajas",1903/03/09,760,-3.1,5,4,26,2,54,,0,,0,,,,,,,,,,,,
1903,3,10,"Las Lajas",1903/03/10,,,5,4,26,9,54,,0,,0,,,,,,,,,,,,
1903,3,11,"Las Lajas",1903/03/11,761.8,,12,-2,26,13,65,W,1,K,1,,,,,,,,,,,,
1903,3,12,"Las Lajas",1903/03/12,762.6,0.8,6,-6,28,5,85,,0,,0,,,,,,,,,,,,
1903,3,13,"Las Lajas",1903/03/13,,,7,1,33,5,71,,0,,0,,,,,,,,,,,,
1903,3,14,"Las Lajas",1903/03/14,759.2,,14,7,27,8,78,,0,K,2,,,,,,,,,,,,
1903,3,15,"Las Lajas",1903/03/15,,,17,3,33,15,34,W,2,N,2,,,,,,,,,,,,
1903,3,16,"Las Lajas",1903/03/16,755.4,,16,-1,24,5,41,W,2,N,2,,,,,,,,,,,,
1903,3,17,"Las Lajas",1903/03/17,763.6,8.2,5,-11,25,1,54,W,1,,0,,,,,,,,,,,,
1903,3,18,"Las Lajas",1903/03/18,754.8,-8.8,5,0,27,2,69,,0,S,1,,,,,,,,,,,,
1903,3,19,"Las Lajas",1903/03/19,,,4,-1,31,,67,,0,,0,,,,,,,,,,,,
1903,3,20,"Las Lajas",1903/03/20,,,14,,23,2,10,,0,N,3,,,,,,,,,,,,
1903,3,21,"Las Lajas",1903/03/21,762.3,,3,-11,18,2,100,,0,,0,,,,,,,,,,,,
1903,3,22,"Las Lajas",1903/03/22,766,3.7,-2,-5,20,-4,81,,0,,0,,,,,,,,,,,,
1903,3,23,"Las Lajas",1903/03/23,,,3,5,23,1,66,,0,,0,,,,,,,,,,,,
1903,3,24,"Las Lajas",1903/03/24,757,,0,-3,27,-3,63,W,1,C,1,,,,,,,,,,,,
1903,3,25,"Las Lajas",1903/03/25,,,11,9,21,5,19,W,2,,0,,,,,,,,,,,,
1903,3,26,"Las Lajas",1903/03/26,760.9,3.9,2,2,23,0,82,,0,,0,,,,,,,,,,,,
1903,3,27,"Las Lajas",1903/03/27,758.6,,5,-6,25,3,69,,0,,0,,,,,,,,,,,,
1903,3,28,"Las Lajas",1903/03/28,,,10,5,25,1,39,W,2,N,2,,,,,,,,,,,,
1903,3,29,"Las Lajas",1903/03/29,761.8,,7,-3,25,3,57,,0,K,1,,,,,,,,,,,,
1903,3,30,"Las Lajas",1903/03/30,,,5,-2,19,2,69,,0,,0,,,,,,,,,,,,
1903,3,31,"Las Lajas",1903/03/31,763.2,,-1,-6,23,-4,61,,0,,0,,,,,,,,,,,,
1903,4,1,"Las Lajas",1903/04/01,763.7,0.5,0,1,25,,63,,0,,0,,,,,,,,,,,,
1903,4,2,"Las Lajas",1903/04/02,,,,,,,,,,,,,,,,,,,,,,,
1903,4,3,"Las Lajas",1903/04/03,756.2,,9,-4,20,6,73,,0,N,2,,,,,,,,,,,,
1903,4,4,"Las Lajas",1903/04/04,758.5,2.3,11,2,31,10,75,,0,N,2,,,,,,,,,,,,
1903,4,5,"Las Lajas",1903/04/05,,,9,-2,31,8,73,,0,C,3,,,,,,,,,,,,
1903,4,6,"Las Lajas",1903/04/06,765.4,,-3,12,31,-4,57,S,1,K,2,,,,,,,,,,,,
1903,4,7,"Las Lajas",1903/04/07,764.2,-1.2,0,3,19,-4,63,,0,,0,,,,,,,,,,,,
1903,4,8,"Las Lajas",1903/04/08,,,0,0,19,2,81,,0,S,3,,,,,,,,,,,,
1903,4,9,"Las Lajas",1903/04/09,765.6,,3,3,19,1,86,,0,,0,,,,,,,,,,,,
1903,4,10,"Las Lajas",1903/04/10,763.9,,7,4,19,2,71,,0,S,3,,,,,,,,,,,,
1903,4,11,"Las Lajas",1903/04/11,764.2,0.3,3,-4,20,0,83,,0,,0,,,,,,,,,,,,
1903,4,12,"Las Lajas",1903/04/12,760.3,3.9,12,9,22,7,54,,0,N,3,,,,,,,,,,,,
1903,4,13,"Las Lajas",1903/04/13,,,8,-4,22,8,86,,0,N,3,,,,,,,,,,,,
1903,4,14,"Las Lajas",1903/04/14,766.1,,1,-7,18,-1,81,,0,N,1,,,,,,,,,,,,
1903,4,15,"Las Lajas",1903/04/15,765.2,-0.9,3,2,13,,83,,0,K,2,,,,,,,,,,,,
1903,4,16,"Las Lajas",1903/04/16,760.8,-4.4,11,8,18,3,52,W,1,K,3,,,,,,,,,,,,
1903,4,17,"Las Lajas",1903/04/17,759.8,-1,7,-4,,1,57,,0,N,2,,,,,,,,,,,,
1903,4,18,"Las Lajas",1903/04/18,761.3,1.5,4,-3,,,83,W,2,,0,,,,,,,,,,,,
1903,4,19,"Las Lajas",1903/04/19,766,4.7,-2,-6,,-4,79,,0,,0,,,,,,,,,,,,
1903,4,20,"Las Lajas",1903/04/20,768.2,2.2,-1,1,21,-4,80,,0,,0,,,,,,,,,,,,
1903,4,21,"Las Lajas",1903/04/21,,,4,5,21,0,,,0,S,1,,,,,,,,,,,,
1903,4,22,"Las Lajas",1903/04/22,755.7,,8,4,25,5,45,W,2,K,1,,,,,,,,,,,,
1903,4,23,"Las Lajas",1903/04/23,,,,,20,10,,W,1,N,1,,,,,,,,,,,,
1903,4,24,"Las Lajas",1903/04/24,,,15,,24,4,21,W,2,N,2,,,,,,,,,,,,
1903,4,25,"Las Lajas",1903/04/25,766.9,,4,-11,24,0,52,NW,1,S,3,,,,,,,,,,,,
1903,4,26,"Las Lajas",1903/04/26,,,4,0,12,0,67,,0,N,1,,,,,,,,,,,,
1903,4,27,"Las Lajas",1903/04/27,,,-5,-9,12,-6,76,,0,,0,,,,,,,,,,,,
1903,4,28,"Las Lajas",1903/04/28,,,-3,2,,-6,57,,0,,0,,,,,,,,,,,,
1903,4,29,"Las Lajas",1903/04/29,767.2,,-5,-2,11,-6,100,,0,,0,,,,,,,,,,,,
1903,4,30,"Las Lajas",1903/04/30,765.9,-1.3,-2,3,15,-5,79,,0,,0,,,,,,,,,,,,
1903,5,1,"Las Lajas",1903/05/01,763.4,-2.5,9,11,23,5,61,,0,N,2,,,,,,,,,,,,
1903,5,2,"Las Lajas",1903/05/02,765,1.6,4,-5,12,0,67,,0,,0,,,,,,,,,,,,
1903,5,3,"Las Lajas",1903/05/03,762.7,-2.3,8,4,20,6,59,,0,N,2,,,,,,,,,,,,
1903,5,4,"Las Lajas",1903/05/04,762,-0.7,10,2,15,7,74,S,2,N,2,,,,,,,,,,,,
1903,5,5,"Las Lajas",1903/05/05,761.7,-0.3,14,4,17,8,28,S,3,S,1,,,,,,,,,,,,
1903,5,6,"Las Lajas",1903/05/06,761.9,0.2,4,-10,18,1,67,,0,,0,,,,,,,,,,,,
1903,5,7,"Las Lajas",1903/05/07,,,4,0,27,-1,36,,0,S,1,,,,,,,,,,,,
