,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Lujan,1903/01/01,,,21,0,29,14,91,NE,1,,0,,,,,,,,,,,,
1903,1,2,Lujan,1903/01/02,762.9,,21,1,,,91,NE,1,,,,,,,,,,,,,,
1903,1,3,Lujan,1903/01/03,762.6,-0.3,23,1,32,14,74,NW,1,,0,,,,,,,,,,,,
1903,1,4,Lujan,1903/01/04,761.2,-1.4,24,1,32,14,91,NE,1,,0,,,,,,,,,,,,
1903,1,5,Lujan,1903/01/05,758.2,-3,26,2,34,21,92,N,,,,,,,,,,,,,,,
1903,1,6,Lujan,1903/01/06,758.4,0.2,23,-3,25,18,100,NE,1,,,,,,,,,,,,,,
1903,1,7,Lujan,1903/01/07,758,-0.4,17,-6,31,17,100,S,1,N,3,,,,,,,,,,,,
1903,1,8,Lujan,1903/01/08,761.4,3.4,19,2,,,81,NE,1,,,,,,,,,,,,,,
1903,1,9,Lujan,1903/01/09,761.4,3.4,19,2,,,81,NE,1,,,,,,,,,,,,,,
1903,1,10,Lujan,1903/01/10,759.4,-2,24,5,28,9,100,NE,1,,,,,,,,,,,,,,
1903,1,11,Lujan,1903/01/11,759.6,0.2,22,-2,30,9,100,NE,2,,,,,,,,,,,,,,
1903,1,12,Lujan,1903/01/12,757.8,-1.8,23,1,32,13,59,NE,2,,,,,,,,,,,,,,
1903,1,13,Lujan,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Lujan,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Lujan,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Lujan,1903/01/16,756.5,-1.3,11,-4,23,6,100,W,2,N,3,,,,,,,,,,,,
1903,1,17,Lujan,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Lujan,1903/01/18,759.6,3.1,13,2,24,6,88,NW,2,,,,,,,,,,,,,,
1903,1,19,Lujan,1903/01/19,756.9,-2.7,16,3,25,13,79,E,1,,,,,,,,,,,,,,
1903,1,20,Lujan,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Lujan,1903/01/21,763.2,6.3,17,1,26,11,80,NW,1,,0,,,,,,,,,,,,
1903,1,22,Lujan,1903/01/22,762.1,-1.1,20,3,30,12,64,N,1,,,,,,,,,,,,,,
1903,1,23,Lujan,1903/01/23,762.1,0,22,2,30,14,66,N,1,,,,,,,,,,,,,,
1903,1,24,Lujan,1903/01/24,757.7,-4.4,22,0,31,17,74,N,1,,,,,,,,,,,,,,
1903,1,25,Lujan,1903/01/25,755.5,-2.2,27,3,34,20,69,NW,1,,,,,,,,,,,,,,
1903,1,26,Lujan,1903/01/26,761.5,4,21,-4,34,19,91,SE,,,,,,,,,,,,,,,
1903,1,27,Lujan,1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,Lujan,1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,Lujan,1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,Lujan,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
