,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"MISIONES - Posadas",1903/01/01,764.3,,18,,30,15,80,E,2,S,1,,,,,,,,,,,,
1903,1,2,"MISIONES - Posadas",1903/01/02,764.4,0.1,21,3,33,17,73,E,2,K,1,,,,,,,,,,,,
1903,1,3,"MISIONES - Posadas",1903/01/03,765.4,1,21,0,34,17,65,E,2,C,1,,,,,,,,,,,,
1903,1,4,"MISIONES - Posadas",1903/01/04,764.9,-0.5,22,1,34,17,66,E,3,C,1,,,,,,,,,,,,
1903,1,5,"MISIONES - Posadas",1903/01/05,763.9,-1,22,0,34,17,66,E,1,,0,,,,,,,,,,,,
1903,1,6,"MISIONES - Posadas",1903/01/06,764.8,0.9,23,1,35,17,66,NE,2,C,1,,,,,,,,,,,,
1903,1,7,"MISIONES - Posadas",1903/01/07,764.2,-0.6,24,1,36,17,67,N,1,S,1,,,,,,,,,,,,
1903,1,8,"MISIONES - Posadas",1903/01/08,762.7,-1.5,25,1,37,18,61,E,1,C,1,,,,,,,,,,,,
1903,1,9,"MISIONES - Posadas",1903/01/09,761.4,-1.3,26,1,36,20,62,NE,2,K,2,,,,,,,,,,,,
1903,1,10,"MISIONES - Posadas",1903/01/10,761.1,-0.3,26,0,34,21,69,N,1,C,2,,,,,,,,,,,,
1903,1,11,"MISIONES - Posadas",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"MISIONES - Posadas",1903/01/12,759.1,,23,,35,20,91,E,1,N,3,Rt,,,,,,,,,,,
1903,1,13,"MISIONES - Posadas",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"MISIONES - Posadas",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"MISIONES - Posadas",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
