,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Malaspina,1903/01/01,,,26,5,34,11,24,,0,,0,,,,,,,,,,,,
1903,1,2,Malaspina,1903/01/02,,,20,-6,34,15,,W,1,,0,,,,,,,,,,,,
1903,1,3,Malaspina,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Malaspina,1903/01/04,,,19,-1,26,14,38,,0,,0,,,,,,,,,,,,
1903,1,5,Malaspina,1903/01/05,,,19,0,32,13,46,,0,,0,,,,,,,,,,,,
1903,1,6,Malaspina,1903/01/06,,,18,-1,24,9,36,NW,1,S,1,,,,,,,,,,,,
1903,1,7,Malaspina,1903/01/07,,,17,-1,32,12,34,W,1,S,2,,,,,,,,,,,,
1903,1,8,Malaspina,1903/01/08,,,23,5,32,12,74,,0,,0,,,,,,,,,,,,
1903,1,9,Malaspina,1903/01/09,,,11,-12,32,6,52,S,3,,0,,,,,,,,,,,,
1903,1,10,Malaspina,1903/01/10,,,9,-2,21,7,48,,,C,2,,,,,,,,,,,,
1903,1,11,Malaspina,1903/01/11,,,12,3,20,6,43,,,,0,,,,,,,,,,,,
1903,1,12,Malaspina,1903/01/12,,,13,1,21,10,45,W,2,S,1,,,,,,,,,,,,
1903,1,13,Malaspina,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Malaspina,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Malaspina,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
