,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Mar del Plata",1903/01/01,768.4,-0.6,18,1,21,9,62,NE,2,,0,,,,,,,,,,,,
1903,1,2,"Mar del Plata",1903/01/02,767.5,-0.9,21,3,23,12,65,NE,2,,0,,,,,,,,,,,,
1903,1,3,"Mar del Plata",1903/01/03,766.4,-1.1,21,0,25,18,66,NE,2,C,1,,,,,,,,,,,,
1903,1,4,"Mar del Plata",1903/01/04,765.9,-0.5,21,0,26,17,73,N,3,C,1,,,,,,,,,,,,
1903,1,5,"Mar del Plata",1903/01/05,762.8,-3.1,22,1,26,17,74,N,3,KS,3,,,,,,,,,,,,
1903,1,6,"Mar del Plata",1903/01/06,761.8,-1,24,2,32,16,60,N,1,,0,,,,,,,,,,,,
1903,1,7,"Mar del Plata",1903/01/07,761.7,-0.1,23,-1,,18,74,N,1,S,2,,,,,,,,,,,,
1903,1,8,"Mar del Plata",1903/01/08,760.2,-1.5,24,1,32,17,83,NE,1,,0,,,,,,,,,,,,
1903,1,9,"Mar del Plata",1903/01/09,756.6,-3.6,24,0,31,19,75,N,1,SN,3,,,,,,,,,,,,
1903,1,10,"Mar del Plata",1903/01/10,760.9,4.3,18,-6,26,15,44,E,2,SK,3,,,,,,,,,,,,
1903,1,11,"Mar del Plata",1903/01/11,758.2,-2.7,17,-1,21,12,70,W,1,S,2,,,,,,,,,,,,
1903,1,12,"Mar del Plata",1903/01/12,759.8,1.6,16,-1,22,9,79,N,1,KS,2,,,,,,,,,,,,
1903,1,13,"Mar del Plata",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Mar del Plata",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Mar del Plata",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Mar del Plata",1903/01/16,754.9,-4,21,-2,27,18,91,NE,1,CK,3,,,,,,,,,,,,
1903,1,17,"Mar del Plata",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Mar del Plata",1903/01/18,755.7,-0.5,22,4,23,8,91,W,1,,0,,,,,,,,,,,,
1903,1,19,"Mar del Plata",1903/01/19,753.9,-1.8,23,1,31,12,91,S,1,C,2,,,,,,,,,,,,
1903,1,20,"Mar del Plata",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Mar del Plata",1903/01/21,751.2,-3.3,14,-4,24,10,100,S,2,K,1,,,,,,,,,,,,
1903,1,22,"Mar del Plata",1903/01/22,750.1,-1.1,15,1,19,11,89,W,2,K,2,,,,,,,,,,,,
1903,1,23,"Mar del Plata",1903/01/23,,,14,-1,17,7,100,SW,2,C,1,,,,,,,,,,,,
1903,1,24,"Mar del Plata",1903/01/24,753.5,,18,4,21,11,71,S,3,K,1,,,,,,,,,,,,
1903,1,25,"Mar del Plata",1903/01/25,760.7,7.2,16,-2,20,7,79,S,1,,0,PD,,,,,,,,,,,
1903,1,26,"Mar del Plata",1903/01/26,758.2,-2.5,20,4,27,12,91,NE,2,,0,,,,,,,,,,,,
1903,1,27,"Mar del Plata",1903/01/27,762.9,4.7,17,-3,31,15,100,NE,1,SK,1,,,,,,,,,,,,
1903,1,28,"Mar del Plata",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"Mar del Plata",1903/01/29,752.5,,27,,31,19,77,NW,1,C,1,,,,,,,,,,,,
1903,1,30,"Mar del Plata",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Mar del Plata",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Mar del Plata",1903/02/01,761,2.3,22,-2,28,15,82,N,2,,0,,,,,,,,,,,,
1903,2,2,"Mar del Plata",1903/02/02,762,1,21,-1,22,16,73,,,K,1,,,,,,,,,,,,
1903,2,3,"Mar del Plata",1903/02/03,754.9,-7.1,21,0,,16,91,,,C,2,,,,,,,,,,,,
1903,2,4,"Mar del Plata",1903/02/04,754.9,0,21,0,27,17,73,,,,0,,,,,,,,,,,,
1903,2,5,"Mar del Plata",1903/02/05,760.3,5.4,18,-3,24,12,90,N,1,CK,2,,,,,,,,,,,,
1903,2,6,"Mar del Plata",1903/02/06,762.9,2.6,21,3,26,14,73,,,K,1,,,,,,,,,,,,
1903,2,7,"Mar del Plata",1903/02/07,765.2,3.3,21,0,26,10,57,E,1,,0,,,,,,,,,,,,
1903,2,8,"Mar del Plata",1903/02/08,764.9,-0.3,22,1,24,16,74,,,,0,,,,,,,,,,,,
1903,2,9,"Mar del Plata",1903/02/09,763.9,-1,21,-1,33,15,82,,,C,1,,,,,,,,,,,,
1903,2,10,"Mar del Plata",1903/02/10,761.8,-2.1,28,7,32,16,92,N,1,,0,,,,,,,,,,,,
1903,2,11,"Mar del Plata",1903/02/11,755.7,-6.1,26,-2,34,17,84,N,2,,0,,,,,,,,,,,,
1903,2,12,"Mar del Plata",1903/02/12,753.8,-1.9,27,1,30,16,92,E,1,K,1,,,,,,,,,,,,
1903,2,13,"Mar del Plata",1903/02/13,,,,,30,14,,,,C,1,,,,,,,,,,,,
1903,2,14,"Mar del Plata",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"Mar del Plata",1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,"Mar del Plata",1903/02/16,748,,21,,32,15,82,N,2,,0,,,,,,,,,,,,
1903,2,17,"Mar del Plata",1903/02/17,757.1,9.1,22,1,30,16,82,E,1,K,1,,,,,,,,,,,,
1903,2,18,"Mar del Plata",1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,"Mar del Plata",1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,"Mar del Plata",1903/02/20,759.3,,18,,28,12,80,N,1,,0,,,,,,,,,,,,
1903,2,21,"Mar del Plata",1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,"Mar del Plata",1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,"Mar del Plata",1903/02/23,758.6,,24,,28,14,83,N,1,,0,,,,,,,,,,,,
1903,2,24,"Mar del Plata",1903/02/24,750.6,-8,26,2,30,16,84,N,1,C,1,,,,,,,,,,,,
1903,2,25,"Mar del Plata",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Mar del Plata",1903/02/26,759.2,4.4,,,29,16,,N,1,C,2,,,,,,,,,,,,
1903,2,27,"Mar del Plata",1903/02/27,758.6,-0.6,16,,22,12,89,,,,0,,,,,,,,,,,,
1903,2,28,"Mar del Plata",1903/02/28,767.1,8.5,13,-3,20,8,66,S,1,,0,,,,,,,,,,,,
1903,3,1,"Mar del Plata",1903/03/01,765.4,1.7,13,0,19,7,77,S,1,,0,,,,,,,,,,,,
1903,3,2,"Mar del Plata",1903/03/02,761.6,-3.8,19,6,22,11,,NE,1,K,1,,,,,,,,,,,,
1903,3,3,"Mar del Plata",1903/03/03,757.7,-3.9,19,0,23,15,90,N,1,K,2,,,,,,,,,,,,
1903,3,4,"Mar del Plata",1903/03/04,762.6,4.9,16,-3,29,11,59,S,2,S,1,,,,,,,,,,,,
1903,3,5,"Mar del Plata",1903/03/05,762.7,0.1,14,-2,28,12,89,,,,0,,,,,,,,,,,,
1903,3,6,"Mar del Plata",1903/03/06,756.7,-6,20,6,28,16,64,N,1,,0,,,,,,,,,,,,
1903,3,7,"Mar del Plata",1903/03/07,761,4.3,,,28,16,,,,C,3,,,,,,,,,,,,
1903,3,8,"Mar del Plata",1903/03/08,762.4,1.4,18,,29,14,71,SE,1,C,2,,,,,,,,,,,,
1903,3,9,"Mar del Plata",1903/03/09,759.6,-2.8,,,30,15,,SE,1,K,2,,,,,,,,,,,,
1903,3,10,"Mar del Plata",1903/03/10,757.1,-2.5,19,,24,15,90,N,1,K,1,,,,,,,,,,,,
1903,3,11,"Mar del Plata",1903/03/11,756.7,-0.4,21,2,30,15,73,NW,1,,0,,,,,,,,,,,,
1903,3,12,"Mar del Plata",1903/03/12,757.7,1,18,-3,22,13,71,,,,0,,,,,,,,,,,,
1903,3,13,"Mar del Plata",1903/03/13,756.2,-1.5,22,4,28,12,82,N,1,,0,,,,,,,,,,,,
1903,3,14,"Mar del Plata",1903/03/14,754.2,-2,19,-3,25,15,72,SW,1,S,3,,,,,,,,,,,,
1903,3,15,"Mar del Plata",1903/03/15,757.4,3.2,,,28,,,S,1,,0,,,,,,,,,,,,
1903,3,16,"Mar del Plata",1903/03/16,749.3,-8.1,19,,23,16,90,NW,1,K,1,,,,,,,,,,,,
1903,3,17,"Mar del Plata",1903/03/17,758.5,9.2,16,-3,22,12,79,S,2,K,1,,,,,,,,,,,,
1903,3,18,"Mar del Plata",1903/03/18,760,1.5,10,-6,20,5,85,NW,1,C,1,,,,,,,,,,,,
1903,3,19,"Mar del Plata",1903/03/19,754.8,-5.2,20,10,22,10,81,N,1,,0,,,,,,,,,,,,
1903,3,20,"Mar del Plata",1903/03/20,753.1,-1.7,19,-1,30,18,72,S,1,S,2,,,,,,,,,,,,
1903,3,21,"Mar del Plata",1903/03/21,757.3,4.2,18,-1,31,15,90,S,1,K,2,,,,,,,,,,,,
1903,3,22,"Mar del Plata",1903/03/22,763,5.7,18,0,27,11,80,S,1,,0,,,,,,,,,,,,
1903,3,23,"Mar del Plata",1903/03/23,765.2,2.2,15,-3,24,9,78,NW,1,C,1,,,,,,,,,,,,
1903,3,24,"Mar del Plata",1903/03/24,761,-4.2,,,29,18,,NE,1,K,2,,,,,,,,,,,,
1903,3,25,"Mar del Plata",1903/03/25,758.1,0.5,18,0,25,15,80,NW,2,N,3,,,,,,,,,,,,
1903,3,26,"Mar del Plata",1903/03/26,757.6,-3.4,18,,25,16,80,W,1,,0,,,,,,,,,,,,
1903,3,27,"Mar del Plata",1903/03/27,756.1,-2,19,1,25,15,63,NW,1,S,3,,,,,,,,,,,,
1903,3,28,"Mar del Plata",1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,"Mar del Plata",1903/03/29,760.5,,15,,24,15,78,N,1,C,1,,,,,,,,,,,,
1903,3,30,"Mar del Plata",1903/03/30,758.4,-2.1,17,2,25,10,90,NW,1,,0,,,,,,,,,,,,
1903,3,31,"Mar del Plata",1903/03/31,763.3,4.9,,,27,,,NE,1,,0,,,,,,,,,,,,
1903,4,1,"Mar del Plata",1903/04/01,764,0.7,13,,23,9,100,N,1,,0,,,,,,,,,,,,
1903,4,2,"Mar del Plata",1903/04/02,766.2,2.2,15,2,25,9,100,NW,1,S,2,,,,,,,,,,,,
1903,4,3,"Mar del Plata",1903/04/03,763.5,2.7,20,5,25,18,91,NE,1,K,2,,,,,,,,,,,,
1903,4,4,"Mar del Plata",1903/04/04,764.6,1.1,18,2,24,15,80,NW,2,C,1,,,,,,,,,,,,
1903,4,5,"Mar del Plata",1903/04/05,764.5,-0.1,20,2,25,15,91,NE,1,K,1,,,,,,,,,,,,
1903,4,6,"Mar del Plata",1903/04/06,761.5,-3,18,-2,23,16,90,NW,1,N,3,,,,,,,,,,,,
1903,4,7,"Mar del Plata",1903/04/07,758.3,-3.2,17,-1,24,15,90,W,1,KS,2,,,,,,,,,,,,
1903,4,8,"Mar del Plata",1903/04/08,765,6.7,13,-4,15,11,77,SW,1,C,1,,,,,,,,,,,,
1903,4,9,"Mar del Plata",1903/04/09,769.8,4.8,12,-1,20,6,76,SE,1,,0,,,,,,,,,,,,
1903,4,10,"Mar del Plata",1903/04/10,768.5,-1.3,17,5,17,9,70,N,2,S,2,,,,,,,,,,,,
1903,4,11,"Mar del Plata",1903/04/11,764.6,-3.9,18,1,21,9,80,NE,1,KS,2,,,,,,,,,,,,
1903,4,12,"Mar del Plata",1903/04/12,752.7,-11.9,18,0,19,16,100,E,1,N,3,,,,,,,,,,,,
1903,4,13,"Mar del Plata",1903/04/13,756.3,3.6,16,-2,21,14,89,W,2,K,2,,,,,,,,,,,,
1903,4,14,"Mar del Plata",1903/04/14,762.8,6.5,13,-3,21,11,66,S,1,N,3,,,,,,,,,,,,
1903,4,15,"Mar del Plata",1903/04/15,767.6,4.8,13,0,16,11,55,S,1,K,2,,,,,,,,,,,,
1903,4,16,"Mar del Plata",1903/04/16,765.7,-1.9,,,15,12,,E,1,C,1,,,,,,,,,,,,
1903,4,17,"Mar del Plata",1903/04/17,761,-4.7,9,,19,5,86,NW,1,K,2,,,,,,,,,,,,
1903,4,18,"Mar del Plata",1903/04/18,758.8,-2.2,13,4,18,9,77,NE,1,S,2,,,,,,,,,,,,
1903,4,19,"Mar del Plata",1903/04/19,758.8,0,13,0,17,9,88,SW,2,S,3,,,,,,,,,,,,
1903,4,20,"Mar del Plata",1903/04/20,759.9,1.1,11,-2,,9,75,SE,3,N,3,,,,,,,,,,,,
1903,4,21,"Mar del Plata",1903/04/21,761,1.1,10,-1,16,8,86,S,1,K,2,,,,,,,,,,,,
1903,4,22,"Mar del Plata",1903/04/22,,,,,,,,,,,,,,,,,,,,,,,
1903,4,23,"Mar del Plata",1903/04/23,760.8,,12,,21,5,88,W,1,,0,,,,,,,,,,,,
1903,4,24,"Mar del Plata",1903/04/24,757.4,-3.4,13,1,22,10,88,N,1,C,1,,,,,,,,,,,,
1903,4,25,"Mar del Plata",1903/04/25,760,2.6,13,0,24,10,66,S,1,K,2,,,,,,,,,,,,
1903,4,26,"Mar del Plata",1903/04/26,764,4,13,0,13,10,66,SE,1,N,3,,,,,,,,,,,,
1903,4,27,"Mar del Plata",1903/04/27,,,11,-2,14,8,75,SE,2,N,3,,,,,,,,,,,,
1903,4,28,"Mar del Plata",1903/04/28,770,,11,0,13,7,87,SE,1,C,1,,,,,,,,,,,,
1903,4,29,"Mar del Plata",1903/04/29,,,14,3,15,9,78,SE,2,N,3,,,,,,,,,,,,
1903,4,30,"Mar del Plata",1903/04/30,755.7,,15,1,15,12,89,,,N,3,,,,,,,,,,,,
1903,5,1,"Mar del Plata",1903/05/01,756.8,1.1,14,-1,16,7,78,W,1,K,1,,,,,,,,,,,,
1903,5,2,"Mar del Plata",1903/05/02,761,4.2,11,-3,18,7,87,NW,1,K,2,,,,,,,,,,,,
1903,5,3,"Mar del Plata",1903/05/03,757,-4,14,3,18,7,78,S,1,,0,,,,,,,,,,,,
1903,5,4,"Mar del Plata",1903/05/04,752.8,-4.2,15,1,19,6,68,SW,1,,0,,,,,,,,,,,,
1903,5,5,"Mar del Plata",1903/05/05,749.3,-3.5,15,0,17,7,78,,,,0,,,,,,,,,,,,
1903,5,6,"Mar del Plata",1903/05/06,759,9.7,,,18,4,,SW,1,,0,,,,,,,,,,,,
1903,5,7,"Mar del Plata",1903/05/07,758.1,-0.9,,,20,8,,W,1,C,1,,,,,,,,,,,,
1903,5,8,"Mar del Plata",1903/05/08,763.7,5.6,16,,24,8,59,SE,1,C,1,,,,,,,,,,,,
1903,5,9,"Mar del Plata",1903/05/09,763.3,-0.4,8,-8,23,2,86,,,C,2,,,,,,,,,,,,
1903,5,10,"Mar del Plata",1903/05/10,,,13,5,21,5,100,S,1,K,3,,,,,,,,,,,,
1903,5,11,"Mar del Plata",1903/05/11,757.3,,,,16,7,,SW,1,K,2,,,,,,,,,,,,
1903,5,12,"Mar del Plata",1903/05/12,762.9,5.6,10,,13,2,50,,,,0,,,,,,,,,,,,
1903,5,13,"Mar del Plata",1903/05/13,763.8,0.9,11,1,19,6,75,SW,1,,0,,,,,,,,,,,,
1903,5,14,"Mar del Plata",1903/05/14,772.6,8.8,9,-2,13,6,61,SE,2,S,2,,,,,,,,,,,,
1903,5,15,"Mar del Plata",1903/05/15,774.8,2.2,10,1,11,4,62,E,1,S,2,,,,,,,,,,,,
1903,5,16,"Mar del Plata",1903/05/16,774.8,0,10,0,13,1,62,E,1,C,1,,,,,,,,,,,,
1903,5,17,"Mar del Plata",1903/05/17,773.1,-1.7,9,-1,14,9,86,,,N,3,,,,,,,,,,,,
1903,5,18,"Mar del Plata",1903/05/18,771.9,-1.2,13,4,15,4,77,E,1,N,3,,,,,,,,,,,,
1903,5,19,"Mar del Plata",1903/05/19,733.3,-5.6,14,1,15,11,89,N,1,N,3,,,,,,,,,,,,
1903,5,20,"Mar del Plata",1903/05/20,762.4,-3.9,12,-2,15,7,88,N,1,K,1,,,,,,,,,,,,
1903,5,21,"Mar del Plata",1903/05/21,760.3,-2.1,10,-2,16,3,62,NW,1,,0,,,,,,,,,,,,
1903,5,22,"Mar del Plata",1903/05/22,759,-1.3,12,2,17,4,76,SW,1,C,1,,,,,,,,,,,,
1903,5,23,"Mar del Plata",1903/05/23,759.6,0.6,11,-1,17,3,75,NW,1,,0,,,,,,,,,,,,
1903,5,24,"Mar del Plata",1903/05/24,759.1,-0.5,10,-1,20,3,86,NW,1,,0,,,,,,,,,,,,
1903,5,25,"Mar del Plata",1903/05/25,759.8,0.7,13,3,19,8,66,N,1,K,3,,,,,,,,,,,,
1903,5,26,"Mar del Plata",1903/05/26,761.3,1.5,13,0,16,9,88,NE,1,N,3,,,,,,,,,,,,
1903,5,27,"Mar del Plata",1903/05/27,768.9,7.6,11,-2,15,9,87,SE,1,N,3,,,,,,,,,,,,
1903,5,28,"Mar del Plata",1903/05/28,770.5,1.6,12,1,,6,,,,C,1,,,,,,,,,,,,
1903,5,29,"Mar del Plata",1903/05/29,770.9,0.5,14,2,13,7,78,,,C,1,,,,,,,,,,,,
1903,5,30,"Mar del Plata",1903/05/30,,,,,,,,,,,,,,,,,,,,,,,
1903,5,31,"Mar del Plata",1903/05/31,766.1,,14,,16,14,100,NE,2,SN,3,,,,,,,,,,,,
1903,6,1,"Mar del Plata",1903/06/01,763.2,-2.9,14,0,16,13,100,NE,3,S,3,,,,,,,,,,,,
1903,6,2,"Mar del Plata",1903/06/02,759.5,-3.7,15,1,16,14,89,N,2,KS,2,,,,,,,,,,,,
1903,6,3,"Mar del Plata",1903/06/03,755,-4.5,13,-2,17,12,100,W,2,SN,3,,,,,,,,,,,,
1903,6,4,"Mar del Plata",1903/06/04,762.1,7.1,9,-4,16,9,86,SW,1,SN,2,,,,,,,,,,,,
1903,6,5,"Mar del Plata",1903/06/05,767.4,5.3,4,-5,16,4,83,S,1,,0,,,,,,,,,,,,
1903,6,6,"Mar del Plata",1903/06/06,766.4,-1,5,1,16,4,84,SW,1,SN,1,,,,,,,,,,,,
1903,6,7,"Mar del Plata",1903/06/07,764.8,-1.6,7,2,16,5,71,NW,1,CS,1,,,,,,,,,,,,
1903,6,8,"Mar del Plata",1903/06/08,762.4,-2.4,6,-1,16,5,85,N,2,CK,1,,,,,,,,,,,,
1903,6,9,"Mar del Plata",1903/06/09,762.3,-0.1,6,0,17,5,85,NW,1,,0,,,,,,,,,,,,
