,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"NEUQUEN - Arroyitos",1903/01/01,,,23,2,25,18,52,NE,1,,0,,,,,,,,,,,,
1903,1,2,"NEUQUEN - Arroyitos",1903/01/02,,,26,3,27,21,42,,0,,0,,,,,,,,,,,,
1903,1,3,"NEUQUEN - Arroyitos",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"NEUQUEN - Arroyitos",1903/01/04,,,24,0,30,22,39,,0,C,2,,,,,,,,,,,,
1903,1,5,"NEUQUEN - Arroyitos",1903/01/05,,,23,-1,28,19,25,SW,1,C,1,,,,,,,,,,,,
1903,1,6,"NEUQUEN - Arroyitos",1903/01/06,,,22,-1,,17,36,,0,,0,,,,,,,,,,,,
1903,1,7,"NEUQUEN - Arroyitos",1903/01/07,,,23,1,24,18,66,,0,K,1,,,,,,,,,,,,
1903,1,8,"NEUQUEN - Arroyitos",1903/01/08,,,22,-1,36,19,100,SW,2,,0,,,,,,,,,,,,
1903,1,9,"NEUQUEN - Arroyitos",1903/01/09,,,14,-8,,12,37,SW,2,K,1,,,,,,,,,,,,
1903,1,10,"NEUQUEN - Arroyitos",1903/01/10,,,18,4,,14,28,SW,1,C,1,,,,,,,,,,,,
1903,1,11,"NEUQUEN - Arroyitos",1903/01/11,,,15,-3,23,13,39,SW,2,,0,,,,,,,,,,,,
1903,1,12,"NEUQUEN - Arroyitos",1903/01/12,,,18,3,,14,44,SW,2,,0,,,,,,,,,,,,
1903,1,13,"NEUQUEN - Arroyitos",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"NEUQUEN - Arroyitos",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"NEUQUEN - Arroyitos",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"NEUQUEN - Arroyitos",1903/01/16,,,17,-2,,10,43,SW,1,C,1,,,,,,,,,,,,
1903,1,17,"NEUQUEN - Arroyitos",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"NEUQUEN - Arroyitos",1903/01/18,,,18,4,19,10,36,,0,C,2,,,,,,,,,,,,
1903,1,19,"NEUQUEN - Arroyitos",1903/01/19,,,14,-4,,10,47,,0,K,2,,,,,,,,,,,,
1903,1,20,"NEUQUEN - Arroyitos",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"NEUQUEN - Arroyitos",1903/01/21,,,13,0,17,10,55,,0,CN,2,,,,,,,,,,,,
1903,1,22,"NEUQUEN - Arroyitos",1903/01/22,,,13,0,,5,45,SW,1,CK,2,,,,,,,,,,,,
1903,1,23,"NEUQUEN - Arroyitos",1903/01/23,,,17,4,17,10,43,SW,2,N,2,,,,,,,,,,,,
1903,1,24,"NEUQUEN - Arroyitos",1903/01/24,,,18,1,,10,36,,0,K,2,,,,,,,,,,,,
1903,1,25,"NEUQUEN - Arroyitos",1903/01/25,,,20,2,30,12,40,SW,1,,0,,,,,,,,,,,,
1903,1,26,"NEUQUEN - Arroyitos",1903/01/26,,,21,1,38,18,34,SW,1,CK,2,,,,,,,,,,,,
1903,1,27,"NEUQUEN - Arroyitos",1903/01/27,,,18,-3,31,14,44,SW,1,C,1,,,,,,,,,,,,
1903,1,28,"NEUQUEN - Arroyitos",1903/01/28,,,20,2,33,14,40,,0,C,2,,,,,,,,,,,,
1903,1,29,"NEUQUEN - Arroyitos",1903/01/29,,,14,-6,34,11,57,,0,CK,2,,,,,,,,,,,,
1903,1,30,"NEUQUEN - Arroyitos",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"NEUQUEN - Arroyitos",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"NEUQUEN - Arroyitos",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
