,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Nahuel Huapi",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"Nahuel Huapi",1903/01/02,756.9,,15,,31,10,5,S,1,,0,,,,,,,,,,,,
1903,1,3,"Nahuel Huapi",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Nahuel Huapi",1903/01/04,753.5,,13,,29,7,66,E,1,C,1,,,,,,,,,,,,
1903,1,5,"Nahuel Huapi",1903/01/05,758,4.5,13,0,27,8,55,W,1,,0,,,,,,,,,,,,
1903,1,6,"Nahuel Huapi",1903/01/06,757.8,-0.2,14,1,27,8,67,W,1,,0,,,,,,,,,,,,
1903,1,7,"Nahuel Huapi",1903/01/07,756.9,-0.9,15,1,29,11,68,S,1,C,1,,,,,,,,,,,,
1903,1,8,"Nahuel Huapi",1903/01/08,755.7,-1.2,16,1,26,13,50,W,2,K,2,,,,,,,,,,,,
1903,1,9,"Nahuel Huapi",1903/01/09,759.1,3.4,7,-9,20,5,44,W,3,N,2,,,,,,,,,,,,
1903,1,10,"Nahuel Huapi",1903/01/10,761.6,2.5,7,0,17,4,71,,0,K,2,,,,,,,,,,,,
1903,1,11,"Nahuel Huapi",1903/01/11,762.6,1,9,2,19,6,61,W,2,C,1,,,,,,,,,,,,
1903,1,12,"Nahuel Huapi",1903/01/12,760.4,-2.2,12,3,19,9,54,W,2,,0,,,,,,,,,,,,
1903,1,13,"Nahuel Huapi",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Nahuel Huapi",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Nahuel Huapi",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Nahuel Huapi",1903/01/16,762.2,5.5,6,-2,17,7,,W,3,K,2,,,,,,,,,,,,
1903,1,17,"Nahuel Huapi",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Nahuel Huapi",1903/01/18,,,11,1,17,9,52,W,3,K,2,,,,,,,,,,,,
1903,1,19,"Nahuel Huapi",1903/01/19,,,8,-3,17,4,59,W,3,K,3,,,,,,,,,,,,
1903,1,20,"Nahuel Huapi",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
