,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Necochea,1903/01/01,767.1,-0.4,20,3,25,9,72,N,2,,0,,,,,,,,,,,,
1903,1,2,Necochea,1903/01/02,765.3,-1.8,23,2,30,12,66,N,2,C,1,,,,,,,,,,,,
1903,1,3,Necochea,1903/01/03,765.6,0.3,24,2,32,15,60,N,2,C,1,,,,,,,,,,,,
1903,1,4,Necochea,1903/01/04,763.6,-2,23,-1,33,16,66,N,3,C,1,,,,,,,,,,,,
1903,1,5,Necochea,1903/01/05,760.5,-3.1,25,2,33,15,61,N,3,CS,1,,,,,,,,,,,,
1903,1,6,Necochea,1903/01/06,760.2,-0.3,28,3,37,19,70,N,2,CS,1,,,,,,,,,,,,
1903,1,7,Necochea,1903/01/07,759.6,-0.6,28,0,34,18,44,N,1,C,2,,,,,,,,,,,,
1903,1,8,Necochea,1903/01/08,758,-1.6,29,1,37,20,52,N,2,C,1,,,,,,,,,,,,
1903,1,9,Necochea,1903/01/09,755.9,-2.1,24,-5,37,21,75,W,1,KN,3,Rt,,,,,,,,,,,
1903,1,10,Necochea,1903/01/10,760.4,4.5,18,-6,26,12,71,NE,1,CS,2,,,,,,,,,,,,
1903,1,11,Necochea,1903/01/11,758.6,-0.8,18,0,22,11,62,SE,1,C,1,,,,,,,,,,,,
1903,1,12,Necochea,1903/01/12,758.2,-0.4,17,-1,19,10,90,NW,2,SK,2,,,,,,,,,,,,
1903,1,13,Necochea,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Necochea,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Necochea,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Necochea,1903/01/16,754.9,-2,19,-2,26,13,100,,0,N,3,,,,,,,,,,,,
1903,1,17,Necochea,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Necochea,1903/01/18,756,-0.6,21,3,24,10,57,N,2,,0,,,,,,,,,,,,
1903,1,19,Necochea,1903/01/19,753.9,-2.1,21,0,31,10,65,NW,1,N,2,,,,,,,,,,,,
1903,1,20,Necochea,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Necochea,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Necochea,1903/01/22,750.5,,13,,22,11,77,W,1,S,2,,,,,,,,,,,,
1903,1,23,Necochea,1903/01/23,755.6,5.1,14,1,20,9,78,W,2,S,2,,,,,,,,,,,,
1903,1,24,Necochea,1903/01/24,755.2,-0.4,18,4,20,11,71,SW,2,S,2,,,,,,,,,,,,
1903,1,25,Necochea,1903/01/25,760.5,5.3,16,-2,21,8,79,N,1,,0,,,,,,,,,,,,
1903,1,26,Necochea,1903/01/26,758.7,-1.8,23,7,31,14,74,N,2,K,1,,,,,,,,,,,,
1903,1,27,Necochea,1903/01/27,761.9,3.2,21,-3,34,15,72,S,1,CK,1,,,,,,,,,,,,
1903,1,28,Necochea,1903/01/28,753.7,-8.2,21,1,28,15,82,N,2,S,2,,,,,,,,,,,,
1903,1,29,Necochea,1903/01/29,753.6,-0.1,21,0,33,22,82,E,1,C,1,,,,,,,,,,,,
1903,1,30,Necochea,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Necochea,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Necochea,1903/02/01,762,6.3,19,-3,34,16,63,S,1,,0,,,,,,,,,,,,
1903,2,2,Necochea,1903/02/02,761.1,-1.8,17,-2,34,11,100,NE,1,S,2,,,,,,,,,,,,
1903,2,3,Necochea,1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,Necochea,1903/02/04,755.7,,21,,31,16,73,SW,1,C,1,,,,,,,,,,,,
1903,2,5,Necochea,1903/02/05,760,4.3,20,-1,23,13,64,N,1,K,2,,,,,,,,,,,,
1903,2,6,Necochea,1903/02/06,763.7,3.7,20,0,30,17,72,SW,2,K,1,,,,,,,,,,,,
1903,2,7,Necochea,1903/02/07,763.9,0.2,21,1,23,16,49,N,1,C,1,,,,,,,,,,,,
