,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Neuquen,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Neuquen,1903/01/02,756,,27,,38,19,49,N,1,C,1,,,,,,,,,,,,
1903,1,3,Neuquen,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Neuquen,1903/01/04,754.2,,27,1,41,23,77,W,1,C,2,,,,,,,,,,,,
1903,1,5,Neuquen,1903/01/05,756.6,2.4,25,-2,39,18,54,W,1,C,2,,,,,,,,,,,,
1903,1,6,Neuquen,1903/01/06,759.9,3.3,21,-4,35,16,73,E,1,,0,,,,,,,,,,,,
1903,1,7,Neuquen,1903/01/07,757.4,-2.5,27,6,39,26,59,N,1,C,1,,,,,,,,,,,,
1903,1,8,Neuquen,1903/01/08,755.3,-2.1,24,-3,39,17,53,SW,2,C,1,,,,,,,,,,,,
1903,1,9,Neuquen,1903/01/09,761.2,5.9,17,-7,36,12,61,SW,3,CK,2,,,,,,,,,,,,
1903,1,10,Neuquen,1903/01/10,760.1,-1.1,18,1,26,13,62,SW,1,CK,2,,,,,,,,,,,,
1903,1,11,Neuquen,1903/01/11,762.1,2,13,-5,29,12,66,W,1,,0,,,,,,,,,,,,
1903,1,12,Neuquen,1903/01/12,761.4,-0.7,19,6,29,14,63,W,1,,0,,,,,,,,,,,,
1903,1,13,Neuquen,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Neuquen,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Neuquen,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Neuquen,1903/01/16,760.8,4.2,16,-1,29,11,69,W,2,C,1,,,,,,,,,,,,
1903,1,17,Neuquen,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Neuquen,1903/01/18,757.2,-3.1,17,2,28,13,70,W,1,CK,1,,,,,,,,,,,,
1903,1,19,Neuquen,1903/01/19,758.2,1,15,-2,31,10,68,W,1,CK,2,,,,,,,,,,,,
1903,1,20,Neuquen,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Neuquen,1903/01/21,760.7,-1.5,15,0,24,10,89,SW,2,KN,2,,,,,,,,,,,,
1903,1,22,Neuquen,1903/01/22,761,0.3,14,-1,21,8,57,SW,2,C,1,,,,,,,,,,,,
1903,1,23,Neuquen,1903/01/23,758.1,-2.9,15,2,23,11,59,W,1,CK,2,,,,,,,,,,,,
1903,1,24,Neuquen,1903/01/24,761.6,3.5,18,2,31,16,44,W,1,C,1,,,,,,,,,,,,
1903,1,25,Neuquen,1903/01/25,757.9,-3.7,22,4,31,13,50,W,1,,0,,,,,,,,,,,,
1903,1,26,Neuquen,1903/01/26,759,1.1,24,2,38,19,60,W,2,CS,2,,,,,,,,,,,,
1903,1,27,Neuquen,1903/01/27,761.1,2.1,20,-4,34,13,55,S,1,C,1,,,,,,,,,,,,
1903,1,28,Neuquen,1903/01/28,753,-7.8,20,0,33,14,55,N,1,CK,2,,,,,,,,,,,,
1903,1,29,Neuquen,1903/01/29,758.4,5.1,19,-1,35,10,54,W,1,C,1,,,,,,,,,,,,
1903,1,30,Neuquen,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Neuquen,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Neuquen,1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,Neuquen,1903/02/02,757.8,,24,,36,15,46,N,1,C,1,,,,,,,,,,,,
1903,2,3,Neuquen,1903/02/03,754.8,-3,24,0,37,17,46,W,1,,0,,,,,,,,,,,,
1903,2,4,Neuquen,1903/02/04,758.2,3.4,21,-3,32,14,57,S,1,CK,2,,,,,,,,,,,,
1903,2,5,Neuquen,1903/02/05,763,4.8,21,0,,12,34,W,1,,0,,,,,,,,,,,,
1903,2,6,Neuquen,1903/02/06,764.4,1.4,22,1,32,15,58,W,1,,0,,,,,,,,,,,,
1903,2,7,Neuquen,1903/02/07,760.6,-3.8,23,1,35,15,59,E,1,,0,,,,,,,,,,,,
1903,2,8,Neuquen,1903/02/08,759.7,-0.9,25,2,41,18,54,N,1,,0,,,,,,,,,,,,
1903,2,9,Neuquen,1903/02/09,755.3,-4.4,28,3,40,19,44,N,1,,0,,,,,,,,,,,,
1903,2,10,Neuquen,1903/02/10,756.3,1,24,-4,41,17,53,W,2,K,1,,,,,,,,,,,,
1903,2,11,Neuquen,1903/02/11,755.7,-0.6,20,-4,,14,64,W,3,,0,,,,,,,,,,,,
1903,2,12,Neuquen,1903/02/12,759.3,3.6,19,-1,32,13,54,SW,1,,0,,,,,,,,,,,,
1903,2,13,Neuquen,1903/02/13,764.1,4.8,17,-2,27,10,61,W,1,,0,,,,,,,,,,,,
1903,2,14,Neuquen,1903/02/14,759.5,-4.6,18,1,27,9,53,W,1,C,1,,,,,,,,,,,,
1903,2,15,Neuquen,1903/02/15,752.9,-6.6,19,1,32,13,54,SW,2,CK,1,,,,,,,,,,,,
1903,2,16,Neuquen,1903/02/16,754.5,1.6,18,-1,,9,28,W,2,C,1,,,,,,,,,,,,
1903,2,17,Neuquen,1903/02/17,760.1,5.6,14,-4,20,8,47,W,1,K,2,,,,,,,,,,,,
1903,2,18,Neuquen,1903/02/18,763.1,3,12,-2,22,5,54,W,1,,0,,,,,,,,,,,,
1903,2,19,Neuquen,1903/02/19,759,-4.1,18,6,30,,44,W,1,C,1,,,,,,,,,,,,
1903,2,20,Neuquen,1903/02/20,761.6,2.6,17,-1,31,10,52,W,1,C,1,,,,,,,,,,,,
1903,2,21,Neuquen,1903/02/21,760.5,-1.2,18,1,30,10,62,W,1,C,1,,,,,,,,,,,,
1903,2,22,Neuquen,1903/02/22,759.1,-1.4,20,2,36,12,40,W,1,CK,1,,,,,,,,,,,,
1903,2,23,Neuquen,1903/02/23,757.1,-2,18,-2,34,12,53,W,1,C,1,,,,,,,,,,,,
1903,2,24,Neuquen,1903/02/24,754.3,-2.8,19,1,33,12,54,W,2,CK,2,,,,,,,,,,,,
