,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"P. Gallegos",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"P. Gallegos",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"P. Gallegos",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"P. Gallegos ",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"P. Gallegos ",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"P. Gallegos ",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"P. Gallegos ",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"P. Gallegos ",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"P. Gallegos ",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"P. Gallegos ",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"P. Gallegos ",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"P. Gallegos ",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"P. Gallegos ",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"P. Gallegos ",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"P. Gallegos ",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"P. Gallegos ",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"P. Gallegos ",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"P. Gallegos ",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"P. Gallegos ",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"P. Gallegos ",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"P. Gallegos ",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"P. Gallegos ",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"P. Gallegos ",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"P. Gallegos ",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"P. Gallegos ",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"P. Gallegos ",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"P. Gallegos ",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"P. Gallegos ",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"P. Gallegos ",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"P. Gallegos ",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"P. Gallegos ",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"P. Gallegos ",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"P. Gallegos ",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"P. Gallegos ",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"P. Gallegos ",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"P. Gallegos ",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"P. Gallegos ",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"P. Gallegos ",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"P. Gallegos ",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"P. Gallegos ",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"P. Gallegos ",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"P. Gallegos ",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"P. Gallegos ",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"P. Gallegos ",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"P. Gallegos ",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"P. Gallegos ",1903/02/15,735.7,,6,,21,4,70,SW,3,KS,2,,,,,,,,,,,,
1903,2,16,"P. Gallegos ",1903/02/16,742.9,7.2,4,-2,23,1,83,SW,1,CK,1,,,,,,,,,,,,
1903,2,17,"P. Gallegos ",1903/02/17,748.9,6,8,4,9,1,46,SW,3,C,1,,,,,,,,,,,,
1903,2,18,"P. Gallegos ",1903/02/18,746.5,-2.3,7,-1,15,8,85,W,2,S,1,,,,,,,,,,,,
1903,2,19,"P. Gallegos ",1903/02/19,750.9,4.4,7,0,17,3,71,SW,3,C,1,,,,,,,,,,,,
1903,2,20,"P. Gallegos ",1903/02/20,755.4,4.5,7,0,14,4,71,SW,1,N,2,,,,,,,,,,,,
1903,2,21,"P. Gallegos ",1903/02/21,748.4,-7,8,1,13,5,72,SW,1,,0,,,,,,,,,,,,
1903,2,22,"P. Gallegos ",1903/02/22,745.4,-3,7,-1,18,4,85,SW,2,K,1,,,,,,,,,,,,
1903,2,23,"P. Gallegos ",1903/02/23,741.8,-3,6,-1,20,6,85,W,1,KN,2,,,,,,,,,,,,
1903,2,24,"P. Gallegos ",1903/02/24,743.4,1.6,8,2,15,5,85,S,2,N,2,,,,,,,,,,,,
1903,2,25,"P. Gallegos ",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"P. Gallegos ",1903/02/26,758.9,8.6,2,-3,12,1,82,SW,1,C,2,,,,,,,,,,,,
1903,2,27,"P. Gallegos ",1903/02/27,762,3.1,7,5,14,1,71,SW,1,C,1,,,,,,,,,,,,
1903,2,28,"P. Gallegos ",1903/02/28,760.6,-1.4,9,2,16,7,86,SW,1,,SN,2,,,,,,,,,,,
1903,3,1,"P. Gallegos ",1903/03/01,754,-6.6,10,1,17,9,86,NW,1,,K,2,,,,,,,,,,,
1903,3,2,"P. Gallegos ",1903/03/02,750.4,-5.6,12,2,24,9,,SW,1,,N,2,,,,,,,,,,,
1903,3,3,"P. Gallegos ",1903/03/03,761.4,11,4,-8,14,1,83,SW,1,,SN,1,,,,,,,,,,,
1903,3,4,"P. Gallegos ",1903/03/04,756.7,-4.7,8,4,11,8,86,N,1,NS,1,,,,,,,,,,,,
1903,3,5,"P. Gallegos ",1903/03/05,744.3,-12.4,9,1,14,7,61,W,1,,0,,,,,,,,,,,,
1903,3,6,"P. Gallegos ",1903/03/06,741.8,-2.5,7,-2,20,6,85,S,1,N,3,,,,,,,,,,,,
1903,3,7,"P. Gallegos ",1903/03/07,749.2,-7.4,6,-1,13,3,70,NW,1,NS,3,,,,,,,,,,,,
1903,3,8,"P. Gallegos ",1903/03/08,746.4,-2.8,8,2,18,4,59,W,2,SN,2,,,,,,,,,,,,
1903,3,9,"P. Gallegos ",1903/03/09,744.8,-1.6,5,-3,22,3,69,SW,1,S,1,,,,,,,,,,,,
1903,3,10,"P. Gallegos ",1903/03/10,745.9,1.1,10,5,14,7,50,W,1,KS,2,,,,,,,,,,,,
1903,3,11,"P. Gallegos ",1903/03/11,753.8,7.9,5,-5,20,,100,SW,1,N,3,,,,,,,,,,,,
1903,3,12,"P. Gallegos ",1903/03/12,746.8,-7,10,5,11,1,86,SW,1,KN,1,,,,,,,,,,,,
1903,3,13,"P. Gallegos ",1903/03/13,745.3,-1.5,9,-1,18,2,86,NW,1,CS,1,,,,,,,,,,,,
1903,3,14,"P. Gallegos ",1903/03/14,746.5,1.2,6,-3,16,2,85,SW,2,C,1,,,,,,,,,,,,
1903,3,15,"P. Gallegos ",1903/03/15,745.4,-1.1,7,1,15,2,85,W,1,CS,3,,,,,,,,,,,,
1903,3,16,"P. Gallegos ",1903/03/16,743.5,-1.9,3,-4,21,1,100,S,2,SK,3,,,,,,,,,,,,
1903,3,17,"P. Gallegos ",1903/03/17,748.8,5.3,5,2,16,1,84,NW,1,N,3,,,,,,,,,,,,
1903,3,18,"P. Gallegos ",1903/03/18,729.6,-19.2,8,3,17,1,56,W,1,SK,1,,,,,,,,,,,,
1903,3,19,"P. Gallegos ",1903/03/19,730.1,0.5,6,-2,14,5,70,W,1,S,1,,,,,,,,,,,,
1903,3,20,"P. Gallegos ",1903/03/20,742,11.9,2,-4,13,1,82,SW,2,C,1,,,,,,,,,,,,
1903,3,21,"P. Gallegos ",1903/03/21,739.5,-2.5,6,4,11,1,70,W,2,SN,3,,,,,,,,,,,,
1903,3,22,"P. Gallegos ",1903/03/22,750.2,10.7,6,0,16,2,85,SW,1,S,1,,,,,,,,,,,,
1903,3,23,"P. Gallegos ",1903/03/23,740.3,-9.9,11,5,14,5,63,NW,2,KS,3,,,,,,,,,,,,
1903,3,24,"P. Gallegos ",1903/03/24,742.3,-2,5,-6,19,4,84,NW,1,C,1,,,,,,,,,,,,
1903,3,25,"P. Gallegos ",1903/03/25,735.5,-5.2,4,-3,15,2,100,SW,1,KS,2,,,,,,,,,,,,
1903,3,26,"P. Gallegos ",1903/03/26,740.7,-1.6,7,-2,19,2,57,SW,1,C,1,,,,,,,,,,,,
1903,3,27,"P. Gallegos ",1903/03/27,735.8,0.3,6,2,14,1,85,SW,1,KS,3,,,,,,,,,,,,
