,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"PAMPA - Acha",1903/01/01,766.5,-1,19,-1,27,14,63,,,CK,2,,,,,,,,,,,,
1903,1,2,"PAMPA - Acha",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"PAMPA - Acha",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"PAMPA - Acha",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"PAMPA - Acha",1903/01/05,758.6,,23,,32,20,59,,,CN,2,,,,,,,,,,,,
1903,1,6,"PAMPA - Acha",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"PAMPA - Acha",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"PAMPA - Acha",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"PAMPA - Acha",1903/01/09,759.8,,20,,36,16,64,,,C,2,,,,,,,,,,,,
1903,1,10,"PAMPA - Acha",1903/01/10,760.3,0.5,16,-4,27,15,79,N,2,N,3,,,,,,,,,,,,
1903,1,11,"PAMPA - Acha",1903/01/11,761.6,1.3,17,1,21,14,90,SE,2,NK,3,,,,,,,,,,,,
1903,1,12,"PAMPA - Acha",1903/01/12,759.3,-2.3,18,2,26,13,72,E,1,,0,,,,,,,,,,,,
1903,1,13,"PAMPA - Acha",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"PAMPA - Acha",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"PAMPA - Acha",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"PAMPA - Acha",1903/01/16,756.5,-1.6,17,-2,27,15,90,N,2,KN,3,,,,,,,,,,,,
1903,1,17,"PAMPA - Acha",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"PAMPA - Acha",1903/01/18,759.7,,17,,28,10,52,W,2,,0,,,,,,,,,,,,
1903,1,19,"PAMPA - Acha",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"PAMPA - Acha",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"PAMPA - Acha",1903/01/21,760.1,1.1,11,-1,22,6,63,,,C,1,,,,,,,,,,,,
1903,1,22,"PAMPA - Acha",1903/01/22,,,13,2,23,11,66,,,C,1,,,,,,,,,,,,
1903,1,23,"PAMPA - Acha",1903/01/23,759,,15,2,21,12,68,,,CK,2,,,,,,,,,,,,
1903,1,24,"PAMPA - Acha",1903/01/24,759.7,-0.7,17,2,30,14,61,,,C,1,,,,,,,,,,,,
1903,1,25,"PAMPA - Acha",1903/01/25,,,16,-1,27,12,,,,,0,,,,,,,,,,,,
1903,1,26,"PAMPA - Acha",1903/01/26,758.8,,24,8,33,17,67,,,C,2,,,,,,,,,,,,
1903,1,27,"PAMPA - Acha",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"PAMPA - Acha",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"PAMPA - Acha",1903/01/29,,,17,,34,17,63,NW,2,C,2,,,,,,,,,,,,
