,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Paso de los Libres",1903/01/01,765.6,-2.1,20,2,28,15,72,E,2,,0,,,,,,,,,,,,
1903,1,2,"Paso de los Libres",1903/01/02,764.5,-1.1,20,0,31,16,72,E,2,K,1,,,,,,,,,,,,
1903,1,3,"Paso de los Libres",1903/01/03,765.3,0.8,21,1,33,17,82,NE,2,C,1,,,,,,,,,,,,
1903,1,4,"Paso de los Libres",1903/01/04,765.3,0,22,1,33,16,66,NE,2,CS,3,,,,,,,,,,,,
1903,1,5,"Paso de los Libres",1903/01/05,764.3,-1,22,0,33,16,66,NE,3,,0,,,,,,,,,,,,
1903,1,6,"Paso de los Libres",1903/01/06,763.8,-0.5,22,0,34,17,74,NE,2,C,1,,,,,,,,,,,,
1903,1,7,"Paso de los Libres",1903/01/07,763.1,-0.7,25,3,36,18,61,NE,2,C,1,,,,,,,,,,,,
1903,1,8,"Paso de los Libres",1903/01/08,761.5,-1.6,24,-1,37,20,67,NE,2,CS,1,,,,,,,,,,,,
1903,1,9,"Paso de los Libres",1903/01/09,760,-1.5,25,1,38,19,61,N,2,CK,1,,,,,,,,,,,,
1903,1,10,"Paso de los Libres",1903/01/10,759.3,-0.7,27,2,40,20,56,N,2,CK,2,,,,,,,,,,,,
1903,1,11,"Paso de los Libres",1903/01/11,756.3,-3,27,0,40,23,69,NE,2,CS,3,,,,,,,,,,,,
1903,1,12,"Paso de los Libres",1903/01/12,758.8,2.5,22,-5,27,19,91,SE,2,CK,3,,,,,,,,,,,,
1903,1,13,"Paso de los Libres",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Paso de los Libres",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Paso de los Libres",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Paso de los Libres",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"Paso de los Libres",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Paso de los Libres",1903/01/18,758.2,-0.9,23,0,31,21,74,E,2,K,1,,,,,,,,,,,,
1903,1,19,"Paso de los Libres",1903/01/19,,,23,0,34,20,83,E,2,K,2,,,,,,,,,,,,
1903,1,20,"Paso de los Libres",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Paso de los Libres",1903/01/21,761.9,8.5,16,-4,23,10,69,SW,2,,0,,,,,,,,,,,,
1903,1,22,"Paso de los Libres",1903/01/22,759.3,-2.6,19,3,27,12,72,NW,1,,0,,,,,,,,,,,,
1903,1,23,"Paso de los Libres",1903/01/23,762.8,3.5,16,-3,30,14,79,S,2,K,1,,,,,,,,,,,,
1903,1,24,"Paso de los Libres",1903/01/24,760.3,-2.5,20,4,29,13,91,N,2,,0,,,,,,,,,,,,
1903,1,25,"Paso de los Libres",1903/01/25,764.1,3.8,18,-2,32,13,71,E,2,,0,,,,,,,,,,,,
1903,1,26,"Paso de los Libres",1903/01/26,763.6,-0.5,20,2,30,14,64,NE,2,C,2,,,,,,,,,,,,
1903,1,27,"Paso de los Libres",1903/01/27,761.5,-2.1,20,0,33,16,81,E,2,CS,3,,,,,,,,,,,,
1903,1,28,"Paso de los Libres",1903/01/28,758,-3.5,26,6,35,20,69,NE,2,CS,2,,,,,,,,,,,,
1903,1,29,"Paso de los Libres",1903/01/29,759.1,1.1,24,2,38,21,83,N,2,K,2,,,,,,,,,,,,
1903,1,30,"Paso de los Libres",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Paso de los Libres",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Paso de los Libres",1903/02/01,759.7,0.9,26,1,37,25,84,NE,2,K,3,Rt,,,,,,,,,,,
1903,2,2,"Paso de los Libres",1903/02/02,759.7,0,26,0,31,24,92,NE,2,K,3,,,,,,,,,,,,
1903,2,3,"Paso de los Libres",1903/02/03,756.7,-3,27,1,36,24,92,N,2,C,1,,,,,,,,,,,,
1903,2,4,"Paso de los Libres",1903/02/04,758,1.3,20,-7,38,20,100,SE,2,N,3,Rt,,,,,,,,,,,
1903,2,5,"Paso de los Libres",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"Paso de los Libres",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"Paso de los Libres",1903/02/07,764.3,,23,,31,19,83,E,2,,0,,,,,,,,,,,,
1903,2,8,"Paso de los Libres",1903/02/08,765.3,1,21,-2,,,73,E,2,,0,,,,,,,,,,,,
1903,2,9,"Paso de los Libres",1903/02/09,,,20,-1,32,17,81,E,2,,0,,,,,,,,,,,,
1903,2,10,"Paso de los Libres",1903/02/10,763.3,,22,2,33,17,82,NE,2,,0,,,,,,,,,,,,
1903,2,11,"Paso de los Libres",1903/02/11,760.2,-3.1,23,1,36,20,83,NE,2,C,1,,,,,,,,,,,,
1903,2,12,"Paso de los Libres",1903/02/12,758.5,-1.7,26,3,38,21,76,N,2,C,1,,,,,,,,,,,,
1903,2,13,"Paso de los Libres",1903/02/13,759,0.5,25,-1,37,22,76,NE,2,CS,3,,,,,,,,,,,,
1903,2,14,"Paso de los Libres",1903/02/14,759.5,0.5,23,-2,37,20,100,NE,1,CS,3,,,,,,,,,,,,
1903,2,15,"Paso de los Libres",1903/02/15,758,-1.5,25,2,34,22,83,N,2,KC,1,,,,,,,,,,,,
1903,2,16,"Paso de los Libres",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"Paso de los Libres",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"Paso de los Libres",1903/02/18,761.3,,20,,30,20,100,N,1,N,3,Rt,,,,,,,,,,,
1903,2,19,"Paso de los Libres",1903/02/19,759.4,-1.9,22,2,23,19,91,SE,2,CS,3,,,,,,,,,,,,
1903,2,20,"Paso de los Libres",1903/02/20,,,23,1,31,20,91,NE,2,CS,1,,,,,,,,,,,,
1903,2,21,"Paso de los Libres",1903/02/21,761.8,,22,-1,30,20,91,E,2,CS,3,,,,,,,,,,,,
1903,2,22,"Paso de los Libres",1903/02/22,762.3,0.5,22,0,30,18,82,E,2,S,2,,,,,,,,,,,,
1903,2,23,"Paso de los Libres",1903/02/23,760.4,-1.9,20,-2,30,18,91,SE,1,S,3,,,,,,,,,,,,
1903,2,24,"Paso de los Libres",1903/02/24,757.7,-2.7,23,3,30,18,91,N,2,C,1,,,,,,,,,,,,
1903,2,25,"Paso de los Libres",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Paso de los Libres",1903/02/26,757.6,,19,,25,18,100,SE,3,N,3,Rt,,,,,,,,,,,
1903,2,27,"Paso de los Libres",1903/02/27,761,3.4,20,1,21,20,100,SE,2,S,3,,,,,,,,,,,,
1903,2,28,"Paso de los Libres",1903/02/28,765.4,4.4,16,-4,27,13,79,S,2,C,1,,,,,,,,,,,,
1903,3,1,"Paso de los Libres",1903/03/01,764.3,-1.1,17,1,24,15,80,S,2,K,2,,,,,,,,,,,,
1903,3,2,"Paso de los Libres",1903/03/02,760.6,-3.7,20,3,27,19,,E,2,K,1,,,,,,,,,,,,
1903,3,3,"Paso de los Libres",1903/03/03,760.2,-0.4,23,3,31,19,100,E,2,,0,,,,,,,,,,,,
1903,3,4,"Paso de los Libres",1903/03/04,761.2,1,22,-1,32,18,91,S,1,C,1,,,,,,,,,,,,
1903,3,5,"Paso de los Libres",1903/03/05,762.2,1,22,0,33,19,82,E,2,CK,1,,,,,,,,,,,,
1903,3,6,"Paso de los Libres",1903/03/06,759.3,-2.9,21,-1,33,18,82,E,2,,0,,,,,,,,,,,,
1903,3,7,"Paso de los Libres",1903/03/07,759.1,-0.2,23,2,33,18,75,E,2,CS,1,,,,,,,,,,,,
1903,3,8,"Paso de los Libres",1903/03/08,759.6,0.5,23,0,36,22,100,SE,2,S,3,,,,,,,,,,,,
1903,3,9,"Paso de los Libres",1903/03/09,757.6,-2,23,0,33,22,91,NE,2,KC,2,,,,,,,,,,,,
