,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Patagones,1903/01/01,763,-1.5,25,6,38,17,28,SW,2,S,1,,,,,,,,,,,,
1903,1,2,Patagones,1903/01/02,760.7,-2.3,22,-3,37,20,36,NW,3,K,2,,,,,,,,,,,,
1903,1,3,Patagones,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Patagones,1903/01/04,759.8,,26,,38,23,42,N,2,K,2,,,,,,,,,,,,
1903,1,5,Patagones,1903/01/05,756.8,-3,24,-2,38,19,53,N,2,S,3,,,,,,,,,,,,
1903,1,6,Patagones,1903/01/06,760,4.1,20,-4,37,10,72,E,1,K,2,,,,,,,,,,,,
1903,1,7,Patagones,1903/01/07,757.7,-3.2,27,7,37,21,49,NW,1,C,1,,,,,,,,,,,,
1903,1,8,Patagones,1903/01/08,755.7,-2,24,-3,,22,84,N,1,S,2,,,,,,,,,,,,
1903,1,9,Patagones,1903/01/09,757.1,-1.4,20,-4,37,18,40,SW,2,S,1,,,,,,,,,,,,
1903,1,10,Patagones,1903/01/10,759.9,2.8,19,-1,37,14,63,N,2,N,3,,,,,,,,,,,,
1903,1,11,Patagones,1903/01/11,761.4,1.5,17,-2,38,13,80,,0,N,2,,,,,,,,,,,,
1903,1,12,Patagones,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Patagones,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Patagones,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Patagones,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Patagones,1903/01/16,759.1,5,16,-4,30,7,79,SE,1,N,3,,,,,,,,,,,,
1903,1,17,Patagones,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Patagones,1903/01/18,753.9,-4.7,17,3,27,3,70,W,1,,0,Nl,,,,,,,,,,,
1903,1,19,Patagones,1903/01/19,753.3,-0.6,17,0,29,5,61,S,3,K,1,,,,,,,,,,,,
1903,1,20,Patagones,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Patagones,1903/01/21,756.9,-1.2,15,-1,23,11,78,SW,2,K,1,,,,,,,,,,,,
1903,1,22,Patagones,1903/01/22,753.6,-3.3,14,-1,23,10,67,SW,2,N,2,,,,,,,,,,,,
1903,1,23,Patagones,1903/01/23,755.2,1.6,14,0,23,9,67,W,1,N,3,,,,,,,,,,,,
1903,1,24,Patagones,1903/01/24,758.3,3.1,17,3,23,14,70,SW,1,S,1,,,,,,,,,,,,
1903,1,25,Patagones,1903/01/25,758.6,0.3,20,3,29,14,55,NW,1,,0,,,,,,,,,,,,
1903,1,26,Patagones,1903/01/26,757.5,-1.1,23,3,36,22,59,,,K,1,,,,,,,,,,,,
1903,1,27,Patagones,1903/01/27,762.3,4.8,18,-5,36,13,80,NE,1,C,1,,,,,,,,,,,,
1903,1,28,Patagones,1903/01/28,749.1,-13.2,25,7,36,14,61,NW,2,C,2,,,,,,,,,,,,
1903,1,29,Patagones,1903/01/29,757.1,8,22,-3,36,13,50,SW,1,,0,,,,,,,,,,,,
1903,1,30,Patagones,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Patagones,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Patagones,1903/02/01,765.2,,18,,36,13,62,,0,C,1,,,,,,,,,,,,
1903,2,2,Patagones,1903/02/02,760.2,-5,20,2,36,16,32,N,1,S,1,,,,,,,,,,,,
1903,2,3,Patagones,1903/02/03,,,25,5,36,21,68,NW,2,C,2,,,,,,,,,,,,
1903,2,4,Patagones,1903/02/04,757.1,,19,-6,36,14,63,S,1,K,1,,,,,,,,,,,,
1903,2,5,Patagones,1903/02/05,761.2,4.1,19,0,36,14,81,NW,1,S,1,,,,,,,,,,,,
1903,2,6,Patagones,1903/02/06,762.9,1.7,27,1,36,14,64,,0,S,1,,,,,,,,,,,,
1903,2,7,Patagones,1903/02/07,762.6,-0.3,19,-1,33,19,81,NW,1,C,1,,,,,,,,,,,,
