,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Pico Salamanca",1903/01/01,,,23,1,33,10,52,,0,K,1,,,,,,,,,,,,
1903,1,2,"Pico Salamanca",1903/01/02,,,16,-7,26,9,50,S,2,,0,,,,,,,,,,,,
1903,1,3,"Pico Salamanca",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Pico Salamanca",1903/01/04,,,17,2,25,7,43,NW,1,C,1,,,,,,,,,,,,
1903,1,5,"Pico Salamanca",1903/01/05,,,15,-2,27,9,68,,0,,0,,,,,,,,,,,,
1903,1,6,"Pico Salamanca",1903/01/06,,,15,0,23,7,58,NW,2,C,1,,,,,,,,,,,,
1903,1,7,"Pico Salamanca",1903/01/07,,,16,1,25,10,50,SW,1,C,2,,,,,,,,,,,,
1903,1,8,"Pico Salamanca",1903/01/08,,,17,1,26,9,52,NW,2,,0,,,,,,,,,,,,
1903,1,9,"Pico Salamanca",1903/01/09,,,9,-8,28,5,61,SW,3,N,2,,,,,,,,,,,,
1903,1,10,"Pico Salamanca",1903/01/10,,,9,0,18,3,48,W,2,N,3,,,,,,,,,,,,
1903,1,11,"Pico Salamanca",1903/01/11,,,8,-1,15,2,86,SW,2,C,1,,,,,,,,,,,,
1903,1,12,"Pico Salamanca",1903/01/12,,,13,5,18,7,66,S,2,K,2,,,,,,,,,,,,
1903,1,13,"Pico Salamanca",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Pico Salamanca",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Pico Salamanca",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Pico Salamanca",1903/01/16,,,10,1,13,6,74,W,1,N,2,,,,,,,,,,,,
1903,1,17,"Pico Salamanca",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Pico Salamanca",1903/01/18,,,11,1,20,7,87,W,3,N,2,,,,,,,,,,,,
1903,1,19,"Pico Salamanca",1903/01/19,,,7,-4,19,4,85,S,2,C,2,,,,,,,,,,,,
1903,1,20,"Pico Salamanca",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Pico Salamanca",1903/01/21,,,9,1,17,4,86,W,1,N,3,,,,,,,,,,,,
1903,1,22,"Pico Salamanca",1903/01/22,,,7,-2,9,3,71,SW,2,N,2,,,,,,,,,,,,
1903,1,23,"Pico Salamanca",1903/01/23,,,10,3,14,4,86,W,2,C,1,,,,,,,,,,,,
1903,1,24,"Pico Salamanca",1903/01/24,,,11,1,18,6,75,S,2,,0,,,,,,,,,,,,
1903,1,25,"Pico Salamanca",1903/01/25,,,17,6,25,12,70,W,2,C,2,,,,,,,,,,,,
1903,1,26,"Pico Salamanca",1903/01/26,,,12,-5,27,7,76,SW,2,C,1,,,,,,,,,,,,
1903,1,27,"Pico Salamanca",1903/01/27,,,11,-1,22,6,63,NW,2,C,1,,,,,,,,,,,,
1903,1,28,"Pico Salamanca",1903/01/28,,,13,2,18,9,77,,,,0,,,,,,,,,,,,
1903,1,29,"Pico Salamanca",1903/01/29,,,10,-3,20,7,74,S,3,,0,,,,,,,,,,,,
1903,1,30,"Pico Salamanca",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Pico Salamanca",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Pico Salamanca",1903/02/01,,,13,,21,8,55,W,1,C,1,,,,,,,,,,,,
1903,2,2,"Pico Salamanca",1903/02/02,,,14,1,22,7,57,W,1,C,2,,,,,,,,,,,,
1903,2,3,"Pico Salamanca",1903/02/03,,,11,-3,24,8,87,W,1,N,3,,,,,,,,,,,,
1903,2,4,"Pico Salamanca",1903/02/04,,,9,-2,19,5,86,W,2,N,2,,,,,,,,,,,,
1903,2,5,"Pico Salamanca",1903/02/05,,,13,4,23,9,77,SW,2,C,3,,,,,,,,,,,,
1903,2,6,"Pico Salamanca",1903/02/06,,,14,1,24,8,78,W,2,N,2,,,,,,,,,,,,
1903,2,7,"Pico Salamanca",1903/02/07,,,,,27,11,,,0,C,1,,,,,,,,,,,,
1903,2,8,"Pico Salamanca",1903/02/08,,,13,,25,10,77,,0,,3,,,,,,,,,,,,
1903,2,9,"Pico Salamanca",1903/02/09,,,17,4,28,12,80,,0,,0,,,,,,,,,,,,
1903,2,10,"Pico Salamanca",1903/02/10,,,15,-2,22,11,68,S,2,C,3,,,,,,,,,,,,
1903,2,11,"Pico Salamanca",1903/02/11,,,11,-4,16,5,52,NW,3,C,1,,,,,,,,,,,,
1903,2,12,"Pico Salamanca",1903/02/12,,,7,-4,14,2,85,S,2,,0,,,,,,,,,,,,
1903,2,13,"Pico Salamanca",1903/02/13,,,9,2,16,3,73,SW,2,,0,,,,,,,,,,,,
1903,2,14,"Pico Salamanca",1903/02/14,,,13,4,17,8,77,SW,3,N,3,,,,,,,,,,,,
1903,2,15,"Pico Salamanca",1903/02/15,,,10,-3,23,6,74,SW,2,C,1,,,,,,,,,,,,
1903,2,16,"Pico Salamanca",1903/02/16,,,5,-5,14,1,85,,,K,1,,,,,,,,,,,,
1903,2,17,"Pico Salamanca",1903/02/17,,,5,0,13,1,69,S,1,N,3,,,,,,,,,,,,
1903,2,18,"Pico Salamanca",1903/02/18,,,9,4,19,3,61,W,2,K,1,,,,,,,,,,,,
1903,2,19,"Pico Salamanca",1903/02/19,,,9,0,20,5,73,S,2,K,3,,,,,,,,,,,,
1903,2,20,"Pico Salamanca",1903/02/20,,,11,2,23,8,75,S,2,N,3,,,,,,,,,,,,
1903,2,21,"Pico Salamanca",1903/02/21,,,16,5,25,11,69,NW,3,C,1,,,,,,,,,,,,
1903,2,22,"Pico Salamanca",1903/02/22,,,15,-1,24,10,68,W,1,C,1,,,,,,,,,,,,
1903,2,23,"Pico Salamanca",1903/02/23,,,14,-1,26,9,67,W,1,C,2,,,,,,,,,,,,
1903,2,24,"Pico Salamanca",1903/02/24,,,9,-5,20,4,61,S,2,K,1,,,,,,,,,,,,
1903,2,25,"Pico Salamanca",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Pico Salamanca",1903/02/26,,,4,-2,14,0,67,,0,,0,,,,,,,,,,,,
1903,2,27,"Pico Salamanca",1903/02/27,,,9,5,17,4,73,SW,1,K,2,,,,,,,,,,,,
1903,2,28,"Pico Salamanca",1903/02/28,,,11,1,18,6,75,NW,2,C,1,,,,,,,,,,,,
1903,3,1,"Pico Salamanca",1903/03/01,,,15,4,24,10,68,W,1,,0,,,,,,,,,,,,
1903,3,2,"Pico Salamanca",1903/03/02,,,13,-2,25,8,,NW,1,C,1,,,,,,,,,,,,
