,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Piedra de Aguila",1903/01/01,758.4,-1.7,20,0,33,5,55,S,1,KN,1,,,,,,,,,,,,
1903,1,2,"Piedra de Aguila",1903/01/02,757.1,-1.3,19,-1,34,6,54,W,1,SN,2,PD,,,,,,,,,,,
1903,1,3,"Piedra de Aguila",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Piedra de Aguila",1903/01/04,754.7,-2,21,4,36,8,57,SW,1,SK,2,,,,,,,,,,,,
1903,1,5,"Piedra de Aguila",1903/01/05,758.4,3.7,20,-1,35,4,47,SW,1,K,2,,,,,,,,,,,,
1903,1,6,"Piedra de Aguila",1903/01/06,759.6,1.2,14,-5,35,7,58,W,1,CK,2,,,,,,,,,,,,
1903,1,7,"Piedra de Aguila",1903/01/07,757.9,-1.7,18,3,36,7,53,W,1,SK,3,,,,,,,,,,,,
1903,1,8,"Piedra de Aguila",1903/01/08,754.5,-3.4,22,4,34,8,74,SW,1,C,1,,,,,,,,,,,,
1903,1,9,"Piedra de Aguila",1903/01/09,760.3,5.8,11,-11,34,3,100,SW,2,CK,2,,,,,,,,,,,,
1903,1,10,"Piedra de Aguila",1903/01/10,,,12,1,34,0,76,SW,1,C,1,,,,,,,,,,,,
1903,1,11,"Piedra de Aguila",1903/01/11,,,14,2,23,5,57,SW,2,,0,,,,,,,,,,,,
1903,1,12,"Piedra de Aguila",1903/01/12,760.6,-2.1,16,2,26,1,80,SW,1,,0,,,,,,,,,,,,
1903,1,13,"Piedra de Aguila",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Piedra de Aguila",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Piedra de Aguila",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Piedra de Aguila",1903/01/16,761.8,3.3,14,-2,25,0,78,SW,1,S,1,,,,,,,,,,,,
1903,1,17,"Piedra de Aguila",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Piedra de Aguila",1903/01/18,757.8,-3,14,0,22,-2,47,SW,2,C,1,,,,,,,,,,,,
1903,1,19,"Piedra de Aguila",1903/01/19,758.8,1,11,-3,27,-1,100,,,,,,,,,,,,,,,,
1903,1,20,"Piedra de Aguila",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Piedra de Aguila",1903/01/21,761.8,-0.6,11,0,22,3,100,SW,1,N,3,,,,,,,,,,,,
1903,1,22,"Piedra de Aguila",1903/01/22,760,-1.8,11,0,17,0,100,SW,2,CN,3,,,,,,,,,,,,
1903,1,23,"Piedra de Aguila",1903/01/23,756.3,-3.7,18,7,19,4,,SW,3,,0,,,,,,,,,,,,
1903,1,24,"Piedra de Aguila",1903/01/24,761,4.7,15,-3,26,-1,100,W,1,C,2,,,,,,,,,,,,
1903,1,25,"Piedra de Aguila",1903/01/25,757.4,-3.6,16,1,31,4,59,,0,C,1,,,,,,,,,,,,
1903,1,26,"Piedra de Aguila",1903/01/26,758.7,1.3,19,3,34,5,63,SW,2,SN,2,,,,,,,,,,,,
1903,1,27,"Piedra de Aguila",1903/01/27,760.9,2.2,13,-6,28,-5,100,SW,1,CN,2,,,,,,,,,,,,
1903,1,28,"Piedra de Aguila",1903/01/28,752,-8.9,20,7,32,3,81,W,1,C,1,,,,,,,,,,,,
1903,1,29,"Piedra de Aguila",1903/01/29,758.1,6.1,13,-7,27,,100,SW,1,C,2,,,,,,,,,,,,
1903,1,30,"Piedra de Aguila",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Piedra de Aguila",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Piedra de Aguila",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Piedra de Aguila",1903/02/02,757.5,,14,,36,10,80,NE,1,,0,,,,,,,,,,,,
1903,2,3,"Piedra de Aguila",1903/02/03,755.1,-2.4,18,4,33,3,62,SW,1,C,2,,,,,,,,,,,,
1903,2,4,"Piedra de Aguila",1903/02/04,758.4,3.3,11,-7,34,0,100,SW,1,C,1,,,,,,,,,,,,
1903,2,5,"Piedra de Aguila",1903/02/05,762.1,3.7,16,3,26,-2,89,NW,1,KC,1,,,,,,,,,,,,
1903,2,6,"Piedra de Aguila",1903/02/06,763.2,1.1,15,-1,31,2,68,S,1,,0,,,,,,,,,,,,
1903,2,7,"Piedra de Aguila",1903/02/07,758.8,-4.4,20,5,35,-1,64,NE,1,C,1,,,,,,,,,,,,
1903,2,8,"Piedra de Aguila",1903/02/08,757.6,-1.2,20,0,39,5,55,E,1,,0,,,,,,,,,,,,
1903,2,9,"Piedra de Aguila",1903/02/09,752.6,-5,23,3,40,7,59,NE,1,C,1,,,,,,,,,,,,
1903,2,10,"Piedra de Aguila",1903/02/10,756.4,3.8,19,-4,39,6,81,,,,0,,,,,,,,,,,,
1903,2,11,"Piedra de Aguila",1903/02/11,755.8,-0.6,14,-5,33,3,100,SW,2,,0,,,,,,,,,,,,
1903,2,12,"Piedra de Aguila",1903/02/12,757.1,1.3,13,-1,28,0,77,SW,1,CK,1,,,,,,,,,,,,
1903,2,13,"Piedra de Aguila",1903/02/13,762.7,5.6,9,-4,25,6,73,SW,1,,0,,,,,,,,,,,,
1903,2,14,"Piedra de Aguila",1903/02/14,758.4,-4.3,15,6,26,2,68,,,CK,2,,,,,,,,,,,,
1903,2,15,"Piedra de Aguila",1903/02/15,750.8,-7.6,15,0,29,6,89,SW,3,SK,2,,,,,,,,,,,,
1903,2,16,"Piedra de Aguila",1903/02/16,752.3,1.5,9,-6,20,6,86,SW,3,C,2,,,,,,,,,,,,
1903,2,17,"Piedra de Aguila",1903/02/17,757.8,5.5,10,1,15,-4,74,W,2,C,2,,,,,,,,,,,,
1903,2,18,"Piedra de Aguila",1903/02/18,760.8,3,9,-1,19,-1,86,SE,1,K,1,,,,,,,,,,,,
1903,2,19,"Piedra de Aguila",1903/02/19,758.3,-2.5,13,4,28,0,66,SE,3,C,2,,,,,,,,,,,,
1903,2,20,"Piedra de Aguila",1903/02/20,760,1.7,12,-1,28,0,76,SW,1,C,1,,,,,,,,,,,,
1903,2,21,"Piedra de Aguila",1903/02/21,760,0,10,-2,29,-2,74,,0,C,2,,,,,,,,,,,,
1903,2,22,"Piedra de Aguila",1903/02/22,757.9,-2.1,17,7,34,2,80,,,CS,2,,,,,,,,,,,,
1903,2,23,"Piedra de Aguila",1903/02/23,755,-2.9,18,1,30,5,80,W,1,CK,3,,,,,,,,,,,,
1903,2,24,"Piedra de Aguila",1903/02/24,754.3,-0.7,15,-3,26,2,78,SW,3,CN,2,,,,,,,,,,,,
1903,2,25,"Piedra de Aguila",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Piedra de Aguila",1903/02/26,760.1,3.7,8,-3,21,-4,86,SE,1,SK,1,,,,,,,,,,,,
1903,2,27,"Piedra de Aguila",1903/02/27,765.4,5.3,6,-2,20,-6,70,SW,1,CK,1,Er,,,,,,,,,,,
1903,2,28,"Piedra de Aguila",1903/02/28,762.1,-3.3,8,2,24,-5,72,SW,1,C,1,,,,,,,,,,,,
1903,3,1,"Piedra de Aguila",1903/03/01,757,-5.1,11,3,20,2,75,SE,1,CS,2,,,,,,,,,,,,
1903,3,2,"Piedra de Aguila",1903/03/02,758.1,1.1,10,-1,29,0,,NE,1,S,1,,,,,,,,,,,,
1903,3,3,"Piedra de Aguila",1903/03/03,760.8,2.7,8,-2,30,1,72,NW,1,SK,2,,,,,,,,,,,,
1903,3,4,"Piedra de Aguila",1903/03/04,760.1,-0.7,7,-1,27,-1,71,E,1,,0,,,,,,,,,,,,
1903,3,5,"Piedra de Aguila",1903/03/05,756.5,-3.6,8,1,30,5,86,SW,1,C,1,,,,,,,,,,,,
1903,3,6,"Piedra de Aguila",1903/03/06,753.3,-3.2,14,6,32,2,78,SW,3,SN,2,,,,,,,,,,,,
1903,3,7,"Piedra de Aguila",1903/03/07,763.6,10.3,8,-6,22,0,86,SW,2,,0,,,,,,,,,,,,
1903,3,8,"Piedra de Aguila",1903/03/08,761.5,-2.1,8,0,23,0,72,SE,1,C,1,,,,,,,,,,,,
1903,3,9,"Piedra de Aguila",1903/03/09,757.6,-3.9,9,1,29,-1,73,,,K,1,,,,,,,,,,,,
1903,3,10,"Piedra de Aguila",1903/03/10,757.7,0.1,17,8,28,4,70,W,2,S,2,,,,,,,,,,,,
1903,3,11,"Piedra de Aguila",1903/03/11,759,1.3,18,1,26,7,80,SW,2,KN,2,,,,,,,,,,,,
1903,3,12,"Piedra de Aguila",1903/03/12,760.5,1.5,16,-2,29,8,79,W,1,CK,1,,,,,,,,,,,,
1903,3,13,"Piedra de Aguila",1903/03/13,757.6,-2.9,15,-1,31,11,58,NW,1,KN,3,,,,,,,,,,,,
1903,3,14,"Piedra de Aguila",1903/03/14,757.9,0.3,16,1,29,11,69,W,1,K,2,,,,,,,,,,,,
