,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Pueblo Brugo",1903/01/01,757.6,-0.5,18,1,26,10,71,NE,2,,0,,,,,,,,,,,,
1903,1,2,"Pueblo Brugo",1903/01/02,765.5,-2.1,21,3,27,13,65,NE,2,CK,1,,,,,,,,,,,,
1903,1,3,"Pueblo Brugo",1903/01/03,765.2,-0.3,22,1,30,17,66,NE,2,C,1,,,,,,,,,,,,
1903,1,4,"Pueblo Brugo",1903/01/04,764.7,-0.5,22,3,32,17,58,NE,2,C,1,,,,,,,,,,,,
1903,1,5,"Pueblo Brugo",1903/01/05,764.2,-0.5,22,0,32,17,58,NE,2,C,1,,,,,,,,,,,,
1903,1,6,"Pueblo Brugo",1903/01/06,763.6,-0.6,24,2,33,18,46,NE,2,CK,1,,,,,,,,,,,,
1903,1,7,"Pueblo Brugo",1903/01/07,763,-0.6,24,0,35,21,60,N,1,N,3,,,,,,,,,,,,
1903,1,8,"Pueblo Brugo",1903/01/08,761.9,-1.1,26,2,34,21,62,N,1,KN,3,,,,,,,,,,,,
1903,1,9,"Pueblo Brugo",1903/01/09,760.4,-1.5,24,-2,36,22,69,E,1,KN,3,,,,,,,,,,,,
1903,1,10,"Pueblo Brugo",1903/01/10,758.4,-2,28,4,30,22,63,N,1,KN,2,,,,,,,,,,,,
1903,1,11,"Pueblo Brugo",1903/01/11,758.9,0.5,20,-8,37,19,100,SE,1,N,3,Rt,,,,,,,,,,,
1903,1,12,"Pueblo Brugo",1903/01/12,761.3,2.4,20,0,27,18,91,SE,1,N,2,Rt,,,,,,,,,,,
1903,1,13,"Pueblo Brugo",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Pueblo Brugo",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Pueblo Brugo",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Pueblo Brugo",1903/01/16,755,-4.5,21,-4,38,19,91,N,1,N,3,Rt,,,,,,,,,,,
1903,1,17,"Pueblo Brugo",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Pueblo Brugo",1903/01/18,760.3,-0.3,25,2,30,17,54,SE,1,C,2,,,,,,,,,,,,
1903,1,19,"Pueblo Brugo",1903/01/19,755.2,-5.1,23,-2,32,17,66,N,2,CK,2,,,,,,,,,,,,
1903,1,20,"Pueblo Brugo",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Pueblo Brugo",1903/01/21,761.4,4.4,17,1,21,12,70,SW,1,,0,,,,,,,,,,,,
1903,1,22,"Pueblo Brugo",1903/01/22,761.1,-0.3,18,1,26,15,71,SE,1,N,3,,,,,,,,,,,,
1903,1,23,"Pueblo Brugo",1903/01/23,763.4,2.3,18,0,21,12,71,,0,,0,,,,,,,,,,,,
1903,1,24,"Pueblo Brugo",1903/01/24,760,-3.4,20,2,28,17,64,SW,1,C,2,,,,,,,,,,,,
1903,1,25,"Pueblo Brugo",1903/01/25,764.9,4.9,21,1,30,12,57,NE,1,,0,,,,,,,,,,,,
1903,1,26,"Pueblo Brugo",1903/01/26,764,-0.9,20,-1,30,15,64,NE,2,CK,2,,,,,,,,,,,,
1903,1,27,"Pueblo Brugo",1903/01/27,761.6,-2.4,24,4,33,19,53,NE,1,C,1,,,,,,,,,,,,
1903,1,28,"Pueblo Brugo",1903/01/28,758.5,-3.1,25,1,36,19,54,NE,1,C,1,,,,,,,,,,,,
1903,1,29,"Pueblo Brugo",1903/01/29,758.6,0.1,27,2,37,23,69,N,2,,0,,,,,,,,,,,,
1903,1,30,"Pueblo Brugo",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Pueblo Brugo",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Pueblo Brugo",1903/02/01,759.9,,26,,38,24,85,SE,1,S,3,,,,,,,,,,,,
