,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Puerto Militar",1903/01/01,765.6,-1.1,22,3,30,16,58,N,2,,0,,,,,,,,,,,,
1903,1,2,"Puerto Militar",1903/01/02,763.6,-2,22,0,33,18,66,N,2,S,1,,,,,,,,,,,,
1903,1,3,"Puerto Militar",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Puerto Militar",1903/01/04,761.1,,26,,36,20,55,N,3,C,1,,,,,,,,,,,,
1903,1,5,"Puerto Militar",1903/01/05,757.5,-3.6,27,1,36,21,63,N,3,N,1,,,,,,,,,,,,
1903,1,6,"Puerto Militar",1903/01/06,760.6,3.1,26,-1,32,20,62,N,2,N,2,,,,,,,,,,,,
1903,1,7,"Puerto Militar",1903/01/07,759.5,-1.1,26,0,33,22,69,NW,2,C,1,,,,,,,,,,,,
1903,1,8,"Puerto Militar",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Puerto Militar",1903/01/09,758.6,,25,,37,21,54,SW,2,N,1,,,,,,,,,,,,
1903,1,10,"Puerto Militar",1903/01/10,760.6,2,17,-8,29,14,61,NE,2,N,2,,,,,,,,,,,,
1903,1,11,"Puerto Militar",1903/01/11,761,0.4,18,1,22,12,80,E,2,K,1,,,,,,,,,,,,
1903,1,12,"Puerto Militar",1903/01/12,,,21,3,26,13,82,NW,2,S,1,,,,,,,,,,,,
1903,1,13,"Puerto Militar",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Puerto Militar",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Puerto Militar",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Puerto Militar",1903/01/16,756.6,0.6,20,-3,29,18,91,NE,2,N,2,,,,,,,,,,,,
1903,1,17,"Puerto Militar",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Puerto Militar",1903/01/18,756.5,-2.1,18,1,27,12,62,NW,2,C,1,,,,,,,,,,,,
1903,1,19,"Puerto Militar",1903/01/19,755.3,-1.2,20,2,30,17,55,,,N,2,,,,,,,,,,,,
1903,1,20,"Puerto Militar",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Puerto Militar",1903/01/21,757.4,-0.2,15,-2,22,11,68,SW,2,S,1,PD,,,,,,,,,,,
1903,1,22,"Puerto Militar",1903/01/22,754.1,-3.3,12,-3,21,11,88,SW,2,N,2,,,,,,,,,,,,
1903,1,23,"Puerto Militar",1903/01/23,756,1.9,15,3,18,9,68,W,2,N,2,,,,,,,,,,,,
1903,1,24,"Puerto Militar",1903/01/24,758.6,2.6,16,1,23,15,69,SW,2,S,2,,,,,,,,,,,,
1903,1,25,"Puerto Militar",1903/01/25,760.3,1.7,20,4,24,12,55,NW,2,,0,,,,,,,,,,,,
1903,1,26,"Puerto Militar",1903/01/26,757.9,-2.4,23,3,32,21,59,NW,2,C,1,,,,,,,,,,,,
1903,1,27,"Puerto Militar",1903/01/27,763.2,5.3,20,-3,31,14,55,NE,2,C,1,,,,,,,,,,,,
1903,1,28,"Puerto Militar",1903/01/28,753.9,-9.3,23,3,31,20,74,NW,3,N,2,,,,,,,,,,,,
1903,1,29,"Puerto Militar",1903/01/29,756.1,2.2,21,-2,,19,63,NE,2,C,1,,,,,,,,,,,,
1903,1,30,"Puerto Militar",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Puerto Militar",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Puerto Militar",1903/02/01,764.9,,18,,27,10,71,W,1,,0,,,,,,,,,,,,
1903,2,2,"Puerto Militar",1903/02/02,761.5,-3.4,18,0,27,15,71,NE,1,,0,,,,,,,,,,,,
1903,2,3,"Puerto Militar",1903/02/03,753.8,-7.7,24,6,33,18,83,N,2,C,1,,,,,,,,,,,,
1903,2,4,"Puerto Militar",1903/02/04,757.1,3.3,20,-4,30,15,81,NE,1,,0,,,,,,,,,,,,
1903,2,5,"Puerto Militar",1903/02/05,760.8,3.7,20,0,26,16,55,NE,2,C,1,,,,,,,,,,,,
1903,2,6,"Puerto Militar",1903/02/06,766.7,5.9,20,0,33,14,72,NE,1,,0,,,,,,,,,,,,
1903,2,7,"Puerto Militar",1903/02/07,764.6,-2.1,22,2,28,16,58,NW,2,C,1,,,,,,,,,,,,
1903,2,8,"Puerto Militar",1903/02/08,765,0.4,22,0,34,20,58,NW,2,,0,,,,,,,,,,,,
1903,2,9,"Puerto Militar",1903/02/09,763,-2,22,0,36,17,66,N,2,,0,,,,,,,,,,,,
1903,2,10,"Puerto Militar",1903/02/10,758.5,-4.5,27,5,36,21,56,N,2,C,1,,,,,,,,,,,,
1903,2,11,"Puerto Militar",1903/02/11,751.5,-7,26,-1,37,25,69,NW,3,C,1,,,,,,,,,,,,
1903,2,12,"Puerto Militar",1903/02/12,758.3,6.8,20,-6,30,15,55,S,2,C,1,,,,,,,,,,,,
1903,2,13,"Puerto Militar",1903/02/13,762.2,3.9,18,-2,25,12,53,NW,2,C,1,,,,,,,,,,,,
1903,2,14,"Puerto Militar",1903/02/14,759.1,-3.1,21,3,29,17,73,NW,3,,0,,,,,,,,,,,,
1903,2,15,"Puerto Militar",1903/02/15,755,-4.1,21,0,32,18,65,W,1,,0,,,,,,,,,,,,
1903,2,16,"Puerto Militar",1903/02/16,752.5,-2.5,18,-3,31,16,62,W,3,S,1,,,,,,,,,,,,
1903,2,17,"Puerto Militar",1903/02/17,760.9,8.4,14,-4,23,13,78,W,3,N,2,,,,,,,,,,,,
1903,2,18,"Puerto Militar",1903/02/18,762.2,1.3,12,-2,21,6,54,NW,1,,0,,,,,,,,,,,,
1903,2,19,"Puerto Militar",1903/02/19,755.5,-6.7,18,6,26,12,62,W,1,C,1,,,,,,,,,,,,
1903,2,20,"Puerto Militar",1903/02/20,760.9,5.4,15,-3,26,10,,NE,1,C,1,,,,,,,,,,,,
1903,2,21,"Puerto Militar",1903/02/21,761.6,0.7,18,3,28,13,80,NW,1,C,1,,,,,,,,,,,,
1903,2,22,"Puerto Militar",1903/02/22,759.4,-2.2,23,5,34,20,66,W,2,C,1,,,,,,,,,,,,
1903,2,23,"Puerto Militar",1903/02/23,756.9,-2.5,23,0,35,21,74,NW,3,C,1,,,,,,,,,,,,
1903,2,24,"Puerto Militar",1903/02/24,754.5,-2.4,21,-2,32,18,73,W,2,C,1,,,,,,,,,,,,
1903,2,25,"Puerto Militar",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Puerto Militar",1903/02/26,758.7,1.7,16,2,26,12,79,N,1,N,2,,,,,,,,,,,,
1903,2,27,"Puerto Militar",1903/02/27,766,7.3,13,-3,25,12,88,SW,2,K,1,,,,,,,,,,,,
1903,2,28,"Puerto Militar",1903/02/28,767.7,1.7,12,-1,20,6,76,NE,1,C,1,,,,,,,,,,,,
1903,3,1,"Puerto Militar",1903/03/01,763.2,-4.5,16,4,23,10,69,N,2,C,1,,,,,,,,,,,,
1903,3,2,"Puerto Militar",1903/03/02,759.3,-3.9,20,4,29,17,,N,2,,,,,,,,,,,,,,
1903,3,3,"Puerto Militar",1903/03/03,757.9,-1.7,17,-3,29,12,90,W,2,,0,,,,,,,,,,,,
1903,3,4,"Puerto Militar",1903/03/04,765.1,7.5,12,-5,26,7,88,NE,1,,0,,,,,,,,,,,,
1903,3,5,"Puerto Militar",1903/03/05,759.1,-6,17,5,24,11,80,NE,1,K,1,,,,,,,,,,,,
1903,3,6,"Puerto Militar",1903/03/06,751.7,-7.4,25,8,35,18,68,NW,3,N,1,,,,,,,,,,,,
1903,3,7,"Puerto Militar",1903/03/07,762.5,10.8,18,-7,28,13,80,SE,1,K,1,,,,,,,,,,,,
1903,3,8,"Puerto Militar",1903/03/08,763.6,1.1,13,-5,23,9,77,NE,1,C,1,,,,,,,,,,,,
1903,3,9,"Puerto Militar",1903/03/09,759.6,-4,17,4,28,13,80,N,1,N,2,,,,,,,,,,,,
1903,3,10,"Puerto Militar",1903/03/10,757.9,-1.7,18,1,28,15,90,NW,2,,0,,,,,,,,,,,,
