,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Quilino,1903/01/01,,,20,0,27,16,55,E,1,CK,2,,,,,,,,,,,,
1903,1,2,Quilino,1903/01/02,,,21,1,28,17,57,SE,1,,0,,,,,,,,,,,,
1903,1,3,Quilino,1903/01/03,,,24,3,31,20,46,NE,1,CS,1,,,,,,,,,,,,
1903,1,4,Quilino,1903/01/04,,,24,0,34,21,46,NE,1,KN,2,,,,,,,,,,,,
1903,1,5,Quilino,1903/01/05,,,25,1,33,22,40,E,1,KN,2,,,,,,,,,,,,
1903,1,6,Quilino,1903/01/06,,,20,-5,35,20,91,,0,KN,3,,,,,,,,,,,,
1903,1,7,Quilino,1903/01/07,,,27,7,34,20,43,SE,1,KN,2,,,,,,,,,,,,
1903,1,8,Quilino,1903/01/08,,,18,-9,38,16,71,S,1,KN,3,,,,,,,,,,,,
1903,1,9,Quilino,1903/01/09,,,26,8,31,22,62,N,1,CS,2,,,,,,,,,,,,
1903,1,10,Quilino,1903/01/10,,,26,0,35,24,62,,0,KN,2,,,,,,,,,,,,
1903,1,11,Quilino,1903/01/11,,,23,-3,37,22,74,S,2,KN,3,,,,,,,,,,,,
1903,1,12,Quilino,1903/01/12,,,23,0,28,16,74,,0,CK,2,,,,,,,,,,,,
1903,1,13,Quilino,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Quilino,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Quilino,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Quilino,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Quilino,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Quilino,1903/01/18,,,17,-5,30,16,80,S,1,K,3,,,,,,,,,,,,
1903,1,19,Quilino,1903/01/19,,,24,7,31,18,75,,0,KN,2,,,,,,,,,,,,
1903,1,20,Quilino,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Quilino,1903/01/21,,,16,3,24,12,79,,,,0,,,,,,,,,,,,
1903,1,22,Quilino,1903/01/22,,,19,3,30,13,81,S,2,KN,2,,,,,,,,,,,,
1903,1,23,Quilino,1903/01/23,,,17,-2,20,10,80,,0,,0,,,,,,,,,,,,
1903,1,24,Quilino,1903/01/24,,,23,6,30,13,52,,0,,0,,,,,,,,,,,,
1903,1,25,Quilino,1903/01/25,,,23,0,34,20,59,E,1,CS,1,,,,,,,,,,,,
1903,1,26,Quilino,1903/01/26,,,26,3,33,22,55,SE,1,CS,2,,,,,,,,,,,,
1903,1,27,Quilino,1903/01/27,,,22,-4,37,22,91,W,1,KN,3,,,,,,,,,,,,
1903,1,28,Quilino,1903/01/28,,,27,5,34,23,77,E,1,,0,,,,,,,,,,,,
1903,1,29,Quilino,1903/01/29,,,29,2,38,27,71,E,1,,0,,,,,,,,,,,,
1903,1,30,Quilino,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Quilino,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Quilino,1903/02/01,,,23,-6,40,19,83,,0,KN,2,,,,,,,,,,,,
1903,2,2,Quilino,1903/02/02,,,27,4,33,19,69,,0,CS,1,,,,,,,,,,,,
1903,2,3,Quilino,1903/02/03,,,27,0,34,22,77,,0,KN,2,,,,,,,,,,,,
1903,2,4,Quilino,1903/02/04,,,24,-3,39,21,75,S,1,KN,3,,,,,,,,,,,,
1903,2,5,Quilino,1903/02/05,,,24,0,39,21,75,S,1,KN,3,,,,,,,,,,,,
1903,2,6,Quilino,1903/02/06,,,23,,36,16,66,S,1,,0,,,,,,,,,,,,
1903,2,7,Quilino,1903/02/07,,,25,2,33,18,83,S,1,CS,1,,,,,,,,,,,,
1903,2,8,Quilino,1903/02/08,,,24,-1,34,20,83,E,1,CS,1,,,,,,,,,,,,
1903,2,9,Quilino,1903/02/09,,,25,1,34,19,83,,0,,0,,,,,,,,,,,,
1903,2,10,Quilino,1903/02/10,,,27,2,34,19,92,E,1,CS,2,,,,,,,,,,,,
1903,2,11,Quilino,1903/02/11,,,29,2,37,25,52,NE,2,CS,1,,,,,,,,,,,,
1903,2,12,Quilino,1903/02/12,,,30,1,39,26,85,E,1,KN,2,,,,,,,,,,,,
1903,2,13,Quilino,1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,Quilino,1903/02/14,,,22,,27,19,82,,0,KN,3,,,,,,,,,,,,
1903,2,15,Quilino,1903/02/15,,,25,3,33,20,76,E,1,KN,2,,,,,,,,,,,,
1903,2,16,Quilino,1903/02/16,,,26,1,34,23,78,N,1,KN,2,,,,,,,,,,,,
1903,2,17,Quilino,1903/02/17,,,22,-4,32,17,82,,0,KN,2,,,,,,,,,,,,
1903,2,18,Quilino,1903/02/18,,,18,-4,36,16,90,S,1,KN,3,Rt,,,,,,,,,,,
1903,2,19,Quilino,1903/02/19,,,22,4,27,15,,,0,,0,,,,,,,,,,,,
1903,2,20,Quilino,1903/02/20,,,22,0,31,19,82,,0,KN,2,,,,,,,,,,,,
1903,2,21,Quilino,1903/02/21,,,20,-2,25,15,81,,0,CS,2,,,,,,,,,,,,
