,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"RIOJA - Chilecito",1903/01/01,764.9,-1.1,18,3,,,71,,0,K,2,,,,,,,,,,,,
1903,1,2,"RIOJA - Chilecito",1903/01/02,763.3,-1.6,17,-1,31,15,70,S,1,C,1,,,,,,,,,,,,
1903,1,3,"RIOJA - Chilecito",1903/01/03,762.6,-0.7,19,2,31,16,72,S,1,C,1,,,,,,,,,,,,
1903,1,4,"RIOJA - Chilecito",1903/01/04,760.6,-2,20,1,34,18,64,S,1,C,1,,,,,,,,,,,,
1903,1,5,"RIOJA - Chilecito",1903/01/05,760.2,-0.4,21,1,36,18,65,S,1,,0,,,,,,,,,,,,
1903,1,6,"RIOJA - Chilecito",1903/01/06,764,3.8,19,-2,36,16,81,S,1,C,1,,,,,,,,,,,,
1903,1,7,"RIOJA - Chilecito",1903/01/07,761.8,-2.2,22,3,36,16,66,,0,KC,1,,,,,,,,,,,,
1903,1,8,"RIOJA - Chilecito",1903/01/08,762.7,0.9,20,-2,37,16,64,SW,2,K,2,,,,,,,,,,,,
1903,1,9,"RIOJA - Chilecito",1903/01/09,759.5,-3.2,20,0,36,17,81,,0,,0,,,,,,,,,,,,
1903,1,10,"RIOJA - Chilecito",1903/01/10,759,-0.5,23,3,39,20,59,S,1,,0,,,,,,,,,,,,
1903,1,11,"RIOJA - Chilecito",1903/01/11,758.2,-0.8,23,0,36,20,66,SW,2,K,2,,,,,,,,,,,,
1903,1,12,"RIOJA - Chilecito",1903/01/12,762.1,3.9,19,-4,30,17,90,S,1,K,2,,,,,,,,,,,,
1903,1,13,"RIOJA - Chilecito",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"RIOJA - Chilecito",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"RIOJA - Chilecito",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"RIOJA - Chilecito",1903/01/16,757,2.4,24,-1,35,22,67,S,2,C,1,,,,,,,,,,,,
1903,1,17,"RIOJA - Chilecito",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"RIOJA - Chilecito",1903/01/18,759.6,-0.6,20,0,31,18,91,S,1,,2,,,,,,,,,,,,
1903,1,19,"RIOJA - Chilecito",1903/01/19,757,-2.6,19,-1,32,16,72,S,1,,0,,,,,,,,,,,,
1903,1,20,"RIOJA - Chilecito",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"RIOJA - Chilecito",1903/01/21,,,13,3,25,9,55,,0,,0,,,,,,,,,,,,
1903,1,22,"RIOJA - Chilecito",1903/01/22,759,,16,3,33,12,50,,0,C,1,,,,,,,,,,,,
1903,1,23,"RIOJA - Chilecito",1903/01/23,766.1,7.1,14,-2,29,11,78,,0,,0,,,,,,,,,,,,
1903,1,24,"RIOJA - Chilecito",1903/01/24,763,-3.1,17,3,35,13,70,,0,,0,,,,,,,,,,,,
1903,1,25,"RIOJA - Chilecito",1903/01/25,762.9,-0.1,19,2,38,17,54,,0,,0,,,,,,,,,,,,
1903,1,26,"RIOJA - Chilecito",1903/01/26,761.1,-1.8,20,1,35,18,72,S,1,,0,,,,,,,,,,,,
1903,1,27,"RIOJA - Chilecito",1903/01/27,764.1,3,18,-2,36,16,80,,0,K,1,,,,,,,,,,,,
1903,1,28,"RIOJA - Chilecito",1903/01/28,758.5,-5.6,20,2,34,17,72,,0,,0,,,,,,,,,,,,
1903,1,29,"RIOJA - Chilecito",1903/01/29,758.1,-0.4,24,4,38,20,53,,0,,0,,,,,,,,,,,,
1903,1,30,"RIOJA - Chilecito",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"RIOJA - Chilecito",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"RIOJA - Chilecito",1903/02/01,763.1,,22,-3,,18,74,S,1,K,1,,,,,,,,,,,,
1903,2,2,"RIOJA - Chilecito",1903/02/02,761.1,-2,21,-1,33,16,65,,0,C,1,,,,,,,,,,,,
1903,2,3,"RIOJA - Chilecito",1903/02/03,756.4,-4.7,22,1,36,20,82,,0,,0,,,,,,,,,,,,
1903,2,4,"RIOJA - Chilecito",1903/02/04,759,2.6,22,0,38,21,82,S,1,K,2,,,,,,,,,,,,
1903,2,5,"RIOJA - Chilecito",1903/02/05,760.6,1.6,22,0,35,20,82,,0,K,2,,,,,,,,,,,,
1903,2,6,"RIOJA - Chilecito",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"RIOJA - Chilecito",1903/02/07,767,,20,0,33,18,64,,0,K,2,,,,,,,,,,,,
1903,2,8,"RIOJA - Chilecito",1903/02/08,764.6,-2.4,21,1,34,18,73,SW,1,K,1,,,,,,,,,,,,
1903,2,9,"RIOJA - Chilecito",1903/02/09,763,-1.6,20,-1,34,18,64,S,1,,0,,,,,,,,,,,,
1903,2,10,"RIOJA - Chilecito",1903/02/10,761.2,-1.8,21,1,36,18,73,S,1,,0,,,,,,,,,,,,
1903,2,11,"RIOJA - Chilecito",1903/02/11,757.3,-3.9,23,2,37,20,74,S,1,,0,,,,,,,,,,,,
1903,2,12,"RIOJA - Chilecito",1903/02/12,755,-2.3,24,1,41,16,67,S,1,K,2,,,,,,,,,,,,
