,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Renca,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Renca,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Renca,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Renca,1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,Renca,1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,Renca,1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,Renca,1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,Renca,1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,Renca,1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,Renca,1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,Renca,1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,Renca,1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,Renca,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Renca,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Renca,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Renca,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Renca,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Renca,1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,Renca,1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,Renca,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Renca,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Renca,1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,Renca,1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,Renca,1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,Renca,1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,Renca,1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,Renca,1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,Renca,1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,Renca,1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,Renca,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Renca,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Renca,1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,Renca,1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,Renca,1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,Renca,1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,Renca,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,Renca,1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,Renca,1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,Renca,1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,Renca,1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,Renca,1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,Renca,1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,Renca,1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,Renca,1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,Renca,1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,Renca,1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,Renca,1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,Renca,1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,Renca,1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,Renca,1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,Renca,1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,Renca,1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,Renca,1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,Renca,1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,Renca,1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,Renca,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Renca,1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,Renca,1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,Renca,1903/02/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1,Renca,1903/03/01,,,,,,,,,,,,,,,,,,,,,,,
1903,3,2,Renca,1903/03/02,,,,,,,,,,,,,,,,,,,,,,,
1903,3,3,Renca,1903/03/03,,,,,,,,,,,,,,,,,,,,,,,
1903,3,4,Renca,1903/03/04,,,,,,,,,,,,,,,,,,,,,,,
1903,3,5,Renca,1903/03/05,,,,,,,,,,,,,,,,,,,,,,,
1903,3,6,Renca,1903/03/06,,,,,,,,,,,,,,,,,,,,,,,
1903,3,7,Renca,1903/03/07,,,,,,,,,,,,,,,,,,,,,,,
1903,3,8,Renca,1903/03/08,,,,,,,,,,,,,,,,,,,,,,,
1903,3,9,Renca,1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,Renca,1903/03/10,,,,,,,,,,,,,,,,,,,,,,,
1903,3,11,Renca,1903/03/11,,,,,,,,,,,,,,,,,,,,,,,
1903,3,12,Renca,1903/03/12,,,,,,,,,,,,,,,,,,,,,,,
1903,3,13,Renca,1903/03/13,,,,,,,,,,,,,,,,,,,,,,,
1903,3,14,Renca,1903/03/14,,,,,,,,,,,,,,,,,,,,,,,
1903,3,15,Renca,1903/03/15,,,,,,,,,,,,,,,,,,,,,,,
1903,3,16,Renca,1903/03/16,,,,,,,,,,,,,,,,,,,,,,,
1903,3,17,Renca,1903/03/17,,,,,,,,,,,,,,,,,,,,,,,
1903,3,18,Renca,1903/03/18,,,,,,,,,,,,,,,,,,,,,,,
1903,3,19,Renca,1903/03/19,,,,,,,,,,,,,,,,,,,,,,,
1903,3,20,Renca,1903/03/20,,,,,,,,,,,,,,,,,,,,,,,
1903,3,21,Renca,1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,Renca,1903/03/22,,,,,,,,,,,,,,,,,,,,,,,
1903,3,23,Renca,1903/03/23,,,,,,,,,,,,,,,,,,,,,,,
1903,3,24,Renca,1903/03/24,,,,,,,,,,,,,,,,,,,,,,,
1903,3,25,Renca,1903/03/25,,,,,,,,,,,,,,,,,,,,,,,
1903,3,26,Renca,1903/03/26,,,,,,,,,,,,,,,,,,,,,,,
1903,3,27,Renca,1903/03/27,,,,,,,,,,,,,,,,,,,,,,,
1903,3,28,Renca,1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,Renca,1903/03/29,,,,,,,,,,,,,,,,,,,,,,,
1903,3,30,Renca,1903/03/30,,,,,,,,,,,,,,,,,,,,,,,
1903,3,31,Renca,1903/03/31,,,,,,,,,,,,,,,,,,,,,,,
1903,4,1,Renca,1903/04/01,,,,,,,,,,,,,,,,,,,,,,,
1903,4,2,Renca,1903/04/02,,,,,,,,,,,,,,,,,,,,,,,
1903,4,3,Renca,1903/04/03,,,,,,,,,,,,,,,,,,,,,,,
1903,4,4,Renca,1903/04/04,,,,,,,,,,,,,,,,,,,,,,,
1903,4,5,Renca,1903/04/05,,,,,,,,,,,,,,,,,,,,,,,
1903,4,6,Renca,1903/04/06,,,,,,,,,,,,,,,,,,,,,,,
1903,4,7,Renca,1903/04/07,,,,,,,,,,,,,,,,,,,,,,,
1903,4,8,Renca,1903/04/08,,,,,,,,,,,,,,,,,,,,,,,
1903,4,9,Renca,1903/04/09,,,,,,,,,,,,,,,,,,,,,,,
1903,4,10,Renca,1903/04/10,,,,,,,,,,,,,,,,,,,,,,,
1903,4,11,Renca,1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,Renca,1903/04/12,,,,,,,,,,,,,,,,,,,,,,,
1903,4,13,Renca,1903/04/13,,,,,,,,,,,,,,,,,,,,,,,
1903,4,14,Renca,1903/04/14,,,,,,,,,,,,,,,,,,,,,,,
1903,4,15,Renca,1903/04/15,,,,,,,,,,,,,,,,,,,,,,,
1903,4,16,Renca,1903/04/16,,,,,,,,,,,,,,,,,,,,,,,
1903,4,17,Renca,1903/04/17,,,,,,,,,,,,,,,,,,,,,,,
1903,4,18,Renca,1903/04/18,,,,,,,,,,,,,,,,,,,,,,,
1903,4,19,Renca,1903/04/19,,,,,,,,,,,,,,,,,,,,,,,
1903,4,20,Renca,1903/04/20,,,,,,,,,,,,,,,,,,,,,,,
1903,4,21,Renca,1903/04/21,,,,,,,,,,,,,,,,,,,,,,,
1903,4,22,Renca,1903/04/22,,,,,,,,,,,,,,,,,,,,,,,
1903,4,23,Renca,1903/04/23,,,,,,,,,,,,,,,,,,,,,,,
1903,4,24,Renca,1903/04/24,,,,,,,,,,,,,,,,,,,,,,,
1903,4,25,Renca,1903/04/25,,,,,,,,,,,,,,,,,,,,,,,
1903,4,26,Renca,1903/04/26,,,,,,,,,,,,,,,,,,,,,,,
1903,4,27,Renca,1903/04/27,,,,,,,,,,,,,,,,,,,,,,,
1903,4,28,Renca,1903/04/28,,,,,,,,,,,,,,,,,,,,,,,
1903,4,29,Renca,1903/04/29,,,,,,,,,,,,,,,,,,,,,,,
1903,4,30,Renca,1903/04/30,,,,,,,,,,,,,,,,,,,,,,,
1903,5,1,Renca,1903/05/01,,,,,,,,,,,,,,,,,,,,,,,
1903,5,2,Renca,1903/05/02,,,,,,,,,,,,,,,,,,,,,,,
1903,5,3,Renca,1903/05/03,,,,,,,,,,,,,,,,,,,,,,,
1903,5,4,Renca,1903/05/04,,,,,,,,,,,,,,,,,,,,,,,
1903,5,5,Renca,1903/05/05,,,,,,,,,,,,,,,,,,,,,,,
1903,5,6,Renca,1903/05/06,,,,,,,,,,,,,,,,,,,,,,,
1903,5,7,Renca,1903/05/07,,,,,,,,,,,,,,,,,,,,,,,
1903,5,8,Renca,1903/05/08,,,,,,,,,,,,,,,,,,,,,,,
1903,5,9,Renca,1903/05/09,,,,,,,,,,,,,,,,,,,,,,,
1903,5,10,Renca,1903/05/10,,,,,,,,,,,,,,,,,,,,,,,
1903,5,11,Renca,1903/05/11,,,,,,,,,,,,,,,,,,,,,,,
1903,5,12,Renca,1903/05/12,,,,,,,,,,,,,,,,,,,,,,,
1903,5,13,Renca,1903/05/13,,,,,,,,,,,,,,,,,,,,,,,
1903,5,14,Renca,1903/05/14,,,,,,,,,,,,,,,,,,,,,,,
1903,5,15,Renca,1903/05/15,,,,,,,,,,,,,,,,,,,,,,,
1903,5,16,Renca,1903/05/16,,,,,,,,,,,,,,,,,,,,,,,
1903,5,17,Renca,1903/05/17,,,,,,,,,,,,,,,,,,,,,,,
1903,5,18,Renca,1903/05/18,,,,,,,,,,,,,,,,,,,,,,,
1903,5,19,Renca,1903/05/19,,,,,,,,,,,,,,,,,,,,,,,
1903,5,20,Renca,1903/05/20,,,,,,,,,,,,,,,,,,,,,,,
1903,5,21,Renca,1903/05/21,,,,,,,,,,,,,,,,,,,,,,,
1903,5,22,Renca,1903/05/22,,,,,,,,,,,,,,,,,,,,,,,
1903,5,23,Renca,1903/05/23,,,,,,,,,,,,,,,,,,,,,,,
1903,5,24,Renca,1903/05/24,,,,,,,,,,,,,,,,,,,,,,,
1903,5,25,Renca,1903/05/25,,,,,,,,,,,,,,,,,,,,,,,
1903,5,26,Renca,1903/05/26,,,,,,,,,,,,,,,,,,,,,,,
1903,5,27,Renca,1903/05/27,,,,,,,,,,,,,,,,,,,,,,,
1903,5,28,Renca,1903/05/28,,,,,,,,,,,,,,,,,,,,,,,
1903,5,29,Renca,1903/05/29,,,,,,,,,,,,,,,,,,,,,,,
1903,5,30,Renca,1903/05/30,,,,,,,,,,,,,,,,,,,,,,,
1903,5,31,Renca,1903/05/31,,,,,,,,,,,,,,,,,,,,,,,
1903,6,1,Renca,1903/06/01,,,,,,,,,,,,,,,,,,,,,,,
1903,6,2,Renca,1903/06/02,,,,,,,,,,,,,,,,,,,,,,,
1903,6,3,Renca,1903/06/03,,,,,,,,,,,,,,,,,,,,,,,
1903,6,4,Renca,1903/06/04,,,,,,,,,,,,,,,,,,,,,,,
1903,6,5,Renca,1903/06/05,,,,,,,,,,,,,,,,,,,,,,,
1903,6,6,Renca,1903/06/06,,,,,,,,,,,,,,,,,,,,,,,
1903,6,7,Renca,1903/06/07,,,,,,,,,,,,,,,,,,,,,,,
1903,6,8,Renca,1903/06/08,,,,,,,,,,,,,,,,,,,,,,,
1903,6,9,Renca,1903/06/09,,,,,,,,,,,,,,,,,,,,,,,
1903,6,10,Renca,1903/06/10,,,,,,,,,,,,,,,,,,,,,,,
1903,6,11,Renca,1903/06/11,,,,,,,,,,,,,,,,,,,,,,,
