,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Rio Cuarto",1903/01/01,765.5,-0.8,17,1,26,12,61,E,2,,0,,,,,,,,,,,,
1903,1,2,"Rio Cuarto",1903/01/02,762.7,-2.8,18,1,27,14,62,NE,1,,0,,,,,,,,,,,,
1903,1,3,"Rio Cuarto",1903/01/03,762.6,-0.1,21,3,30,16,57,NE,1,S,2,,,,,,,,,,,,
1903,1,4,"Rio Cuarto",1903/01/04,760.1,-2.5,20,-1,32,17,64,NE,2,S,1,,,,,,,,,,,,
1903,1,5,"Rio Cuarto",1903/01/05,760.5,0.4,20,0,32,18,64,NE,1,S,1,,,,,,,,,,,,
1903,1,6,"Rio Cuarto",1903/01/06,760,-0.5,20,0,34,19,72,E,1,N,3,,,,,,,,,,,,
1903,1,7,"Rio Cuarto",1903/01/07,759.4,-0.6,21,1,31,19,82,,0,K,1,,,,,,,,,,,,
1903,1,8,"Rio Cuarto",1903/01/08,758.2,-1.2,22,1,36,17,66,,0,S,1,Rt,,,,,,,,,,,
1903,1,9,"Rio Cuarto",1903/01/09,756.5,-1.7,23,1,33,17,66,,0,S,1,,,,,,,,,,,,
1903,1,10,"Rio Cuarto",1903/01/10,756.4,-0.1,23,0,37,20,83,,0,N,3,,,,,,,,,,,,
1903,1,11,"Rio Cuarto",1903/01/11,759.3,2.9,22,-1,36,15,50,SW,1,N,3,PD,,,,,,,,,,,
1903,1,12,"Rio Cuarto",1903/01/12,760.4,1.1,19,-3,27,15,81,,0,,0,,,,,,,,,,,,
1903,1,13,"Rio Cuarto",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Rio Cuarto",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Rio Cuarto",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Rio Cuarto",1903/01/16,757.6,-0.3,18,0,30,16,90,,0,S,2,Rt,,,,,,,,,,,
1903,1,17,"Rio Cuarto",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Rio Cuarto",1903/01/18,759.6,-1.4,17,2,20,13,90,,0,K,1,Rt,,,,,,,,,,,
1903,1,19,"Rio Cuarto",1903/01/19,756.7,-2.9,16,-1,28,15,89,NW,1,N,3,,,,,,,,,,,,
1903,1,20,"Rio Cuarto",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Rio Cuarto",1903/01/21,762.6,0.6,15,3,22,9,48,,0,S,1,,,,,,,,,,,,
1903,1,22,"Rio Cuarto",1903/01/22,762.8,0.2,13,-2,29,12,66,SW,1,K,3,,,,,,,,,,,,
1903,1,23,"Rio Cuarto",1903/01/23,762.6,-0.2,15,2,23,10,58,,0,K,2,,,,,,,,,,,,
1903,1,24,"Rio Cuarto",1903/01/24,761.1,-1.5,19,4,31,14,38,SW,1,,0,,,,,,,,,,,,
1903,1,25,"Rio Cuarto",1903/01/25,762.3,1.2,18,-1,30,13,61,NE,1,,0,,,,,,,,,,,,
1903,1,26,"Rio Cuarto",1903/01/26,760.2,-2.1,20,2,31,17,72,,0,K,1,,,,,,,,,,,,
1903,1,27,"Rio Cuarto",1903/01/27,760.5,0.3,22,2,35,20,66,,0,K,2,,,,,,,,,,,,
1903,1,28,"Rio Cuarto",1903/01/28,756.4,-4.1,21,-1,29,19,82,,0,S,2,Rt,,,,,,,,,,,
1903,1,29,"Rio Cuarto",1903/01/29,757.2,0.8,24,3,37,21,60,SW,1,S,1,,,,,,,,,,,,
1903,1,30,"Rio Cuarto",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Rio Cuarto",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Rio Cuarto",1903/02/01,764.7,9.3,19,-6,26,17,100,,0,N,3,P,,,,,,,,,,,
1903,2,2,"Rio Cuarto",1903/02/02,759.7,-5,22,3,29,19,91,,0,S,1,,,,,,,,,,,,
1903,2,3,"Rio Cuarto",1903/02/03,754.5,-5.2,23,1,31,20,83,,0,S,1,,,,,,,,,,,,
1903,2,4,"Rio Cuarto",1903/02/04,756,1.5,24,1,37,22,93,,0,N,2,,,,,,,,,,,,
1903,2,5,"Rio Cuarto",1903/02/05,760.8,4.8,21,-3,32,20,82,,0,N,2,Rt,,,,,,,,,,,
1903,2,6,"Rio Cuarto",1903/02/06,766.8,6,17,-4,26,14,80,,0,,0,Rt,,,,,,,,,,,
1903,2,7,"Rio Cuarto",1903/02/07,765.8,-1,19,2,32,14,72,,0,,0,,,,,,,,,,,,
1903,2,8,"Rio Cuarto",1903/02/08,764.6,-1.2,20,1,31,16,64,NE,1,,0,,,,,,,,,,,,
1903,2,9,"Rio Cuarto",1903/02/09,763.4,-1.2,18,-2,32,15,80,NE,1,,0,,,,,,,,,,,,
1903,2,10,"Rio Cuarto",1903/02/10,760.5,-2.9,20,2,31,17,72,NE,1,,0,,,,,,,,,,,,
1903,2,11,"Rio Cuarto",1903/02/11,755.2,-5.3,19,-1,35,17,81,,0,S,1,,,,,,,,,,,,
1903,2,12,"Rio Cuarto",1903/02/12,757.7,2.5,18,-1,40,17,71,,0,K,3,,,,,,,,,,,,
1903,2,13,"Rio Cuarto",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"Rio Cuarto",1903/02/14,761.3,,19,,25,18,100,,0,K,2,,,,,,,,,,,,
1903,2,15,"Rio Cuarto",1903/02/15,754.6,-6.7,21,2,29,17,82,,0,S,1,PD,,,,,,,,,,,
1903,2,16,"Rio Cuarto",1903/02/16,756.4,1.8,18,-3,34,17,80,,0,K,1,Rt,,,,,,,,,,,
