,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Rio Grande do Sul",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"Rio Grande do Sul",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"Rio Grande do Sul",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Rio Grande do Sul",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"Rio Grande do Sul",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"Rio Grande do Sul",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"Rio Grande do Sul",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"Rio Grande do Sul",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Rio Grande do Sul",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"Rio Grande do Sul",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"Rio Grande do Sul",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"Rio Grande do Sul",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"Rio Grande do Sul",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Rio Grande do Sul",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Rio Grande do Sul",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Rio Grande do Sul",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"Rio Grande do Sul",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Rio Grande do Sul",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"Rio Grande do Sul",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"Rio Grande do Sul",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Rio Grande do Sul",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"Rio Grande do Sul",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"Rio Grande do Sul",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"Rio Grande do Sul",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"Rio Grande do Sul",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"Rio Grande do Sul",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"Rio Grande do Sul",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"Rio Grande do Sul",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"Rio Grande do Sul",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"Rio Grande do Sul",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Rio Grande do Sul",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Rio Grande do Sul",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"Rio Grande do Sul",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"Rio Grande do Sul",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"Rio Grande do Sul",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"Rio Grande do Sul",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"Rio Grande do Sul",1903/02/06,763.5,,26,,27,21,62,SE,1,,2,,,,,,,,,,,,
1903,2,7,"Rio Grande do Sul",1903/02/07,763.1,-0.4,26,0,27,20,62,SE,1,,2,,,,,,,,,,,,
1903,2,8,"Rio Grande do Sul",1903/02/08,766.2,3.1,24,-2,25,19,53,SE,1,,1,,,,,,,,,,,,
1903,2,9,"Rio Grande do Sul",1903/02/09,766,-0.2,24,0,25,19,60,E,1,,1,,,,,,,,,,,,
1903,2,10,"Rio Grande do Sul",1903/02/10,765.6,-0.4,24,0,26,19,67,NE,1,,2,,,,,,,,,,,,
1903,2,11,"Rio Grande do Sul",1903/02/11,761.2,-4.4,25,1,25,20,76,NE,1,,2,,,,,,,,,,,,
1903,2,12,"Rio Grande do Sul",1903/02/12,759.3,-1.9,27,2,30,24,77,NE,1,,2,,,,,,,,,,,,
1903,2,13,"Rio Grande do Sul",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"Rio Grande do Sul",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"Rio Grande do Sul",1903/02/15,758,,26,,28,22,84,E,1,N,3,,,,,,,,,,,,
1903,2,16,"Rio Grande do Sul",1903/02/16,755.2,-2.8,27,1,28,25,77,N,1,N,3,,,,,,,,,,,,
1903,2,17,"Rio Grande do Sul",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"Rio Grande do Sul",1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,"Rio Grande do Sul",1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,"Rio Grande do Sul",1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,"Rio Grande do Sul",1903/02/21,762.4,,22,,26,18,58,,0,N,3,,,,,,,,,,,,
