,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Rosario de la Frontera",1903/01/01,764.9,-4.3,17,1,22,16,80,,0,SK,3,,,,,,,,,,,,
1903,1,2,"Rosario de la Frontera",1903/01/02,764.2,-0.7,18,1,24,14,71,,0,C,1,,,,,,,,,,,,
1903,1,3,"Rosario de la Frontera",1903/01/03,763.7,-0.5,19,1,27,15,81,,0,SK,2,,,,,,,,,,,,
1903,1,4,"Rosario de la Frontera",1903/01/04,762.9,-0.8,17,-2,31,14,90,,0,,0,,,,,,,,,,,,
1903,1,5,"Rosario de la Frontera",1903/01/05,760.8,-2.1,21,4,31,18,65,,0,K,2,,,,,,,,,,,,
1903,1,6,"Rosario de la Frontera",1903/01/06,762.6,1.8,18,-3,31,17,90,,0,S,1,,,,,,,,,,,,
1903,1,7,"Rosario de la Frontera",1903/01/07,761.6,-1,20,2,32,18,81,,0,,0,,,,,,,,,,,,
1903,1,8,"Rosario de la Frontera",1903/01/08,760.9,-0.7,19,-1,32,15,81,,0,,0,,,,,,,,,,,,
1903,1,9,"Rosario de la Frontera",1903/01/09,759.2,-1.7,20,1,34,15,81,,0,,0,,,,,,,,,,,,
1903,1,10,"Rosario de la Frontera",1903/01/10,758.7,-0.5,23,3,37,18,74,,0,,0,,,,,,,,,,,,
1903,1,11,"Rosario de la Frontera",1903/01/11,755.7,-3,22,-1,35,16,74,,0,C,1,,,,,,,,,,,,
1903,1,12,"Rosario de la Frontera",1903/01/12,762.8,7.1,18,-4,36,17,90,,0,N,3,,,,,,,,,,,,
1903,1,13,"Rosario de la Frontera",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Rosario de la Frontera",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Rosario de la Frontera",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Rosario de la Frontera",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"Rosario de la Frontera",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Rosario de la Frontera",1903/01/18,759.1,-1.5,20,0,26,18,91,,0,SK,2,,,,,,,,,,,,
1903,1,19,"Rosario de la Frontera",1903/01/19,756.1,-3,18,-2,27,15,90,,0,N,3,,,,,,,,,,,,
1903,1,20,"Rosario de la Frontera",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Rosario de la Frontera",1903/01/21,767.7,7.7,10,-8,20,8,100,,0,,0,,,,,,,,,,,,
1903,1,22,"Rosario de la Frontera",1903/01/22,760.1,-7.6,12,2,26,7,100,,0,,0,,,,,,,,,,,,
1903,1,23,"Rosario de la Frontera",1903/01/23,767.3,7.2,14,2,32,13,100,,0,N,3,,,,,,,,,,,,
1903,1,24,"Rosario de la Frontera",1903/01/24,763,-4.3,15,1,29,12,89,,0,,0,,,,,,,,,,,,
1903,1,25,"Rosario de la Frontera",1903/01/25,763.2,0.2,17,2,35,12,90,,0,C,1,,,,,,,,,,,,
1903,1,26,"Rosario de la Frontera",1903/01/26,761.7,-1.5,17,0,33,12,90,,0,C,1,,,,,,,,,,,,
1903,1,27,"Rosario de la Frontera",1903/01/27,762.2,0.5,18,1,32,15,100,,0,SK,2,,,,,,,,,,,,
1903,1,28,"Rosario de la Frontera",1903/01/28,759.8,-2.4,17,-1,32,15,90,,0,SK,2,,,,,,,,,,,,
1903,1,29,"Rosario de la Frontera",1903/01/29,758.8,-1,18,1,34,16,100,,0,SK,2,,,,,,,,,,,,
1903,1,30,"Rosario de la Frontera",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Rosario de la Frontera",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Rosario de la Frontera",1903/02/01,762.5,6.4,20,-3,40,20,100,,0,N,3,,,,,,,,,,,,
1903,2,2,"Rosario de la Frontera",1903/02/02,761.6,-0.9,20,0,27,19,91,,0,C,1,,,,,,,,,,,,
1903,2,3,"Rosario de la Frontera",1903/02/03,757.9,-3.7,21,1,32,19,100,,0,,0,,,,,,,,,,,,
1903,2,4,"Rosario de la Frontera",1903/02/04,755.1,-2.8,23,2,34,20,91,,0,C,1,,,,,,,,,,,,
1903,2,5,"Rosario de la Frontera",1903/02/05,760.6,5.5,20,-3,36,18,91,S,2,SK,2,,,,,,,,,,,,
1903,2,6,"Rosario de la Frontera",1903/02/06,766.9,6.3,19,-1,33,18,100,,0,N,3,,,,,,,,,,,,
1903,2,7,"Rosario de la Frontera",1903/02/07,767.1,0.2,17,-2,30,16,100,,0,C,1,,,,,,,,,,,,
1903,2,8,"Rosario de la Frontera",1903/02/08,765,-2.1,20,3,31,19,81,,0,SK,2,,,,,,,,,,,,
1903,2,9,"Rosario de la Frontera",1903/02/09,764.1,-0.9,20,0,26,19,91,,0,SK,2,,,,,,,,,,,,
1903,2,10,"Rosario de la Frontera",1903/02/10,761.4,-2.9,18,-2,30,16,90,,0,,0,,,,,,,,,,,,
1903,2,11,"Rosario de la Frontera",1903/02/11,757.4,-4,19,1,32,17,100,,0,,0,,,,,,,,,,,,
1903,2,12,"Rosario de la Frontera",1903/02/12,756.2,-1.2,21,2,33,20,91,,0,SK,2,,,,,,,,,,,,
1903,2,13,"Rosario de la Frontera",1903/02/13,758.9,2.7,19,-2,35,17,100,,0,C,1,,,,,,,,,,,,
