,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,SALTA,1903/01/01,765.4,-3.4,18,0,19,16,80,S,1,N,2,,,,,,,,,,,,
1903,1,2,SALTA,1903/01/02,763.3,-2.1,19,1,21,16,90,S,1,KN,1,,,,,,,,,,,,
1903,1,3,SALTA,1903/01/03,763.2,-0.1,19,0,21,16,81,N,1,CS,1,,,,,,,,,,,,
1903,1,4,SALTA,1903/01/04,762.2,-1,20,1,24,17,81,S,1,,0,,,,,,,,,,,,
1903,1,5,SALTA,1903/01/05,761.9,-0.3,20,0,25,18,72,N,1,N,2,,,,,,,,,,,,
1903,1,6,SALTA,1903/01/06,762.4,0.5,20,0,25,17,81,S,1,N,1,,,,,,,,,,,,
1903,1,7,SALTA,1903/01/07,762.4,0,21,1,26,18,82,S,1,C,1,,,,,,,,,,,,
1903,1,8,SALTA,1903/01/08,761.9,-0.5,20,-1,26,16,72,N,1,C,1,,,,,,,,,,,,
1903,1,9,SALTA,1903/01/09,759.9,-2,21,1,28,17,73,S,1,,0,,,,,,,,,,,,
1903,1,10,SALTA,1903/01/10,758.9,-1,22,1,29,19,74,SE,1,CS,1,,,,,,,,,,,,
1903,1,11,SALTA,1903/01/11,756.4,-2.5,23,1,29,19,74,SE,1,C,1,,,,,,,,,,,,
1903,1,12,SALTA,1903/01/12,763,6.6,21,-2,30,20,73,SE,1,KN,3,,,,,,,,,,,,
1903,1,13,SALTA,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,SALTA,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,SALTA,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,SALTA,1903/01/16,759.2,-0.5,22,0,25,20,82,N,1,KC,2,,,,,,,,,,,,
1903,1,17,SALTA,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,SALTA,1903/01/18,756.9,-2.3,21,-1,26,19,82,N,1,KC,1,,,,,,,,,,,,
1903,1,19,SALTA,1903/01/19,766.3,7.9,17,-4,24,15,70,S,2,KN,3,,,,,,,,,,,,
1903,1,20,SALTA,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,SALTA,1903/01/21,760.2,-6.1,15,-2,22,12,89,N,2,,0,,,,,,,,,,,,
1903,1,22,SALTA,1903/01/22,766.3,6.1,17,2,26,14,80,SE,1,N,3,,,,,,,,,,,,
1903,1,23,SALTA,1903/01/23,763.3,-3,18,1,24,15,80,N,1,,0,,,,,,,,,,,,
1903,1,24,SALTA,1903/01/24,764.9,1.6,20,2,27,17,72,N,1,C,1,,,,,,,,,,,,
1903,1,25,SALTA,1903/01/25,762.4,-2.5,20,0,27,18,81,N,1,C,1,,,,,,,,,,,,
1903,1,26,SALTA,1903/01/26,762.4,0,20,0,27,18,81,S,1,CS,2,,,,,,,,,,,,
1903,1,27,SALTA,1903/01/27,761.3,-1.1,19,-1,26,17,81,S,1,,0,,,,,,,,,,,,
1903,1,28,SALTA,1903/01/28,758.4,-2.9,22,3,27,17,74,S,1,K,2,,,,,,,,,,,,
1903,1,29,SALTA,1903/01/29,762.9,5,22,0,,20,91,,0,N,3,,,,,,,,,,,,
1903,1,30,SALTA,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,SALTA,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,SALTA,1903/02/01,762.3,-0.6,21,-1,26,20,91,S,1,KN,2,,,,,,,,,,,,
1903,2,2,SALTA,1903/02/02,757.3,-5,22,1,27,20,91,N,1,K,1,,,,,,,,,,,,
1903,2,3,SALTA,1903/02/03,755.4,-1,23,1,29,21,74,N,1,C,1,,,,,,,,,,,,
1903,2,4,SALTA,1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,SALTA,1903/02/05,765.3,4,21,-1,28,19,91,N,1,N,3,,,,,,,,,,,,
1903,2,6,SALTA,1903/02/06,765.8,0.5,21,0,26,19,82,N,1,N,3,,,,,,,,,,,,
1903,2,7,SALTA,1903/02/07,765.3,-0.5,21,0,25,20,82,N,1,N,3,,,,,,,,,,,,
1903,2,8,SALTA,1903/02/08,764.3,-1,21,0,24,19,82,N,1,N,3,,,,,,,,,,,,
1903,2,9,SALTA,1903/02/09,761.4,-2.9,20,-1,25,18,72,N,1,N,3,,,,,,,,,,,,
1903,2,10,SALTA,1903/02/10,758.4,-3,21,1,26,18,82,NE,1,C,1,,,,,,,,,,,,
1903,2,11,SALTA,1903/02/11,755.4,-3,22,1,27,19,82,S,1,N,2,,,,,,,,,,,,
1903,2,12,SALTA,1903/02/12,758.4,3,20,-2,28,16,74,SE,1,C,2,,,,,,,,,,,,
1903,2,13,SALTA,1903/02/13,,,23,3,29,19,74,NE,1,N,2,,,,,,,,,,,,
1903,2,14,SALTA,1903/02/14,756.9,,22,-1,27,20,82,N,1,KN,3,,,,,,,,,,,,
1903,2,15,SALTA,1903/02/15,754.3,-2.6,21,-1,26,19,82,N,2,C,2,,,,,,,,,,,,
1903,2,16,SALTA,1903/02/16,,,23,2,30,20,74,N,1,C,1,,,,,,,,,,,,
1903,2,17,SALTA,1903/02/17,759.4,,22,-1,31,20,82,N,1,C,2,,,,,,,,,,,,
1903,2,18,SALTA,1903/02/18,759.7,0.3,20,-2,29,18,100,NE,1,K,2,,,,,,,,,,,,
1903,2,19,SALTA,1903/02/19,759.3,-0.4,21,1,25,20,82,N,1,N,3,,,,,,,,,,,,
1903,2,20,SALTA,1903/02/20,765.1,5.8,19,-2,26,16,81,N,1,K,1,,,,,,,,,,,,
1903,2,21,SALTA,1903/02/21,763.4,-1.7,20,1,25,16,72,N,1,CS,1,,,,,,,,,,,,
1903,2,22,SALTA,1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,SALTA,1903/02/23,758.8,,20,,27,17,81,S,1,C,1,,,,,,,,,,,,
1903,2,24,SALTA,1903/02/24,764.9,1.6,20,2,27,17,72,N,1,C,1,,,,,,,,,,,,
1903,2,25,SALTA,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,SALTA,1903/02/26,756.9,1.2,22,-2,29,20,82,S,1,CK,2,,,,,,,,,,,,
1903,2,27,SALTA,1903/02/27,762.3,3.5,21,-1,27,20,82,SE,1,KN,2,,,,,,,,,,,,
1903,2,28,SALTA,1903/02/28,765.2,2.9,19,-2,23,17,90,N,1,KN,3,,,,,,,,,,,,
1903,3,1,SALTA,1903/03/01,763.1,-2.1,17,-2,21,16,100,N,1,KN,3,,,,,,,,,,,,
1903,3,2,SALTA,1903/03/02,761.3,-1.8,19,2,21,17,,N,1,SK,2,,,,,,,,,,,,
1903,3,3,SALTA,1903/03/03,761.8,0.5,20,1,24,18,91,S,1,KN,3,,,,,,,,,,,,
1903,3,4,SALTA,1903/03/04,762.3,0.5,21,1,26,20,91,N,1,N,3,,,,,,,,,,,,
1903,3,5,SALTA,1903/03/05,761.9,-0.4,20,-1,25,18,91,N,2,N,3,,,,,,,,,,,,
1903,3,6,SALTA,1903/03/06,758.8,-3.1,20,0,25,19,100,N,1,KN,2,,,,,,,,,,,,
1903,3,7,SALTA,1903/03/07,,,,,,,,,,,,,,,,,,,,,,,
1903,3,8,SALTA,1903/03/08,,,,,,,,,,,,,,,,,,,,,,,
1903,3,9,SALTA,1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,SALTA,1903/03/10,760.2,,19,,24,18,90,SW,1,N,3,,,,,,,,,,,,
1903,3,11,SALTA,1903/03/11,765.2,5,17,-2,20,15,90,,0,N,3,,,,,,,,,,,,
1903,3,12,SALTA,1903/03/12,766.2,1,17,0,20,15,90,,0,KN,3,,,,,,,,,,,,
1903,3,13,SALTA,1903/03/13,765.2,-1,16,-1,21,15,89,N,1,N,1,,,,,,,,,,,,
1903,3,14,SALTA,1903/03/14,764.6,-0.6,14,-2,22,13,89,N,1,,0,,,,,,,,,,,,
1903,3,15,SALTA,1903/03/15,764.2,-0.4,16,2,25,15,89,N,1,,0,,,,,,,,,,,,
1903,3,16,SALTA,1903/03/16,760.1,0,17,1,26,15,80,N,1,,0,,,,,,,,,,,,
1903,3,17,SALTA,1903/03/17,760.2,0,18,1,28,17,92,N,1,C,1,,,,,,,,,,,,
1903,3,18,SALTA,1903/03/18,762.7,2.5,18,0,28,16,90,NW,1,S,1,,,,,,,,,,,,
1903,3,19,SALTA,1903/03/19,759.2,-3.5,19,1,26,17,90,N,1,KN,2,,,,,,,,,,,,
1903,3,20,SALTA,1903/03/20,756.2,-3,19,0,,,90,NW,1,KN,1,,,,,,,,,,,,
1903,3,21,SALTA,1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,SALTA,1903/03/22,763.2,,19,,26,18,90,E,1,N,3,,,,,,,,,,,,
1903,3,23,SALTA,1903/03/23,763.2,0,19,0,21,18,90,NW,1,N,3,,,,,,,,,,,,
1903,3,24,SALTA,1903/03/24,759.2,-4,19,0,23,18,90,,0,KN,3,,,,,,,,,,,,
1903,3,25,SALTA,1903/03/25,758.7,-0.6,22,1,27,21,91,NE,1,KN,3,,,,,,,,,,,,
1903,3,26,SALTA,1903/03/26,759.3,0.1,21,2,24,20,91,SW,1,K,3,,,,,,,,,,,,
1903,3,27,SALTA,1903/03/27,758.2,-0.5,22,0,26,21,91,,0,S,3,,,,,,,,,,,,
1903,3,28,SALTA,1903/03/28,756.9,-1.3,23,1,28,22,91,NE,1,KN,2,,,,,,,,,,,,
1903,3,29,SALTA,1903/03/29,,,,,,,,,,,,,,,,,,,,,,,
1903,3,30,SALTA,1903/03/30,759.6,,18,,28,17,90,NE,1,N,2,Rt,,,,,,,,,,,
1903,3,31,SALTA,1903/03/31,760.8,1.2,21,3,27,20,91,NE,1,N,3,,,,,,,,,,,,
1903,4,1,SALTA,1903/04/01,764.3,3.5,19,-2,25,17,90,N,1,NS,2,,,,,,,,,,,,
1903,4,2,SALTA,1903/04/02,764.7,0.4,19,0,22,18,90,NW,1,N,3,,,,,,,,,,,,
1903,4,3,SALTA,1903/04/03,762.3,-2.4,19,0,22,18,90,N,1,CN,1,,,,,,,,,,,,
1903,4,4,SALTA,1903/04/04,763.2,0.9,17,-2,23,16,90,E,1,NS,1,,,,,,,,,,,,
1903,4,5,SALTA,1903/04/05,762.7,-0.5,18,1,23,16,90,S,1,K,1,,,,,,,,,,,,
1903,4,6,SALTA,1903/04/06,762.2,-0.5,18,0,23,16,90,E,1,NK,2,,,,,,,,,,,,
1903,4,7,SALTA,1903/04/07,761.2,-1,18,0,22,17,90,NE,1,KS,1,,,,,,,,,,,,
1903,4,8,SALTA,1903/04/08,760.3,-0.9,19,1,23,18,91,S,1,NK,2,,,,,,,,,,,,
1903,4,9,SALTA,1903/04/09,,,,,,,,,,,,,,,,,,,,,,,
1903,4,10,SALTA,1903/04/10,,,,,,,,,,,,,,,,,,,,,,,
1903,4,11,SALTA,1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,SALTA,1903/04/12,763.7,,17,,,8,80,N,1,,0,,,,,,,,,,,,
1903,4,13,SALTA,1903/04/13,759.2,-4.5,16,-1,,15,89,NE,1,KS,2,,,,,,,,,,,,
1903,4,14,SALTA,1903/04/14,762.6,3.4,15,-1,23,14,78,,,N,3,,,,,,,,,,,,
1903,4,15,SALTA,1903/04/15,765.5,2.9,13,-2,20,12,88,N,1,N,3,,,,,,,,,,,,
1903,4,16,SALTA,1903/04/16,767.3,1.8,11,-2,17,10,87,E,1,KS,1,,,,,,,,,,,,
1903,4,17,SALTA,1903/04/17,763,-4.3,12,1,15,9,88,E,1,K,3,,,,,,,,,,,,
1903,4,18,SALTA,1903/04/18,761.6,-1.4,14,2,17,12,89,S,1,K,1,,,,,,,,,,,,
1903,4,19,SALTA,1903/04/19,767.6,6,15,1,21,10,78,NE,1,K,1,,,,,,,,,,,,
1903,4,20,SALTA,1903/04/20,768.9,1.3,11,-4,20,9,75,NE,1,C,1,,,,,,,,,,,,
1903,4,21,SALTA,1903/04/21,766.1,-2.8,14,3,20,13,89,NE,1,KN,2,,,,,,,,,,,,
1903,4,22,SALTA,1903/04/22,760.9,-5.2,14,0,20,13,89,E,1,KN,2,,,,,,,,,,,,
1903,4,23,SALTA,1903/04/23,765.4,4.5,12,-2,19,11,88,E,1,KS,2,,,,,,,,,,,,
1903,4,24,SALTA,1903/04/24,762.9,-0.5,12,0,20,11,88,NE,1,KN,2,,,,,,,,,,,,
1903,4,25,SALTA,1903/04/25,,,,,,,,,,,,,,,,,,,,,,,
1903,4,26,SALTA,1903/04/26,759.2,,16,,23,15,89,S,1,KN,3,,,,,,,,,,,,
1903,4,27,SALTA,1903/04/27,767.2,8,9,-7,21,8,86,NE,1,N,3,,,,,,,,,,,,
1903,4,28,SALTA,1903/04/28,769.6,2.4,8,-1,13,7,100,NE,1,N,3,,,,,,,,,,,,
1903,4,29,SALTA,1903/04/29,767.3,-2.3,7,-1,10,5,85,NE,1,N,3,,,,,,,,,,,,
1903,4,30,SALTA,1903/04/30,770.1,2.8,5,-2,10,4,84,N,1,S,3,,,,,,,,,,,,
1903,5,1,SALTA,1903/05/01,767.2,-2.9,9,4,14,7,100,S,1,CN,2,,,,,,,,,,,,
1903,5,2,SALTA,1903/05/02,766.6,-0.6,8,-1,17,7,86,N,1,CS,1,,,,,,,,,,,,
1903,5,3,SALTA,1903/05/03,767.1,0.5,9,1,20,7,86,S,1,C,2,,,,,,,,,,,,
1903,5,4,SALTA,1903/05/04,766.6,-0.5,7,-2,22,7,100,S,1,,0,,,,,,,,,,,,
1903,5,5,SALTA,1903/05/05,,,8,1,23,7,86,SW,1,,0,,,,,,,,,,,,
1903,5,6,SALTA,1903/05/06,,,9,1,23,8,86,,,,0,,,,,,,,,,,,
1903,5,7,SALTA,1903/05/07,,,13,4,22,12,88,SW,1,KN,3,,,,,,,,,,,,
1903,5,8,SALTA,1903/05/08,763.9,,13,0,21,12,88,SW,1,N,2,,,,,,,,,,,,
1903,5,9,,1903/05/09,764.6,0.7,15,2,,15,100,S,1,SN,1,Rt,,,,,,,,,,,
1903,5,10,,1903/05/10,758.6,-6,13,-2,,10,77,NE,1,N,3,,,,,,,,,,,,
1903,5,11,,1903/05/11,761.7,3.1,16,3,,10,89,NW,1,SN,2,,,,,,,,,,,,
1903,5,12,,1903/05/12,769.4,7.7,11,-5,,8,87,NE,1,N,3,,,,,,,,,,,,
1903,5,13,,1903/05/13,771.1,1.7,8,-3,,6,86,N,1,KN,1,,,,,,,,,,,,
1903,5,14,,1903/05/14,770.3,-0.8,9,1,,7,86,N,1,SN,2,,,,,,,,,,,,
1903,5,15,,1903/05/15,770.4,0.1,11,2,,10,75,NE,1,N,3,,,,,,,,,,,,
1903,5,16,,1903/05/16,769.2,-1.2,9,-2,,7,86,,0,SN,2,,,,,,,,,,,,
1903,5,17,,1903/05/17,767.9,-1.3,10,1,,9,86," NE",1,KN,2,,,,,,,,,,,,
1903,5,18,,1903/05/18,768.9,1,10,0,,8,86,N,1,N,3,,,,,,,,,,,,
1903,5,19,,1903/05/19,768.7,-0.2,8,-2,,6,86,NE,1,KN,1,,,,,,,,,,,,
1903,5,20,,1903/05/20,766.2,-2.5,9,1,,7,86,,0,KN,2,,,,,,,,,,,,
1903,5,21,,1903/05/21,768.2,2,9,0,,8,86,NE,1,KS,3,,,,,,,,,,,,
1903,5,22,,1903/05/22,768.6,0.4,6,-3,,,85,N,1,KS,3,,,,,,,,,,,,
1903,5,23,,1903/05/23,768.4,-0.2,4,-2,,4,100,N,1,S,1,,,,,,,,,,,,
1903,5,24,,1903/05/24,762.8,-5.6,11,7,,9,87,NE,1,KN,1,,,,,,,,,,,,
1903,5,25,,1903/05/25,759.8,-3,10,-1,,8,100,N,1,KN,2,,,,,,,,,,,,
1903,5,26,,1903/05/26,763.6,3.8,8,-2,,6,100,NW,1,S,1,,,,,,,,,,,,
