,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"SAN JUAN - Capital",1903/01/01,762.7,-1.8,21,3,29,19,63,S,1,,0,,,,,,,,,,,,
1903,1,2,"SAN JUAN - Capital",1903/01/02,761.8,-0.9,23,2,35,19,52,S,1,,0,,,,,,,,,,,,
1903,1,3,"SAN JUAN - Capital",1903/01/03,760,-1.8,24,1,35,20,53,S,1,,0,,,,,,,,,,,,
1903,1,4,"SAN JUAN - Capital",1903/01/04,758.1,-1.9,25,1,35,22,34,N,1,,0,,,,,,,,,,,,
1903,1,5,"SAN JUAN - Capital",1903/01/05,758,-0.1,25,0,39,22,40,N,1,,0,,,,,,,,,,,,
1903,1,6,"SAN JUAN - Capital",1903/01/06,763,5,21,-4,37,19,49,NE,1,,0,,,,,,,,,,,,
1903,1,7,"SAN JUAN - Capital",1903/01/07,761.7,-1.3,21,0,36,20,57,N,1,C,2,,,,,,,,,,,,
1903,1,8,"SAN JUAN - Capital",1903/01/08,761.1,-0.6,21,0,36,18,65,SW,1,CS,1,,,,,,,,,,,,
1903,1,9,"SAN JUAN - Capital",1903/01/09,758.7,-2.4,23,2,37,20,39,S,1,,0,,,,,,,,,,,,
1903,1,10,"SAN JUAN - Capital",1903/01/10,,,21,-2,38,19,57,S,1,,0,,,,,,,,,,,,
1903,1,11,"SAN JUAN - Capital",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"SAN JUAN - Capital",1903/01/12,760.9,,22,,30,18,74,S,1,,0,,,,,,,,,,,,
1903,1,13,"SAN JUAN - Capital",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"SAN JUAN - Capital",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"SAN JUAN - Capital",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"SAN JUAN - Capital",1903/01/16,759.1,2,21,-1,34,20,57,S,2,KS,3,,,,,,,,,,,,
1903,1,17,"SAN JUAN - Capital",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"SAN JUAN - Capital",1903/01/18,759.8,-1.7,20,1,21,17,55,SW,1,C,0,,,,,,,,,,,,
1903,1,19,"SAN JUAN - Capital",1903/01/19,758,-1.8,20,0,35,17,64,S,1,CS,1,,,,,,,,,,,,
1903,1,20,"SAN JUAN - Capital",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"SAN JUAN - Capital",1903/01/21,,,16,2,27,11,50,S,1,,0,,,,,,,,,,,,
1903,1,22,"SAN JUAN - Capital",1903/01/22,752,,16,0,32,15,50,S,2,CK,2,,,,,,,,,,,,
1903,1,23,"SAN JUAN - Capital",1903/01/23,764.2,2.2,18,2,24,11,44,NE,1,,0,,,,,,,,,,,,
1903,1,24,"SAN JUAN - Capital",1903/01/24,762.1,-2.1,22,4,35,18,50,S,2," CS",1,,,,,,,,,,,,
1903,1,25,"SAN JUAN - Capital",1903/01/25,761.9,-0.2,21,-1,31,17,49,SE,1,,0,,,,,,,,,,,,
1903,1,26,"SAN JUAN - Capital",1903/01/26,760.3,-1.6,23,2,37,20,44,SE,1,,0,,,,,,,,,,,,
1903,1,27,"SAN JUAN - Capital",1903/01/27,761.9,1.6,22,-1,34,19,43,E,1,,0,,,,,,,,,,,,
1903,1,28,"SAN JUAN - Capital",1903/01/28,757.9,-4,22,0,35,20,50,S,1,,0,,,,,,,,,,,,
1903,1,29,"SAN JUAN - Capital",1903/01/29,759.4,1.5,25,3,39,24,34,S,2,C,1,,,,,,,,,,,,
1903,1,30,"SAN JUAN - Capital",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"SAN JUAN - Capital",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"SAN JUAN - Capital",1903/02/01,762.7,3.9,25,2,31,22,47,,0,CS,1,,,,,,,,,,,,
1903,2,2,"SAN JUAN - Capital",1903/02/02,758.7,-4,24,-1,36,22,46,W,1,,0,,,,,,,,,,,,
1903,2,3,"SAN JUAN - Capital",1903/02/03,755.3,-3.4,24,0,37,23,39,SW,1,CS,1,,,,,,,,,,,,
1903,2,4,"SAN JUAN - Capital",1903/02/04,757.9,2.6,24,0,37,22,46,S,1,CK,2,,,,,,,,,,,,
1903,2,5,"SAN JUAN - Capital",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"SAN JUAN - Capital",1903/02/06,765.7,5,24,0,30,21,46,S,1,CK,1,,,,,,,,,,,,
1903,2,7,"SAN JUAN - Capital",1903/02/07,763.3,-2.4,22,-2,36,20,50,SW,1,CK,1,,,,,,,,,,,,
1903,2,8,"SAN JUAN - Capital",1903/02/08,762.5,-1,23,1,36,21,52,SW,1,,0,,,,,,,,,,,,
