,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"SANTA CRUZ - Mazaredo",1903/01/01,,,21,5,28,11,49,W,1,C,1,,,,,,,,,,,,
1903,1,2,"SANTA CRUZ - Mazaredo",1903/01/02,749.3,,18,-3,26,10,53,W,3,,0,,,,,,,,,,,,
1903,1,3,"SANTA CRUZ - Mazaredo",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"SANTA CRUZ - Mazaredo",1903/01/04,751.7,-7,20,2,21,9,53,W,1,S,1,,,,,,,,,,,,
1903,1,5,"SANTA CRUZ - Mazaredo",1903/01/05,755,3.3,18,0,22,11,62,S,2,C,1,,,,,,,,,,,,
1903,1,6,"SANTA CRUZ - Mazaredo",1903/01/06,755.8,0.8,17,-1,24,9,43,NW,1,C,1,,,,,,,,,,,,
1903,1,7,"SANTA CRUZ - Mazaredo",1903/01/07,752.4,-3.4,20,3,25,10,47,NW,1,C,1,,,,,,,,,,,,
1903,1,8,"SANTA CRUZ - Mazaredo",1903/01/08,748.8,-3.6,20,0,29,11,47,W,1,S,1,,,,,,,,,,,,
1903,1,9,"SANTA CRUZ - Mazaredo",1903/01/09,746.4,-2.4,10,-10,26,5,62,SW,2,N,3,,,,,,,,,,,,
1903,1,10,"SANTA CRUZ - Mazaredo",1903/01/10,755.9,9.5,11,1,23,5,41,S,1,KN,2,,,,,,,,,,,,
1903,1,11,"SANTA CRUZ - Mazaredo",1903/01/11,755.1,-0.8,14,3,22,8,47,SW,2,C,1,,,,,,,,,,,,
1903,1,12,"SANTA CRUZ - Mazaredo",1903/01/12,754.7,-0.4,13,-1,22,9,66,,,N,3,,,,,,,,,,,,
1903,1,13,"SANTA CRUZ - Mazaredo",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"SANTA CRUZ - Mazaredo",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"SANTA CRUZ - Mazaredo",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"SANTA CRUZ - Mazaredo",1903/01/16,759.4,4.9,10,-1,20,7,86,N,2,S,1,,,,,,,,,,,,
1903,1,17,"SANTA CRUZ - Mazaredo",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"SANTA CRUZ - Mazaredo",1903/01/18,746,-4.4,14,0,23,11,57,W,2,C,1,,,,,,,,,,,,
1903,1,19,"SANTA CRUZ - Mazaredo",1903/01/19,748.3,2.3,11,-3,24,6,63,SW,3,K,3,,,,,,,,,,,,
1903,1,20,"SANTA CRUZ - Mazaredo",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"SANTA CRUZ - Mazaredo",1903/01/21,752.5,-2.5,11,2,21,8,75,W,1,N,3,,,,,,,,,,,,
1903,1,22,"SANTA CRUZ - Mazaredo",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"SANTA CRUZ - Mazaredo",1903/01/23,754.7,-5,15,8,18,6,58,S,2,S,1,,,,,,,,,,,,
1903,1,24,"SANTA CRUZ - Mazaredo",1903/01/24,753.4,7.7,15,0,19,8,58,W,1,C,1,,,,,,,,,,,,
1903,1,25,"SANTA CRUZ - Mazaredo",1903/01/25,746.9,-6.5,18,3,28,14,32,W,2,K,2,,,,,,,,,,,,
1903,1,26,"SANTA CRUZ - Mazaredo",1903/01/26,752.3,5.4,15,-3,26,8,89,NW,2,C,1,,,,,,,,,,,,
1903,1,27,"SANTA CRUZ - Mazaredo",1903/01/27,755.1,2.8,12,-3,26,7,54,,0,K,2,,,,,,,,,,,,
1903,1,28,"SANTA CRUZ - Mazaredo",1903/01/28,741.7,-13.4,16,4,29,10,50,W,2,C,1,,,,,,,,,,,,
1903,1,29,"SANTA CRUZ - Mazaredo",1903/01/29,749,7.3,14,-2,27,6,57,W,2,C,1,,,,,,,,,,,,
1903,1,30,"SANTA CRUZ - Mazaredo",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"SANTA CRUZ - Mazaredo",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"SANTA CRUZ - Mazaredo",1903/02/01,757.8,,14,,26,12,67,NW,1,C,2,,,,,,,,,,,,
1903,2,2,"SANTA CRUZ - Mazaredo",1903/02/02,748.6,-9.2,18,-4,23,10,44,W,2,CS,1,,,,,,,,,,,,
1903,2,3,"SANTA CRUZ - Mazaredo",1903/02/03,746.9,-1.7,14,-4,28,13,57,S,3,CK,2,,,,,,,,,,,,
1903,2,4,"SANTA CRUZ - Mazaredo",1903/02/04,752.2,5.3,14,0,26,8,,NW,2,CS,3,,,,,,,,,,,,
1903,2,5,"SANTA CRUZ - Mazaredo",1903/02/05,755.7,3.5,17,3,24,14,61,NW,2,CK,2,,,,,,,,,,,,
1903,2,6,"SANTA CRUZ - Mazaredo",1903/02/06,761.6,5.9,18,1,26,10,62,,,CK,2,,,,,,,,,,,,
1903,2,7,"SANTA CRUZ - Mazaredo",1903/02/07,756.6,-5,21,3,30,15,73,NW,1,CK,2,,,,,,,,,,,,
1903,2,8,"SANTA CRUZ - Mazaredo",1903/02/08,761.8,5.2,14,-7,30,12,100,SW,3,SK,1,,,,,,,,,,,,
1903,2,9,"SANTA CRUZ - Mazaredo",1903/02/09,758.6,-3.2,13,-1,24,12,55,E,1,N,1,,,,,,,,,,,,
1903,2,10,"SANTA CRUZ - Mazaredo",1903/02/10,753.9,-4.7,12,-1,23,9,76,,0,C,2,,,,,,,,,,,,
1903,2,11,"SANTA CRUZ - Mazaredo",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"SANTA CRUZ - Mazaredo",1903/02/12,750.6,,8,,25,6,86,W,2,CK,1,,,,,,,,,,,,
1903,2,13,"SANTA CRUZ - Mazaredo",1903/02/13,754.6,4,9,1,18,3,61,W,2,CS,1,,,,,,,,,,,,
1903,2,14,"SANTA CRUZ - Mazaredo",1903/02/14,746.9,-7.7,15,6,16,9,39,W,1,C,1,,,,,,,,,,,,
1903,2,15,"SANTA CRUZ - Mazaredo",1903/02/15,741,-5.9,12,-3,27,9,54,NW,1,KN,2,,,,,,,,,,,,
