,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"SANTIAGO - Corral",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"SANTIAGO - Corral",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"SANTIAGO - Corral",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"SANTIAGO - Corral",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"SANTIAGO - Corral",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"SANTIAGO - Corral",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"SANTIAGO - Corral",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"SANTIAGO - Corral",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"SANTIAGO - Corral",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"SANTIAGO - Corral",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"SANTIAGO - Corral",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"SANTIAGO - Corral",1903/01/12,760.8,5.6,23,,41,18,74,SE,1,S,2,,,,,,,,,,,,
1903,1,13,"SANTIAGO - Corral",1903/01/13,,,26,3,37,19,62,NE,1,,0,,,,,,,,,,,,
1903,1,14,"SANTIAGO - Corral",1903/01/14,757.5,,28,2,41,23,51,NE,2,C,1,,,,,,,,,,,,
1903,1,15,"SANTIAGO - Corral",1903/01/15,,,29,,,22,52,S,1,CS,1,,,,,,,,,,,,
1903,1,16,"SANTIAGO - Corral",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"SANTIAGO - Corral",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"SANTIAGO - Corral",1903/01/18,758.1,-2.3,23,0,28,22,74,E,1,,2,,,,,,,,,,,,
1903,1,19,"SANTIAGO - Corral",1903/01/19,755.6,-2.5,21,-2,27,18,82,NW,1,N,3,,,,,,,,,,,,
1903,1,20,"SANTIAGO - Corral",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"SANTIAGO - Corral",1903/01/21,766.1,,16,1,29,12,89,SW,1,,,,,,,,,,,,,,
1903,1,22,"SANTIAGO - Corral",1903/01/22,757.1,-9,18,2,33,16,71,N,1,,,,,,,,,,,,,,
1903,1,23,"SANTIAGO - Corral",1903/01/23,765.6,8.5,19,1,34,17,63,,,N,2,,,,,,,,,,,,
1903,1,24,"SANTIAGO - Corral",1903/01/24,761.4,-4.2,20,1,32,17,64,,,,,,,,,,,,,,,,
1903,1,25,"SANTIAGO - Corral",1903/01/25,762.7,1.3,24,4,39,20,67,,0,CS,1,,,,,,,,,,,,
1903,1,26,"SANTIAGO - Corral",1903/01/26,761.1,-1.6,26,2,40,23,69,N,1,,0,,,,,,,,,,,,
1903,1,27,"SANTIAGO - Corral",1903/01/27,763.2,2.1,28,2,39,23,57,N,1,,0,,,,,,,,,,,,
1903,1,28,"SANTIAGO - Corral",1903/01/28,756.6,-6.6,27,-1,39,21,63,N,1,,0,,,,,,,,,,,,
1903,1,29,"SANTIAGO - Corral",1903/01/29,757.1,0.5,32,5,40,25,49,N,1,,0,,,,,,,,,,,,
1903,1,30,"SANTIAGO - Corral",1903/01/30,763.1,6.4,24,-6,44,20,91,S,1,KN,1,,,,,,,,,,,,
1903,1,31,"SANTIAGO - Corral",1903/01/31,,,25,1,35,24,92,E,1,,0,,,,,,,,,,,,
1903,2,1,"SANTIAGO - Corral",1903/02/01,756.5,,27,2,37,24,69,N,1,,,,,,,,,,,,,,
1903,2,2,"SANTIAGO - Corral",1903/02/02,754,-2.5,26,-1,40,26,100,,,C,1,,,,,,,,,,,,
