,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"San Antonio",1903/01/01,760.9,-3.1,23,5,35,18,66,N,3,K,1,,,,,,,,,,,,
1903,1,2,"San Antonio",1903/01/02,758.8,-2.1,23,0,36,21,74,N,3,SK,2,,,,,,,,,,,,
1903,1,3,"San Antonio",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"San Antonio",1903/01/04,756.9,-3,24,5,34,18,67,NE,2,SK,2,,,,,,,,,,,,
1903,1,5,"San Antonio",1903/01/05,757.3,0.4,20,-4,40,18,91,S,1,CN,2,,,,,,,,,,,,
1903,1,6,"San Antonio",1903/01/06,761.5,4.2,18,-2,23,16,100,S,1,CK,2,,,,,,,,,,,,
1903,1,7,"San Antonio",1903/01/07,757.2,-4.3,28,10,,16,63,N,1,C,1,,,,,,,,,,,,
1903,1,8,"San Antonio",1903/01/08,754.4,-2.8,28,0,33,16,57,N,2,K,1,,,,,,,,,,,,
1903,1,9,"San Antonio",1903/01/09,758.4,4,19,-9,39,17,63,W,3,CN,2,,,,,,,,,,,,
1903,1,10,"San Antonio",1903/01/10,759.5,1.1,18,-1,25,17,71,N,1,S,2,,,,,,,,,,,,
1903,1,11,"San Antonio",1903/01/11,,,17,-1,,14,90,S,1,S,2,,,,,,,,,,,,
1903,1,12,"San Antonio",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"San Antonio",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"San Antonio",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"San Antonio",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"San Antonio",1903/01/16,759.1,5.8,17,-6,28,15,90,E,1,SK,2,,,,,,,,,,,,
1903,1,17,"San Antonio",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"San Antonio",1903/01/18,755.3,-3.3,17,3,26,15,80,NE,1,,0,,,,,,,,,,,,
1903,1,19,"San Antonio",1903/01/19,756.4,1.1,16,-1,32,13,59,S,2,,0,,,,,,,,,,,,
1903,1,20,"San Antonio",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"San Antonio",1903/01/21,757.9,-2.5,15,0,20,12,68,S,1,S,2,,,,,,,,,,,,
1903,1,22,"San Antonio",1903/01/22,757.2,-0.7,12,-3,21,10,88,SW,3,SN,1,,,,,,,,,,,,
1903,1,23,"San Antonio",1903/01/23,755.9,-1.3,14,2,20,13,89,W,1,SK,2,,,,,,,,,,,,
1903,1,24,"San Antonio",1903/01/24,759.9,5.7,16,2,25,11,79,W,2,,0,,,,,,,,,,,,
1903,1,25,"San Antonio",1903/01/25,758.1,-1.8,19,3,28,15,72,W,1,,0,,,,,,,,,,,,
1903,1,26,"San Antonio",1903/01/26,757.1,-1,20,1,40,18,72,W,1,CS,1,,,,,,,,,,,,
1903,1,27,"San Antonio",1903/01/27,763.7,6.6,16,-4,28,12,89,,0,,0,,,,,,,,,,,,
1903,1,28,"San Antonio",1903/01/28,749.3,-14.4,24,7,33,12,53,N,2,SK,1,,,,,,,,,,,,
