,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"San Carlos",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"San Carlos",1903/01/02,,,16,,30,14,100,SW,1,,0,,,,,,,,,,,,
1903,1,3,"San Carlos",1903/01/03,763.6,,17,1,30,16,90,SW,1,N,2,,,,,,,,,,,,
1903,1,4,"San Carlos",1903/01/04,762.8,-0.8,16,-1,30,15,89,,0,,0,,,,,,,,,,,,
1903,1,5,"San Carlos",1903/01/05,,,20,4,31,14,64,NW,1,K,1,,,,,,,,,,,,
1903,1,6,"San Carlos",1903/01/06,,,15,-5,32,14,89,SW,1,,0,,,,,,,,,,,,
1903,1,7,"San Carlos",1903/01/07,761.5,,15,0,30,14,100,,0,,0,,,,,,,,,,,,
1903,1,8,"San Carlos",1903/01/08,760.6,-0.9,19,4,33,12,46,SW,1,,0,,,,,,,,,,,,
1903,1,9,"San Carlos",1903/01/09,759.2,-1.4,20,1,34,15,64,NW,1,C,1,,,,,,,,,,,,
1903,1,10,"San Carlos",1903/01/10,,,17,-3,40,16,90,N,1,,0,,,,,,,,,,,,
1903,1,11,"San Carlos",1903/01/11,756.5,,17,0,35,16,90,W,1,C,1,,,,,,,,,,,,
1903,1,12,"San Carlos",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"San Carlos",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"San Carlos",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"San Carlos",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"San Carlos",1903/01/16,756.1,,19,2,37,18,90,NW,1,,0,,,,,,,,,,,,
1903,1,17,"San Carlos",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"San Carlos",1903/01/18,,,17,-2,33,15,90,W,1,,0,,,,,,,,,,,,
1903,1,19,"San Carlos",1903/01/19,,,16,-1,35,15,89,NW,1,,0,,,,,,,,,,,,
1903,1,20,"San Carlos",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"San Carlos",1903/01/21,,,10,-5,32,10,100,W,1,,0,,,,,,,,,,,,
1903,1,22,"San Carlos",1903/01/22,757.9,,11,1,26,10,100,NW,1,,0,,,,,,,,,,,,
1903,1,23,"San Carlos",1903/01/23,,,17,6,35,16,43,SW,1,K,2,,,,,,,,,,,,
1903,1,24,"San Carlos",1903/01/24,762.5,,13,-4,30,12,100,NW,1,,0,,,,,,,,,,,,
1903,1,25,"San Carlos",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"San Carlos",1903/01/26,,,16,,33,15,89,NW,1,,0,,,,,,,,,,,,
1903,1,27,"San Carlos",1903/01/27,762,,15,-1,35,14,89,N,1,K,1,,,,,,,,,,,,
1903,1,28,"San Carlos",1903/01/28,758.6,-3.4,16,1,31,15,89,NW,1,N,1,,,,,,,,,,,,
1903,1,29,"San Carlos",1903/01/29,758,-0.6,21,5,30,16,65,S,1,,0,,,,,,,,,,,,
1903,1,30,"San Carlos",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"San Carlos",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"San Carlos",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"San Carlos",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"San Carlos",1903/02/03,756.5,,23,,33,17,59,NW,1,,0,,,,,,,,,,,,
1903,2,4,"San Carlos",1903/02/04,755.6,-0.9,20,-3,35,19,91,SW,1,N,1,,,,,,,,,,,,
1903,2,5,"San Carlos",1903/02/05,760.4,4.8,18,-2,37,16,90,SW,1,,0,,,,,,,,,,,,
1903,2,6,"San Carlos",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"San Carlos",1903/02/07,,,18,,29,17,90,NW,1,N,2,,,,,,,,,,,,
1903,2,8,"San Carlos",1903/02/08,764.3,,19,1,29,18,90,SW,1,K,3,,,,,,,,,,,,
1903,2,9,"San Carlos",1903/02/09,,,18,-1,31,16,90,E,1,K,3,,,,,,,,,,,,
1903,2,10,"San Carlos",1903/02/10,761.8,,16,-2,28,15,100,W,1,,0,,,,,,,,,,,,
1903,2,11,"San Carlos",1903/02/11,758.5,-3.3,17,1,32,16,90,SW,1,,0,,,,,,,,,,,,
1903,2,12,"San Carlos",1903/02/12,755.4,-3.1,20,3,33,19,91,W,1,N,2,,,,,,,,,,,,
1903,2,13,"San Carlos",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"San Carlos",1903/02/14,759.8,,20,,34,20,90,W,1,K,2,,,,,,,,,,,,
1903,2,15,"San Carlos",1903/02/15,756.7,-3.1,22,2,34,17,66,NW,1,,0,,,,,,,,,,,,
