,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"San Lorenzo",1903/01/01,766.1,-1,17,0,25,13,80,SE,2,S,1,,,,,,,,,,,,
1903,1,2,"San Lorenzo",1903/01/02,763.9,-2.2,20,3,27,15,81,SE,2,S,1,,,,,,,,,,,,
1903,1,3,"San Lorenzo",1903/01/03,765.3,1.4,20,0,30,17,72,,,S,1,,,,,,,,,,,,
1903,1,4,"San Lorenzo",1903/01/04,765.3,0,21,1,31,17,65,E,2,S,1,,,,,,,,,,,,
1903,1,5,"San Lorenzo",1903/01/05,763.6,-1.7,23,2,32,16,52,E,2,S,1,,,,,,,,,,,,
1903,1,6,"San Lorenzo",1903/01/06,763.9,0.3,24,1,33,17,67,E,1,S,1,,,,,,,,,,,,
1903,1,7,"San Lorenzo",1903/01/07,763.2,-0.7,27,3,34,23,49,E,1,SK,2,,,,,,,,,,,,
1903,1,8,"San Lorenzo",1903/01/08,761.7,-1.5,26,-1,34,20,62,E,1,S,1,,,,,,,,,,,,
1903,1,9,"San Lorenzo",1903/01/09,760,-1.7,28,2,36,21,57,NE,2,S,1,,,,,,,,,,,,
1903,1,10,"San Lorenzo",1903/01/10,759.6,-0.4,26,-2,38,23,69,N,2,S,2,,,,,,,,,,,,
1903,1,11,"San Lorenzo",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"San Lorenzo",1903/01/12,760.7,,21,,36,19,91,S,1,KN,2,,,,,,,,,,,,
1903,1,13,"San Lorenzo",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"San Lorenzo",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"San Lorenzo",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"San Lorenzo",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"San Lorenzo",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"San Lorenzo",1903/01/18,758.3,-1.8,25,3,28,21,76,SE,2,S,1,,,,,,,,,,,,
1903,1,19,"San Lorenzo",1903/01/19,755,-3.3,24,-1,32,20,83,SE,1,S,1,,,,,,,,,,,,
1903,1,20,"San Lorenzo",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"San Lorenzo",1903/01/21,764.4,8.7,15,-5,24,10,78,W,1,C,1,,,,,,,,,,,,
1903,1,22,"San Lorenzo",1903/01/22,760,-4.4,19,4,26,12,63,W,1,S,1,,,,,,,,,,,,
1903,1,23,"San Lorenzo",1903/01/23,764.1,4.1,17,-2,30,14,61,S,2,S,2,,,,,,,,,,,,
1903,1,24,"San Lorenzo",1903/01/24,762,-2.1,19,2,27,13,63,SE,1,S,1,,,,,,,,,,,,
1903,1,25,"San Lorenzo",1903/01/25,764.8,2.8,20,1,33,16,55,E,2,S,1,,,,,,,,,,,,
1903,1,26,"San Lorenzo",1903/01/26,763.9,-0.9,20,0,29,15,55,,,S,1,,,,,,,,,,,,
1903,1,27,"San Lorenzo",1903/01/27,762.7,-1.2,21,1,34,16,65,SE,1,S,1,,,,,,,,,,,,
1903,1,28,"San Lorenzo",1903/01/28,758.1,-4.6,27,6,37,21,56,E,1,KS,2,,,,,,,,,,,,
1903,1,29,"San Lorenzo",1903/01/29,760.1,2,21,-6,34,19,91,NE,2,N,3,,,,,,,,,,,,
1903,1,30,"San Lorenzo",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"San Lorenzo",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"San Lorenzo",1903/02/01,761,2.8,23,-3,37,22,91,E,2,N,3,,,,,,,,,,,,
1903,2,2,"San Lorenzo",1903/02/02,761.3,0.3,24,1,26,22,91,NW,1,KS,2,,,,,,,,,,,,
1903,2,3,"San Lorenzo",1903/02/03,757.6,-3.7,27,3,32,24,77,N,1,C,1,,,,,,,,,,,,
1903,2,4,"San Lorenzo",1903/02/04,756,-1.6,27,0,34,25,77,N,2,KN,2,,,,,,,,,,,,
1903,2,5,"San Lorenzo",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"San Lorenzo",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"San Lorenzo",1903/02/07,765,,21,,32,18,91,SE,1,S,1,,,,,,,,,,,,
1903,2,8,"San Lorenzo",1903/02/08,765.9,0.9,23,2,39,17,74,SE,2,C,1,,,,,,,,,,,,
1903,2,9,"San Lorenzo",1903/02/09,764.7,-1.2,20,-3,31,17,81,E,1,S,1,,,,,,,,,,,,
1903,2,10,"San Lorenzo",1903/02/10,762.9,-1.8,24,4,31,20,75,E,1,C,1,,,,,,,,,,,,
1903,2,11,"San Lorenzo",1903/02/11,759.8,-3.1,25,1,37,21,68,N,2,S,1,,,,,,,,,,,,
1903,2,12,"San Lorenzo",1903/02/12,758.4,-1.4,22,-3,34,21,91,NE,1,S,1,,,,,,,,,,,,
1903,2,13,"San Lorenzo",1903/02/13,758.6,0.2,27,5,35,24,63,NE,2,S,2,,,,,,,,,,,,
1903,2,14,"San Lorenzo",1903/02/14,760.6,2,21,-6,35,20,100,S,1,KN,3,,,,,,,,,,,,
1903,2,15,"San Lorenzo",1903/02/15,758.3,-2.3,26,5,31,21,76,,,S,1,,,,,,,,,,,,
1903,2,16,"San Lorenzo",1903/02/16,755,-3.3,27,1,31,24,77,N,2,KN,2,,,,,,,,,,,,
1903,2,17,"San Lorenzo",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"San Lorenzo",1903/02/18,759,,27,,33,25,84,NE,1,KN,3,,,,,,,,,,,,
1903,2,19,"San Lorenzo",1903/02/19,760.8,1.8,20,-7,27,19,91,S,1,KS,2,,,,,,,,,,,,
1903,2,20,"San Lorenzo",1903/02/20,759,-1.8,24,4,28,20,91,E,1,KN,3,Rt,,,,,,,,,,,
1903,2,21,"San Lorenzo",1903/02/21,761.8,2.8,22,-2,24,20,91,SW,1,S,2,,,,,,,,,,,,
1903,2,22,"San Lorenzo",1903/02/22,762.7,0.9,20,-2,28,18,91,S,1,K,1,,,,,,,,,,,,
1903,2,23,"San Lorenzo",1903/02/23,762.1,-0.6,23,3,29,19,83,SE,1,S,1,,,,,,,,,,,,
1903,2,24,"San Lorenzo",1903/02/24,759,-3.1,24,1,32,20,75,NE,1,C,1,,,,,,,,,,,,
1903,2,25,"San Lorenzo",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"San Lorenzo",1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,"San Lorenzo",1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,"San Lorenzo",1903/02/28,760.1,,17,,25,16,70,S,2,CS,1,,,,,,,,,,,,
1903,3,1,"San Lorenzo",1903/03/01,764,-2.1,19,2,25,16,72,S,2,KS,2,,,,,,,,,,,,
1903,3,2,"San Lorenzo",1903/03/02,760.9,-3.1,20,1,,,,SE,2,KS,1,,,,,,,,,,,,
1903,3,3,"San Lorenzo",1903/03/03,760.8,-0.1,24,4,29,19,91,E,1,KS,1,,,,,,,,,,,,
1903,3,4,"San Lorenzo",1903/03/04,762.3,1.5,24,0,31,22,83,S,1,S,1,,,,,,,,,,,,
1903,3,5,"San Lorenzo",1903/03/05,762.4,0.1,23,-1,30,20,74,S,1,S,1,,,,,,,,,,,,
1903,3,6,"San Lorenzo",1903/03/06,759.2,-3.2,22,-1,30,20,82,E,2,S,1,,,,,,,,,,,,
1903,3,7,"San Lorenzo",1903/03/07,759.7,0.5,26,4,32,22,83,NE,1,S,1,,,,,,,,,,,,
1903,3,8,"San Lorenzo",1903/03/08,760.4,0.7,23,-3,32,21,74,S,2,K,3,,,,,,,,,,,,
1903,3,9,"San Lorenzo",1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,"San Lorenzo",1903/03/10,758.6,,22,,31,22,100,E,1,N,3,,,,,,,,,,,,
1903,3,11,"San Lorenzo",1903/03/11,761.3,2.7,21,-2,23,20,91,S,1,N,3,,,,,,,,,,,,
1903,3,12,"San Lorenzo",1903/03/12,763.7,2.4,21,1,27,19,82,SW,1,CS,1,,,,,,,,,,,,
1903,3,13,"San Lorenzo",1903/03/13,762.7,-1,22,0,30,21,91,S,1,S,3,,,,,,,,,,,,
1903,3,14,"San Lorenzo",1903/03/14,761.3,-1.4,21,-1,29,20,91,NE,1,KN,3,,,,,,,,,,,,
1903,3,15,"San Lorenzo",1903/03/15,762.8,1.5,20,-1,24,19,100,NE,1,N,3,,,,,,,,,,,,
1903,3,16,"San Lorenzo",1903/03/16,760.7,-2.1,23,3,27,20,91,NE,1,S,1,,,,,,,,,,,,
1903,3,17,"San Lorenzo",1903/03/17,760.1,-0.6,27,4,32,23,84,N,1,S,1,Rt,,,,,,,,,,,
1903,3,18,"San Lorenzo",1903/03/18,763.2,3.1,19,-8,29,17,90,SE,1,KN,3,,,,,,,,,,,,
1903,3,19,"San Lorenzo",1903/03/19,760.3,-2.9,21,2,27,18,91,E,2,S,1,,,,,,,,,,,,
1903,3,20,"San Lorenzo",1903/03/20,757.2,-3.1,22,1,30,20,91,N,2,N,3,,,,,,,,,,,,
1903,3,21,"San Lorenzo",1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,"San Lorenzo",1903/03/22,760.3,,26,,31,23,76,S,1,N,3,,,,,,,,,,,,
1903,3,23,"San Lorenzo",1903/03/23,762.6,2.3,23,-3,23,22,91,SE,1,N,3,,,,,,,,,,,,
1903,3,24,"San Lorenzo",1903/03/24,,,,,,,,,,,,,,,,,,,,,,,
1903,3,25,"San Lorenzo",1903/03/25,761.3,0.6,24,-2,33,22,91,E,2,S,1,,,,,,,,,,,,
1903,3,26,"San Lorenzo",1903/03/26,760.7,,26,,33,25,84,NE,2,S,1,,,,,,,,,,,,
1903,3,27,"San Lorenzo",1903/03/27,759.3,-2,25,1,33,23,76,NE,2,S,1,,,,,,,,,,,,
1903,3,28,"San Lorenzo",1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,"San Lorenzo",1903/03/29,758.2,,26,,34,24,84,NE,1,KN,2,,,,,,,,,,,,
1903,3,30,"San Lorenzo",1903/03/30,758.5,0.3,24,-2,27,21,91,SE,1,S,1,,,,,,,,,,,,
1903,3,31,"San Lorenzo",1903/03/31,761.3,2.8,21,-3,29,19,91,S,1,KS,2,,,,,,,,,,,,
1903,4,1,"San Lorenzo",1903/04/01,763.4,2.1,23,2,26,21,91,S,1,S,1,,,,,,,,,,,,
1903,4,2,"San Lorenzo",1903/04/02,764,0.6,21,-2,30,21,100,SE,1,S,1,,,,,,,,,,,,
1903,4,3,"San Lorenzo",1903/04/03,762.7,-1.3,21,0,30,20,91,SE,2,S,2,,,,,,,,,,,,
1903,4,4,"San Lorenzo",1903/04/04,762.7,0,22,1,29,20,91,SE,2,S,3,,,,,,,,,,,,
1903,4,5,"San Lorenzo",1903/04/05,762.5,-0.2,22,0,27,20,91,SE,1,S,1,,,,,,,,,,,,
1903,4,6,"San Lorenzo",1903/04/06,762.3,-0.2,22,0,30,20,91,SE,1,S,1,,,,,,,,,,,,
1903,4,7,"San Lorenzo",1903/04/07,761.7,-0.6,22,0,30,21,91,SE,1,KS,1,,,,,,,,,,,,
1903,4,8,"San Lorenzo",1903/04/08,761.9,0.2,21,-1,30,20,91,E,1,KS,2,,,,,,,,,,,,
1903,4,9,"San Lorenzo",1903/04/09,764.3,2.4,21,0,30,20,91,SE,1,KS,2,,,,,,,,,,,,
