,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"San Nicolas",1903/01/01,767.5,-1.3,18,0,24,14,71,NE,2,,0,,,,,,,,,,,,
1903,1,2,"San Nicolas",1903/01/02,766.5,-1,30,2,26,13,81,NE,1,C,1,,,,,,,,,,,,
1903,1,3,"San Nicolas",1903/01/03,765.8,-0.7,22,2,24,13,66,NE,2,C,1,,,,,,,,,,,,
1903,1,4,"San Nicolas",1903/01/04,764.8,-1,22,0,27,17,66,NE,2,C,1,,,,,,,,,,,,
1903,1,5,"San Nicolas",1903/01/05,763.3,-1.5,21,-1,23,17,65,NE,1,C,1,,,,,,,,,,,,
1903,1,6,"San Nicolas",1903/01/06,763.3,0,22,1,26,18,58,N,1,C,1,,,,,,,,,,,,
1903,1,7,"San Nicolas",1903/01/07,762.9,-0.4,24,2,,21,67,NE,2,K,2,,,,,,,,,,,,
1903,1,8,"San Nicolas",1903/01/08,760.8,-2.1,25,1,28,22,68,NE,1,C,2,,,,,,,,,,,,
1903,1,9,"San Nicolas",1903/01/09,758.8,-2,24,-1,27,22,75,N,1,K,3,,,,,,,,,,,,
1903,1,10,"San Nicolas",1903/01/10,758.5,-0.3,24,0,27,21,83,E,2,K,1,,,,,,,,,,,,
1903,1,11,"San Nicolas",1903/01/11,758.2,-0.3,20,-4,28,17,91,SE,1,N,3,PD,,,,,,,,,,,
1903,1,12,"San Nicolas",1903/01/12,761.5,3.3,21,1,22,14,82,E,1,K,1,,,,,,,,,,,,
1903,1,13,"San Nicolas",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"San Nicolas",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"San Nicolas",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"San Nicolas",1903/01/16,754.6,-3,20,-3,27,17,81,SE,3,N,3,PD,,,,,,,,,,,
1903,1,17,"San Nicolas",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"San Nicolas",1903/01/18,760,-1.5,19,1,25,15,90,NW,1,C,1,,,,,,,,,,,,
1903,1,19,"San Nicolas",1903/01/19,756,-3.4,23,4,30,17,59,E,1,CK,2,,,,,,,,,,,,
1903,1,20,"San Nicolas",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"San Nicolas",1903/01/21,759.8,3.1,12,-3,19,8,88,NW,2,,0,,,,,,,,,,,,
1903,1,22,"San Nicolas",1903/01/22,757.7,-2.1,,,27,,,SW,2,K,2,,,,,,,,,,,,
1903,1,23,"San Nicolas",1903/01/23,760.9,3.2,15,,,9,78,N,1,N,3,,,,,,,,,,,,
1903,1,24,"San Nicolas",1903/01/24,757,-3.9,19,4,28,16,63,NW,2,,0,,,,,,,,,,,,
1903,1,25,"San Nicolas",1903/01/25,763.5,6.5,19,0,28,11,72,,,,0,,,,,,,,,,,,
1903,1,26,"San Nicolas",1903/01/26,763.3,-0.2,21,2,30,17,57,NE,1,K,1,,,,,,,,,,,,
1903,1,27,"San Nicolas",1903/01/27,761,-2.3,22,1,30,18,74,E,1,K,1,,,,,,,,,,,,
1903,1,28,"San Nicolas",1903/01/28,759.1,-1.9,23,1,31,19,66,NE,1,N,3,,,,,,,,,,,,
1903,1,29,"San Nicolas",1903/01/29,756.6,-2.5,26,3,36,23,76,N,1,,0,,,,,,,,,,,,
1903,1,30,"San Nicolas",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"San Nicolas",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"San Nicolas",1903/02/01,760.8,3.3,22,-6,35,20,91,S,3,C,2,P,,,,,,,,,,,
1903,2,2,"San Nicolas",1903/02/02,760.8,0,21,-1,30,20,91,SE,2,N,3,,,,,,,,,,,,
1903,2,3,"San Nicolas",1903/02/03,755.6,-5.2,26,5,34,23,84,NE,1,C,1,,,,,,,,,,,,
1903,2,4,"San Nicolas",1903/02/04,755.1,-0.5,24,-2,36,22,83,SE,1,N,3,,,,,,,,,,,,
1903,2,5,"San Nicolas",1903/02/05,758.1,3,23,-1,34,22,100,E,1,N,3,Nl,,,,,,,,,,,
1903,2,6,"San Nicolas",1903/02/06,765.4,"7,,3",20,-3,27,16,91,E,1,,0,PD,,,,,,,,,,,
1903,2,7,"San Nicolas",1903/02/07,,,18,-2,31,16,80,SE,1,,0,,,,,,,,,,,,
1903,2,8,"San Nicolas",1903/02/08,767,,19,1,31,15,81,NE,1,,0,,,,,,,,,,,,
1903,2,9,"San Nicolas",1903/02/09,765.7,-1.3,20,1,30,17,64,NE,2,,0,,,,,,,,,,,,
1903,2,10,"San Nicolas",1903/02/10,763.1,-2.6,22,2,32,18,65,NE,1,,0,,,,,,,,,,,,
1903,2,11,"San Nicolas",1903/02/11,756.9,-6.2,25,3,33,21,68,N,1,,0,,,,,,,,,,,,
1903,2,12,"San Nicolas",1903/02/12,756.1,-0.8,24,-1,36,21,67,N,1,K,3,,,,,,,,,,,,
1903,2,13,"San Nicolas",1903/02/13,761.3,5.2,19,-5,34,18,100,SW,1,N,3,Rt,,,,,,,,,,,
1903,2,14,"San Nicolas",1903/02/14,760.8,-0.5,17,-2,27,17,100,SE,1,N,3,,,,,,,,,,,,
1903,2,15,"San Nicolas",1903/02/15,756.6,-4.2,24,7,27,19,75,E,1,,0,,,,,,,,,,,,
