,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"San Cristobal",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"San Cristobal",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"San Cristobal",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"San Cristobal",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"San Cristobal",1903/01/05,763,,23,,,15,52,N,3,CS,1,,,,,,,,,,,,
1903,1,6,"San Cristobal",1903/01/06,764.3,1.3,23,0,34,15,,N,2,C,2,,,,,,,,,,,,
1903,1,7,"San Cristobal",1903/01/07,762.7,-1.6,25,2,36,19,54,N,2,SK,2,,,,,,,,,,,,
1903,1,8,"San Cristobal",1903/01/08,762.2,-0.5,25,0,36,19,61,N,2,SK,1,,,,,,,,,,,,
1903,1,9,"San Cristobal",1903/01/09,760.4,-1.8,22,-3,35,20,82,NE,1,KN,3,,,,,,,,,,,,
1903,1,10,"San Cristobal",1903/01/10,757.8,-2.6,26,4,35,21,76,N,2,CK,2,,,,,,,,,,,,
1903,1,11,"San Cristobal",1903/01/11,758.7,0.9,24,-2,38,20,67,SE,3,KN,3,Rt,,,,,,,,,,,
1903,1,12,"San Cristobal",1903/01/12,760.6,1.9,22,-2,25,19,91,SE,2,N,2,,,,,,,,,,,,
1903,1,13,"San Cristobal",1903/01/13,760,-0.6,23,1,29,18,83,N,1,N,3,,,,,,,,,,,,
1903,1,14,"San Cristobal",1903/01/14,757.8,-2.2,23,0,,20,74,N,2,N,1,,,,,,,,,,,,
1903,1,15,"San Cristobal",1903/01/15,755.9,-1.9,24,1,33,20,75,,,KN,1,,,,,,,,,,,,
1903,1,16,"San Cristobal",1903/01/16,755,-0.9,19,-5,32,20,100,NE,3,N,3,,,,,,,,,,,,
1903,1,17,"San Cristobal",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"San Cristobal",1903/01/18,759.1,-0.5,22,0,32,18,74,E,1,N,3,,,,,,,,,,,,
1903,1,19,"San Cristobal",1903/01/19,754.6,-4.5,23,1,32,20,74,NE,1,CS,1,,,,,,,,,,,,
1903,1,20,"San Cristobal",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"San Cristobal",1903/01/21,763.7,4,16,-3,31,11,59,SW,1,C,1,,,,,,,,,,,,
1903,1,22,"San Cristobal",1903/01/22,760.5,-3.2,18,2,31,12,71,NE,2,SK,2,,,,,,,,,,,,
1903,1,23,"San Cristobal",1903/01/23,763.3,2.8,17,-1,39,11,80,SW,1,S,1,,,,,,,,,,,,
1903,1,24,"San Cristobal",1903/01/24,760.6,-2.7,20,3,31,14,55,SW,2,N,2,,,,,,,,,,,,
1903,1,25,"San Cristobal",1903/01/25,764,3.4,20,0,32,14,64,N,2,CS,2,,,,,,,,,,,,
1903,1,26,"San Cristobal",1903/01/26,763.2,-0.8,20,0,29,11,55,N,3,CK,2,,,,,,,,,,,,
1903,1,27,"San Cristobal",1903/01/27,761.6,-1.6,21,1,32,18,73,NE,1,CK,2,,,,,,,,,,,,
1903,1,28,"San Cristobal",1903/01/28,757.8,-3.8,,,35,19,,N,2,N,2,,,,,,,,,,,,
1903,1,29,"San Cristobal",1903/01/29,758.1,0.3,25,,37,21,76,NE,3,KN,2,,,,,,,,,,,,
1903,1,30,"San Cristobal",1903/01/30,760.2,2.6,23,-3,36,20,91,S,1,N,3,,,,,,,,,,,,
1903,1,31,"San Cristobal",1903/01/31,760.3,0.1,24,1,36,20,91,,,N,3,,,,,,,,,,,,
1903,2,1,"San Cristobal",1903/02/01,757,-3.3,27,3,35,23,84,N,1,CK,2,,,,,,,,,,,,
1903,2,2,"San Cristobal",1903/02/02,756.8,-0.2,23,-4,37,22,83,E,3,SK,2,,,,,,,,,,,,
1903,2,3,"San Cristobal",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"San Cristobal",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"San Cristobal",1903/02/05,764.8,5.5,21,-2,34,19,91,S,2,K,2,,,,,,,,,,,,
1903,2,6,"San Cristobal",1903/02/06,766.3,1.5,21,0,33,19,91,SE,2,CS,2,,,,,,,,,,,,
1903,2,7,"San Cristobal",1903/02/07,765.7,-0.6,19,-2,33,,90,E,1,CS,1,,,,,,,,,,,,
1903,2,8,"San Cristobal",1903/02/08,764.5,-1.2,23,4,32,12,66,E,1,C,1,,,,,,,,,,,,
1903,2,9,"San Cristobal",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"San Cristobal",1903/02/10,762.6,-1.9,23,0,33,17,74,N,2,C,1,,,,,,,,,,,,
1903,2,11,"San Cristobal",1903/02/11,758.3,-4.3,25,2,36,20,61,N,3,CS,3,,,,,,,,,,,,
1903,2,12,"San Cristobal",1903/02/12,757.4,-0.9,24,-1,38,22,67,N,2,C,2,,,,,,,,,,,,
1903,2,13,"San Cristobal",1903/02/13,759.3,1.9,23,-1,38,23,74,S,3,KN,3,,,,,,,,,,,,
1903,2,14,"San Cristobal",1903/02/14,762.2,2.9,21,-2,30,19,91,SE,1,CS,2,,,,,,,,,,,,
