,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Santa Cruz",1903/01/01,,,16,-2,,8,59,,0,S,1,,,,,,,,,,,,
1903,1,2,"Santa Cruz",1903/01/02,,,20,4,,12,55,NW,1,K,2,,,,,,,,,,,,
1903,1,3,"Santa Cruz",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Santa Cruz",1903/01/04,,,17,4,,10,43,,0,K,3,,,,,,,,,,,,
1903,1,5,"Santa Cruz",1903/01/05,,,16,-1,,7,41,NW,2,,0,,,,,,,,,,,,
1903,1,6,"Santa Cruz",1903/01/06,,,14,-2,,9,67,,0,K,2,,,,,,,,,,,,
1903,1,7,"Santa Cruz",1903/01/07,,,18,4,,7,71,W,3,N,3,,,,,,,,,,,,
1903,1,8,"Santa Cruz",1903/01/08,,,17,-1,,9,43,W,2,C,1,,,,,,,,,,,,
1903,1,9,"Santa Cruz",1903/01/09,,,5,-12,,3,100,NW,3,N,3,,,,,,,,,,,,
1903,1,10,"Santa Cruz",1903/01/10,,,8,3,,4,72,W,2,,0,,,,,,,,,,,,
1903,1,11,"Santa Cruz",1903/01/11,,,10,2,,7,74,,0,,0,,,,,,,,,,,,
1903,1,12,"Santa Cruz",1903/01/12,,,15,5,,8,58,,0,C,1,,,,,,,,,,,,
1903,1,13,"Santa Cruz",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Santa Cruz",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Santa Cruz",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Santa Cruz",1903/01/16,,,11,0,,3,75,,0,,0,,,,,,,,,,,,
1903,1,17,"Santa Cruz",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Santa Cruz",1903/01/18,,,15,-2,,10,48,N,3,C,1,,,,,,,,,,,,
1903,1,19,"Santa Cruz",1903/01/19,,,11,-4,,11,100,NW,3,N,3,,,,,,,,,,,,
