,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Sierra Grande",1903/01/01,759.7,-2.8,24,3,32,17,33,N,1,C,1,,,,,,,,,,,,
1903,1,2,"Sierra Grande",1903/01/02,757.8,-1.9,22,-2,32,21,58,N,2,C,2,,,,,,,,,,,,
1903,1,3,"Sierra Grande",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"Sierra Grande",1903/01/04,756.3,-5,20,0,34,17,72,NE,1,C,2,,,,,,,,,,,,
1903,1,5,"Sierra Grande",1903/01/05,758.7,2.4,18,-2,32,16,80,S,2,K,2,,,,,,,,,,,,
1903,1,6,"Sierra Grande",1903/01/06,,,20,2,26,11,64,,0,,0,,,,,,,,,,,,
1903,1,7,"Sierra Grande",1903/01/07,757.1,,27,7,31,20,63,S,2,C,1,,,,,,,,,,,,
1903,1,8,"Sierra Grande",1903/01/08,753.2,-3.9,26,-1,33,21,48,E,1,C,1,,,,,,,,,,,,
1903,1,9,"Sierra Grande",1903/01/09,758.1,4.9,17,-9,37,14,26,W,3,C,1,,,,,,,,,,,,
1903,1,10,"Sierra Grande",1903/01/10,759.8,1.7,16,-1,23,10,,S,1,K,2,,,,,,,,,,,,
1903,1,11,"Sierra Grande",1903/01/11,761.3,1.5,16,0,24,12,59,S,1,C,2,,,,,,,,,,,,
1903,1,12,"Sierra Grande",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"Sierra Grande",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Sierra Grande",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Sierra Grande",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Sierra Grande",1903/01/16,760.1,6.9,13,-8,26,11,55,E,1,N,3,,,,,,,,,,,,
1903,1,17,"Sierra Grande",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Sierra Grande",1903/01/18,754.3,-4,20,5,25,13,40,W,1,C,1,,,,,,,,,,,,
1903,1,19,"Sierra Grande",1903/01/19,755.4,1.1,14,-6,27,10,66,SW,2,C,1,,,,,,,,,,,,
1903,1,20,"Sierra Grande",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Sierra Grande",1903/01/21,757,-2.3,13,-1,21,11,77,SW,2,N,3,,,,,,,,,,,,
1903,1,22,"Sierra Grande",1903/01/22,756.7,-0.3,10,-3,21,9,74,S,2,C,1,,,,,,,,,,,,
1903,1,23,"Sierra Grande",1903/01/23,753.6,-3.1,13,3,21,9,66,,,N,3,,,,,,,,,,,,
1903,1,24,"Sierra Grande",1903/01/24,759,5.4,14,1,25,11,47,NW,2,,0,,,,,,,,,,,,
1903,1,25,"Sierra Grande",1903/01/25,755.4,-3.6,24,10,27,14,83,SW,1,,0,,,,,,,,,,,,
1903,1,26,"Sierra Grande",1903/01/26,757.3,1.9,25,1,36,17,28,,0,C,1,,,,,,,,,,,,
1903,1,27,"Sierra Grande",1903/01/27,763.6,6.3,17,-8,29,12,89,NE,1,,0,,,,,,,,,,,,
1903,1,28,"Sierra Grande",1903/01/28,748.6,-15,21,3,29,16,41,W,1,N,2,,,,,,,,,,,,
1903,1,29,"Sierra Grande",1903/01/29,757.5,8.9,17,-4,31,13,26,S,1,,0,,,,,,,,,,,,
1903,1,30,"Sierra Grande",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Sierra Grande",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Sierra Grande",1903/02/01,,,16,,26,11,69,NW,1,,0,,,,,,,,,,,,
1903,2,2,"Sierra Grande",1903/02/02,758.4,,22,6,31,17,66,NW,1,C,2,,,,,,,,,,,,
1903,2,3,"Sierra Grande",1903/02/03,751.7,-6.7,20,-2,35,19,32,NW,2,C,2,,,,,,,,,,,,
1903,2,4,"Sierra Grande",1903/02/04,757.7,6,16,-4,32,12,59,SW,1,,0,,,,,,,,,,,,
1903,2,5,"Sierra Grande",1903/02/05,760.3,2.6,19,3,27,9,54,S,1,C,2,,,,,,,,,,,,
1903,2,6,"Sierra Grande",1903/02/06,764.6,4.3,18,-1,29,13,80,SW,2,,0,,,,,,,,,,,,
1903,2,7,"Sierra Grande",1903/02/07,761.1,-3.5,23,5,33,23,59,S,2,S,1,,,,,,,,,,,,
1903,2,8,"Sierra Grande",1903/02/08,761.2,0.1,22,0,36,19,82,SW,2,C,1,,,,,,,,,,,,
1903,2,9,"Sierra Grande",1903/02/09,758,-3.2,23,1,36,20,52,N,1,,0,,,,,,,,,,,,
1903,2,10,"Sierra Grande",1903/02/10,,,21,-2,37,19,49,S,2,,0,,,,,,,,,,,,
1903,2,11,"Sierra Grande",1903/02/11,,,15,-6,30,13,48,SW,,C,2,,,,,,,,,,,,
1903,2,12,"Sierra Grande",1903/02/12,756.2,,13,-2,29,12,66,SW,2,K,2,,,,,,,,,,,,
1903,2,13,"Sierra Grande",1903/02/13,762.3,6.1,12,-1,23,10,33,SW,1,,0,,,,,,,,,,,,
1903,2,14,"Sierra Grande",1903/02/14,756.7,-5.6,16,4,26,11,59,W,1,S,1,,,,,,,,,,,,
1903,2,15,"Sierra Grande",1903/02/15,750.4,-6.3,17,1,30,13,43,,0,S,1,,,,,,,,,,,,
1903,2,16,"Sierra Grande",1903/02/16,748.7,-1.7,11,-6,28,9,41,W,2,C,1,,,,,,,,,,,,
