,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"TUCUMAN - Capital",1903/01/01,766.5,-0.9,18,1,20,17,90,,0,N,3,,,,,,,,,,,,
1903,1,2,"TUCUMAN - Capital",1903/01/02,764.2,-2.3,19,1,25,18,90,,0,K,2,,,,,,,,,,,,
1903,1,3,"TUCUMAN - Capital",1903/01/03,763.5,-0.7,19,0,29,17,90,NE,1,C,1,,,,,,,,,,,,
1903,1,4,"TUCUMAN - Capital",1903/01/04,761.8,-1.7,19,0,30,18,90,N,1,,0,,,,,,,,,,,,
1903,1,5,"TUCUMAN - Capital",1903/01/05,760.3,-1.5,21,2,32,20,91,N,1,C,1,,,,,,,,,,,,
1903,1,6,"TUCUMAN - Capital",1903/01/06,761.8,1.5,20,-1,33,18,91,,0,C,1,,,,,,,,,,,,
1903,1,7,"TUCUMAN - Capital",1903/01/07,761.3,-0.5,20,0,31,18,81,W,1,K,1,,,,,,,,,,,,
1903,1,8,"TUCUMAN - Capital",1903/01/08,761.6,0.3,20,0,33,18,81,,0,S,1,,,,,,,,,,,,
1903,1,9,"TUCUMAN - Capital",1903/01/09,759,-2.6,22,2,34,20,82,N,1,,0,,,,,,,,,,,,
1903,1,10,"TUCUMAN - Capital",1903/01/10,759.1,0.1,23,1,37,20,83,N,1,,0,,,,,,,,,,,,
1903,1,11,"TUCUMAN - Capital",1903/01/11,756.1,-3,23,0,38,21,83,N,1,K,2,,,,,,,,,,,,
1903,1,12,"TUCUMAN - Capital",1903/01/12,763.2,7.1,20,-3,31,20,100,SW,1,N,3,,,,,,,,,,,,
1903,1,13,"TUCUMAN - Capital",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"TUCUMAN - Capital",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"TUCUMAN - Capital",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"TUCUMAN - Capital",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"TUCUMAN - Capital",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"TUCUMAN - Capital",1903/01/18,759.4,-1.8,22,2,26,22,100,,0,N,1,,,,,,,,,,,,
1903,1,19,"TUCUMAN - Capital",1903/01/19,756.1,-3.3,19,-3,26,17,90,,0,N,3,,,,,,,,,,,,
1903,1,20,"TUCUMAN - Capital",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"TUCUMAN - Capital",1903/01/21,766.9,3.5,15,-2,22,11,78,,,,0,,,,,,,,,,,,
1903,1,22,"TUCUMAN - Capital",1903/01/22,757.1,-9.8,15,0,20,13,89,N,1,,0,,,,,,,,,,,,
1903,1,23,"TUCUMAN - Capital",1903/01/23,766.7,9.6,17,2,30,16,80,N,1,K,3,,,,,,,,,,,,
1903,1,24,"TUCUMAN - Capital",1903/01/24,762.7,-4,18,1,30,15,90,N,1,,0,,,,,,,,,,,,
1903,1,25,"TUCUMAN - Capital",1903/01/25,762.6,-0.1,20,2,35,16,72,NE,1,,0,,,,,,,,,,,,
1903,1,26,"TUCUMAN - Capital",1903/01/26,760,-2.6,21,1,33,20,91,N,1,S,1,,,,,,,,,,,,
1903,1,27,"TUCUMAN - Capital",1903/01/27,761.8,1.8,22,1,35,21,82,S,2,K,1,,,,,,,,,,,,
1903,1,28,"TUCUMAN - Capital",1903/01/28,756.7,-5.1,23,1,35,19,59,NE,2,K,1,,,,,,,,,,,,
1903,1,29,"TUCUMAN - Capital",1903/01/29,757.1,0.4,23,0,37,21,83,NW,1,K,1,,,,,,,,,,,,
1903,1,30,"TUCUMAN - Capital",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"TUCUMAN - Capital",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"TUCUMAN - Capital",1903/02/01,763.5,7.7,22,-2,38,22,91,NW,1,N,3,,,,,,,,,,,,
1903,2,2,"TUCUMAN - Capital",1903/02/02,761.9,-1.6,23,1,30,22,91,,0,K,1,,,,,,,,,,,,
1903,2,3,"TUCUMAN - Capital",1903/02/03,756.1,-5.8,23,0,33,22,91,,0,,0,,,,,,,,,,,,
1903,2,4,"TUCUMAN - Capital",1903/02/04,754.3,-1.8,26,3,36,24,84,NW,1,K,1,,,,,,,,,,,,
1903,2,5,"TUCUMAN - Capital",1903/02/05,760.1,5.8,22,-4,30,20,100,,0,N,3,,,,,,,,,,,,
1903,2,6,"TUCUMAN - Capital",1903/02/06,766.9,6.8,21,-1,32,20,91,S,1,N,3,,,,,,,,,,,,
