,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Tandil,1903/01/01,768.6,,15,3,23,15,78,,,,0,,,,,,,,,,,,
1903,1,2,Tandil,1903/01/02,767.3,-1.3,17,2,26,12,90,NW,1,,0,,,,,,,,,,,,
1903,1,3,Tandil,1903/01/03,767,-0.3,18,1,27,15,90,NW,2,K,1,,,,,,,,,,,,
1903,1,4,Tandil,1903/01/04,765,-2,17,-1,29,15,100,NW,2,,0,,,,,,,,,,,,
1903,1,5,Tandil,1903/01/05,763.5,-1.5,19,2,29,15,100,N,2,K,1,,,,,,,,,,,,
1903,1,6,Tandil,1903/01/06,762.7,-0.8,21,2,31,16,82,W,1,,0,,,,,,,,,,,,
1903,1,7,Tandil,1903/01/07,762.5,-0.2,22,1,33,17,82,N,1,N,1,,,,,,,,,,,,
1903,1,8,Tandil,1903/01/08,760.9,-1.6,22,0,32,20,91,N,1,K,1,,,,,,,,,,,,
1903,1,9,Tandil,1903/01/09,758.5,-2.4,23,1,32,17,91,N,1,N,3,,,,,,,,,,,,
1903,1,10,Tandil,1903/01/10,760.2,2.7,17,-6,23,10,80,,,C,3,Rt,,,,,,,,,,,
1903,1,11,Tandil,1903/01/11,759.2,-0.8,14,-3,22,12,89,E,2,,0,Rt,,,,,,,,,,,
1903,1,12,Tandil,1903/01/12,759.6,0.4,15,1,24,10,89,W,1,C,1,,,,,,,,,,,,
1903,1,13,Tandil,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Tandil,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Tandil,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
