,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Tinogasta,1903/01/01,764.2,-1.5,17,1,24,16,80,SW,1,N,3,,,,,,,,,,,,
1903,1,2,Tinogasta,1903/01/02,764.6,0.4,16,-1,30,14,79,SE,1,C,2,,,,,,,,,,,,
1903,1,3,Tinogasta,1903/01/03,,,16,0,32,16,89,SW,1,C,2,,,,,,,,,,,,
1903,1,4,Tinogasta,1903/01/04,760.6,-3.8,17,1,33,16,70,N,1,,0,,,,,,,,,,,,
1903,1,5,Tinogasta,1903/01/05,759.7,-0.9,18,1,40,16,80,,0,,0,,,,,,,,,,,,
1903,1,6,Tinogasta,1903/01/06,763.4,3.7,16,-2,36,14,100,SW,1,,0,,,,,,,,,,,,
1903,1,7,Tinogasta,1903/01/07,762.2,-1.2,18,2,36,16,80,,0,C,1,,,,,,,,,,,,
1903,1,8,Tinogasta,1903/01/08,761.4,-0.8,15,-3,31,14,89,SE,1,S,1,,,,,,,,,,,,
1903,1,9,Tinogasta,1903/01/09,759.6,-1.8,17,2,20,15,80,,0,,0,,,,,,,,,,,,
1903,1,10,Tinogasta,1903/01/10,759,-0.6,17,0,38,16,80,,0,K,1,,,,,,,,,,,,
1903,1,11,Tinogasta,1903/01/11,757.5,-1.5,18,1,36,18,90,E,1,C,1,,,,,,,,,,,,
1903,1,12,Tinogasta,1903/01/12,761.1,3.6,19,1,35,18,90,,0,K,2,,,,,,,,,,,,
1903,1,13,Tinogasta,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Tinogasta,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Tinogasta,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Tinogasta,1903/01/16,756.2,,21,2,40,17,65,SE,1,K,1,,,,,,,,,,,,
1903,1,17,Tinogasta,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Tinogasta,1903/01/18,759.6,-0.5,19,-1,35,18,81,,0,K,1,,,,,,,,,,,,
1903,1,19,Tinogasta,1903/01/19,757.5,-2.1,17,-2,36,14,61,SW,1,,0,,,,,,,,,,,,
