,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Tostado,1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,Tostado,1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,Tostado,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Tostado,1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,Tostado,1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,Tostado,1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,Tostado,1903/01/07,762.6,,24,,,17,60,N,2,CS,2,,,,,,,,,,,,
1903,1,8,Tostado,1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,Tostado,1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,Tostado,1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,Tostado,1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,Tostado,1903/01/12,760.9,,22,,27,17,91,SE,1,N,2,,,,,,,,,,,,
1903,1,13,Tostado,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Tostado,1903/01/14,758,,26,,37,16,84,NE,3,,0,,,,,,,,,,,,
1903,1,15,Tostado,1903/01/15,,,27,1,37,21,63,NE,1,CS,1,,,,,,,,,,,,
1903,1,16,Tostado,1903/01/16,754.3,,19,-8,42,19,90,SE,4,N,3,Rt,,,,,,,,,,,
1903,1,17,Tostado,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Tostado,1903/01/18,758.8,,23,,29,19,83,NW,1,N,3,,,,,,,,,,,,
1903,1,19,Tostado,1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,Tostado,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Tostado,1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,Tostado,1903/01/22,759.7,,21,,30,12,41,N,1,S,1,,,,,,,,,,,,
1903,1,23,Tostado,1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,Tostado,1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,Tostado,1903/01/25,762.8,,20,,34,,72,NE,2,N,2,,,,,,,,,,,,
1903,1,26,Tostado,1903/01/26,761.3,-1.5,23,3,33,18,44,NE,1,S,2,,,,,,,,,,,,
1903,1,27,Tostado,1903/01/27,,,24,1,36,,60,N,1,C,2,,,,,,,,,,,,
1903,1,28,Tostado,1903/01/28,757.8,,25,1,39,23,76,NE,2,N,2,,,,,,,,,,,,
1903,1,29,Tostado,1903/01/29,,,28,3,39,17,70,N,2,N,2,,,,,,,,,,,,
1903,1,30,Tostado,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Tostado,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Tostado,1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,Tostado,1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,Tostado,1903/02/03,,,27,1,38,24,84,N,2,S,1,,,,,,,,,,,,
1903,2,4,Tostado,1903/02/04,755.2,,25,-2,39,22,83,S,3,CS,2,,,,,,,,,,,,
