,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Trancas,1903/01/01,,,16,1,23,15,100,S,1,N,3,,,,,,,,,,,,
1903,1,2,Trancas,1903/01/02,,,18,2,24,15,90,,0,N,3,,,,,,,,,,,,
1903,1,3,Trancas,1903/01/03,,,20,2,28,15,91,,0,C,2,,,,,,,,,,,,
1903,1,4,Trancas,1903/01/04,,,19,-1,30,15,81,E,1,,0,,,,,,,,,,,,
1903,1,5,Trancas,1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,Trancas,1903/01/06,,,20,,32,16,81,,0,,0,,,,,,,,,,,,
1903,1,7,Trancas,1903/01/07,,,19,-1,33,16,90,NW,1,S,1,,,,,,,,,,,,
1903,1,8,Trancas,1903/01/08,,,20,1,34,14,81,,0,,0,,,,,,,,,,,,
1903,1,9,Trancas,1903/01/09,,,20,0,33,15,81,W,1,,0,,,,,,,,,,,,
1903,1,10,Trancas,1903/01/10,,,20,0,36,16,91,,0,,0,,,,,,,,,,,,
1903,1,11,Trancas,1903/01/11,,,24,4,36,16,75,,0,,0,,,,,,,,,,,,
1903,1,12,Trancas,1903/01/12,,,19,-5,32,18,90,,0,N,3,,,,,,,,,,,,
1903,1,13,Trancas,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Trancas,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Trancas,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Trancas,1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,Trancas,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Trancas,1903/01/18,,,20,0,26,19,100,,0,KN,3,,,,,,,,,,,,
1903,1,19,Trancas,1903/01/19,,,18,-2,23,14,71,,0,C,2,,,,,,,,,,,,
1903,1,20,Trancas,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Trancas,1903/01/21,,,12,-4,17,8,88,S,1,,0,,,,,,,,,,,,
1903,1,22,Trancas,1903/01/22,,,13,1,27,9,88,,0,,0,,,,,,,,,,,,
1903,1,23,Trancas,1903/01/23,,,14,1,30,18,89,S,1,C,3,,,,,,,,,,,,
1903,1,24,Trancas,1903/01/24,,,14,0,29,10,89,W,1,,0,,,,,,,,,,,,
1903,1,25,Trancas,1903/01/25,,,19,5,37,14,81,,0,,0,,,,,,,,,,,,
1903,1,26,Trancas,1903/01/26,,,22,3,33,19,58,W,2,S,1,,,,,,,,,,,,
1903,1,27,Trancas,1903/01/27,,,23,1,31,16,59,W,1,S,1,,,,,,,,,,,,
1903,1,28,Trancas,1903/01/28,,,15,-8,31,13,89,,0,S,1,,,,,,,,,,,,
1903,1,29,Trancas,1903/01/29,,,18,3,36,16,90,,0,S,1,,,,,,,,,,,,
1903,1,30,Trancas,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Trancas,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Trancas,1903/02/01,,,20,-2,41,17,100,S,1,N,3,Z,,,,,,,,,,,
1903,2,2,Trancas,1903/02/02,,,20,0,29,19,100,NW,1,,0,,,,,,,,,,,,
1903,2,3,Trancas,1903/02/03,,,22,2,32,19,91,,0,S,1,,,,,,,,,,,,
1903,2,4,Trancas,1903/02/04,,,24,2,35,21,91,,0,S,1,,,,,,,,,,,,
1903,2,5,Trancas,1903/02/05,,,21,-3,34,18,91,E,1,CN,2,,,,,,,,,,,,
1903,2,6,Trancas,1903/02/06,,,20,-1,34,18,81,S,1,N,3,Z,,,,,,,,,,,
1903,2,7,Trancas,1903/02/07,,,20,0,27,19,91,,0,C,1,,,,,,,,,,,,
