,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Tratayen,1903/01/01,,,23,2,34,12,83,E,1,,0,,,,,,,,,,,,
1903,1,2,Tratayen,1903/01/02,,,25,2,40,12,61,N,1,SN,2,,,,,,,,,,,,
1903,1,3,Tratayen,1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,Tratayen,1903/01/04,,,27,1,42,15,31,SE,1,S,1,,,,,,,,,,,,
1903,1,5,Tratayen,1903/01/05,,,23,-4,41,14,44,W,1,SK,1,,,,,,,,,,,,
1903,1,6,Tratayen,1903/01/06,,,20,-3,39,12,64,SE,1,,0,,,,,,,,,,,,
1903,1,7,Tratayen,1903/01/07,,,22,2,41,11,74,SE,1,,0,,,,,,,,,,,,
1903,1,8,Tratayen,1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,Tratayen,1903/01/09,,,16,-6,36,7,32,S,2,SK,1,,,,,,,,,,,,
1903,1,10,Tratayen,1903/01/10,,,21,-5,26,2,27,,0,S,1,,,,,,,,,,,,
1903,1,11,Tratayen,1903/01/11,,,16,-5,30,7,41,S,1,S,1,,,,,,,,,,,,
1903,1,12,Tratayen,1903/01/12,,,19,3,31,8,46,SW,1,,0,,,,,,,,,,,,
1903,1,13,Tratayen,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Tratayen,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Tratayen,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Tratayen,1903/01/16,,,16,-2,30,4,59,,0,C,1,,,,,,,,,,,,
1903,1,17,Tratayen,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Tratayen,1903/01/18,,,17,1,21,6,90,SW,1,S,1,,,,,,,,,,,,
1903,1,19,Tratayen,1903/01/19,,,13,-4,30,4,55,S,1,K,1,,,,,,,,,,,,
1903,1,20,Tratayen,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Tratayen,1903/01/21,,,14,2,29,1,,,0,KN,2,,,,,,,,,,,,
1903,1,22,Tratayen,1903/01/22,,,13,-1,20,1,45,SW,2,SK,1,,,,,,,,,,,,
1903,1,23,Tratayen,1903/01/23,,,18,5,25,7,53,,0,KN,2,,,,,,,,,,,,
1903,1,24,Tratayen,1903/01/24,,,17,-1,33,3,61,,0,S,1,,,,,,,,,,,,
1903,1,25,Tratayen,1903/01/25,,,21,4,33,5,41,,0,,0,,,,,,,,,,,,
1903,1,26,Tratayen,1903/01/26,,,21,0,,18,49,,0,C,1,,,,,,,,,,,,
1903,1,27,Tratayen,1903/01/27,,,20,-1,33,13,47,,0,KN,3,,,,,,,,,,,,
1903,1,28,Tratayen,1903/01/28,,,21,1,33,9,49,,0,C,1,,,,,,,,,,,,
1903,1,29,Tratayen,1903/01/29,,,17,-4,31,2,52,,0,K,1,,,,,,,,,,,,
1903,1,30,Tratayen,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Tratayen,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Tratayen,1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,Tratayen,1903/02/02,,,22,,32,4,66,,0,,0,,,,,,,,,,,,
1903,2,3,Tratayen,1903/02/03,,,18,-4,37,6,62,,0,,0,,,,,,,,,,,,
1903,2,4,Tratayen,1903/02/04,,,17,-1,31,5,61,,0,KS,1,,,,,,,,,,,,
1903,2,5,Tratayen,1903/02/05,,,16,-1,31,7,59,S,1,,0,,,,,,,,,,,,
1903,2,6,Tratayen,1903/02/06,,,21,5,34,7,49,,0,,0,,,,,,,,,,,,
1903,2,7,Tratayen,1903/02/07,,,26,5,40,16,48,,0,,0,,,,,,,,,,,,
1903,2,8,Tratayen,1903/02/08,,,26,0,42,17,48,N,2,,0,,,,,,,,,,,,
1903,2,9,Tratayen,1903/02/09,,,25,-1,43,18,54,N,3,,0,,,,,,,,,,,,
1903,2,10,Tratayen,1903/02/10,,,21,-4,44,11,57,,0,,0,,,,,,,,,,,,
1903,2,11,Tratayen,1903/02/11,,,19,-2,37,8,30,SW,2,,0,,,,,,,,,,,,
1903,2,12,Tratayen,1903/02/12,,,16,-3,34,4,50,SE,1,,0,,,,,,,,,,,,
1903,2,13,Tratayen,1903/02/13,,,14,-2,29,2,47,SW,1,,0,,,,,,,,,,,,
1903,2,14,Tratayen,1903/02/14,,,14,0,28,-1,57,,0,C,1,,,,,,,,,,,,
1903,2,15,Tratayen,1903/02/15,,,15,1,33,1,68,,0,C,1,,,,,,,,,,,,
1903,2,16,Tratayen,1903/02/16,,,14,-1,29,2,57,SW,2,CK,2,,,,,,,,,,,,
1903,2,17,Tratayen,1903/02/17,,,13,-1,18,4,55,SW,2,KS,2,,,,,,,,,,,,
1903,2,18,Tratayen,1903/02/18,,,14,1,21,-1,67,,0,K,1,,,,,,,,,,,,
1903,2,19,Tratayen,1903/02/19,,,18,4,30,6,53,,0,C,1,,,,,,,,,,,,
1903,2,20,Tratayen,1903/02/20,,,18,0,31,7,53,,0,C,1,,,,,,,,,,,,
1903,2,21,Tratayen,1903/02/21,,,17,-1,30,4,61,S,1,CK,1,,,,,,,,,,,,
1903,2,22,Tratayen,1903/02/22,,,18,1,38,8,53,S,1,CK,2,,,,,,,,,,,,
1903,2,23,Tratayen,1903/02/23,,,18,0,36,4,44,S,1,K,1,,,,,,,,,,,,
1903,2,24,Tratayen,1903/02/24,,,21,3,37,9,41,W,2,N,2,,,,,,,,,,,,
1903,2,25,Tratayen,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Tratayen,1903/02/26,,,13,2,28,1,,S,2,K,1,,,,,,,,,,,,
1903,2,27,Tratayen,1903/02/27,,,7,-6,29,7,71,,0,,0,,,,,,,,,,,,
1903,2,28,Tratayen,1903/02/28,,,16,9,28,7,41,NE,3,,0,,,,,,,,,,,,
1903,3,1,Tratayen,1903/03/01,,,15,-1,31,5,68,N,1,CK,1,,,,,,,,,,,,
1903,3,2,Tratayen,1903/03/02,,,12,-3,34,1,,S,1,,0,,,,,,,,,,,,
1903,3,3,Tratayen,1903/03/03,,,17,5,33,5,61,S,2,CS,1,,,,,,,,,,,,
1903,3,4,Tratayen,1903/03/04,,,17,0,32,8,61,NE,3,,0,,,,,,,,,,,,
1903,3,5,Tratayen,1903/03/05,,,18,1,,5,53,N,1,C,1,,,,,,,,,,,,
1903,3,6,Tratayen,1903/03/06,,,22,4,38,7,36,W,2,CK,1,,,,,,,,,,,,
1903,3,7,Tratayen,1903/03/07,,,11,-11,27,-2,52,SW,1,C,1,,,,,,,,,,,,
1903,3,8,Tratayen,1903/03/08,,,9,-2,,1,61,,0,CS,1,,,,,,,,,,,,
1903,3,9,Tratayen,1903/03/09,,,14,5,,8,47,,0,CK,1,,,,,,,,,,,,
1903,3,10,Tratayen,1903/03/10,,,13,-1,,8,66,,0,CK,1,,,,,,,,,,,,
1903,3,11,Tratayen,1903/03/11,,,18,5,,12,62,,0,KN,2,,,,,,,,,,,,
1903,3,12,Tratayen,1903/03/12,,,18,0,,13,53,SW,1,CS,1,,,,,,,,,,,,
1903,3,13,Tratayen,1903/03/13,,,16,-2,,6,69,,0,CK,1,,,,,,,,,,,,
1903,3,14,Tratayen,1903/03/14,,,16,0,,5,69,,0,SK,1,,,,,,,,,,,,
1903,3,15,Tratayen,1903/03/15,,,15,-1,,6,39,,0,KS,2,,,,,,,,,,,,
1903,3,16,Tratayen,1903/03/16,,,21,6,,17,49,W,1,CK,1,,,,,,,,,,,,
1903,3,17,Tratayen,1903/03/17,,,9,-12,,4,73,W,1,C,1,,,,,,,,,,,,
1903,3,18,Tratayen,1903/03/18,,,11,2,,7,52,NW,1,CK,1,,,,,,,,,,,,
1903,3,19,Tratayen,1903/03/19,,,11,0,,6,100,,0,C,1,,,,,,,,,,,,
1903,3,20,Tratayen,1903/03/20,,,14,3,,7,47,,0,CK,1,,,,,,,,,,,,
1903,3,21,Tratayen,1903/03/21,,,7,-7,13,5,85,,0,CS,1,,,,,,,,,,,,
1903,3,22,Tratayen,1903/03/22,,,8,1,,4,59,W,2,,0,,,,,,,,,,,,
1903,3,23,Tratayen,1903/03/23,,,10,2,,7,50,SW,1,,0,,,,,,,,,,,,
1903,3,24,Tratayen,1903/03/24,,,6,-4,,0,56,,0,CK,1,,,,,,,,,,,,
1903,3,25,Tratayen,1903/03/25,,,8,-2,,2,72,,0,,0,,,,,,,,,,,,
1903,3,26,Tratayen,1903/03/26,,,10,4,,5,62,,0,,0,,,,,,,,,,,,
1903,3,27,Tratayen,1903/03/27,,,5,-3,,2,69,N,1,CK,1,,,,,,,,,,,,
1903,3,28,Tratayen,1903/03/28,,,13,8,,4,66,,,KN,2,,,,,,,,,,,,
1903,3,29,Tratayen,1903/03/29,,,10,-3,,4,74,E,1,CK,1,,,,,,,,,,,,
1903,3,30,Tratayen,1903/03/30,,,3,-7,,2,83,,0,,0,,,,,,,,,,,,
1903,3,31,Tratayen,1903/03/31,,,4,1,,2,67,,0,KS,1,,,,,,,,,,,,
1903,4,1,Tratayen,1903/04/01,,,8,4,,-3,46,,0,K,2,,,,,,,,,,,,
1903,4,2,Tratayen,1903/04/02,,,,,,,,,,,,,,,,,,,,,,,
1903,4,3,Tratayen,1903/04/03,,,14,3,,11,67,,0,CS,2,,,,,,,,,,,,
1903,4,4,Tratayen,1903/04/04,,,13,-1,,9,66,,0,CK,2,,,,,,,,,,,,
1903,4,5,Tratayen,1903/04/05,,,10,-5,,8,74,E,1,KN,3,,,,,,,,,,,,
1903,4,6,Tratayen,1903/04/06,,,6,-4,,5,70,NE,1,KN,2,,,,,,,,,,,,
1903,4,7,Tratayen,1903/04/07,,,4,-2,,,83,NW,1,S,1,,,,,,,,,,,,
1903,4,8,Tratayen,1903/04/08,,,5,1,,4,69,,0,CK,1,,,,,,,,,,,,
1903,4,9,Tratayen,1903/04/09,,,10,5,,,74,E,3,CK,1,,,,,,,,,,,,
1903,4,10,Tratayen,1903/04/10,,,10,0,10,,100,E,1,N,3,,,,,,,,,,,,
1903,4,11,Tratayen,1903/04/11,,,11,-1,,9,87,SW,1,N,3,,,,,,,,,,,,
1903,4,12,Tratayen,1903/04/12,,,5,-6,,2,69,,0,CK,2,,,,,,,,,,,,
1903,4,13,Tratayen,1903/04/13,,,10,5,,9,86,,0,N,3,,,,,,,,,,,,
1903,4,14,Tratayen,1903/04/14,,,7,-3,,3,100,SE,1,N,3,,,,,,,,,,,,
1903,4,15,Tratayen,1903/04/15,,,7,0,,6,85,,0,CK,1,,,,,,,,,,,,
1903,4,16,Tratayen,1903/04/16,,,11,4,,10,63,N,1,KN,3,,,,,,,,,,,,
1903,4,17,Tratayen,1903/04/17,,,7,-4,,3,85,,0,CK,1,,,,,,,,,,,,
1903,4,18,Tratayen,1903/04/18,,,4,-3,,3,83,NW,1,CK,1,,,,,,,,,,,,
1903,4,19,Tratayen,1903/04/19,,,-2,-6,,,100,,0,CS,1,,,,,,,,,,,,
1903,4,20,Tratayen,1903/04/20,,,2,4,,-1,64,,0,CS,1,,,,,,,,,,,,
1903,4,21,Tratayen,1903/04/21,,,4,2,,3,52,,0,CK,2,,,,,,,,,,,,
1903,4,22,Tratayen,1903/04/22,,,15,11,,7,39,W,2,CK,2,,,,,,,,,,,,
1903,4,23,Tratayen,1903/04/23,,,9,-6,,8,61,,0,CK,2,,,,,,,,,,,,
1903,4,24,Tratayen,1903/04/24,,,20,11,,,41,W,2,CK,2,,,,,,,,,,,,
1903,4,25,Tratayen,1903/04/25,,,1,-19,,0,81,,0,CS,3,,,,,,,,,,,,
1903,4,26,Tratayen,1903/04/26,,,2,1,,0,51,,,K,1,,,,,,,,,,,,
1903,4,27,Tratayen,1903/04/27,,,-8,-10,,-8,100,,0,,0,Er,,,,,,,,,,,
1903,4,28,Tratayen,1903/04/28,,,3,11,,2,100,,0,,0,,,,,,,,,,,,
1903,4,29,Tratayen,1903/04/29,,,-3,-6,,-4,100,,0,,0,,,,,,,,,,,,
1903,4,30,Tratayen,1903/04/30,,,-3,0,,-6,57,,0,,0,,,,,,,,,,,,
1903,5,1,Tratayen,1903/05/01,,,12,15,,11,65,,0,CK,3,,,,,,,,,,,,
1903,5,2,Tratayen,1903/05/02,,,1,-11,,-1,81,,0,,0,,,,,,,,,,,,
1903,5,3,Tratayen,1903/05/03,,,,,,7,,NW,2,CS,2,,,,,,,,,,,,
1903,5,4,Tratayen,1903/05/04,,,14,,,9,37,NW,1,CS,2,,,,,,,,,,,,
