,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Trenque Lauquen",1903/01/01,766.3,-1.7,17,2,20,11,61,E,1,,0,,,,,,,,,,,,
1903,1,2,"Trenque Lauquen",1903/01/02,764.6,-1.7,20,3,28,13,55,N,3,,0,,,,,,,,,,,,
1903,1,3,"Trenque Lauquen",1903/01/03,762.8,-1.8,21,1,30,15,65,N,3,,0,,,,,,,,,,,,
1903,1,4,"Trenque Lauquen",1903/01/04,762.5,-0.3,21,0,32,14,65,N,3,C,1,,,,,,,,,,,,
1903,1,5,"Trenque Lauquen",1903/01/05,760.7,-1.8,23,2,33,21,59,N,3,K,3,,,,,,,,,,,,
1903,1,6,"Trenque Lauquen",1903/01/06,760.4,-0.3,24,1,36,19,53,N,1,K,3,,,,,,,,,,,,
1903,1,7,"Trenque Lauquen",1903/01/07,760.8,0.4,25,1,36,18,47,N,2,KN,3,,,,,,,,,,,,
1903,1,8,"Trenque Lauquen",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"Trenque Lauquen",1903/01/09,756.4,,25,,37,18,68,N,1,C,2,,,,,,,,,,,,
1903,1,10,"Trenque Lauquen",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"Trenque Lauquen",1903/01/11,760.7,,15,,19,13,100,SE,2,N,3,PD,,,,,,,,,,,
1903,1,12,"Trenque Lauquen",1903/01/12,760.1,-0.6,20,5,28,10,72,N,1,,0,,,,,,,,,,,,
1903,1,13,"Trenque Lauquen",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Trenque Lauquen",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Trenque Lauquen",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Trenque Lauquen",1903/01/16,757,,17,-3,28,11,100,NE,1,KN,3,,,,,,,,,,,,
1903,1,17,"Trenque Lauquen",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Trenque Lauquen",1903/01/18,759.5,-0.7,18,-1,32,12,80,SW,2,,0,,,,,,,,,,,,
1903,1,19,"Trenque Lauquen",1903/01/19,,,17,-1,32,11,90,NW,1,N,3,,,,,,,,,,,,
1903,1,20,"Trenque Lauquen",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Trenque Lauquen",1903/01/21,758.7,0,15,1,24,3,68,W,2,,0,,,,,,,,,,,,
1903,1,22,"Trenque Lauquen",1903/01/22,757.6,-1.1,14,-1,25,7,67,SW,3,C,1,,,,,,,,,,,,
1903,1,23,"Trenque Lauquen",1903/01/23,758.9,1.3,16,2,22,7,69,S,1,C,1,,,,,,,,,,,,
1903,1,24,"Trenque Lauquen",1903/01/24,759.3,0.4,21,5,28,7,49,S,1,,0,,,,,,,,,,,,
1903,1,25,"Trenque Lauquen",1903/01/25,762.3,3,20,-1,29,8,55,N,1,,0,,,,,,,,,,,,
1903,1,26,"Trenque Lauquen",1903/01/26,,,19,-1,31,14,63,,,C,1,,,,,,,,,,,,
1903,1,27,"Trenque Lauquen",1903/01/27,,,16,-3,32,16,100,E,1,N,2,Rt,,,,,,,,,,,
1903,1,28,"Trenque Lauquen",1903/01/28,,,23,7,31,18,74,NW,1,CK,3,,,,,,,,,,,,
1903,1,29,"Trenque Lauquen",1903/01/29,756.8,,20,-3,37,12,47,S,1,N,3,,,,,,,,,,,,
1903,1,30,"Trenque Lauquen",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"Trenque Lauquen",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"Trenque Lauquen",1903/02/01,765,5.7,19,-3,26,10,72,NE,1,,0,,,,,,,,,,,,
1903,2,2,"Trenque Lauquen",1903/02/02,761.9,3.1,20,1,30,10,81,N,1,,0,,,,,,,,,,,,
1903,2,3,"Trenque Lauquen",1903/02/03,754.3,-7.6,24,4,33,15,67,N,1,CK,3,,,,,,,,,,,,
1903,2,4,"Trenque Lauquen",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"Trenque Lauquen",1903/02/05,759.6,,20,,34,14,91,N,1,N,3,,,,,,,,,,,,
1903,2,6,"Trenque Lauquen",1903/02/06,766.5,6.9,22,2,32,13,91,N,1,C,1,,,,,,,,,,,,
1903,2,7,"Trenque Lauquen",1903/02/07,766,-0.5,18,-4,32,10,71,N,1,,0,,,,,,,,,,,,
1903,2,8,"Trenque Lauquen",1903/02/08,766,0,18,0,32,8,80,N,1,,0,,,,,,,,,,,,
1903,2,9,"Trenque Lauquen",1903/02/09,763.9,-2.1,20,2,28,8,91,NW,1,,0,,,,,,,,,,,,
1903,2,10,"Trenque Lauquen",1903/02/10,760.4,-3.5,21,1,32,13,82,NW,1,,0,,,,,,,,,,,,
1903,2,11,"Trenque Lauquen",1903/02/11,,,25,3,35,13,91,NW,2,K,2,,,,,,,,,,,,
1903,2,12,"Trenque Lauquen",1903/02/12,757.9,,18,-6,36,11,90,S,1,N,3,,,,,,,,,,,,
1903,2,13,"Trenque Lauquen",1903/02/13,761.2,3.3,16,-2,28,10,69,E,1,N,3,,,,,,,,,,,,
1903,2,14,"Trenque Lauquen",1903/02/14,761.7,0.5,16,0,26,9,89,NW,1,N,3,,,,,,,,,,,,
1903,2,15,"Trenque Lauquen",1903/02/15,753.8,-7.9,22,6,31,15,82,W,1,N,2,,,,,,,,,,,,
1903,2,16,"Trenque Lauquen",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"Trenque Lauquen",1903/02/17,758.5,,15,,24,7,78,E,1,,0,,,,,,,,,,,,
1903,2,18,"Trenque Lauquen",1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,"Trenque Lauquen",1903/02/19,758.6,,17,,28,9,90,NW,1,,0,,,,,,,,,,,,
1903,2,20,"Trenque Lauquen",1903/02/20,762.4,3.8,14,-3,20,5,89,NE,1,C,1,,,,,,,,,,,,
1903,2,21,"Trenque Lauquen",1903/02/21,762.3,-0.1,17,3,29,8,61,S,1,C,1,,,,,,,,,,,,
1903,2,22,"Trenque Lauquen",1903/02/22,759.9,-2.4,19,2,33,11,72,N,1,,0,,,,,,,,,,,,
1903,2,23,"Trenque Lauquen",1903/02/23,759.8,-0.1,20,1,34,11,72,NW,1,N,3,,,,,,,,,,,,
1903,2,24,"Trenque Lauquen",1903/02/24,754.5,-5.3,21,1,33,15,91,,,N,3,,,,,,,,,,,,
1903,2,25,"Trenque Lauquen",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"Trenque Lauquen",1903/02/26,761.2,4.6,15,1,27,9,89,N,1,N,3,,,,,,,,,,,,
1903,2,27,"Trenque Lauquen",1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,"Trenque Lauquen",1903/02/28,768.9,,11,,27,0,75,N,1,,0,,,,,,,,,,,,
1903,3,1,"Trenque Lauquen",1903/03/01,763.5,-5.4,15,4,25,7,78,N,1,,0,,,,,,,,,,,,
1903,3,2,"Trenque Lauquen",1903/03/02,760.3,-3.2,15,0,26,10,,,,N,3,,,,,,,,,,,,
1903,3,3,"Trenque Lauquen",1903/03/03,,,17,2,23,9,90,W,1,,0,,,,,,,,,,,,
1903,3,4,"Trenque Lauquen",1903/03/04,764.6,,13,-4,32,8,77,NE,1,N,3,,,,,,,,,,,,
1903,3,5,"Trenque Lauquen",1903/03/05,759.3,-5.3,17,4,24,9,80,NW,2,,0,,,,,,,,,,,,
1903,3,6,"Trenque Lauquen",1903/03/06,755.8,-3.5,22,5,35,10,91,NW,1,,0,,,,,,,,,,,,
1903,3,7,"Trenque Lauquen",1903/03/07,760.4,4.6,18,-4,35,12,90,,,N,3,,,,,,,,,,,,
1903,3,8,"Trenque Lauquen",1903/03/08,763.2,2.8,16,-2,28,10,89,,,N,3,,,,,,,,,,,,
1903,3,9,"Trenque Lauquen",1903/03/09,760.2,-3,17,1,21,9,90,N,1,N,3,,,,,,,,,,,,
1903,3,10,"Trenque Lauquen",1903/03/10,758.3,-1.9,16,-1,22,9,87,SW,1,,0,,,,,,,,,,,,
1903,3,11,"Trenque Lauquen",1903/03/11,760.7,2.4,16,0,31,9,79,SW,1,,0,,,,,,,,,,,,
1903,3,12,"Trenque Lauquen",1903/03/12,760.7,0,17,1,31,10,80,W,1,,0,,,,,,,,,,,,
1903,3,13,"Trenque Lauquen",1903/03/13,,,16,-1,33,9,89,SW,1,,0,,,,,,,,,,,,
1903,3,14,"Trenque Lauquen",1903/03/14,758.3,,18,2,36,9,90,S,1,N,3,,,,,,,,,,,,
1903,3,15,"Trenque Lauquen",1903/03/15,758.6,0.3,16,-2,32,8,89,N,1,,0,,,,,,,,,,,,
1903,3,16,"Trenque Lauquen",1903/03/16,753.9,-4.7,19,3,34,11,90,W,1,,0,,,,,,,,,,,,
1903,3,17,"Trenque Lauquen",1903/03/17,765.2,11.3,12,-7,33,4,88,S,1,,0,,,,,,,,,,,,
1903,3,18,"Trenque Lauquen",1903/03/18,759.1,-6.1,14,2,24,5,67,N,2,,0,,,,,,,,,,,,
1903,3,19,"Trenque Lauquen",1903/03/19,754.8,-4.3,21,7,30,15,91,N,2,C,1,,,,,,,,,,,,
