,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Tres Arroyos",1903/01/01,766.7,-1,20,1,29,12,64,N,2,,0,,,,,,,,,,,,
1903,1,2,"Tres Arroyos",1903/01/02,764.7,-2,22,2,30,14,66,N,2,,0,,,,,,,,,,,,
1903,1,3,"Tres Arroyos",1903/01/03,764.1,-0.6,24,2,31,14,75,N,2,,0,,,,,,,,,,,,
1903,1,4,"Tres Arroyos",1903/01/04,763.2,-0.9,23,-1,34,17,66,N,2,,0,,,,,,,,,,,,
1903,1,5,"Tres Arroyos",1903/01/05,760.7,-2.5,23,0,33,17,52,N,2,,0,,,,,,,,,,,,
1903,1,6,"Tres Arroyos",1903/01/06,760.4,-0.3,26,3,36,22,55,N,1,C,1,,,,,,,,,,,,
1903,1,7,"Tres Arroyos",1903/01/07,760.1,-0.3,28,2,37,21,44,N,1,S,1,,,,,,,,,,,,
1903,1,8,"Tres Arroyos",1903/01/08,758,-2.1,27,-1,38,21,56,N,2,,0,,,,,,,,,,,,
1903,1,9,"Tres Arroyos",1903/01/09,757.5,-0.5,22,-5,37,21,66,S,1,N,3,,,,,,,,,,,,
1903,1,10,"Tres Arroyos",1903/01/10,760.6,3.1,17,-5,28,10,70,SE,1,S,3,,,,,,,,,,,,
1903,1,11,"Tres Arroyos",1903/01/11,760.8,0.2,16,-1,18,11,79,SE,1,KN,3,,,,,,,,,,,,
1903,1,12,"Tres Arroyos",1903/01/12,759.7,-1.1,18,2,23,12,62,N,2,,0,,,,,,,,,,,,
1903,1,13,"Tres Arroyos",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Tres Arroyos",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Tres Arroyos",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Tres Arroyos",1903/01/16,757.8,0.8,22,-2,29,17,91,E,1,KN,3,,,,,,,,,,,,
1903,1,17,"Tres Arroyos",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
