,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Uruguay,1903/01/01,768,0.5,16,0,26,13,79,E,2,,0,,,,,,,,,,,,
1903,1,2,Uruguay,1903/01/02,765.9,-2.1,18,2,27,16,80,E,2,,0,,,,,,,,,,,,
1903,1,3,Uruguay,1903/01/03,766.2,0.2,20,2,,,72,NE,2,S,1,,,,,,,,,,,,
1903,1,4,Uruguay,1903/01/04,765.7,-0.5,20,0,32,17,72,NE,2,S,1,,,,,,,,,,,,
1903,1,5,Uruguay,1903/01/05,764.2,-1.5,20,0,32,17,64,NE,2,K,1,,,,,,,,,,,,
1903,1,6,Uruguay,1903/01/06,763.6,-0.6,21,1,33,18,65,N,2,K,1,,,,,,,,,,,,
1903,1,7,Uruguay,1903/01/07,762.3,-1.3,23,2,35,20,66,NE,1,C,1,,,,,,,,,,,,
1903,1,8,Uruguay,1903/01/08,761.3,-1,23,0,36,21,66,N,2,C,2,,,,,,,,,,,,
1903,1,9,Uruguay,1903/01/09,758.7,-2.6,24,1,37,22,67,N,2,K,2,,,,,,,,,,,,
1903,1,10,Uruguay,1903/01/10,758.6,-0.1,23,-1,36,22,91,SE,2,N,3,Rt,,,,,,,,,,,
1903,1,11,Uruguay,1903/01/11,,,21,-2,36,19,91,SE,1,N,3,,,,,,,,,,,,
1903,1,12,Uruguay,1903/01/12,760.3,,20,-1,26,17,81,SE,1,K,3,,,,,,,,,,,,
1903,1,13,Uruguay,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Uruguay,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Uruguay,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Uruguay,1903/01/16,756.3,-1.8,22,1,37,20,83,SW,1,N,3,,,,,,,,,,,,
1903,1,17,Uruguay,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Uruguay,1903/01/18,758.6,-0.5,21,0,30,19,73,NE,1,,0,,,,,,,,,,,,
1903,1,19,Uruguay,1903/01/19,755.2,-3.4,21,0,32,18,73,NE,1,,0,,,,,,,,,,,,
1903,1,20,Uruguay,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Uruguay,1903/01/21,758.8,6,14,-3,20,10,78,W,2,,0,,,,,,,,,,,,
1903,1,22,Uruguay,1903/01/22,757.2,-1.6,17,3,25,15,70,S,2,K,3,,,,,,,,,,,,
1903,1,23,Uruguay,1903/01/23,761.4,4.2,13,-4,22,9,88,W,1,K,1,,,,,,,,,,,,
1903,1,24,Uruguay,1903/01/24,756.5,-4.9,20,7,27,16,55,NW,3,K,1,,,,,,,,,,,,
1903,1,25,Uruguay,1903/01/25,763.7,7.2,16,-4,29,13,69,E,1,,0,,,,,,,,,,,,
1903,1,26,Uruguay,1903/01/26,762.8,-0.9,19,3,32,16,63,NE,2,K,1,,,,,,,,,,,,
1903,1,27,Uruguay,1903/01/27,761.6,-1.2,21,2,33,18,65,NE,1,K,1,,,,,,,,,,,,
1903,1,28,Uruguay,1903/01/28,758,-3.6,22,1,35,20,74,N,2,K,1,,,,,,,,,,,,
1903,1,29,Uruguay,1903/01/29,757,-1,25,3,37,22,68,N,2,,0,,,,,,,,,,,,
1903,1,30,Uruguay,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Uruguay,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
