,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"V. Casilda",1903/01/01,767.2,-0.5,16,1,24,9,89,NE,2,,0,,,,,,,,,,,,
1903,1,2,"V. Casilda",1903/01/02,765.1,-2.1,18,2,26,10,90,NE,2,CS,1,,,,,,,,,,,,
1903,1,3,"V. Casilda",1903/01/03,764.4,-0.7,19,1,29,14,90,NE,2,CS,1,,,,,,,,,,,,
1903,1,4,"V. Casilda",1903/01/04,763.7,-0.7,21,2,30,14,82,NE,2,CS,1,,,,,,,,,,,,
1903,1,5,"V. Casilda",1903/01/05,761.6,-2.1,23,2,30,14,66,N,2,CS,2,,,,,,,,,,,,
1903,1,6,"V. Casilda",1903/01/06,762.4,-0.8,23,0,32,14,59,N,2,S,1,,,,,,,,,,,,
1903,1,7,"V. Casilda",1903/01/07,761.3,-1.1,23,0,32,18,83,N,1,SK,3,,,,,,,,,,,,
1903,1,8,"V. Casilda",1903/01/08,759.3,-2,24,1,32,19,75,N,1,SK,3,,,,,,,,,,,,
1903,1,9,"V. Casilda",1903/01/09,757.2,-2.1,23,-1,34,20,83,NE,1,SN,3,,,,,,,,,,,,
1903,1,10,"V. Casilda",1903/01/10,757.4,0.2,22,-1,28,18,100,E,1,C,1,,,,,,,,,,,,
1903,1,11,"V. Casilda",1903/01/11,757.4,0,19,-3,33,18,100,SW,1,N,3,,,,,,,,,,,,
1903,1,12,"V. Casilda",1903/01/12,761.2,3.8,19,0,28,14,100,E,2,K,1,,,,,,,,,,,,
1903,1,13,"V. Casilda",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"V. Casilda",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"V. Casilda",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"V. Casilda",1903/01/16,754.6,-2,20,-2,35,17,91,E,2,N,2,,,,,,,,,,,,
1903,1,17,"V. Casilda",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"V. Casilda",1903/01/18,758.9,-1.3,19,0,23,12,81,,0,S,2,,,,,,,,,,,,
1903,1,19,"V. Casilda",1903/01/19,754.2,-4.7,21,2,29,15,91,E,1,KS,2,,,,,,,,,,,,
1903,1,20,"V. Casilda",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"V. Casilda",1903/01/21,760.6,3,13,-1,22,7,77,W,1,,0,,,,,,,,,,,,
1903,1,22,"V. Casilda",1903/01/22,760.1,-0.3,14,1,25,13,78,S,3,KN,2,,,,,,,,,,,,
1903,1,23,"V. Casilda",1903/01/23,761.2,1.1,13,-1,19,8,66,W,1,,0,,,,,,,,,,,,
1903,1,24,"V. Casilda",1903/01/24,757.2,-4,19,6,27,15,63,W,2,C,1,,,,,,,,,,,,
1903,1,25,"V. Casilda",1903/01/25,762.9,5.7,19,0,28,11,72,N,1,S,2,,,,,,,,,,,,
1903,1,26,"V. Casilda",1903/01/26,761.8,-1.1,18,-1,30,13,80,N,1,SK,1,,,,,,,,,,,,
1903,1,27,"V. Casilda",1903/01/27,760.9,-0.9,19,1,32,15,90,E,1,C,1,,,,,,,,,,,,
1903,1,28,"V. Casilda",1903/01/28,757.5,-3.4,23,4,30,19,74,,0,SK,2,,,,,,,,,,,,
1903,1,29,"V. Casilda",1903/01/29,755.8,-1.7,25,2,37,22,68,N,1,C,1,,,,,,,,,,,,
1903,1,30,"V. Casilda",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"V. Casilda",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"V. Casilda",1903/02/01,762.2,5.9,22,-3,35,20,91,E,2,SK,2,,,,,,,,,,,,
1903,2,2,"V. Casilda",1903/02/02,761.3,-0.9,22,0,30,21,91,E,1,K,3,,,,,,,,,,,,
1903,2,3,"V. Casilda",1903/02/03,756.7,-4.6,26,4,38,20,92,N,1,C,2,,,,,,,,,,,,
1903,2,4,"V. Casilda",1903/02/04,755,-1.7,25,-1,37,23,92,E,1,K,2,,,,,,,,,,,,
1903,2,5,"V. Casilda",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"V. Casilda",1903/02/06,765.6,6,18,-5,28,14,100,NE,1,N,1,,,,,,,,,,,,
1903,2,7,"V. Casilda",1903/02/07,767,1.4,18,0,31,13,100,N,2,,0,,,,,,,,,,,,
1903,2,8,"V. Casilda",1903/02/08,767.4,0.4,19,1,29,12,90,NE,2,,0,,,,,,,,,,,,
1903,2,9,"V. Casilda",1903/02/09,764.7,-2.7,20,1,30,13,91,N,2,,0,,,,,,,,,,,,
1903,2,10,"V. Casilda",1903/02/10,762,-2.7,21,1,32,15,82,NE,1,,0,,,,,,,,,,,,
1903,2,11,"V. Casilda",1903/02/11,756.3,-5.7,25,4,35,21,76,NE,3,,0,,,,,,,,,,,,
1903,2,12,"V. Casilda",1903/02/12,756,-0.3,24,-1,38,23,67,N,1,SK,2,,,,,,,,,,,,
1903,2,13,"V. Casilda",1903/02/13,,,19,-5,34,18,100,N,2,S,3,Rt,,,,,,,,,,,
1903,2,14,"V. Casilda",1903/02/14,760.4,,20,1,24,18,100,,0,SK,2,,,,,,,,,,,,
1903,2,15,"V. Casilda",1903/02/15,755.6,-4.8,23,3,28,17,91,N,1,,0,,,,,,,,,,,,
1903,2,16,"V. Casilda",1903/02/16,751.7,-3.9,18,-5,32,17,100,N,1,N,2,Rt,,,,,,,,,,,
1903,2,17,"V. Casilda",1903/02/17,756.6,4.9,23,5,27,16,74,SE,1,N,1,,,,,,,,,,,,
1903,2,18,"V. Casilda",1903/02/18,762.9,6.3,17,-6,29,15,80,SE,1,S,2,,,,,,,,,,,,
1903,2,19,"V. Casilda",1903/02/19,758.9,-4,19,2,27,13,81,N,1,C,2,,,,,,,,,,,,
1903,2,20,"V. Casilda",1903/02/20,759.7,0.8,16,-3,30,15,89,SW,2,N,3,,,,,,,,,,,,
1903,2,21,"V. Casilda",1903/02/21,763.2,3.5,18,2,29,13,90,N,1,,0,,,,,,,,,,,,
1903,2,22,"V. Casilda",1903/02/22,762.3,-0.9,20,2,30,14,72,N,1,K,2,,,,,,,,,,,,
1903,2,23,"V. Casilda",1903/02/23,760.4,-1.9,21,2,30,13,74,N,1,S,1,,,,,,,,,,,,
