,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"V. Concepcion",1903/01/01,,,,,,,,,,,,,,,,,,,,,,,
1903,1,2,"V. Concepcion",1903/01/02,,,,,,,,,,,,,,,,,,,,,,,
1903,1,3,"V. Concepcion",1903/01/03,,,,,,,,,,,,,,,,,,,,,,,
1903,1,4,"V. Concepcion",1903/01/04,,,,,,,,,,,,,,,,,,,,,,,
1903,1,5,"V. Concepcion",1903/01/05,,,,,,,,,,,,,,,,,,,,,,,
1903,1,6,"V. Concepcion",1903/01/06,,,,,,,,,,,,,,,,,,,,,,,
1903,1,7,"V. Concepcion",1903/01/07,,,,,,,,,,,,,,,,,,,,,,,
1903,1,8,"V. Concepcion",1903/01/08,,,,,,,,,,,,,,,,,,,,,,,
1903,1,9,"V. Concepcion",1903/01/09,,,,,,,,,,,,,,,,,,,,,,,
1903,1,10,"V. Concepcion",1903/01/10,,,,,,,,,,,,,,,,,,,,,,,
1903,1,11,"V. Concepcion",1903/01/11,,,,,,,,,,,,,,,,,,,,,,,
1903,1,12,"V. Concepcion",1903/01/12,,,,,,,,,,,,,,,,,,,,,,,
1903,1,13,"V. Concepcion",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"V. Concepcion",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"V. Concepcion",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"V. Concepcion",1903/01/16,,,,,,,,,,,,,,,,,,,,,,,
1903,1,17,"V. Concepcion",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"V. Concepcion",1903/01/18,,,,,,,,,,,,,,,,,,,,,,,
1903,1,19,"V. Concepcion",1903/01/19,,,,,,,,,,,,,,,,,,,,,,,
1903,1,20,"V. Concepcion",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"V. Concepcion",1903/01/21,,,,,,,,,,,,,,,,,,,,,,,
1903,1,22,"V. Concepcion",1903/01/22,,,,,,,,,,,,,,,,,,,,,,,
1903,1,23,"V. Concepcion",1903/01/23,,,,,,,,,,,,,,,,,,,,,,,
1903,1,24,"V. Concepcion",1903/01/24,,,,,,,,,,,,,,,,,,,,,,,
1903,1,25,"V. Concepcion",1903/01/25,,,,,,,,,,,,,,,,,,,,,,,
1903,1,26,"V. Concepcion",1903/01/26,,,,,,,,,,,,,,,,,,,,,,,
1903,1,27,"V. Concepcion",1903/01/27,,,,,,,,,,,,,,,,,,,,,,,
1903,1,28,"V. Concepcion",1903/01/28,,,,,,,,,,,,,,,,,,,,,,,
1903,1,29,"V. Concepcion",1903/01/29,,,,,,,,,,,,,,,,,,,,,,,
1903,1,30,"V. Concepcion",1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,"V. Concepcion",1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,"V. Concepcion",1903/02/01,,,,,,,,,,,,,,,,,,,,,,,
1903,2,2,"V. Concepcion",1903/02/02,,,,,,,,,,,,,,,,,,,,,,,
1903,2,3,"V. Concepcion",1903/02/03,,,,,,,,,,,,,,,,,,,,,,,
1903,2,4,"V. Concepcion",1903/02/04,,,,,,,,,,,,,,,,,,,,,,,
1903,2,5,"V. Concepcion",1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,"V. Concepcion",1903/02/06,,,,,,,,,,,,,,,,,,,,,,,
1903,2,7,"V. Concepcion",1903/02/07,,,,,,,,,,,,,,,,,,,,,,,
1903,2,8,"V. Concepcion",1903/02/08,,,,,,,,,,,,,,,,,,,,,,,
1903,2,9,"V. Concepcion",1903/02/09,,,,,,,,,,,,,,,,,,,,,,,
1903,2,10,"V. Concepcion",1903/02/10,,,,,,,,,,,,,,,,,,,,,,,
1903,2,11,"V. Concepcion",1903/02/11,,,,,,,,,,,,,,,,,,,,,,,
1903,2,12,"V. Concepcion",1903/02/12,,,,,,,,,,,,,,,,,,,,,,,
1903,2,13,"V. Concepcion",1903/02/13,,,,,,,,,,,,,,,,,,,,,,,
1903,2,14,"V. Concepcion",1903/02/14,,,,,,,,,,,,,,,,,,,,,,,
1903,2,15,"V. Concepcion",1903/02/15,,,,,,,,,,,,,,,,,,,,,,,
1903,2,16,"V. Concepcion",1903/02/16,,,,,,,,,,,,,,,,,,,,,,,
1903,2,17,"V. Concepcion",1903/02/17,,,,,,,,,,,,,,,,,,,,,,,
1903,2,18,"V. Concepcion",1903/02/18,,,,,,,,,,,,,,,,,,,,,,,
1903,2,19,"V. Concepcion",1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,"V. Concepcion",1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,"V. Concepcion",1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,"V. Concepcion",1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,"V. Concepcion",1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,"V. Concepcion",1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,"V. Concepcion",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"V. Concepcion",1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,"V. Concepcion",1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,"V. Concepcion",1903/02/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1,"V. Concepcion",1903/03/01,,,,,,,,,,,,,,,,,,,,,,,
1903,3,2,"V. Concepcion",1903/03/02,,,,,,,,,,,,,,,,,,,,,,,
1903,3,3,"V. Concepcion",1903/03/03,,,,,,,,,,,,,,,,,,,,,,,
1903,3,4,"V. Concepcion",1903/03/04,,,,,,,,,,,,,,,,,,,,,,,
1903,3,5,"V. Concepcion",1903/03/05,,,,,,,,,,,,,,,,,,,,,,,
1903,3,6,"V. Concepcion",1903/03/06,,,,,,,,,,,,,,,,,,,,,,,
1903,3,7,"V. Concepcion",1903/03/07,,,,,,,,,,,,,,,,,,,,,,,
1903,3,8,"V. Concepcion",1903/03/08,,,,,,,,,,,,,,,,,,,,,,,
1903,3,9,"V. Concepcion",1903/03/09,,,,,,,,,,,,,,,,,,,,,,,
1903,3,10,"V. Concepcion",1903/03/10,,,,,,,,,,,,,,,,,,,,,,,
1903,3,11,"V. Concepcion",1903/03/11,,,,,,,,,,,,,,,,,,,,,,,
1903,3,12,"V. Concepcion",1903/03/12,,,,,,,,,,,,,,,,,,,,,,,
1903,3,13,"V. Concepcion",1903/03/13,,,,,,,,,,,,,,,,,,,,,,,
1903,3,14,"V. Concepcion",1903/03/14,,,,,,,,,,,,,,,,,,,,,,,
1903,3,15,"V. Concepcion",1903/03/15,,,,,,,,,,,,,,,,,,,,,,,
1903,3,16,"V. Concepcion",1903/03/16,,,,,,,,,,,,,,,,,,,,,,,
1903,3,17,"V. Concepcion",1903/03/17,,,,,,,,,,,,,,,,,,,,,,,
1903,3,18,"V. Concepcion",1903/03/18,,,,,,,,,,,,,,,,,,,,,,,
1903,3,19,"V. Concepcion",1903/03/19,,,,,,,,,,,,,,,,,,,,,,,
1903,3,20,"V. Concepcion",1903/03/20,,,,,,,,,,,,,,,,,,,,,,,
1903,3,21,"V. Concepcion",1903/03/21,,,,,,,,,,,,,,,,,,,,,,,
1903,3,22,"V. Concepcion",1903/03/22,,,,,,,,,,,,,,,,,,,,,,,
1903,3,23,"V. Concepcion",1903/03/23,,,,,,,,,,,,,,,,,,,,,,,
1903,3,24,"V. Concepcion",1903/03/24,,,,,,,,,,,,,,,,,,,,,,,
1903,3,25,"V. Concepcion",1903/03/25,,,,,,,,,,,,,,,,,,,,,,,
1903,3,26,"V. Concepcion",1903/03/26,,,,,,,,,,,,,,,,,,,,,,,
1903,3,27,"V. Concepcion",1903/03/27,,,,,,,,,,,,,,,,,,,,,,,
1903,3,28,"V. Concepcion",1903/03/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,29,"V. Concepcion",1903/03/29,,,,,,,,,,,,,,,,,,,,,,,
1903,3,30,"V. Concepcion",1903/03/30,,,,,,,,,,,,,,,,,,,,,,,
1903,3,31,"V. Concepcion",1903/03/31,,,,,,,,,,,,,,,,,,,,,,,
1903,4,1,"V. Concepcion",1903/04/01,,,,,,,,,,,,,,,,,,,,,,,
1903,4,2,"V. Concepcion",1903/04/02,,,,,,,,,,,,,,,,,,,,,,,
1903,4,3,"V. Concepcion",1903/04/03,,,,,,,,,,,,,,,,,,,,,,,
1903,4,4,"V. Concepcion",1903/04/04,,,,,,,,,,,,,,,,,,,,,,,
1903,4,5,"V. Concepcion",1903/04/05,,,,,,,,,,,,,,,,,,,,,,,
1903,4,6,"V. Concepcion",1903/04/06,,,,,,,,,,,,,,,,,,,,,,,
1903,4,7,"V. Concepcion",1903/04/07,,,,,,,,,,,,,,,,,,,,,,,
1903,4,8,"V. Concepcion",1903/04/08,,,,,,,,,,,,,,,,,,,,,,,
1903,4,9,"V. Concepcion",1903/04/09,,,,,,,,,,,,,,,,,,,,,,,
1903,4,10,"V. Concepcion",1903/04/10,,,,,,,,,,,,,,,,,,,,,,,
1903,4,11,"V. Concepcion",1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,"V. Concepcion",1903/04/12,,,,,,,,,,,,,,,,,,,,,,,
1903,4,13,"V. Concepcion",1903/04/13,,,,,,,,,,,,,,,,,,,,,,,
1903,4,14,"V. Concepcion",1903/04/14,,,,,,,,,,,,,,,,,,,,,,,
1903,4,15,"V. Concepcion",1903/04/15,,,,,,,,,,,,,,,,,,,,,,,
1903,4,16,"V. Concepcion",1903/04/16,,,,,,,,,,,,,,,,,,,,,,,
1903,4,17,"V. Concepcion",1903/04/17,,,,,,,,,,,,,,,,,,,,,,,
1903,4,18,"V. Concepcion",1903/04/18,,,,,,,,,,,,,,,,,,,,,,,
1903,4,19,"V. Concepcion",1903/04/19,,,,,,,,,,,,,,,,,,,,,,,
1903,4,20,"V. Concepcion",1903/04/20,,,,,,,,,,,,,,,,,,,,,,,
1903,4,21,"V. Concepcion",1903/04/21,,,,,,,,,,,,,,,,,,,,,,,
1903,4,22,"V. Concepcion",1903/04/22,,,,,,,,,,,,,,,,,,,,,,,
1903,4,23,"V. Concepcion",1903/04/23,,,,,,,,,,,,,,,,,,,,,,,
1903,4,24,"V. Concepcion",1903/04/24,,,,,,,,,,,,,,,,,,,,,,,
1903,4,25,"V. Concepcion",1903/04/25,,,,,,,,,,,,,,,,,,,,,,,
1903,4,26,"V. Concepcion",1903/04/26,,,,,,,,,,,,,,,,,,,,,,,
1903,4,27,"V. Concepcion",1903/04/27,,,,,,,,,,,,,,,,,,,,,,,
1903,4,28,"V. Concepcion",1903/04/28,,,,,,,,,,,,,,,,,,,,,,,
1903,4,29,"V. Concepcion",1903/04/29,,,,,,,,,,,,,,,,,,,,,,,
1903,4,30,"V. Concepcion",1903/04/30,,,,,,,,,,,,,,,,,,,,,,,
1903,5,1,"V. Concepcion",1903/05/01,,,,,,,,,,,,,,,,,,,,,,,
1903,5,2,"V. Concepcion",1903/05/02,,,,,,,,,,,,,,,,,,,,,,,
1903,5,3,"V. Concepcion",1903/05/03,,,,,,,,,,,,,,,,,,,,,,,
1903,5,4,"V. Concepcion",1903/05/04,,,,,,,,,,,,,,,,,,,,,,,
1903,5,5,"V. Concepcion",1903/05/05,,,,,,,,,,,,,,,,,,,,,,,
1903,5,6,"V. Concepcion",1903/05/06,,,,,,,,,,,,,,,,,,,,,,,
1903,5,7,"V. Concepcion",1903/05/07,,,,,,,,,,,,,,,,,,,,,,,
1903,5,8,"V. Concepcion",1903/05/08,,,,,,,,,,,,,,,,,,,,,,,
1903,5,9,"V. Concepcion",1903/05/09,,,,,,,,,,,,,,,,,,,,,,,
1903,5,10,"V. Concepcion",1903/05/10,,,,,,,,,,,,,,,,,,,,,,,
1903,5,11,"V. Concepcion",1903/05/11,,,,,,,,,,,,,,,,,,,,,,,
1903,5,12,"V. Concepcion",1903/05/12,,,,,,,,,,,,,,,,,,,,,,,
1903,5,13,"V. Concepcion",1903/05/13,,,,,,,,,,,,,,,,,,,,,,,
1903,5,14,"V. Concepcion",1903/05/14,,,,,,,,,,,,,,,,,,,,,,,
1903,5,15,"V. Concepcion",1903/05/15,,,,,,,,,,,,,,,,,,,,,,,
1903,5,16,"V. Concepcion",1903/05/16,,,,,,,,,,,,,,,,,,,,,,,
1903,5,17,"V. Concepcion",1903/05/17,,,,,,,,,,,,,,,,,,,,,,,
1903,5,18,"V. Concepcion",1903/05/18,,,,,,,,,,,,,,,,,,,,,,,
1903,5,19,"V. Concepcion",1903/05/19,,,,,,,,,,,,,,,,,,,,,,,
1903,5,20,"V. Concepcion",1903/05/20,,,,,,,,,,,,,,,,,,,,,,,
1903,5,21,"V. Concepcion",1903/05/21,,,,,,,,,,,,,,,,,,,,,,,
1903,5,22,"V. Concepcion",1903/05/22,,,,,,,,,,,,,,,,,,,,,,,
1903,5,23,"V. Concepcion",1903/05/23,,,,,,,,,,,,,,,,,,,,,,,
1903,5,24,"V. Concepcion",1903/05/24,,,,,,,,,,,,,,,,,,,,,,,
1903,5,25,"V. Concepcion",1903/05/25,,,,,,,,,,,,,,,,,,,,,,,
1903,5,26,"V. Concepcion",1903/05/26,,,,,,,,,,,,,,,,,,,,,,,
1903,5,27,"V. Concepcion",1903/05/27,,,,,,,,,,,,,,,,,,,,,,,
