,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,"Villa Maria",1903/01/01,765.6,-1.7,17,1,27,10,61,N,1,,0,,,,,,,,,,,,
1903,1,2,"Villa Maria",1903/01/02,764.1,-1.5,18,1,29,11,71,N,1,,0,,,,,,,,,,,,
1903,1,3,"Villa Maria",1903/01/03,763.8,-0.3,19,1,31,15,81,N,2,C,1,,,,,,,,,,,,
1903,1,4,"Villa Maria",1903/01/04,762.1,-1.7,20,1,32,14,64,N,2,C,1,,,,,,,,,,,,
1903,1,5,"Villa Maria",1903/01/05,761.7,-0.4,20,0,32,14,64,N,1,CK,1,,,,,,,,,,,,
1903,1,6,"Villa Maria",1903/01/06,763.5,1.8,18,-2,33,16,90,N,1,N,3,,,,,,,,,,,,
1903,1,7,"Villa Maria",1903/01/07,759.4,-4.1,23,5,29,16,66,N,1,SK,3,,,,,,,,,,,,
1903,1,8,"Villa Maria",1903/01/08,759.7,0.3,20,-3,36,16,91,N,1,CK,1,,,,,,,,,,,,
1903,1,9,"Villa Maria",1903/01/09,756.7,-3,24,4,31,18,67,N,2,,0,,,,,,,,,,,,
1903,1,10,"Villa Maria",1903/01/10,756.3,-0.4,23,-1,36,18,74,N,1,SK,2,,,,,,,,,,,,
1903,1,11,"Villa Maria",1903/01/11,757.7,1.4,19,-4,32,17,90,S,2,N,3,,,,,,,,,,,,
1903,1,12,"Villa Maria",1903/01/12,760.9,3.2,19,0,25,14,90,NE,1,S,3,,,,,,,,,,,,
1903,1,13,"Villa Maria",1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,"Villa Maria",1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,"Villa Maria",1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,"Villa Maria",1903/01/16,756.8,0.3,19,-3,34,17,90,,0,K,2,,,,,,,,,,,,
1903,1,17,"Villa Maria",1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,"Villa Maria",1903/01/18,759.6,-1.2,18,1,23,13,80,NE,2,CK,2,,,,,,,,,,,,
1903,1,19,"Villa Maria",1903/01/19,754.2,-5.7,18,0,29,16,90,E,1,KN,3,Rt,,,,,,,,,,,
1903,1,20,"Villa Maria",1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,"Villa Maria",1903/01/21,762.7,2.5,16,3,22,10,50,W,1,,0,,,,,,,,,,,,
1903,1,22,"Villa Maria",1903/01/22,760.8,-1.9,13,-3,27,11,77,S,2,SK,3,,,,,,,,,,,,
1903,1,23,"Villa Maria",1903/01/23,762.2,1.4,17,4,22,9,52,W,1,C,1,,,,,,,,,,,,
1903,1,24,"Villa Maria",1903/01/24,761,-1.2,19,2,30,15,54,S,2,,0,,,,,,,,,,,,
