,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Villaguay,1903/01/01,767.7,-0.1,18,2,26,10,71,NE,1,,0,,,,,,,,,,,,
1903,1,2,Villaguay,1903/01/02,765.6,-2.1,20,2,27,21,64,NE,2,C,1,,,,,,,,,,,,
1903,1,3,Villaguay,1903/01/03,766,0.4,21,1,30,14,73,NE,2,,0,,,,,,,,,,,,
1903,1,4,Villaguay,1903/01/04,765.3,-0.7,22,1,31,14,66,NE,2,,0,,,,,,,,,,,,
1903,1,5,Villaguay,1903/01/05,764,-0.3,20,-2,31,14,64,NE,2,,0,,,,,,,,,,,,
1903,1,6,Villaguay,1903/01/06,763.3,-0.7,22,2,32,14,58,NE,2,C,1,,,,,,,,,,,,
1903,1,7,Villaguay,1903/01/07,763,-0.3,23,1,33,17,66,N,1,C,2,,,,,,,,,,,,
1903,1,8,Villaguay,1903/01/08,761.5,-1.5,26,3,33,17,55,N,2,C,1,,,,,,,,,,,,
1903,1,9,Villaguay,1903/01/09,758.9,-2.6,25,-1,35,17,61,N,2,K,2,,,,,,,,,,,,
1903,1,10,Villaguay,1903/01/10,758.3,-0.6,28,3,33,20,70,N,1,C,2,,,,,,,,,,,,
1903,1,11,Villaguay,1903/01/11,,,20,-8,38,17,91,W,3,N,3,,,,,,,,,,,,
1903,1,12,Villaguay,1903/01/12,761,,19,-1,25,15,90,SE,2,N,3,,,,,,,,,,,,
1903,1,13,Villaguay,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Villaguay,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Villaguay,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Villaguay,1903/01/16,756.2,-1.9,21,-3,35,17,91,N,2,N,3,,,,,,,,,,,,
1903,1,17,Villaguay,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Villaguay,1903/01/18,759.3,-0.9,22,0,30,15,66,NE,1,,0,,,,,,,,,,,,
1903,1,19,Villaguay,1903/01/19,755.3,-4,23,1,32,15,74,NE,1,K,2,,,,,,,,,,,,
1903,1,20,Villaguay,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Villaguay,1903/01/21,760.1,4.9,16,-2,30,15,69,W,2,,0,,,,,,,,,,,,
