,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Ytaybate,1903/01/01,765.9,-0.4,19,0,25,15,72,SE,2,,0,,,,,,,,,,,,
1903,1,2,Ytaybate,1903/01/02,763.9,-2,23,4,29,18,66,E,1,K,1,,,,,,,,,,,,
1903,1,3,Ytaybate,1903/01/03,765.3,1.4,23,0,32,20,66,E,2,CK,1,,,,,,,,,,,,
1903,1,4,Ytaybate,1903/01/04,764.4,-0.9,23,0,31,19,59,E,2,,0,,,,,,,,,,,,
1903,1,5,Ytaybate,1903/01/05,764.3,-0.1,22,-1,31,19,66,E,1,,0,,,,,,,,,,,,
1903,1,6,Ytaybate,1903/01/06,764.4,0.1,25,3,34,21,61,E,1,,0,,,,,,,,,,,,
1903,1,7,Ytaybate,1903/01/07,763,-1.4,26,1,31,21,55,,0,K,1,,,,,,,,,,,,
1903,1,8,Ytaybate,1903/01/08,761.3,-2.7,27,1,33,22,56,E,1,C,2,,,,,,,,,,,,
1903,1,9,Ytaybate,1903/01/09,760.3,-1,27,0,34,23,63,NE,2,,0,,,,,,,,,,,,
1903,1,10,Ytaybate,1903/01/10,761.1,0.8,25,-2,34,23,76,NE,1,C,2,,,,,,,,,,,,
1903,1,11,Ytaybate,1903/01/11,757.4,-3.7,27,2,33,24,63,NE,2,S,2,,,,,,,,,,,,
1903,1,12,Ytaybate,1903/01/12,760.2,2.8,22,-5,,,91,S,1,N,3,,,,,,,,,,,,
1903,1,13,Ytaybate,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Ytaybate,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Ytaybate,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Ytaybate,1903/01/16,757.7,0,28,0,35,25,70,N,3,C,2,,,,,,,,,,,,
1903,1,17,Ytaybate,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Ytaybate,1903/01/18,758,-1.7,27,3,30,23,84,SE,2,K,2,,,,,,,,,,,,
1903,1,19,Ytaybate,1903/01/19,755.2,-2.8,24,-3,35,23,83,SE,1,S,1,,,,,,,,,,,,
1903,1,20,Ytaybate,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Ytaybate,1903/01/21,764,8.5,18,-2,25,13,62,W,1,,0,,,,,,,,,,,,
1903,1,22,Ytaybate,1903/01/22,761.4,-2.6,20,2,25,16,55,NE,1,,0,,,,,,,,,,,,
1903,1,23,Ytaybate,1903/01/23,763.5,2.1,17,-3,29,15,70,SE,3,C,2,,,,,,,,,,,,
1903,1,24,Ytaybate,1903/01/24,762.5,-1,21,4,28,15,65,E,1,,0,,,,,,,,,,,,
1903,1,25,Ytaybate,1903/01/25,764.9,2.4,21,0,30,18,57,SE,2,,0,,,,,,,,,,,,
1903,1,26,Ytaybate,1903/01/26,763.5,-1.4,21,0,31,15,73,E,2,C,2,,,,,,,,,,,,
1903,1,27,Ytaybate,1903/01/27,761.8,-1.7,24,3,32,18,75,SE,1,,0,,,,,,,,,,,,
1903,1,28,Ytaybate,1903/01/28,759.9,-1.9,26,2,34,23,69,NE,2,CK,2,,,,,,,,,,,,
1903,1,29,Ytaybate,1903/01/29,761.2,1.3,23,-3,38,22,83,E,2,N,3,Rt,,,,,,,,,,,
1903,1,30,Ytaybate,1903/01/30,,,,,,,,,,,,,,,,,,,,,,,
1903,1,31,Ytaybate,1903/01/31,,,,,,,,,,,,,,,,,,,,,,,
1903,2,1,Ytaybate,1903/02/01,761.6,2.2,23,-1,29,23,83,,0,N,3,Rt,,,,,,,,,,,
1903,2,2,Ytaybate,1903/02/02,761.9,0.3,24,-2,28,23,92,E,1,N,3,,,,,,,,,,,,
1903,2,3,Ytaybate,1903/02/03,758.9,-3,26,-1,32,25,84,N,2,,0,,,,,,,,,,,,
1903,2,4,Ytaybate,1903/02/04,757.3,-1.6,28,-2,31,26,77,N,3,CK,1,,,,,,,,,,,,
1903,2,5,Ytaybate,1903/02/05,,,,,,,,,,,,,,,,,,,,,,,
1903,2,6,Ytaybate,1903/02/06,762.9,,25,,32,24,92,SE,2,N,3,,,,,,,,,,,,
1903,2,7,Ytaybate,1903/02/07,764.5,1.6,24,-1,32,20,75,E,2,,0,,,,,,,,,,,,
1903,2,8,Ytaybate,1903/02/08,764.3,-0.2,23,-1,32,19,74,E,2,,0,,,,,,,,,,,,
1903,2,9,Ytaybate,1903/02/09,764.8,0.5,24,1,32,19,75,E,1,,0,,,,,,,,,,,,
1903,2,10,Ytaybate,1903/02/10,763.5,-1.3,25,1,34,20,76,NE,1,,0,,,,,,,,,,,,
1903,2,11,Ytaybate,1903/02/11,762.3,-1.2,27,2,36,24,69,N,1,,0,,,,,,,,,,,,
1903,2,12,Ytaybate,1903/02/12,759.6,-2.7,26,-1,36,22,62,N,2,,0,,,,,,,,,,,,
1903,2,13,Ytaybate,1903/02/13,759.2,-0.4,27,1,35,25,63,N,3,N,2,Rt,,,,,,,,,,,
1903,2,14,Ytaybate,1903/02/14,761.2,2,23,-4,27,22,83,,0,N,3,,,,,,,,,,,,
1903,2,15,Ytaybate,1903/02/15,759.1,-2.1,24,1,31,22,91,NE,1,K,2,,,,,,,,,,,,
1903,2,16,Ytaybate,1903/02/16,756.9,-2.2,27,3,34,23,84,N,3,C,2,,,,,,,,,,,,
1903,2,17,Ytaybate,1903/02/17,759.1,2.2,27,0,36,26,77,N,3,KN,2,,,,,,,,,,,,
1903,2,18,Ytaybate,1903/02/18,760.2,1.1,27,0,35,26,77,N,2,KN,1,,,,,,,,,,,,
1903,2,19,Ytaybate,1903/02/19,760.8,0.6,22,-5,23,20,91,SE,1,C,3,,,,,,,,,,,,
1903,2,20,Ytaybate,1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,Ytaybate,1903/02/21,761.8,,22,,24,20,91,S,2,C,3,PD,,,,,,,,,,,
1903,2,22,Ytaybate,1903/02/22,762.4,0.6,21,-1,,21,91,SE,2,N,3,,,,,,,,,,,,
1903,2,23,Ytaybate,1903/02/23,762.3,-0.1,24,3,29,19,75,,0,,0,,,,,,,,,,,,
1903,2,24,Ytaybate,1903/02/24,760.7,-1.6,25,1,31,22,68,N,1,,0,,,,,,,,,,,,
1903,2,25,Ytaybate,1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,Ytaybate,1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,Ytaybate,1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,Ytaybate,1903/02/28,764.6,,20,,23,19,72,SE,2,C,1,,,,,,,,,,,,
1903,3,1,Ytaybate,1903/03/01,763.3,-1.3,19,-1,26,,81,SE,2,KN,2,,,,,,,,,,,,
1903,3,2,Ytaybate,1903/03/02,761.1,-2.2,20,1,22,,,,,K,2,,,,,,,,,,,,
1903,3,3,Ytaybate,1903/03/03,760.7,-0.4,23,3,29,21,91,,0,K,1,,,,,,,,,,,,
1903,3,4,Ytaybate,1903/03/04,762.6,1.9,25,2,30,22,92,E,1,C,1,,,,,,,,,,,,
1903,3,5,Ytaybate,1903/03/05,762.2,-0.4,25,0,,20,75,,0,C,3,,,,,,,,,,,,
1903,3,6,Ytaybate,1903/03/06,759.7,-2.5,23,-2,32,22,74,E,2,,0,,,,,,,,,,,,
1903,3,7,Ytaybate,1903/03/07,760.4,0.7,25,2,32,24,83,NE,1,K,2,,,,,,,,,,,,
1903,3,8,Ytaybate,1903/03/08,760.6,0.2,23,-2,31,21,91,,0,C,3,,,,,,,,,,,,
1903,3,9,Ytaybate,1903/03/09,758.9,-1.7,25,2,30,24,83,NE,1,CK,2,,,,,,,,,,,,
1903,3,10,Ytaybate,1903/03/10,,,,,,,,,,,,,,,,,,,,,,,
1903,3,11,Ytaybate,1903/03/11,,,23,,24,22,91,,0,K,3,,,,,,,,,,,,
1903,3,12,Ytaybate,1903/03/12,762.3,,22,-1,28,21,91,,0,,0,,,,,,,,,,,,
1903,3,13,Ytaybate,1903/03/13,762.2,-0.1,24,2,29,23,75,SE,1,SK,1,,,,,,,,,,,,
1903,3,14,Ytaybate,1903/03/14,762.3,0.1,22,-2,31,21,82,S,2,C,3,,,,,,,,,,,,
1903,3,15,Ytaybate,1903/03/15,762.7,0.4,22,0,23,20,91,,0,N,3,,,,,,,,,,,,
1903,3,16,Ytaybate,1903/03/16,761.2,-1.5,23,1,26,21,91,NE,1,K,2,,,,,,,,,,,,
1903,3,17,Ytaybate,1903/03/17,760.3,-0.9,27,4,33,25,77,N,2,,0,,,,,,,,,,,,
1903,3,18,Ytaybate,1903/03/18,763.6,3.3,20,-7,28,18,91,SN,1,C,2,,,,,,,,,,,,
1903,3,19,Ytaybate,1903/03/19,760.3,-3.3,22,2,25,20,91,NE,1,C,1,,,,,,,,,,,,
1903,3,20,Ytaybate,1903/03/20,757.8,-2.5,22,0,27,21,91,NE,1,,0,,,,,,,,,,,,
1903,3,21,Ytaybate,1903/03/21,759.1,1.3,26,4,27,22,76,N,3,KN,2,,,,,,,,,,,,
1903,3,22,Ytaybate,1903/03/22,759.8,0.7,26,0,31,21,92,NE,1,K,2,,,,,,,,,,,,
1903,3,23,Ytaybate,1903/03/23,763.7,3.9,22,-4,23,21,91,NE,1,N,2,,,,,,,,,,,,
1903,3,24,Ytaybate,1903/03/24,761.4,-2.3,25,3,31,24,92,NE,1,S,3,,,,,,,,,,,,
1903,3,25,Ytaybate,1903/03/25,762.1,1.4,26,-2,34,23,84,NE,1,,0,,,,,,,,,,,,
1903,3,26,Ytaybate,1903/03/26,760.7,-0.7,28,3,32,25,70,N,2,,0,,,,,,,,,,,,
1903,3,27,Ytaybate,1903/03/27,760.3,-1.8,27,3,34,25,76,N,2,,0,,,,,,,,,,,,
1903,3,28,Ytaybate,1903/03/28,759.5,-0.8,27,0,34,25,77,N,3,,0,,,,,,,,,,,,
1903,3,29,Ytaybate,1903/03/29,758.9,-0.6,28,1,34,26,77,N,1,C,1,,,,,,,,,,,,
1903,3,30,Ytaybate,1903/03/30,759,0.1,27,-1,33,25,77,NE,1,C,1,,,,,,,,,,,,
1903,3,31,Ytaybate,1903/03/31,,,,,,,,,,,,,,,,,,,,,,,
1903,4,1,Ytaybate,1903/04/01,762.6,,26,,27,23,92,,0,,0,,,,,,,,,,,,
1903,4,2,Ytaybate,1903/04/02,,,24,-2,31,22,91,SE,1,,0,,,,,,,,,,,,
1903,4,3,Ytaybate,1903/04/03,762.9,,25,1,31,24,83,E,1,,0,,,,,,,,,,,,
1903,4,4,Ytaybate,1903/04/04,762.4,-0.5,23,-2,,22,74,E,2,K,2,,,,,,,,,,,,
1903,4,5,Ytaybate,1903/04/05,761.9,-0.5,23,0,28,22,,E,1,,0,,,,,,,,,,,,
1903,4,6,Ytaybate,1903/04/06,762.4,0.5,24,1,32,21,83,,0,,0,,,,,,,,,,,,
1903,4,7,Ytaybate,1903/04/07,761.9,-0.5,23,-1,31,21,91,E,1,,0,,,,,,,,,,,,
1903,4,8,Ytaybate,1903/04/08,762.4,0.5,24,1,25,21,91,NE,1,,0,,,,,,,,,,,,
1903,4,9,Ytaybate,1903/04/09,763.9,1.5,23,-1,29,21,83,E,2,KN,2,,,,,,,,,,,,
1903,4,10,Ytaybate,1903/04/10,765,1.1,22,-1,30,21,82,SE,2,,0,,,,,,,,,,,,
1903,4,11,Ytaybate,1903/04/11,763.1,-1.9,21,-1,31,22,91,E,2,SK,2,,,,,,,,,,,,
1903,4,12,Ytaybate,1903/04/12,763.5,0.4,24,3,27,,75,N,3,C,2,,,,,,,,,,,,
1903,4,13,Ytaybate,1903/04/13,760,-3.5,24,0,28,21,75,NE,1,K,1,,,,,,,,,,,,
1903,4,14,Ytaybate,1903/04/14,760.5,0.5,22,-2,30,17,91,E,2,N,3,,,,,,,,,,,,
1903,4,15,Ytaybate,1903/04/15,761.6,1.1,21,-1,24,21,91,SW,1,N,3,PD,,,,,,,,,,,
1903,4,16,Ytaybate,1903/04/16,763.8,2.2,16,-5,23,15,89,S,3,KN,3,PD,,,,,,,,,,,
1903,4,17,Ytaybate,1903/04/17,764.1,0.3,,,,,,,,,,,,,,,,,,,,,
1903,4,18,Ytaybate,1903/04/18,763,-1.1,19,,24,16,90,,0,K,2,,,,,,,,,,,,
1903,4,19,Ytaybate,1903/04/19,765.7,2.7,16,-3,24,14,89,S,1,,0,,,,,,,,,,,,
1903,4,20,Ytaybate,1903/04/20,766.6,0.9,15,-1,22,,100,S,1,,0,,,,,,,,,,,,
1903,4,21,Ytaybate,1903/04/21,766.9,0.3,13,-2,18,11,88,S,1,,0,,,,,,,,,,,,
1903,4,22,Ytaybate,1903/04/22,764.8,-2.1,13,0,20,12,88,E,2,,0,,,,,,,,,,,,
1903,4,23,Ytaybate,1903/04/23,767.4,2.6,16,3,22,14,69,E,1,,0,,,,,,,,,,,,
1903,4,24,Ytaybate,1903/04/24,764.1,-3.3,17,1,27,16,90,NE,1,K,2,,,,,,,,,,,,
1903,4,25,Ytaybate,1903/04/25,763.5,-0.6,19,2,23,18,90,E,1,C,3,,,,,,,,,,,,
1903,4,26,Ytaybate,1903/04/26,758,-5.5,19,0,21,18,90,NE,1,KN,2,,,,,,,,,,,,
1903,4,27,Ytaybate,1903/04/27,761.3,3.3,20,1,20,19,81,NW,1,N,3,,,,,,,,,,,,
1903,4,28,Ytaybate,1903/04/28,763.5,2.2,19,-1,22,19,90,SE,1,S,3,PD,,,,,,,,,,,
1903,4,29,Ytaybate,1903/04/29,763.9,0.4,14,-5,21,14,89,W,3,N,3,PD,,,,,,,,,,,
1903,4,30,Ytaybate,1903/04/30,,,11,-3,18,12,100,,,KN,3,,,,,,,,,,,,
1903,5,1,Ytaybate,1903/05/01,766,,14,3,14,12,89,,,S,3,,,,,,,,,,,,
1903,5,2,Ytaybate,1903/05/02,,,16,2,17,13,89,SE,2,K,2,,,,,,,,,,,,
1903,5,3,Ytaybate,1903/05/03,764.3,,16,0,17,,100,E,1,S,3,,,,,,,,,,,,
1903,5,4,Ytaybate,1903/05/04,763.7,-0.6,17,1,19,17,90,SE,1,C,3,,,,,,,,,,,,
1903,5,5,Ytaybate,1903/05/05,763.2,-0.5,18,1,21,15,90,N,1,,0,,,,,,,,,,,,
1903,5,6,Ytaybate,1903/05/06,765.2,2,18,0,24,16,90,,0,,0,,,,,,,,,,,,
1903,5,7,Ytaybate,1903/05/07,765.1,-0.1,18,0,26,16,90,E,1,,0,,,,,,,,,,,,
1903,5,8,Ytaybate,1903/05/08,764.3,-0.8,19,1,28,18,90,E,1,C,1,,,,,,,,,,,,
1903,5,9,Ytaybate,1903/05/09,763.2,-1.1,21,2,29,18,82,E,1,,0,,,,,,,,,,,,
1903,5,10,Ytaybate,1903/05/10,759.3,-3.9,20,-1,28,19,81,NE,1,,0,,,,,,,,,,,,
1903,5,11,Ytaybate,1903/05/11,,,18,-2,27,,90,S,3,C,3,,,,,,,,,,,,
1903,5,12,Ytaybate,1903/05/12,770,,10,-8,26,9,86,SE,2,,0,,,,,,,,,,,,
1903,5,13,Ytaybate,1903/05/13,772.6,2.6,10,0,17,7,86,,0,,0,,,,,,,,,,,,
1903,5,14,Ytaybate,1903/05/14,772.1,-0.5,11,1,15,8,87,,0,,0,,,,,,,,,,,,
1903,5,15,Ytaybate,1903/05/15,774.2,2.1,10,-1,20,9,74,SE,2,C,1,,,,,,,,,,,,
1903,5,16,Ytaybate,1903/05/16,772.1,-2.1,11,1,18,9,87,E,2,,0,,,,,,,,,,,,
1903,5,17,Ytaybate,1903/05/17,769.8,-2.3,13,2,19,10,77,E,1,C,1,,,,,,,,,,,,
1903,5,18,Ytaybate,1903/05/18,767.5,-2.3,14,1,22,13,89,SE,1,KS,2,,,,,,,,,,,,
