,,,,,Barometro,,Temperatura,,,,"Humedad ",Viento,,Nebulosidad,,Fenomenos,,,,,,,,,,,
YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,1,1,Zarate,1903/01/01,768.1,-0.9,16,-1,23,7,89,NE,1,,0,,,,,,,,,,,,
1903,1,2,Zarate,1903/01/02,,,18,2,25,14,90,NE,2,,0,,,,,,,,,,,,
1903,1,3,Zarate,1903/01/03,765.7,,19,1,24,,100,N,1,,0,,,,,,,,,,,,
1903,1,4,Zarate,1903/01/04,,,19,0,28,11,100,E,1,S,1,,,,,,,,,,,,
1903,1,5,Zarate,1903/01/05,,,19,0,29,11,100,NE,2,K,2,,,,,,,,,,,,
1903,1,6,Zarate,1903/01/06,763.2,,20,1,32,16,100,S,1,,0,,,,,,,,,,,,
1903,1,7,Zarate,1903/01/07,762.9,-0.3,21,1,,18,82,E,1,S,2,,,,,,,,,,,,
1903,1,8,Zarate,1903/01/08,760.2,-2.7,25,4,32,24,83,N,1,K,1,,,,,,,,,,,,
1903,1,9,Zarate,1903/01/09,757.9,-2.3,22,-3,29,21,82,,0,S,1,,,,,,,,,,,,
1903,1,10,Zarate,1903/01/10,758.3,0.4,24,2,26,20,83,E,2,K,3,,,,,,,,,,,,
1903,1,11,Zarate,1903/01/11,759,0.7,19,-5,27,16,100,,0,N,3,,,,,,,,,,,,
1903,1,12,Zarate,1903/01/12,761.6,2.6,17,-2,22,18,90,,0,,0,,,,,,,,,,,,
1903,1,13,Zarate,1903/01/13,,,,,,,,,,,,,,,,,,,,,,,
1903,1,14,Zarate,1903/01/14,,,,,,,,,,,,,,,,,,,,,,,
1903,1,15,Zarate,1903/01/15,,,,,,,,,,,,,,,,,,,,,,,
1903,1,16,Zarate,1903/01/16,756.2,,18,-4,26,17,100,C,2,N,3,,,,,,,,,,,,
1903,1,17,Zarate,1903/01/17,,,,,,,,,,,,,,,,,,,,,,,
1903,1,18,Zarate,1903/01/18,758.8,0.1,20,1,24,15,81,,0,,0,,,,,,,,,,,,
1903,1,19,Zarate,1903/01/19,755.2,-3.6,20,0,26,17,81,NW,1,K,1,,,,,,,,,,,,
1903,1,20,Zarate,1903/01/20,,,,,,,,,,,,,,,,,,,,,,,
1903,1,21,Zarate,1903/01/21,759.4,6.5,12,-3,20,8,88,W,2,,0,,,,,,,,,,,,
1903,1,22,Zarate,1903/01/22,756.8,-2.6,13,1,24,12,77,SW,2,N,3,,,,,,,,,,,,
1903,1,23,Zarate,1903/01/23,761.2,4.4,12,-1,18,8,88,,0,KS,3,,,,,,,,,,,,
1903,1,24,Zarate,1903/01/24,757.2,-4,16,4,25,12,89,SE,2,C,1,,,,,,,,,,,,
