YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Andalgalá,1902/02/21,761,7.2,25,-8,26,18,61,,0,N,1,,,,,,,,,,,,,
1902,2,22,Andalgalá,1902/02/22,762,1,24,-1,25,18,67,,0,K,2,,,,,,,,,,,,,
1902,2,23,Andalgalá,1902/02/23,763.9,1.9,25,1,26,18,54,,0,K,2,,,,,,,,,,,,,
1902,2,24,Andalgalá,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Andalgalá,1902/02/25,757.7,,30,,31,20,47,,0,K,2,,,,,,,,,,,,,
1902,2,26,Andalgalá,1902/02/26,757.1,1.4,27,-3,28,18,49,,0,K,2,,,,,,,,,,,,,
1902,2,27,Andalgalá,1902/02/27,754.9,-2.2,28,1,29,19,44,,0,N,1,,,,,,,,,,,,,
1902,2,28,Andalgalá,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Andalgalá,1902/03/01,758.9,,25,,27,19,61,,0,K,2,,,,,,,,,,,,,
1902,3,2,Andalgalá,1902/03/02,756.7,-2.2,28,3,30,17,51,,0,,0,,,,,,,,,,,,,
1902,3,3,Andalgalá,1902/03/03,756.1,-0.6,29,1,31,19,40,NE,2,C,1,,,,,,,,,,,,,
1902,3,4,Andalgalá,1902/03/04,753.2,-2.9,32,3,33,20,33,,0,,,,,,,,,,,,,,,
1902,3,5,Andalgalá,1902/03/05,757.6,4.4,29,-3,30,20,52,,0,K,2,,,,,,,,,,,,,
1902,3,6,Andalgalá,1902/03/06,758.5,0.9,27,-2,29,19,49,,0,K,2,,,,,,,,,,,,,
1902,3,7,Andalgalá,1902/03/07,757.3,-1.2,30,3,32,22,41,NE,2,C,1,,,,,,,,,,,,,
1902,3,8,Andalgalá,1902/03/08,757.6,0.3,30,0,31,20,41,NE,1,N,1,,,,,,,,,,,,,
1902,3,9,Andalgalá,1902/03/09,757.6,0,29,-1,30,20,46,,0,C,1,,,,,,,,,,,,,
1902,3,10,Andalgalá,1902/03/10,756.2,-1.4,29,0,31,21,40,NE,2,K,1,,,,,,,,,,,,,
1902,3,12,Andalgalá,1902/03/12,752.4,0,32,1,33,22,28,,0,K,1,,,,,,,,,,,,,
1902,3,13,Andalgalá,1902/03/13,758.5,6.1,27,-5,29,22,49,,0,K,2,,,,,,,,,,,,,
1902,3,14,Andalgalá,1902/03/14,759.6,1.1,28,1,29,19,39,,0,,0,,,,,,,,,,,,,
1902,3,15,Andalgalá,1902/03/15,758.1,-1.5,28,0,30,18,39,E,2,C,1,,,,,,,,,,,,,
1902,3,16,Andalgalá,1902/03/16,755.8,-2.3,30,2,31,19,36,,0,,0,,,,,,,,,,,,,
1902,3,19,Andalgalá,1902/03/19,756.3,3.4,32,0,33,,24,,0,K,1,,,,,,,,,,,,,
1902,3,21,Andalgalá,1902/03/21,760.4,-6.9,25,6,26,16,47,,0,K,1,,,,,,,,,,,,,
1902,3,22,Andalgalá,1902/03/22,761,0.6,28,3,30,18,33,,0,K,1,,,,,,,,,,,,,
1902,3,23,Andalgalá,1902/03/23,759.7,-1.3,30,2,31,20,25,,0,C,1,,,,,,,,,,,,,
1902,3,24,Andalgalá,1902/03/24,756.6,-3.1,29,-1,31,19,40,E,1,S,1,,,,,,,,,,,,,
1902,3,25,Andalgalá,1902/03/25,755.1,-1.5,30,1,31,20,31,,0,N,1,,,,,,,,,,,,,
1902,3,26,Andalgalá,1902/03/26,760.8,5.7,23,-7,25,20,66,,0,N,2,,,,,,,,,,,,,
1902,3,27,Andalgalá,1902/03/27,759.9,-0.9,18,-5,19,15,80,,0,N,3,,,,,,,,,,,,,
1902,3,30,Andalgalá,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Andalgalá,1902/03/31,756.7,-4.9,20,1,34,13,64,,0,K,2,,,,,,,,,,,,,
1902,4,2,Andalgalá,1902/04/02,758.4,0.6,24,1,25,14,75,,0,,0,,,,,,,,,,,,,
1902,4,3,Andalgalá,1902/04/03,760.9,2.5,24,0,26,16,75,,0,C,2,,,,,,,,,,,,,
1902,4,4,Andalgalá,1902/04/04,757.9,-3,23,1,26,16,48,,0,K,2,,,,,,,,,,,,,
1902,4,5,Andalgalá,1902/04/05,762.3,4.4,23,-2,24,18,52,,0,N,2,,,,,,,,,,,,,
1902,4,6,Andalgalá,1902/04/06,761.8,-0.5,23,0,26,16,44,,0,C,1,,,,,,,,,,,,,
1902,4,7,Andalgalá,1902/04/07,759.2,-2.6,24,1,25,15,39,,0,,0,,,,,,,,,,,,,
1902,4,8,Andalgalá,1902/04/08,758.4,-0.8,24,0,25,15,39,,0,C,2,,,,,,,,,,,,,
1902,4,9,Andalgalá,1902/04/09,757.9,-0.5,25,1,26,15,40,,0,K,1,,,,,,,,,,,,,
1902,4,10,Andalgalá,1902/04/10,757,-0.9,25,0,26,16,40,,0,S,1,,,,,,,,,,,,,
1902,4,12,Andalgalá,1902/04/12,758.5,3.4,25,-2,26,16,47,,0,C,1,,,,,,,,,,,,,
1902,4,13,Andalgalá,1902/04/13,758,-0.5,25,0,26,16,40,,0,,0,,,,,,,,,,,,,
1902,4,14,Andalgalá,1902/04/14,758.5,0.5,25,0,26,16,47,,0,,0,,,,,,,,,,,,,
1902,4,16,Andalgalá,1902/04/16,756.6,-3.3,26,1,27,17,55,,0,C,1,,,,,,,,,,,,,
1902,4,19,Andalgalá,1902/04/19,759,,26,-1,27,16,42,,0,,0,,,,,,,,,,,,,
1902,4,20,Andalgalá,1902/04/20,755.5,-3.5,26,0,27,16,48,,0,,0,,,,,,,,,,,,,
1902,4,24,Andalgalá,1902/04/24,756.8,-6.4,23,2,25,12,37,,0,,0,,,,,,,,,,,,,
1902,4,26,Andalgalá,1902/04/26,763.2,3.8,21,-1,22,13,57,,0,K,2,,,,,,,,,,,,,
1902,4,27,Andalgalá,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Andalgalá,1902/04/29,762.8,-0.2,23,0,24,13,44,,0,,0,,,,,,,,,,,,,
1902,5,3,Andalgalá,1902/05/03,754.5,-1.5,26,1,28,14,36,,0,S,1,,,,,,,,,,,,,
1902,5,4,Andalgalá,1902/05/04,755.4,0.9,25,-1,27,15,28,,0,,0,,,,,,,,,,,,,
1902,5,6,Andalgalá,1902/05/06,757.3,-6,22,0,23,13,50,,0,K,1,,,,,,,,,,,,,
1902,5,8,Andalgalá,1902/05/08,755.9,2.6,23,0,24,14,52,,0,C,1,,,,,,,,,,,,,
1902,5,16,Andalgalá,1902/05/16,765.5,1.6,14,0,15,9,67,,0,N,2,,,,,,,,,,,,,
1902,5,17,Andalgalá,1902/05/17,763,-2.5,16,2,17,6,50,,0,,0,,,,,,,,,,,,,
1902,5,18,Andalgalá,1902/05/18,760,-2.5,18,2,19,7,36,,0,,0,,,,,,,,,,,,,
1902,5,19,Andalgalá,1902/05/19,760.7,0.2,19,1,19,7,30,,0,,0,,,,,,,,,,,,,
1902,5,20,Andalgalá,1902/05/20,759.5,-1.2,,,,,,,0,,0,,,,,,,,,,,,,
1902,5,21,Andalgalá,1902/05/21,759.2,-0.3,19,,20,8,30,,0,S,1,,,,,,,,,,,,,
1902,5,22,Andalgalá,1902/05/22,761.7,2.5,20,1,21,9,25,,0,,0,,,,,,,,,,,,,
1902,5,23,Andalgalá,1902/05/23,758.2,-3.5,22,1,23,9,27,,0,,0,,,,,,,,,,,,,
1902,5,24,Andalgalá,1902/05/24,756.3,-1.9,22,1,23,10,22,,0,S,1,,,,,,,,,,,,,
1902,5,25,Andalgalá,1902/05/25,755.3,-1,22,0,24,10,29,,0,,0,,,,,,,,,,,,,
1902,5,26,Andalgalá,1902/05/26,753.8,-1.5,23,1,25,11,18,,0,C,1,,,,,,,,,,,,,
1902,5,27,Andalgalá,1902/05/27,752.8,-1,22,-1,24,11,36,,0,S,1,,,,,,,,,,,,,
1902,5,28,Andalgalá,1902/05/28,761.1,8.3,15,-7,16,11,48,,0,K,1,,,,,,,,,,,,,
1902,5,29,Andalgalá,1902/05/29,761.9,0.8,14,-1,15,4,47,,0,C,1,,,,,,,,,,,,,
1902,5,30,Andalgalá,1902/05/30,757.1,-4.8,15,1,,,,,0,S,1,,,,,,,,,,,,,
1902,5,31,Andalgalá,1902/05/31,,,18,3,19,6,36,,0,,0,,,,,,,,,,,,,
1902,6,1,Andalgalá,1902/06/01,756.7,,20,2,22,8,32,,0,S,1,,,,,,,,,,,,,
1902,6,2,Andalgalá,1902/06/02,752.9,-3.8,23,3,24,9,25,,0,S,1,,,,,,,,,,,,,
1902,6,3,Andalgalá,1902/06/03,754.7,1.8,21,-2,22,10,20,,0,,0,,,,,,,,,,,,,
1902,6,4,Andalgalá,1902/06/04,763.4,8.7,14,-7,15,7,37,,0,C,2,,,,,,,,,,,,,
1902,6,5,Andalgalá,1902/06/05,764.5,1.1,13,-1,14,4,25,,0,C,2,,,,,,,,,,,,,
1902,6,6,Andalgalá,1902/06/06,761.3,-3.2,12,-1,13,3,33,,0,C,1,,,,,,,,,,,,,
1902,6,7,Andalgalá,1902/06/07,763.4,2.1,13,1,14,3,35,,0,,0,,,,,,,,,,,,,
1902,6,8,Andalgalá,1902/06/08,759.6,-3.8,15,2,16,5,30,,0,S,1,,,,,,,,,,,,,
1902,6,9,Andalgalá,1902/06/09,763.1,3.5,15,0,15,4,30,,0,K,2,,,,,,,,,,,,,
1902,6,10,Andalgalá,1902/06/10,756.5,-6.6,15,0,16,5,48,,0,C,1,,,,,,,,,,,,,
1902,6,11,Andalgalá,1902/06/11,755.8,-0.7,20,5,21,10,18,,0,S,1,,,,,,,,,,,,,
1902,6,12,Andalgalá,1902/06/12,760.1,4.3,17,-3,18,8,26,,0,S,1,,,,,,,,,,,,,
1902,6,13,Andalgalá,1902/06/13,760.5,0.4,17,0,18,7,34,,0,S,2,,,,,,,,,,,,,
1902,6,14,Andalgalá,1902/06/14,760.5,0.4,17,0,18,7,34,,0,S,2,,,,,,,,,,,,,
1902,6,15,Andalgalá,1902/06/15,757.1,-2.4,17,-1,18,7,43,,0,K,3,,,,,,,,,,,,,
1902,6,16,Andalgalá,1902/06/16,753.1,-4,19,2,20,7,38,,0,C,2,,,,,,,,,,,,,
