YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Arias,1902/02/21,756.4,-1.2,29,-3,32,11,64,NE,2,C,2,,,,,,,,,,,,,
1902,2,22,Arias,1902/02/22,759.7,3.3,27,-2,29,18,69,N,2,C,2,,,,,,,,,,,,,
1902,2,23,Arias,1902/02/23,760.2,0.5,31,4,32,17,42,E,2,C,2,,,,,,,,,,,,,
1902,2,24,Arias,1902/02/24,757,-3.2,34,3,35,16,31,N,1,,0,,,,,,,,,,,,,
1902,2,25,Arias,1902/02/25,755,-2,34,0,39,12,27,N,1,K,2,,,,,,,,,,,,,
1902,2,26,Arias,1902/02/26,757.7,2.7,18,-16,28,16,90,E,2,C,3,,,,,,,,,,,,,
1902,2,27,Arias,1902/02/27,756.5,-1.2,23,2,25,10,59,E,3,C,1,,,,,,,,,,,,,
1902,2,28,Arias,1902/02/28,760.5,4,19,-4,20,13,72,SE,1,S,2,,,,,,,,,,,,,
1902,3,1,Arias,1902/03/01,760.9,0.4,27,8,28,10,43,N,1,C,1,,,,,,,,,,,,,
1902,3,2,Arias,1902/03/02,755.8,-3.9,26,-1,30,16,62,N,2,C,2,,,,,,,,,,,,,
1902,3,3,Arias,1902/03/03,756.6,0.8,29,3,30,16,58,N,3,C,2,,,,,,,,,,,,,
1902,3,4,Arias,1902/03/04,757,0.4,33,4,34,17,55,N,2,K,1,,,,,,,,,,,,,
1902,3,5,Arias,1902/03/05,760.2,3.2,23,-10,29,17,83,E,1,S,3,,,,,,,,,,,,,
1902,3,6,Arias,1902/03/06,750.2,-1,24,1,25,16,83,N,2,K,2,,,,,,,,,,,,,
1902,3,7,Arias,1902/03/07,761.3,2.1,23,-1,25,17,74,E,2,K,2,,,,,,,,,,,,,
1902,3,8,Arias,1902/03/08,760.4,-0.9,25,2,26,16,68,N,2,K,2,,,,,,,,,,,,,
1902,3,9,Arias,1902/03/09,759.4,-1,27,2,28,15,56,NE,2,K,2,,,,,,,,,,,,,
