YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Arroyitos,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Arroyitos,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Arroyitos,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Arroyitos,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Arroyitos,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Arroyitos,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Arroyitos,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Arroyitos,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Arroyitos,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Arroyitos,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Arroyitos,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Arroyitos,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Arroyitos,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Arroyitos,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Arroyitos,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Arroyitos,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Arroyitos,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Arroyitos,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Arroyitos,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Arroyitos,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Arroyitos,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Arroyitos,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Arroyitos,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Arroyitos,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Arroyitos,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Arroyitos,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Arroyitos,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Arroyitos,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Arroyitos,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Arroyitos,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Arroyitos,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Arroyitos,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Arroyitos,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Arroyitos,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Arroyitos,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Arroyitos,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Arroyitos,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Arroyitos,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Arroyitos,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Arroyitos,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Arroyitos,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Arroyitos,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Arroyitos,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Arroyitos,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Arroyitos,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Arroyitos,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Arroyitos,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Arroyitos,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Arroyitos,1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,Arroyitos,1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,Arroyitos,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Arroyitos,1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,Arroyitos,1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,Arroyitos,1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,Arroyitos,1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,Arroyitos,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Arroyitos,1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,Arroyitos,1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,Arroyitos,1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,Arroyitos,1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,Arroyitos,1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,Arroyitos,1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,Arroyitos,1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,Arroyitos,1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,Arroyitos,1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,Arroyitos,1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,Arroyitos,1902/05/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,27,Arroyitos,1902/05/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,28,Arroyitos,1902/05/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,29,Arroyitos,1902/05/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,30,Arroyitos,1902/05/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,31,Arroyitos,1902/05/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,1,Arroyitos,1902/06/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,2,Arroyitos,1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,Arroyitos,1902/06/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,4,Arroyitos,1902/06/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,5,Arroyitos,1902/06/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,6,Arroyitos,1902/06/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,7,Arroyitos,1902/06/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,8,Arroyitos,1902/06/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,9,Arroyitos,1902/06/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,10,Arroyitos,1902/06/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,11,Arroyitos,1902/06/11,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,12,Arroyitos,1902/06/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,13,Arroyitos,1902/06/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,14,Arroyitos,1902/06/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,15,Arroyitos,1902/06/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,16,Arroyitos,1902/06/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,17,Arroyitos,1902/06/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,18,Arroyitos,1902/06/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,19,Arroyitos,1902/06/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,20,Arroyitos,1902/06/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,21,Arroyitos,1902/06/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,22,Arroyitos,1902/06/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,23,Arroyitos,1902/06/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,24,Arroyitos,1902/06/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,25,Arroyitos,1902/06/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,26,Arroyitos,1902/06/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,27,Arroyitos,1902/06/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,28,Arroyitos,1902/06/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,29,Arroyitos,1902/06/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,30,Arroyitos,1902/06/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,1,Arroyitos,1902/07/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,2,Arroyitos,1902/07/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,4,Arroyitos,1902/07/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,5,Arroyitos,1902/07/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,6,Arroyitos,1902/07/06,,,9,2,11,-4,86,S,3,N,2,,,,,,,,,,,,,
1902,7,7,Arroyitos,1902/07/07,,,6,-3,16,3,85,,0,S,3,,,,,,,,,,,,,
1902,7,8,Arroyitos,1902/07/08,,,9,3,19,-2,36,W,4,K,3,,,,,,,,,,,,,
1902,7,9,Arroyitos,1902/07/09,,,13,4,16,-2,88,SE,1,K,3,,,,,,,,,,,,,
1902,7,10,Arroyitos,1902/07/10,,,8,-5,18,-3,86,S,2,K,2,,,,,,,,,,,,,
1902,7,11,Arroyitos,1902/07/11,,,8,0,12,-2,88,,0,,0,,,,,,,,,,,,,
1902,7,12,Arroyitos,1902/07/12,,,3,-5,8,-7,100,NE,1,SC,1,,,,,,,,,,,,,
1902,7,13,Arroyitos,1902/07/13,,,2,-1,7,-7,100,,0,N,3,,,,,,,,,,,,,
1902,7,14,Arroyitos,1902/07/14,,,6,4,7,-5,100,,0,K,2,,,,,,,,,,,,,
1902,7,15,Arroyitos,1902/07/15,,,9,3,16,-6,86,S,2,,0,,,,,,,,,,,,,
1902,7,16,Arroyitos,1902/07/16,,,8,-1,17,-4,59,S,2,S,1,,,,,,,,,,,,,
1902,7,17,Arroyitos,1902/07/17,,,9,1,16,-7,61,S,2,S,2,,,,,,,,,,,,,
1902,7,18,Arroyitos,1902/07/18,,,9,0,18,-7,,S,3,N,1,,,,,,,,,,,,,
1902,7,19,Arroyitos,1902/07/19,,,9,0,19,-8,86,S,2,,0,,,,,,,,,,,,,
1902,7,20,Arroyitos,1902/07/20,,,10,1,18,,86,,0,K,2,,,,,,,,,,,,,
1902,7,21,Arroyitos,1902/07/21,,,16,6,19,-6,89,W,3,K,1,,,,,,,,,,,,,
1902,7,23,Arroyitos,1902/07/23,,,13,,14,1,66,W,3,K,2,,,,,,,,,,,,,
1902,7,24,Arroyitos,1902/07/24,,,13,0,14,1,35,W,2,K,2,,,,,,,,,,,,,
1902,7,25,Arroyitos,1902/07/25,,,10,-3,11,2,92,NE,1,N,3,,,,,,,,,,,,,
1902,7,26,Arroyitos,1902/07/26,,,7,-3,8,-1,57,W,3,CK,2,,,,,,,,,,,,,
1902,7,27,Arroyitos,1902/07/27,,,5,-2,7,-2,54,W,2,K,1,,,,,,,,,,,,,
1902,7,28,Arroyitos,1902/07/28,,,4,-1,5,-8,67,NE,1,CK,2,,,,,,,,,,,,,
1902,7,29,Arroyitos,1902/07/29,,,6,2,19,-2,85,SE,2,K,2,,,,,,,,,,,,,
1902,7,30,Arroyitos,1902/07/30,,,13,7,17,-11,35,SW,3,,0,,,,,,,,,,,,,
1902,7,31,Arroyitos,1902/07/31,,,11,-2,18,-10,87,W,3,,0,,,,,,,,,,,,,
1902,8,1,Arroyitos,1902/08/01,,,7,-4,16,-4,44,N,1,SK,2,,,,,,,,,,,,,
1902,8,2,Arroyitos,1902/08/02,,,12,5,17,-2,43,SW,2,,0,,,,,,,,,,,,,
1902,8,3,Arroyitos,1902/08/03,,,12,0,17,-13,54,SW,1,,0,,,,,,,,,,,,,
1902,8,4,Arroyitos,1902/08/04,,,13,1,19,-13,45,SW,2,,0,,,,,,,,,,,,,
1902,8,5,Arroyitos,1902/08/05,,,15,2,18,-4,39,,0,S,1,,,,,,,,,,,,,
1902,8,6,Arroyitos,1902/08/06,,,15,0,18,-2,58,,0,CS,2,,,,,,,,,,,,,
1902,8,7,Arroyitos,1902/08/07,,,14,-1,14,-6,57,,0,K,2,,,,,,,,,,,,,
1902,8,8,Arroyitos,1902/08/08,,,15,1,20,9,30,W,3,K,2,,,,,,,,,,,,,
1902,8,9,Arroyitos,1902/08/09,,,14,-1,19,-6,28,W,3,S,1,,,,,,,,,,,,,
1902,8,10,Arroyitos,1902/08/10,,,9,-5,16,,61,W,3,CK,2,,,,,,,,,,,,,
1902,8,11,Arroyitos,1902/08/11,,,14,5,17,-2,28,W,3,,0,,,,,,,,,,,,,
1902,8,12,Arroyitos,1902/08/12,,,13,-1,16,,25,W,3,,,,,,,,,,,,,,,
1902,8,13,Arroyitos,1902/08/13,,,13,0,18,-10,35,W,3,,0,,,,,,,,,,,,,
1902,8,14,Arroyitos,1902/08/14,,,10,-3,13,-2,18,W,1,,0,,,,,,,,,,,,,
