YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"Bahia Blanca",1902/02/21,759.9,1.3,22,-4,26,18,66,E,1,N,3,,,,,,,,,,,,,
1902,2,22,"Bahia Blanca",1902/02/22,758.6,-1.3,32,10,32,16,43,SW,1,K,1,,,,,,,,,,,,,
1902,2,23,"Bahia Blanca",1902/02/23,756.6,-2,36,4,37,17,29,NW,3,C,1,,,,,,,,,,,,,
1902,2,24,"Bahia Blanca",1902/02/24,754,-2.6,40,4,41,20,38,N,2,C,1,,,,,,,,,,,,,
1902,2,25,"Bahia Blanca",1902/02/25,756.6,2.6,22,-18,31,19,66,SE,3,K,2,,,,,,,,,,,,,
1902,2,26,"Bahia Blanca",1902/02/26,756,-0.6,25,3,26,13,47,S,1,C,1,,,,,,,,,,,,,
1902,2,27,"Bahia Blanca",1902/02/27,754.2,-1.8,24,-1,28,9,33,W,3,KN,1,,,,,,,,,,,,,
1902,2,28,"Bahia Blanca",1902/02/28,756.2,2,25,1,25,15,28,N,3,C,1,,,,,,,,,,,,,
1902,3,1,"Bahia Blanca",1902/03/01,760.3,4.1,26,1,27,11,30,N,1,C,1,,,,,,,,,,,,,
1902,3,2,"Bahia Blanca",1902/03/02,755.1,-5.2,25,-1,28,15,68,N,3,K,3,,,,,,,,,,,,,
1902,3,3,"Bahia Blanca",1902/03/03,755.2,0.1,23,-2,26,16,91,N,1,K,3,,,,,,,,,,,,,
1902,3,4,"Bahia Blanca",1902/03/04,756.3,1.1,22,-1,24,14,66,SW,1,K,2,,,,,,,,,,,,,
1902,3,5,"Bahia Blanca",1902/03/05,761.3,5,21,-1,24,12,47,S,2,C,1,,,,,,,,,,,,,
1902,3,6,"Bahia Blanca",1902/03/06,760.5,-0.8,19,-2,22,11,54,NE,1,S,3,,,,,,,,,,,,,
1902,3,7,"Bahia Blanca",1902/03/07,761.4,0.9,24,5,24,8,53,S,1,S,3,,,,,,,,,,,,,
1902,3,8,"Bahia Blanca",1902/03/08,761.3,-0.1,24,0,24,16,53,W,1,KN,3,,,,,,,,,,,,,
1902,3,9,"Bahia Blanca",1902/03/09,763.5,2.2,16,-8,24,16,100,S,3,N,3,,,,,,,,,,,,,
1902,3,10,"Bahia Blanca",1902/03/10,762.6,-1.9,22,6,22,10,50,N,1,K,3,,,,,,,,,,,,,
1902,3,12,"Bahia Blanca",1902/03/12,756.6,-1.8,20,-3,24,16,81,NW,1,K,3,,,,,,,,,,,,,
1902,3,13,"Bahia Blanca",1902/03/13,756.6,0,19,-1,22,13,63,W,1,K,3,,,,,,,,,,,,,
1902,3,14,"Bahia Blanca",1902/03/14,761.6,5,23,4,24,11,52,W,1,K,1,,,,,,,,,,,,,
