YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Balcarce,1902/02/21,760.3,3.1,27,-9,28,18,69,E,2,K,2,,,,,,,,,,,,,
1902,2,22,Balcarce,1902/02/22,759.4,-0.9,27,0,27,18,37,S,1,C,2,,,,,,,,,,,,,
1902,2,23,Balcarce,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Balcarce,1902/02/24,756.6,,38,,38,15,27,W,2,C,1,,,,,,,,,,,,,
1902,2,25,Balcarce,1902/02/25,756.9,0.3,35,-3,35,16,28,NW,2,C,3,,,,,,,,,,,,,
1902,2,26,Balcarce,1902/02/26,755.4,-1.5,22,-13,23,17,66,S,1,S,3,,,,,,,,,,,,,
1902,2,27,Balcarce,1902/02/27,754.6,-0.8,26,4,26,8,36,W,2,C,1,,,,,,,,,,,,,
1902,2,28,Balcarce,1902/02/28,758,3.4,27,1,27,5,15,W,3,C,1,,,,,,,,,,,,,
1902,3,1,Balcarce,1902/03/01,760.7,2.7,29,2,29,7,14,W,2,,0,,,,,,,,,,,,,
1902,3,2,Balcarce,1902/03/02,764,3.3,17,-12,20,11,90,S,1,N,3,,,,,,,,,,,,,
1902,3,3,Balcarce,1902/03/03,757.9,-6.1,29,12,30,11,40,SW,1,C,2,,,,,,,,,,,,,
1902,3,4,Balcarce,1902/03/04,756.3,-1.6,24,-5,24,17,67,W,2,S,2,,,,,,,,,,,,,
1902,3,5,Balcarce,1902/03/05,763.5,7.2,24,0,24,11,33,SE,1,C,2,,,,,,,,,,,,,
1902,3,6,Balcarce,1902/03/06,753,0.2,17,-7,19,6,90,S,1,N,3,,,,,,,,,,,,,
1902,3,7,Balcarce,1902/03/07,762.3,-1,26,9,26,7,56,S,1,K,2,,,,,,,,,,,,,
1902,3,8,Balcarce,1902/03/08,763.2,0.9,26,0,27,11,24,N,1,S,2,,,,,,,,,,,,,
1902,3,9,Balcarce,1902/03/09,764.2,1,16,-10,20,11,100,SE,1,N,3,,,,,,,,,,,,,
1902,3,10,Balcarce,1902/03/10,763.5,-0.7,21,5,21,6,57,N,1,K,2,,,,,,,,,,,,,
1902,3,12,Balcarce,1902/03/12,757.6,-3.5,18,-1,19,13,80,E,1,N,3,,,,,,,,,,,,,
1902,3,13,Balcarce,1902/03/13,752.9,-4.7,19,1,19,13,72,W,2,N,2,,,,,,,,,,,,,
1902,3,14,Balcarce,1902/03/14,759.8,6.9,21,2,21,13,41,SW,3,K,1,,,,,,,,,,,,,
1902,3,15,Balcarce,1902/03/15,760.6,0.5,27,6,27,6,43,N,2,C,1,,,,,,,,,,,,,
1902,3,16,Balcarce,1902/03/16,759.9,-0.7,28,1,28,16,44,N,2,S,2,,,,,,,,,,,,,
1902,3,19,Balcarce,1902/03/19,759.5,3.8,21,-7,21,11,41,S,3,K,1,,,,,,,,,,,,,
1902,3,21,Balcarce,1902/03/21,761.9,-6,22,3,22,5,50,S,3,,0,,,,,,,,,,,,,
1902,3,22,Balcarce,1902/03/22,759.1,-2.8,31,9,31,14,53,W,2,C,2,,,,,,,,,,,,,
1902,3,23,Balcarce,1902/03/23,761.3,2.2,33,2,33,16,44,W,2,C,3,,,,,,,,,,,,,
1902,3,24,Balcarce,1902/03/24,758.8,-2.5,33,0,33,17,39,W,3,C,2,,,,,,,,,,,,,
1902,3,25,Balcarce,1902/03/25,758.9,0.1,27,-6,29,15,63,SE,2,C,1,,,,,,,,,,,,,
1902,3,26,Balcarce,1902/03/26,760.7,1.8,17,-10,17,13,70,S,3,S,2,,,,,,,,,,,,,
1902,3,27,Balcarce,1902/03/27,765.1,4.4,18,1,20,7,71,SE,1,K,2,,,,,,,,,,,,,
1902,3,30,Balcarce,1902/03/30,762.9,-6.1,21,1,22,6,49,W,1,K,2,,,,,,,,,,,,,
1902,3,31,Balcarce,1902/03/31,757.8,-5.1,22,1,24,11,58,N,2,S,2,,,,,,,,,,,,,
1902,4,2,Balcarce,1902/04/02,760.1,4.9,26,1,27,13,36,SW,1,C,1,,,,,,,,,,,,,
1902,4,3,Balcarce,1902/04/03,763.7,5.6,25,-1,25,10,40,S,1,C,1,,,,,,,,,,,,,
1902,4,4,Balcarce,1902/04/04,765.5,-0.2,22,-3,23,12,58,W,2,C,1,,,,,,,,,,,,,
1902,4,5,Balcarce,1902/04/05,763.8,-1.7,21,-1,22,16,73,NE,1,S,3,,,,,,,,,,,,,
1902,4,6,Balcarce,1902/04/06,765.6,1.8,21,0,23,15,57,E,2,K,1,,,,,,,,,,,,,
1902,4,7,Balcarce,1902/04/07,762.4,-3.2,23,-3,23,12,52,E,2,K,1,,,,,,,,,,,,,
