YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Bernasconi,1902/02/21,761.2,2.1,28,-1,29,15,51,,,,,,,,,,,,,,,,,
1902,2,22,Bernasconi,1902/02/22,759.4,-1.8,34,6,35,14,51,W,1,K,2,,,,,,,,,,,,,
1902,2,23,Bernasconi,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Bernasconi,1902/02/24,754.8,,39,,40,16,33,N,2,K,1,,,,,,,,,,,,,
1902,2,25,Bernasconi,1902/02/25,757,2.2,29,-10,30,17,52,S,2,K,1,,,,,,,,,,,,,
1902,2,26,Bernasconi,1902/02/26,757.6,0.6,27,-2,28,19,26,SW,1,K,1,,,,,,,,,,,,,
1902,2,27,Bernasconi,1902/02/27,757.1,-0.5,23,-4,24,10,23,SW,2,,0,,,,,,,,,,,,,
1902,2,28,Bernasconi,1902/02/28,758.8,1.7,26,3,26,5,13,SW,3,,0,,,,,,,,,,,,,
1902,3,1,Bernasconi,1902/03/01,760.2,4.4,29,3,29,12,38,W,1,,0,,,,,,,,,,,,,
1902,3,2,Bernasconi,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Bernasconi,1902/03/03,757.7,,21,,22,13,82,E,1,C,3,,,,,,,,,,,,,
1902,3,4,Bernasconi,1902/03/04,758.1,0.4,23,2,23,12,58,S,1,K,2,,,,,,,,,,,,,
1902,3,5,Bernasconi,1902/03/05,760,1.9,24,1,25,11,9,NE,1,K,2,,,,,,,,,,,,,
1902,3,6,Bernasconi,1902/03/06,762.9,2.9,17,-7,20,13,80,,0,K,3,,,,,,,,,,,,,
1902,3,7,Bernasconi,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Bernasconi,1902/03/08,762,,14,,25,12,67,N,1,K,3,,,,,,,,,,,,,
1902,3,9,Bernasconi,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Bernasconi,1902/03/10,762.1,,16,-3,18,7,89,N,1,K,3,,,,,,,,,,,,,
1902,3,12,Bernasconi,1902/03/12,757.4,-1,21,-1,24,11,73,SW,1,C,2,,,,,,,,,,,,,
1902,3,13,Bernasconi,1902/03/13,757.4,0,22,1,23,12,66,S,2,K,2,,,,,,,,,,,,,
1902,3,14,Bernasconi,1902/03/14,760.8,3.4,25,3,25,9,40,NW,1,K,2,,,,,,,,,,,,,
1902,3,15,Bernasconi,1902/03/15,758.8,-2,29,4,30,11,40,NW,1,K,2,,,,,,,,,,,,,
1902,3,16,Bernasconi,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Bernasconi,1902/03/19,761.5,4.9,22,-5,23,9,43,SW,2,,0,,,,,,,,,,,,,
1902,3,21,Bernasconi,1902/03/21,757.5,-9.8,29,7,29,9,46,NW,2,,0,,,,,,,,,,,,,
1902,3,22,Bernasconi,1902/03/22,758.3,0.8,33,4,34,12,50,SW,1,K,1,,,,,,,,,,,,,
1902,3,23,Bernasconi,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Bernasconi,1902/03/24,756.2,,36,,37,17,42,NW,1,K,1,,,,,,,,,,,,,
1902,3,25,Bernasconi,1902/03/25,759.6,3.4,15,-21,20,13,100,E,2,K,3,,,,,,,,,,,,,
1902,3,26,Bernasconi,1902/03/26,768.6,9,19,4,19,8,54,SE,1,K,1,,,,,,,,,,,,,
1902,3,27,Bernasconi,1902/03/27,765.5,-3.1,17,-2,18,4,61,,0,K,3,,,,,,,,,,,,,
1902,3,30,Bernasconi,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Bernasconi,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Bernasconi,1902/04/02,762.5,6.4,22,-2,22,10,50,W,1,K,2,,,,,,,,,,,,,
1902,4,3,Bernasconi,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Bernasconi,1902/04/04,764.6,,16,,23,8,89,,0,K,3,,,,,,,,,,,,,
1902,4,5,Bernasconi,1902/04/05,763.6,-1,24,8,24,11,67,,0,K,1,,,,,,,,,,,,,
1902,4,6,Bernasconi,1902/04/06,762,-1.6,23,-1,24,10,66,N,1,K,3,,,,,,,,,,,,,
1902,4,7,Bernasconi,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Bernasconi,1902/04/08,756.9,,25,,26,11,61,N,1,K,1,,,,,,,,,,,,,
1902,4,9,Bernasconi,1902/04/09,760,3.1,18,-7,19,8,36,W,2,,0,,,,,,,,,,,,,
1902,4,10,Bernasconi,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Bernasconi,1902/04/12,755.8,-0.6,27,3,28,8,43,NW,1,K,1,,,,,,,,,,,,,
1902,4,13,Bernasconi,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Bernasconi,1902/04/14,757.1,,24,,25,17,46,NW,1,K,1,,,,,,,,,,,,,
1902,4,16,Bernasconi,1902/04/16,759.7,-3.1,21,1,21,6,49,N,1,K,1,,,,,,,,,,,,,
1902,4,19,Bernasconi,1902/04/19,756.2,-6.5,25,4,21,5,61,W,1,K,1,,,,,,,,,,,,,
1902,4,20,Bernasconi,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Bernasconi,1902/04/24,755.6,-5,22,0,22,12,50,N,2,K,1,,,,,,,,,,,,,
