YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,Burruyacu,1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,Burruyacu,1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,Burruyacu,1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,Burruyacu,1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,Burruyacu,1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,Burruyacu,1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,Burruyacu,1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,Burruyacu,1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,Burruyacu,1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,Burruyacu,1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,Burruyacu,1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,Burruyacu,1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,Burruyacu,1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,Burruyacu,1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,Burruyacu,1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,Burruyacu,1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,Burruyacu,1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,Burruyacu,1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,Burruyacu,1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,Burruyacu,1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,Burruyacu,1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,Burruyacu,1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,Burruyacu,1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,Burruyacu,1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,Burruyacu,1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,Burruyacu,1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,Burruyacu,1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,Burruyacu,1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,Burruyacu,1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,Burruyacu,1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,Burruyacu,1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,Burruyacu,1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,Burruyacu,1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,Burruyacu,1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,Burruyacu,1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,Burruyacu,1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,Burruyacu,1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,Burruyacu,1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,Burruyacu,1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,Burruyacu,1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,Burruyacu,1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,Burruyacu,1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,Burruyacu,1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,Burruyacu,1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,Burruyacu,1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,Burruyacu,1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,Burruyacu,1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,Burruyacu,1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,Burruyacu,1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,Burruyacu,1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,Burruyacu,1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,Burruyacu,1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,Burruyacu,1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,Burruyacu,1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,Burruyacu,1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,Burruyacu,1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,Burruyacu,1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,Burruyacu,1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,Burruyacu,1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,Burruyacu,1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,Burruyacu,1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,Burruyacu,1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,Burruyacu,1902/05/22,,,29,,31,9,46,S,2,C,1,,,,,,,,,,,,,
1902,5,23,Burruyacu,1902/05/23,,,30,1,31,6,41,N,1,,0,,,,,,,,,,,,,
1902,5,24,Burruyacu,1902/05/24,,,31,1,32,5,42,N,3,,0,,,,,,,,,,,,,
1902,5,25,Burruyacu,1902/05/25,,,32,1,32,4,38,N,3,,0,,,,,,,,,,,,,
1902,5,26,Burruyacu,1902/05/26,,,30,-2,33,1,47,NW,2,,0,,,,,,,,,,,,,
1902,5,27,Burruyacu,1902/05/27,,,25,-5,31,3,61,SE,2,C,1,,,,,,,,,,,,,
1902,5,28,Burruyacu,1902/05/28,,,15,-10,25,-1,48,S,2,K,3,,,,,,,,,,,,,
1902,5,29,Burruyacu,1902/05/29,,,15,0,16,4,48,S,1,K,3,,,,,,,,,,,,,
1902,5,30,Burruyacu,1902/05/30,,,20,5,20,6,47,N,3,,0,,,,,,,,,,,,,
1902,5,31,Burruyacu,1902/05/31,,,24,4,21,-2,53,N,2,,0,,,,,,,,,,,,,
1902,6,1,Burruyacu,1902/06/01,,,25,1,28,0,61,W,2,,0,,,,,,,,,,,,,
1902,6,2,Burruyacu,1902/06/02,,,33,8,33,1,61,N,2,,0,,,,,,,,,,,,,
1902,6,3,Burruyacu,1902/06/03,,,18,-15,34,4,44,S,2,C,1,,,,,,,,,,,,,
1902,6,4,Burruyacu,1902/06/04,,,17,-1,18,0,43,S,2,C,1,,,,,,,,,,,,,
1902,6,5,Burruyacu,1902/06/05,,,19,2,19,-6,30,NE,1,,0,,,,,,,,,,,,,
1902,6,6,Burruyacu,1902/06/06,,,19,0,19,2,46,N,2,N,1,,,,,,,,,,,,,
1902,6,7,Burruyacu,1902/06/07,,,19,0,20,-3,46,SE,1,,0,,,,,,,,,,,,,
1902,6,8,Burruyacu,1902/06/08,,,21,2,22,-2,41,N,3,,0,,,,,,,,,,,,,
1902,6,9,Burruyacu,1902/06/09,,,21,0,21,-3,49,N,1,,0,,,,,,,,,,,,,
1902,6,10,Burruyacu,1902/06/10,,,25,4,25,0,54,N,3,,0,,,,,,,,,,,,,
1902,6,11,Burruyacu,1902/06/11,,,25,0,30,2,61,S,1,,0,,,,,,,,,,,,,
1902,6,12,Burruyacu,1902/06/12,,,15,-10,30,3,78,N,2,K,3,,,,,,,,,,,,,
1902,6,13,Burruyacu,1902/06/13,,,17,2,17,6,90,N,1,K,3,,,,,,,,,,,,,
1902,6,14,Burruyacu,1902/06/14,,,17,2,17,6,90,N,1,K,3,,,,,,,,,,,,,
1902,6,15,Burruyacu,1902/06/15,,,25,3,27,5,68,S,1,K,2,,,,,,,,,,,,,
1902,6,16,Burruyacu,1902/06/16,,,29,4,29,6,52,N,2,,0,,,,,,,,,,,,,
1902,6,17,Burruyacu,1902/06/17,,,27,-2,28,4,63,N,2,K,2,,,,,,,,,,,,,
1902,6,18,Burruyacu,1902/06/18,,,17,-10,18,8,70,SW,1,K,3,,,,,,,,,,,,,
1902,6,19,Burruyacu,1902/06/19,,,18,1,18,5,71,S,1,C,3,,,,,,,,,,,,,
1902,6,20,Burruyacu,1902/06/20,,,15,-3,16,4,78,S,1,N,3,,,,,,,,,,,,,
1902,6,21,Burruyacu,1902/06/21,,,15,0,16,3,68,S,1,K,3,,,,,,,,,,,,,
1902,6,22,Burruyacu,1902/06/22,,,14,-1,14,4,67,S,2,K,3,,,,,,,,,,,,,
1902,6,23,Burruyacu,1902/06/23,,,20,6,20,3,55,,0,C,2,,,,,,,,,,,,,
1902,6,24,Burruyacu,1902/06/24,,,21,1,21,,57,N,1,,0,,,,,,,,,,,,,
1902,6,25,Burruyacu,1902/06/25,,,24,3,25,-4,60,,0,,0,,,,,,,,,,,,,
1902,6,26,Burruyacu,1902/06/26,,,28,4,28,2,63,N,2,,0,,,,,,,,,,,,,
1902,6,27,Burruyacu,1902/06/27,,,23,-5,24,7,74,,0,N,3,,,,,,,,,,,,,
1902,6,28,Burruyacu,1902/06/28,,,13,-10,15,9,100,S,2,K,3,,,,,,,,,,,,,
1902,6,29,Burruyacu,1902/06/29,,,15,2,15,6,78,N,1,K,3,,,,,,,,,,,,,
1902,6,30,Burruyacu,1902/06/30,,,15,0,16,3,100,S,3,K,3,,,,,,,,,,,,,
1902,7,1,Burruyacu,1902/07/01,,,19,4,20,6,81,,0,,0,,,,,,,,,,,,,
1902,7,2,Burruyacu,1902/07/02,,,9,-10,11,5,100,S,2,K,3,,,,,,,,,,,,,
1902,7,4,Burruyacu,1902/07/04,,,18,4,18,-8,53,N,3,,0,,,,,,,,,,,,,
1902,7,5,Burruyacu,1902/07/05,,,20,2,20,17,64,N,3,,0,,,,,,,,,,,,,
1902,7,6,Burruyacu,1902/07/06,,,22,2,22,-5,66,S,1,,0,,,,,,,,,,,,,
1902,7,7,Burruyacu,1902/07/07,,,21,-1,22,3,73,S,1,C,1,,,,,,,,,,,,,
1902,7,8,Burruyacu,1902/07/08,,,21,0,22,2,65,N,1,N,1,,,,,,,,,,,,,
1902,7,9,Burruyacu,1902/07/09,,,20,-1,21,6,81,SW,1,K,3,,,,,,,,,,,,,
1902,7,10,Burruyacu,1902/07/10,,,36,16,36,6,29,NW,4,K,3,,,,,,,,,,,,,
1902,7,11,Burruyacu,1902/07/11,,,20,-16,21,9,72,S,2,N,3,,,,,,,,,,,,,
1902,7,12,Burruyacu,1902/07/12,,,13,-7,13,-1,66,S,2,N,3,,,,,,,,,,,,,
1902,7,13,Burruyacu,1902/07/13,,,16,3,16,3,59,S,1,C,2,,,,,,,,,,,,,
1902,7,14,Burruyacu,1902/07/14,,,17,1,17,-2,70,N,2,C,2,,,,,,,,,,,,,
1902,7,15,Burruyacu,1902/07/15,,,15,-2,15,-3,89,S,1,N,3,,,,,,,,,,,,,
1902,7,16,Burruyacu,1902/07/16,,,10,-5,11,4,86,S,1,K,3,,,,,,,,,,,,,
1902,7,17,Burruyacu,1902/07/17,,,10,0,10,0,62,S,1,K,3,,,,,,,,,,,,,
1902,7,18,Burruyacu,1902/07/18,,,13,3,13,-4,66,N,3,S,3,,,,,,,,,,,,,
1902,7,19,Burruyacu,1902/07/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,7,20,Burruyacu,1902/07/20,,,16,,16,-2,59,S,1,C,2,,,,,,,,,,,,,
1902,7,21,Burruyacu,1902/07/21,,,15,-1,16,-5,68,N,3,,0,,,,,,,,,,,,,
1902,7,23,Burruyacu,1902/07/23,,,26,6,26,-6,55,,0,,0,,,,,,,,,,,,,
1902,7,24,Burruyacu,1902/07/24,,,25,-1,25,-2,68,,0,,0,,,,,,,,,,,,,
1902,7,25,Burruyacu,1902/07/25,,,32,7,33,2,60,N,3,,0,,,,,,,,,,,,,
1902,7,26,Burruyacu,1902/07/26,,,35,3,35,10,57,N,3,,0,,,,,,,,,,,,,
1902,7,27,Burruyacu,1902/07/27,,,16,-19,16,12,79,S,3,K,3,,,,,,,,,,,,,
1902,7,28,Burruyacu,1902/07/28,,,5,-11,5,0,100,S,2,K,3,,,,,,,,,,,,,
1902,7,29,Burruyacu,1902/07/29,,,10,5,10,-3,74,S,1,N,2,,,,,,,,,,,,,
1902,7,30,Burruyacu,1902/07/30,,,15,5,15,-7,78,NE,3,,0,,,,,,,,,,,,,
1902,7,31,Burruyacu,1902/07/31,,,20,5,20,0,64,,0,,0,,,,,,,,,,,,,
1902,8,1,Burruyacu,1902/08/01,,,20,0,20,3,72,S,2,,0,,,,,,,,,,,,,
1902,8,2,Burruyacu,1902/08/02,,,19,-1,19,4,46,,0,,0,,,,,,,,,,,,,
1902,8,3,Burruyacu,1902/08/03,,,16,-3,16,-7,59,NE,3,,0,,,,,,,,,,,,,
1902,8,4,Burruyacu,1902/08/04,,,17,1,18,4,70,NE,2,,0,,,,,,,,,,,,,
1902,8,5,Burruyacu,1902/08/05,,,22,5,22,-1,50,,0,,0,,,,,,,,,,,,,
