YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"C. Rivadavia",1902/02/21,755.8,-2.2,18,-6,25,,62,E,2,C,1,,,,,,,,,,,,,
1902,2,22,"C. Rivadavia",1902/02/22,756.6,0.8,19,1,21,,63,N,1,C,1,,,,,,,,,,,,,
1902,2,23,"C. Rivadavia",1902/02/23,751,-5.6,30,11,32,,36,,0,,,,,,,,,,,,,,,
1902,2,24,"C. Rivadavia",1902/02/24,748.4,-2.6,29,-1,32,,19,SE,3,C,1,,,,,,,,,,,,,
1902,2,25,"C. Rivadavia",1902/02/25,753.8,5.4,29,0,33,,29,S,1,N,1,,,,,,,,,,,,,
1902,2,26,"C. Rivadavia",1902/02/26,750.7,-3.4,19,-10,30,,23,NE,3,C,1,,,,,,,,,,,,,
1902,2,27,"C. Rivadavia",1902/02/27,748.8,-1.9,18,-1,23,,28,SE,2,S,1,,,,,,,,,,,,,
1902,2,28,"C. Rivadavia",1902/02/28,756,7.2,14,-4,18,-5,57,N,1,C,1,,,,,,,,,,,,,
1902,3,1,"C. Rivadavia",1902/03/01,761.3,3.3,15,1,15,-4,39,NE,1,S,1,,,,,,,,,,,,,
1902,3,2,"C. Rivadavia",1902/03/02,754.6,-6.7,15,0,17,-6,89,N,2,N,1,,,,,,,,,,,,,
1902,3,3,"C. Rivadavia",1902/03/03,753.1,-1.5,16,1,20,7,59,E,1,C,1,,,,,,,,,,,,,
1902,3,4,"C. Rivadavia",1902/03/04,753.8,0.7,17,1,19,5,26,N,1,C,1,,,,,,,,,,,,,
1902,3,5,"C. Rivadavia",1902/03/05,758.8,5,19,2,20,4,54,N,2,N,1,,,,,,,,,,,,,
1902,3,6,"C. Rivadavia",1902/03/06,760.4,1.6,15,-4,20,9,89,E,1,C,1,,,,,,,,,,,,,
1902,3,7,"C. Rivadavia",1902/03/07,760.7,0.3,10,-5,16,6,86,E,2,N,3,,,,,,,,,,,,,
1902,3,8,"C. Rivadavia",1902/03/08,769.4,8.7,12,2,13,-5,65,N,2,S,1,,,,,,,,,,,,,
1902,3,9,"C. Rivadavia",1902/03/09,762.4,-6.4,18,6,19,5,53,N,1,C,1,,,,,,,,,,,,,
1902,3,10,"C. Rivadavia",1902/03/10,760.7,-1.7,10,-8,16,-6,86,NW,2,N,3,,,,,,,,,,,,,
1902,3,12,"C. Rivadavia",1902/03/12,758.6,-4.6,12,-4,19,5,43,N,2,S,1,,,,,,,,,,,,,
1902,3,13,"C. Rivadavia",1902/03/13,754.6,-4,15,3,17,2,58,N,1,C,1,,,,,,,,,,,,,
1902,3,14,"C. Rivadavia",1902/03/14,754.9,0.3,15,0,17,7,78,N,1,C,1,,,,,,,,,,,,,
1902,3,15,"C. Rivadavia",1902/03/15,751.6,-3.3,20,5,23,10,47,NE,2,S,1,,,,,,,,,,,,,
1902,3,16,"C. Rivadavia",1902/03/16,752.2,0.6,23,3,23,12,25,N,2,C,1,,,,,,,,,,,,,
1902,3,19,"C. Rivadavia",1902/03/19,761.8,,15,-4,21,8,58,E,2,C,1,,,,,,,,,,,,,
1902,3,21,"C. Rivadavia",1902/03/21,752.2,-3.8,25,9,26,11,28,N,2,C,1,,,,,,,,,,,,,
1902,3,22,"C. Rivadavia",1902/03/22,756.4,4.2,22,-3,26,11,66,N,1,C,1,,,,,,,,,,,,,
1902,3,23,"C. Rivadavia",1902/03/23,753.4,-3,21,-1,26,13,49,N,2,C,1,,,,,,,,,,,,,
1902,3,24,"C. Rivadavia",1902/03/24,753.5,0.1,21,0,26,9,41,S,3,C,1,,,,,,,,,,,,,
1902,3,25,"C. Rivadavia",1902/03/25,764.2,10.7,16,-5,21,9,59,N,1,C,1,,,,,,,,,,,,,
1902,3,26,"C. Rivadavia",1902/03/26,765.2,1,22,6,26,3,50,N,2,C,1,,,,,,,,,,,,,
1902,3,27,"C. Rivadavia",1902/03/27,763.1,-2.1,19,-3,23,7,46,N,1,C,1,,,,,,,,,,,,,
1902,3,30,"C. Rivadavia",1902/03/30,,,25,4,30,9,47,N,1,C,1,,,,,,,,,,,,,
1902,3,31,"C. Rivadavia",1902/03/31,,,26,1,30,9,18,N,1,C,1,,,,,,,,,,,,,
1902,4,2,"C. Rivadavia",1902/04/02,751.6,3.2,20,-5,27,6,48,E,2,C,1,,,,,,,,,,,,,
1902,4,3,"C. Rivadavia",1902/04/03,764.1,12.5,16,-4,21,9,59,N,1,C,1,,,,,,,,,,,,,
1902,4,4,"C. Rivadavia",1902/04/04,752.8,-11.3,19,3,21,5,38,N,2,N,2,,,,,,,,,,,,,
1902,4,5,"C. Rivadavia",1902/04/05,763.5,10.7,15,-4,20,7,58,N,1,C,1,,,,,,,,,,,,,
1902,4,6,"C. Rivadavia",1902/04/06,756.4,-7.1,22,7,26,11,66,N,1,C,1,,,,,,,,,,,,,
1902,4,7,"C. Rivadavia",1902/04/07,749.3,-7.1,16,-6,19,6,59,S,1,K,2,,,,,,,,,,,,,
1902,4,8,"C. Rivadavia",1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,"C. Rivadavia",1902/04/09,,,15,,18,5,89,,,C,1,,,,,,,,,,,,,
1902,4,10,"C. Rivadavia",1902/04/10,754.4,,14,-1,25,5,57,E,1,C,1,,,,,,,,,,,,,
1902,4,12,"C. Rivadavia",1902/04/12,740.8,-9.8,19,-2,22,6,38,N,2,C,1,,,,,,,,,,,,,
1902,4,13,"C. Rivadavia",1902/04/13,744,3.2,15,-4,21,6,58,N,3,C,1,,,,,,,,,,,,,
1902,4,14,"C. Rivadavia",1902/04/14,741.4,-2.6,22,7,22,9,58,N,1,C,1,,,,,,,,,,,,,
1902,4,16,"C. Rivadavia",1902/04/16,,,19,2,24,9,54,N,2,C,1,,,,,,,,,,,,,
1902,4,19,"C. Rivadavia",1902/04/19,,,20,-1,21,6,64,,,K,1,,,,,,,,,,,,,
1902,4,20,"C. Rivadavia",1902/04/20,744.2,,16,-4,16,6,59,SW,2,S,3,,,,,,,,,,,,,
1902,4,24,"C. Rivadavia",1902/04/24,753.6,5.2,12,-11,20,8,,W,1,K,2,,,,,,,,,,,,,
1902,4,26,"C. Rivadavia",1902/04/26,,,13,-1,15,5,55,N,1,C,1,,,,,,,,,,,,,
1902,4,27,"C. Rivadavia",1902/04/27,756.3,,12,-1,14,6,76,NW,1,S,1,,,,,,,,,,,,,
1902,4,29,"C. Rivadavia",1902/04/29,,,20,4,27,6,47,,,C,1,,,,,,,,,,,,,
1902,5,3,"C. Rivadavia",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"C. Rivadavia",1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,"C. Rivadavia",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"C. Rivadavia",1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,"C. Rivadavia",1902/05/16,747.2,-7.3,,,19,8,52,N,1,C,1,,,,,,,,,,,,,
1902,5,17,"C. Rivadavia",1902/05/17,754.5,7.3,12,,16,5,54,N,1,C,1,,,,,,,,,,,,,
1902,5,18,"C. Rivadavia",1902/05/18,751.7,-2.8,12,0,14,5,43,N,1,C,1,,,,,,,,,,,,,
1902,5,19,"C. Rivadavia",1902/05/19,744.3,-7.4,16,4,18,5,41,SE,3,C,1,,,,,,,,,,,,,
1902,5,20,"C. Rivadavia",1902/05/20,749.5,5.2,14,-2,17,5,57,N,1,S,1,,,,,,,,,,,,,
1902,5,21,"C. Rivadavia",1902/05/21,747.8,-1.7,16,2,19,6,69,N,2,C,1,,,,,,,,,,,,,
1902,5,22,"C. Rivadavia",1902/05/22,748.3,1.5,16,0,19,7,41,SW,2,N,1,,,,,,,,,,,,,
1902,5,23,"C. Rivadavia",1902/05/23,747.7,-0.6,10,-6,15,5,74,,,N,2,,,,,,,,,,,,,
1902,5,24,"C. Rivadavia",1902/05/24,752,4.3,12,2,16,4,54,S,3,C,1,,,,,,,,,,,,,
1902,5,25,"C. Rivadavia",1902/05/25,741,-11,15,3,17,5,30,N,1,C,1,,,,,,,,,,,,,
1902,5,26,"C. Rivadavia",1902/05/26,748.3,-7.3,12,-3,15,8,65,N,1,C,1,,,,,,,,,,,,,
1902,5,27,"C. Rivadavia",1902/05/27,748.8,0.5,11,-1,14,8,41,N,1,C,1,,,,,,,,,,,,,
1902,5,28,"C. Rivadavia",1902/05/28,742.7,-6.1,13,2,14,7,66,W,3,S,1,,,,,,,,,,,,,
1902,5,29,"C. Rivadavia",1902/05/29,752.8,9.9,11,-2,14,6,75,N,1,C,1,,,,,,,,,,,,,
1902,5,30,"C. Rivadavia",1902/05/30,,,11,0,13,6,75,N,1,C,1,,,,,,,,,,,,,
1902,5,31,"C. Rivadavia",1902/05/31,749.1,,7,-4,11,5,71,S,1,C,1,,,,,,,,,,,,,
1902,6,1,"C. Rivadavia",1902/06/01,,,5,-2,7,2,69,,0,C,1,,,,,,,,,,,,,
