YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"CAPITAL FEDERAL",1902/02/21,758.3,0.7,27,-3,28,22,77,E,1,NK,1,,,,,,,,,,,,,
1902,2,22,"CAPITAL FEDERAL",1902/02/22,758.2,-0.1,30,3,30,19,59,S,1,NK,2,,,,,,,,,,,,,
1902,2,23,"CAPITAL FEDERAL",1902/02/23,762.3,4.1,31,1,31,15,22,SE,1,,0,,,,,,,,,,,,,
1902,2,24,"CAPITAL FEDERAL",1902/02/24,760.4,-1.9,29,-2,30,19,58,E,1,C,1,,,,,,,,,,,,,
1902,2,25,"CAPITAL FEDERAL",1902/02/25,757.9,-2.5,33,-1,33,23,44,N,1,SC,2,,,,,,,,,,,,,
1902,2,26,"CAPITAL FEDERAL",1902/02/26,756.3,-0.6,26,-7,28,23,62,W,1,KN,3,,,,,,,,,,,,,
1902,2,27,"CAPITAL FEDERAL",1902/02/27,754.4,-1.9,27,1,28,15,63,S,1,KN,1,,,,,,,,,,,,,
1902,2,28,"CAPITAL FEDERAL",1902/02/28,759.4,3,25,-2,25,14,61,S,1,CS,2,,,,,,,,,,,,,
1902,3,1,"CAPITAL FEDERAL",1902/03/01,762.2,2.8,27,2,28,16,49,SE,1,,0,,,,,,,,,,,,,
1902,3,2,"CAPITAL FEDERAL",1902/03/02,759.7,-2.5,27,0,30,20,36,NE,1,SC,1,,,,,,,,,,,,,
1902,3,3,"CAPITAL FEDERAL",1902/03/03,758.5,-1.2,27,0,28,17,69,N,1,SC,1,,,,,,,,,,,,,
1902,3,4,"CAPITAL FEDERAL",1902/03/04,756,-2.5,32,5,33,21,60,N,1,K,1,,,,,,,,,,,,,
1902,3,5,"CAPITAL FEDERAL",1902/03/05,760.1,4.1,22,-10,24,19,91,SE,1,N,3,,,,,,,,,,,,,
1902,3,6,"CAPITAL FEDERAL",1902/03/06,760.3,0.2,22,0,23,18,82,E,1,KN,2,,,,,,,,,,,,,
1902,3,7,"CAPITAL FEDERAL",1902/03/07,761.5,1.2,22,0,21,16,82,SE,1,NK,1,,,,,,,,,,,,,
1902,3,8,"CAPITAL FEDERAL",1902/03/08,762.7,1.2,25,-1,24,15,66,E,1,KN,1,,,,,,,,,,,,,
1902,3,9,"CAPITAL FEDERAL",1902/03/09,762.2,-0.5,25,2,26,19,61,NE,1,KN,2,,,,,,,,,,,,,
1902,3,10,"CAPITAL FEDERAL",1902/03/10,762.7,0.5,23,-2,24,16,66,E,1,C,2,,,,,,,,,,,,,
1902,3,12,"CAPITAL FEDERAL",1902/03/12,753,-7,21,-1,21,17,91,NE,1,KN,3,,,,,,,,,,,,,
1902,3,13,"CAPITAL FEDERAL",1902/03/13,755.4,2.4,26,5,28,15,55,W,1,NK,1,,,,,,,,,,,,,
1902,3,14,"CAPITAL FEDERAL",1902/03/14,760.1,4.7,28,2,29,17,41,SW,1,K,1,,,,,,,,,,,,,
1902,3,15,"CAPITAL FEDERAL",1902/03/15,762.9,2.8,25,-3,26,15,76,N,1,K,1,,,,,,,,,,,,,
1902,3,16,"CAPITAL FEDERAL",1902/03/16,761.9,-1,27,2,28,20,56,NW,1,C,1,,,,,,,,,,,,,
1902,3,19,"CAPITAL FEDERAL",1902/03/19,759.8,1.9,27,0,28,18,37,S,1,NK,2,,,,,,,,,,,,,
1902,3,21,"CAPITAL FEDERAL",1902/03/21,763.9,-3.1,22,2,22,13,57,N,1,,0,,,,,,,,,,,,,
1902,3,22,"CAPITAL FEDERAL",1902/03/22,762.3,-1.6,26,4,28,15,84,NW,1,C,1,,,,,,,,,,,,,
1902,3,23,"CAPITAL FEDERAL",1902/03/23,762.6,0.3,28,2,29,20,77,N,1,CS,1,,,,,,,,,,,,,
1902,3,24,"CAPITAL FEDERAL",1902/03/24,761.2,-1.4,30,2,31,21,65,N,1,C,1,,,,,,,,,,,,,
1902,3,25,"CAPITAL FEDERAL",1902/03/25,759.3,-1.9,30,0,30,22,65,NW,1,KN,1,,,,,,,,,,,,,
1902,3,26,"CAPITAL FEDERAL",1902/03/26,762.1,2.8,18,-12,21,19,90,S,2,N,3,,,,,,,,,,,,,
1902,3,27,"CAPITAL FEDERAL",1902/03/27,762.3,0.2,21,-3,22,14,73,SE,1,K,1,,,,,,,,,,,,,
1902,3,30,"CAPITAL FEDERAL",1902/03/30,764.4,-3.8,22,2,22,11,58,NE,1,K,1,,,,,,,,,,,,,
1902,3,31,"CAPITAL FEDERAL",1902/03/31,758.4,-5.6,22,0,25,17,66,E,1,KN,2,,,,,,,,,,,,,
1902,4,2,"CAPITAL FEDERAL",1902/04/02,761.3,4,25,3,26,15,61,NW,1,SC,1,,,,,,,,,,,,,
1902,4,3,"CAPITAL FEDERAL",1902/04/03,764.4,3.1,24,-1,26,18,75,SE,1,CS,1,,,,,,,,,,,,,
1902,4,4,"CAPITAL FEDERAL",1902/04/04,761.9,-2.5,22,-2,24,19,82,SE,1,SC,1,,,,,,,,,,,,,
1902,4,5,"CAPITAL FEDERAL",1902/04/05,760.6,-1.3,20,-2,21,18,81,SE,1,KN,2,,,,,,,,,,,,,
1902,4,6,"CAPITAL FEDERAL",1902/04/06,762.4,1.8,22,2,22,17,74,SE,1,CS,1,,,,,,,,,,,,,
