YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,"CHACO - La Sábana",1902/02/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,22,"CHACO - La Sábana",1902/02/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,23,"CHACO - La Sábana",1902/02/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,24,"CHACO - La Sábana",1902/02/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,25,"CHACO - La Sábana",1902/02/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,26,"CHACO - La Sábana",1902/02/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,27,"CHACO - La Sábana",1902/02/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,2,28,"CHACO - La Sábana",1902/02/28,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,1,"CHACO - La Sábana",1902/03/01,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,2,"CHACO - La Sábana",1902/03/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,3,"CHACO - La Sábana",1902/03/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,4,"CHACO - La Sábana",1902/03/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,5,"CHACO - La Sábana",1902/03/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,6,"CHACO - La Sábana",1902/03/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,7,"CHACO - La Sábana",1902/03/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,8,"CHACO - La Sábana",1902/03/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,9,"CHACO - La Sábana",1902/03/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,10,"CHACO - La Sábana",1902/03/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,12,"CHACO - La Sábana",1902/03/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,13,"CHACO - La Sábana",1902/03/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,14,"CHACO - La Sábana",1902/03/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,15,"CHACO - La Sábana",1902/03/15,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,16,"CHACO - La Sábana",1902/03/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,19,"CHACO - La Sábana",1902/03/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,21,"CHACO - La Sábana",1902/03/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,22,"CHACO - La Sábana",1902/03/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,23,"CHACO - La Sábana",1902/03/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,24,"CHACO - La Sábana",1902/03/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,25,"CHACO - La Sábana",1902/03/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,26,"CHACO - La Sábana",1902/03/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,27,"CHACO - La Sábana",1902/03/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,30,"CHACO - La Sábana",1902/03/30,,,,,,,,,,,,,,,,,,,,,,,,
1902,3,31,"CHACO - La Sábana",1902/03/31,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,2,"CHACO - La Sábana",1902/04/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,3,"CHACO - La Sábana",1902/04/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,4,"CHACO - La Sábana",1902/04/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,5,"CHACO - La Sábana",1902/04/05,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,6,"CHACO - La Sábana",1902/04/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,7,"CHACO - La Sábana",1902/04/07,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,8,"CHACO - La Sábana",1902/04/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,9,"CHACO - La Sábana",1902/04/09,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,10,"CHACO - La Sábana",1902/04/10,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,12,"CHACO - La Sábana",1902/04/12,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,13,"CHACO - La Sábana",1902/04/13,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,14,"CHACO - La Sábana",1902/04/14,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,16,"CHACO - La Sábana",1902/04/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,19,"CHACO - La Sábana",1902/04/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,20,"CHACO - La Sábana",1902/04/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,24,"CHACO - La Sábana",1902/04/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,26,"CHACO - La Sábana",1902/04/26,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,27,"CHACO - La Sábana",1902/04/27,,,,,,,,,,,,,,,,,,,,,,,,
1902,4,29,"CHACO - La Sábana",1902/04/29,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,3,"CHACO - La Sábana",1902/05/03,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,4,"CHACO - La Sábana",1902/05/04,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,6,"CHACO - La Sábana",1902/05/06,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,8,"CHACO - La Sábana",1902/05/08,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,16,"CHACO - La Sábana",1902/05/16,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,17,"CHACO - La Sábana",1902/05/17,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,18,"CHACO - La Sábana",1902/05/18,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,19,"CHACO - La Sábana",1902/05/19,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,20,"CHACO - La Sábana",1902/05/20,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,21,"CHACO - La Sábana",1902/05/21,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,22,"CHACO - La Sábana",1902/05/22,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,23,"CHACO - La Sábana",1902/05/23,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,24,"CHACO - La Sábana",1902/05/24,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,25,"CHACO - La Sábana",1902/05/25,,,,,,,,,,,,,,,,,,,,,,,,
1902,5,26,"CHACO - La Sábana",1902/05/26,757.5,,29,,31,20,52,N,1,N,2,,,,,,,,,,,,,
1902,5,27,"CHACO - La Sábana",1902/05/27,,,30,1,31,22,65,N,3,K,2,,,,,,,,,,,,,
1902,5,28,"CHACO - La Sábana",1902/05/28,761.5,9.2,13,-17,24,11,88,S,3,NE,2,,,,,,,,,,,,,
1902,5,29,"CHACO - La Sábana",1902/05/29,760.4,-1.1,18,5,19,12,68,SE,2,S,3,,,,,,,,,,,,,
1902,5,30,"CHACO - La Sábana",1902/05/30,759.5,-0.9,20,2,21,9,55,NE,1,C,1,,,,,,,,,,,,,
1902,5,31,"CHACO - La Sábana",1902/05/31,759.7,0.2,22,2,24,15,58,SE,1,C,3,,,,,,,,,,,,,
1902,6,1,"CHACO - La Sábana",1902/06/01,757.8,-1.9,26,-1,28,19,62,N,1,S,2,,,,,,,,,,,,,
1902,6,2,"CHACO - La Sábana",1902/06/02,,,,,,,,,,,,,,,,,,,,,,,,
1902,6,3,"CHACO - La Sábana",1902/06/03,755.4,,23,,25,17,,S,2,K,3,,,,,,,,,,,,,
1902,6,4,"CHACO - La Sábana",1902/06/04,759.5,4.1,14,-9,15,9,67,SE,2,K,3,,,,,,,,,,,,,
1902,6,5,"CHACO - La Sábana",1902/06/05,764.6,5.1,17,3,18,9,34,E,1,C,1,,,,,,,,,,,,,
1902,6,6,"CHACO - La Sábana",1902/06/06,761.1,-3.5,18,1,19,6,36,E,1,C,1,,,,,,,,,,,,,
1902,6,7,"CHACO - La Sábana",1902/06/07,761.6,0.5,17,-1,18,10,43,SE,1,C,2,,,,,,,,,,,,,
1902,6,8,"CHACO - La Sábana",1902/06/08,764.7,,13,-2,13,3,45,NE,2,C,1,,,,,,,,,,,,,
1902,6,9,"CHACO - La Sábana",1902/06/09,764.6,-0.1,20,1,21,3,64,N,1,C,2,,,,,,,,,,,,,
1902,6,10,"CHACO - La Sábana",1902/06/10,757.7,-7.9,17,3,18,9,80,NE,2,N,3,,,,,,,,,,,,,
1902,6,11,"CHACO - La Sábana",1902/06/11,752.5,-4.4,14,-3,33,3,55,E,1,,2,,,,,,,,,,,,,
1902,6,12,"CHACO - La Sábana",1902/06/12,760.2,,21,,21,18,65,SE,1,C,1,,,,,,,,,,,,,
