YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,,
1902,2,21,CHUBUT-Madryn,1902/02/21,759.9,0.5,23,-1,26,9,59,N,1,C,1,,,,,,,,,,,,,
1902,2,22,CHUBUT-Madryn,1902/02/22,758.8,-1.1,23,0,25,16,52,SW,1,N,2,,,,,,,,,,,,,
1902,2,23,CHUBUT-Madryn,1902/02/23,,,34,11,34,13,27,W,1,,0,,,,,,,,,,,,,
1902,2,24,CHUBUT-Madryn,1902/02/24,758.4,,28,,35,15,39,E,1,K,2,,,,,,,,,,,,,
1902,2,25,CHUBUT-Madryn,1902/02/25,754.3,5.9,20,-8,29,10,47,NW,1,,0,,,,,,,,,,,,,
1902,2,26,CHUBUT-Madryn,1902/02/26,754.7,0.4,24,4,25,11,20,W,1,S,1,,,,,,,,,,,,,
1902,2,27,CHUBUT-Madryn,1902/02/27,752.2,-2.5,22,-2,25,11,43,W,2,K,1,,,,,,,,,,,,,
1902,2,28,CHUBUT-Madryn,1902/02/28,754.4,1.9,22,0,23,10,29,S,1,K,1,,,,,,,,,,,,,
1902,3,1,CHUBUT-Madryn,1902/03/01,760.2,-6.1,20,-2,24,3,40,,0,C,2,,,,,,,,,,,,,
1902,3,2,CHUBUT-Madryn,1902/03/02,754.1,-6.1,19,-1,22,12,81,NE,1,K,2,,,,,,,,,,,,,
1902,3,3,CHUBUT-Madryn,1902/03/03,752.9,-1.2,21,2,23,12,65,E,1,K,3,,,,,,,,,,,,,
1902,3,4,CHUBUT-Madryn,1902/03/04,754.9,2,23,2,25,14,37,S,2,,0,,,,,,,,,,,,,
1902,3,5,CHUBUT-Madryn,1902/03/05,759.9,5,23,0,24,7,37,,0,N,1,,,,,,,,,,,,,
1902,3,6,CHUBUT-Madryn,1902/03/06,757.8,-2.1,21,-2,27,8,49,E,1,K,1,,,,,,,,,,,,,
1902,3,7,CHUBUT-Madryn,1902/03/07,762.4,4.6,17,-4,19,8,70,E,2,N,2,,,,,,,,,,,,,
1902,3,8,CHUBUT-Madryn,1902/03/08,765,2.6,13,-4,14,12,88,SE,2,K,3,,,,,,,,,,,,,
1902,3,9,CHUBUT-Madryn,1902/03/09,766.9,1.9,17,4,17,9,52,E,1,N,2,,,,,,,,,,,,,
1902,3,10,CHUBUT-Madryn,1902/03/10,756.8,-10.1,24,7,24,10,46,NW,1,K,3,,,,,,,,,,,,,
1902,3,12,CHUBUT-Madryn,1902/03/12,757.7,-3,14,-2,14,13,89,E,2,N,3,,,,,,,,,,,,,
1902,3,13,CHUBUT-Madryn,1902/03/13,755,-2.7,22,3,23,11,50,S,2,K,1,,,,,,,,,,,,,
1902,3,14,CHUBUT-Madryn,1902/03/14,757.9,2.9,20,-2,25,8,55,W,1,C,1,,,,,,,,,,,,,
1902,3,15,CHUBUT-Madryn,1902/03/15,754.6,-3.3,27,7,27,10,26,W,1,C,1,,,,,,,,,,,,,
1902,3,16,CHUBUT-Madryn,1902/03/16,753.8,-0.8,25,-2,26,13,34,S,1,K,3,,,,,,,,,,,,,
1902,3,19,CHUBUT-Madryn,1902/03/19,758.1,9.4,20,-5,22,12,25,S,3,K,1,,,,,,,,,,,,,
1902,3,21,CHUBUT-Madryn,1902/03/21,753.9,-7,33,14,36,12,16,S,1,,0,,,,,,,,,,,,,
1902,3,22,CHUBUT-Madryn,1902/03/22,757.9,4,21,-12,28,12,34,N,1,K,1,,,,,,,,,,,,,
1902,3,23,CHUBUT-Madryn,1902/03/23,755.6,-2.3,23,2,27,13,66,N,2,C,2,,,,,,,,,,,,,
1902,3,24,CHUBUT-Madryn,1902/03/24,754.3,-1.3,29,6,30,11,29,S,1,K,1,,,,,,,,,,,,,
1902,3,25,CHUBUT-Madryn,1902/03/25,763,8.7,19,-10,23,9,46,NE,1,,0,,,,,,,,,,,,,
1902,3,26,CHUBUT-Madryn,1902/03/26,768.2,5.2,18,-1,21,5,44,N,1,,0,,,,,,,,,,,,,
1902,3,27,CHUBUT-Madryn,1902/03/27,762.9,-5.3,22,4,24,7,50,N,1,,0,,,,,,,,,,,,,
1902,3,30,CHUBUT-Madryn,1902/03/30,753.7,-8.5,33,4,33,6,21,NW,1,,0,,,,,,,,,,,,,
1902,3,31,CHUBUT-Madryn,1902/03/31,751.3,-2.4,30,-3,32,9,25,SE,1,,0,,,,,,,,,,,,,
1902,4,2,CHUBUT-Madryn,1902/04/02,753.9,2.7,24,4,25,7,20,SW,1,N,1,,,,,,,,,,,,,
1902,4,3,CHUBUT-Madryn,1902/04/03,764.8,10.9,24,0,26,7,26,E,1,,0,,,,,,,,,,,,,
1902,4,4,CHUBUT-Madryn,1902/04/04,756.4,-8.4,23,-1,28,3,25,N,2,,0,,,,,,,,,,,,,
1902,4,5,CHUBUT-Madryn,1902/04/05,764.1,7.7,19,-4,21,9,46,S,1,K,1,,,,,,,,,,,,,
1902,4,6,CHUBUT-Madryn,1902/04/06,757.4,-6.7,26,7,28,9,42,NW,3,K,2,,,,,,,,,,,,,
1902,4,7,CHUBUT-Madryn,1902/04/07,751.2,-6.2,26,0,31,9,30,NW,3,K,3,,,,,,,,,,,,,
1902,4,8,CHUBUT-Madryn,1902/04/08,756.6,5.4,16,-10,21,5,69,N,2,K,3,,,,,,,,,,,,,
1902,4,9,CHUBUT-Madryn,1902/04/09,756.4,-0.2,11,-5,12,5,87,S,3,K,3,,,,,,,,,,,,,
1902,4,10,CHUBUT-Madryn,1902/04/10,756.4,0,20,9,22,3,47,E,1,,0,,,,,,,,,,,,,
1902,4,12,CHUBUT-Madryn,1902/04/12,748,-3.9,23,-1,26,7,37,W,2,K,3,,,,,,,,,,,,,
1902,4,13,CHUBUT-Madryn,1902/04/13,753.5,5.5,21,-2,21,9,41,W,3,,0,,,,,,,,,,,,,
1902,4,14,CHUBUT-Madryn,1902/04/14,748.2,-5.3,25,4,25,9,34,NW,2,N,1,,,,,,,,,,,,,
1902,4,16,CHUBUT-Madryn,1902/04/16,755.3,-5.2,22,5,24,6,36,N,1,C,3,,,,,,,,,,,,,
1902,4,19,CHUBUT-Madryn,1902/04/19,747.9,-8.2,23,1,26,14,31,W,2,K,1,,,,,,,,,,,,,
1902,4,20,CHUBUT-Madryn,1902/04/20,748,0.1,24,1,24,13,33,W,1,N,2,,,,,,,,,,,,,
1902,4,24,CHUBUT-Madryn,1902/04/24,751.4,-0.8,24,-6,28,15,33,S,3,C,2,,,,,,,,,,,,,
1902,4,26,CHUBUT-Madryn,1902/04/26,764.9,-1,14,-1,14,8,78,S,1,K,3,,,,,,,,,,,,,
1902,4,27,CHUBUT-Madryn,1902/04/27,759.6,-5.3,17,3,17,8,80,N,1,K,3,,,,,,,,,,,,,
1902,4,29,CHUBUT-Madryn,1902/04/29,759.6,-2.6,15,-1,18,8,78,N,1,K,1,,,,,,,,,,,,,
1902,5,3,CHUBUT-Madryn,1902/05/03,747.2,-4.2,16,-3,22,14,89,SE,1,K,3,,,,,,,,,,,,,
1902,5,4,CHUBUT-Madryn,1902/05/04,,,13,-3,20,6,88,N,1,K,3,,,,,,,,,,,,,
